;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2005.0;;;;;;;977.0;;;;;;;;;;;;43.62;;;;;;;;;;;14.25;11.66;;10.39;;7.12;;;890.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;983.0;;;;;;;;;;;;45.84;;;;;;;;;;;17.27;13.9;;14.25;;10.04;;;900.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140.47;14.1;-10.93;1.98;5.83;41.33;900.0;11.4;0.6;1.2;126484.0;13.9;2928.0;12697.0;22.4;10.0;63729.0;52713.0;37216.0;15.7;14.9;34.1;86.0;-18.1;
2007.0;;;;;;;1020.0;;;;;;;;;;;;50.28;;;;;;;;;;;15.53;14.62;;12.3;;8.36;;;946.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;189.26;15.82;-16.24;5.31;14.52;51.31;946.0;12.2;0.7;2.7;179123.0;14.6;3892.0;14971.0;27.0;8.4;88404.0;78290.0;48561.0;13.4;13.1;30.8;66.5;-32.7;
2008.0;;;;;;;1022.0;;;;;;;;;;;;53.07;;;;;;;;;;;13.93;13.89;;10.24;;6.43;;;954.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256.11;16.46;-13.34;1.38;20.66;64.59;954.0;8.2;0.4;1.0;244453.0;13.9;5866.0;15711.0;26.2;6.4;102463.0;98810.0;61648.0;12.6;12.1;25.5;91.6;-10.3;
2009.0;;;;;;;1179.0;;;;;;;;;;;;51.58;;;;;;;;;;;12.97;11.51;;8.42;;5.25;;;1090.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245.45;12.89;4.22;3.41;26.98;64.6;1090.0;14.2;0.2;1.9;267564.0;11.5;7651.0;14054.0;24.3;5.3;101792.0;121903.0;70425.0;10.3;9.6;20.0;73.5;80.8;
2010.0;;;;;;;1191.0;;;;;;;;;;;;52.06;;;;;;;;;;;17.41;15.08;;12.77;;7.85;;;1100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;287.07;22.54;0.9;3.34;24.55;92.65;1100.0;13.8;0.7;1.1;315685.0;15.1;8835.0;24786.0;28.6;7.9;116605.0;134859.0;101883.0;13.4;13.9;24.3;85.2;298.0;
2011.0;;;;;;;1200.0;;;;;;;;;;;;46.06;;;;;;;;;;;17.32;14.35;;12.25;;8.36;;;1152.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319.75;26.73;-27.2;6.42;7.01;123.97;1152.0;13.5;0.8;1.8;368424.0;14.3;10095.0;30797.0;29.2;8.4;154951.0;170681.0;142841.0;11.6;11.7;21.6;76.0;-23.3;
2012.0;;;;;;;1228.0;;;;;;;;;;;;38.39;;;;;;;;;;;13.81;10.85;;7.04;;5.15;;;1176.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;505.32;26.02;-27.86;7.66;28.38;142.62;1176.0;14.6;1.0;2.0;594176.0;10.8;19407.0;30599.0;33.6;5.1;71020.0;160399.0;167702.0;11.1;10.6;18.2;70.6;-27.5;
2013.0;;;;;;;1228.0;;;;;;;;;;;;31.48;;;;;;;;;;;16.74;2.9;;9.09;;6.68;;;1180.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520.25;34.75;-35.72;8.46;27.9;169.23;1180.0;12.9;0.8;1.9;613641.0;2.9;20846.0;40992.0;34.7;6.7;79168.0;198603.0;199607.0;11.9;11.5;20.5;75.7;-23.7;
2014.0;;;;;;;1231.0;;;;;;;;;;;;32.51;;;;;;;;;;;16.68;4.12;;8.71;;6.98;;;1181.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;566.18;39.53;-33.11;9.27;31.04;197.41;1181.0;14.7;0.8;1.6;668456.0;4.1;21750.0;46669.0;25.7;7.0;120361.0;254918.0;233069.0;12.1;10.9;20.0;76.6;-23.3;
2015.0;10202.0;3327.0;1600.0;117.0;690.0;502.0;1238.0;6360.0;15175.0;5397.0;10095.0;4137.0;169.0;-711.0;267.0;-306.0;-593.0;6875.0;32.61;3210.0;;896.0;14.0;882.0;2314.0;10085.0;983.0;483.0;340.0;15.69;1.14;573.0;6.76;275.0;4.92;0.42;0.41;1181.0;;435.0;648.0;1083.0;;1353.0;3924.0;2963.0;122.0;447.0;569.0;616.0;75.0;4591.0;8815.0;;1817.0;2494.0;;;1087.0;3572.0;241.0;206.0;678.0;4698.0;;;;47.0;2729.0;-3415.0;4776.0;14232.0;943.0;15175.0;;502.0;340.0;;8.0;-592.0;;-10.0;;;-90.0;-761.0;;-12897.0;12789.0;158.0;-7214.0;0.0;;-192.0;7672.0;;435.0;741.0;;0.02;539.81;26.56;-31.36;10.16;40.29;218.9;1181.0;23.6;1.2;1.6;637637.0;1.1;21276.0;31375.0;39.9;4.9;60173.0;223270.0;258564.0;8.6;8.9;12.1;61.8;-32.3;0.016
2016.0;10410.0;3581.0;1647.0;-16.0;640.0;485.0;1242.0;7028.0;16342.0;6049.0;11065.0;4322.0;147.0;-791.0;600.0;-31.0;-508.0;6830.0;34.39;3597.0;;911.0;18.0;894.0;2685.0;10427.0;998.0;486.0;394.0;15.82;-0.15;656.0;6.15;281.0;4.66;0.41;0.39;1184.0;;422.0;815.0;1236.0;;1605.0;4187.0;3078.0;118.0;574.0;692.0;505.0;107.0;4931.0;9313.0;;2058.0;2850.0;;;1141.0;3790.0;255.0;234.0;737.0;5016.0;;;;45.0;2903.0;-3697.0;5070.0;15386.0;955.0;16342.0;;485.0;394.0;;17.0;-640.0;;-193.0;;;-110.0;-654.0;;-13338.0;13102.0;100.0;-14209.0;;;-161.0;14970.0;;422.0;453.0;;0.02;582.37;27.13;-28.41;9.02;36.61;241.75;1184.0;24.2;1.1;1.4;689437.0;-0.2;26123.0;32113.0;44.0;4.7;64879.0;250963.0;286196.0;7.5;8.1;11.2;66.7;-31.8;0.015
2017.0;12598.0;5007.0;1918.0;1216.0;975.0;568.0;1088.0;7504.0;17626.0;6122.0;12085.0;4565.0;10.0;-873.0;904.0;64.0;-761.0;7590.0;39.75;3792.0;;789.0;19.0;769.0;3003.0;11382.0;53.0;546.0;452.0;15.22;9.65;-241.0;7.74;353.0;4.51;0.52;0.52;1082.0;;452.0;1068.0;1520.0;;1364.0;4620.0;3049.0;86.0;693.0;779.0;513.0;139.0;5642.0;10122.0;;2386.0;1554.0;45.0;;2182.0;4629.0;306.0;274.0;753.0;5963.0;;;;42.0;;-3705.0;8229.0;16650.0;976.0;17626.0;;568.0;452.0;;26.0;-897.0;;33.0;;;-139.0;-772.0;;-20289.0;20201.0;-14.0;-10748.0;2.0;;-144.0;11795.0;0.0;451.0;387.0;;0.02;758.2;34.16;-45.83;8.65;46.43;274.74;1082.0;19.7;0.8;1.3;820689.0;9.7;29415.0;36980.0;36.2;4.5;90032.0;301573.0;297380.0;8.9;8.8;12.4;74.7;-18.6;0.015
2018.0;13951.0;5896.0;2619.0;1529.0;1587.0;1154.0;1091.0;9080.0;21089.0;7554.0;14169.0;5652.0;105.0;-840.0;971.0;235.0;-803.0;8055.0;42.26;4368.0;;974.0;22.0;951.0;3394.0;12423.0;51.0;596.0;504.0;18.77;10.96;58.0;11.38;364.0;8.27;1.06;1.06;1085.0;;687.0;1186.0;1872.0;;1435.0;5773.0;3479.0;332.0;869.0;1201.0;467.0;129.0;6733.0;12009.0;;2811.0;3395.0;62.0;;1348.0;5196.0;330.0;244.0;845.0;6615.0;;;;83.0;4276.0;-4190.0;5482.0;19821.0;1268.0;21089.0;;1154.0;504.0;;17.0;-1047.0;;-39.0;;;-524.0;-908.0;;-24183.0;24064.0;186.0;-9255.0;1.0;;-130.0;10355.0;0.0;687.0;451.0;;0.02;836.4;69.2;-48.14;7.79;54.42;338.86;1085.0;11.9;0.5;0.9;907704.0;11.0;32799.0;75104.0;22.9;8.3;99265.0;338092.0;367752.0;13.3;10.7;20.4;88.7;-16.1;0.015
2019.0;14834.0;6295.0;2458.0;1615.0;1277.0;765.0;1092.0;9994.0;23528.0;8459.0;16567.0;5758.0;-626.0;-1032.0;1900.0;241.0;-1683.0;8539.0;42.44;4680.0;;1189.0;26.0;1164.0;3491.0;13219.0;61.0;707.0;575.0;16.57;10.89;-338.0;8.61;411.0;5.16;0.7;0.7;1087.0;;884.0;1289.0;2173.0;;1757.0;6064.0;3554.0;299.0;1006.0;1305.0;482.0;216.0;7977.0;13534.0;;3023.0;3934.0;39.0;;1502.0;6268.0;726.0;313.0;801.0;8108.0;;;;78.0;4429.0;-4204.0;5454.0;22324.0;1204.0;23528.0;;765.0;575.0;;21.0;-1803.0;;-328.0;;;-184.0;-1057.0;;-28688.0;28533.0;180.0;-8147.0;0.0;;-135.0;10181.0;-1.0;884.0;643.0;;0.01;947.87;48.91;-107.54;8.63;67.54;367.9;1087.0;12.6;0.5;1.4;1030152.0;10.9;39908.0;53155.0;32.2;5.2;106627.0;435262.0;399834.0;9.2;8.4;13.3;82.4;-8.0;0.014
2020.0;12443.0;5469.0;1727.0;1007.0;220.0;17.0;1109.0;8499.0;22162.0;7167.0;15837.0;5304.0;-193.0;-916.0;920.0;-185.0;-1108.0;6974.0;43.95;4462.0;;959.0;23.0;935.0;3503.0;11436.0;62.0;788.0;660.0;13.88;8.09;-787.0;1.76;262.0;0.14;0.02;0.01;1104.0;;630.0;1328.0;1958.0;;1475.0;5067.0;3579.0;201.0;1070.0;1271.0;454.0;171.0;8189.0;13663.0;;1989.0;4017.0;40.0;;1162.0;6940.0;710.0;201.0;820.0;8670.0;;368.0;;74.0;4101.0;-4406.0;5535.0;21141.0;1021.0;22162.0;;17.0;660.0;;23.0;-925.0;;175.0;;;32.0;-915.0;;-26793.0;26635.0;158.0;-5817.0;165.0;;-151.0;6723.0;3.0;630.0;815.0;;0.01;848.97;1.15;-75.58;10.28;62.44;361.89;1104.0;466.9;12.3;1.9;937645.0;8.1;49763.0;1270.0;119.4;0.1;100359.0;522981.0;399693.0;-1.5;5.0;0.3;-793.5;1.3;0.013
2021.0;10015.0;4756.0;1893.0;1408.0;731.0;248.0;1114.0;9861.0;22755.0;7033.0;15831.0;5684.0;2448.0;-2522.0;56.0;-187.0;1629.0;5260.0;47.48;3348.0;;571.0;25.0;546.0;2777.0;8608.0;62.0;819.0;601.0;18.9;14.06;-677.0;7.3;225.0;2.47;0.22;0.22;1109.0;;461.0;2742.0;3203.0;;1314.0;5344.0;3020.0;178.0;801.0;979.0;-126.0;235.0;8787.0;12894.0;;2120.0;3516.0;60.0;;1397.0;7506.0;652.0;204.0;437.0;8799.0;;365.0;;76.0;4602.0;;1006.0;21516.0;1240.0;22755.0;;248.0;601.0;;18.0;1664.0;;31.0;;;-83.0;-819.0;;-22835.0;20849.0;283.0;-4890.0;0.0;;-36.0;4982.0;2.0;461.0;649.0;;0.01;660.42;16.34;107.44;2.38;53.99;374.82;1109.0;49.8;1.7;0.3;732651.0;14.1;43989.0;18125.0;30.8;2.5;206919.0;549066.0;415819.0;6.2;6.0;4.4;85.4;2.2;0.014
