;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;75.0;;28.0;116.0;;9.0;15.0;;486.0;;327.0;87.0;30.0;-142.0;104.0;;-86.0;;;;;2.0;2.0;;;-41.0;;;19.0;37.32;155.57;;;;11.54;0.58;0.58;15.0;;;;;;;;435.0;;;;;;;;486.0;;;;;;314.0;;;;314.0;640.0;;;;-4.0;;91.0;414.0;72.0;486.0;;9.0;19.0;;;-3.0;-2.0;;1.0;;6.0;-116.0;;;;-26.0;-236.0;;;;339.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;106.0;;38.0;163.0;;11.0;16.0;;763.0;;509.0;158.0;45.0;-85.0;52.0;;-31.0;;;;;2.0;2.0;;;-57.0;;;26.0;35.57;154.21;;;;10.69;0.7;0.7;16.0;;;;;;;;695.0;;;;;;;;763.0;;;;;;485.0;;;;485.0;995.0;;;;;;158.0;668.0;96.0;763.0;;11.0;26.0;;;;-5.0;;6.0;;7.0;-76.0;;;;-10.0;-158.0;;;;210.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;155.0;;52.0;102.0;;19.0;22.0;;1188.0;230.0;838.0;238.0;80.0;-297.0;216.0;0.0;-206.0;;;53.0;;2.0;2.0;;51.0;53.0;;;33.0;33.21;65.71;;;;12.2;0.88;0.88;22.0;;16.0;;16.0;26.0;;;1109.0;;;;;;;;1188.0;4.0;;;;226.0;790.0;;;-70.0;720.0;;;;0.0;;;237.0;1076.0;112.0;1188.0;;19.0;33.0;;;-230.0;-7.0;;24.0;-230.0;259.0;-286.0;;;;-10.0;-85.0;122.0;;-57.0;236.0;;16.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;221.0;;64.0;106.0;;22.0;27.0;;1505.0;221.0;1188.0;216.0;78.0;-215.0;146.0;10.0;-137.0;;;115.0;;3.0;3.0;;112.0;115.0;;;42.0;28.74;47.93;;;;9.97;0.82;0.81;27.0;;25.0;;25.0;3.0;;;1407.0;;;;;;;;1505.0;5.0;;;;216.0;1123.0;;;-55.0;1068.0;;;;0.0;;;216.0;1405.0;100.0;1505.0;;22.0;42.0;;;9.0;-11.0;;17.0;-221.0;6.0;-215.0;;-8.0;16.0;-8.0;-120.0;;;-66.0;331.0;;25.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;284.0;;97.0;136.0;;44.0;45.0;;2322.0;375.0;1579.0;577.0;85.0;-761.0;676.0;-0.0;-442.0;;;148.0;;4.0;4.0;;143.0;148.0;;;53.0;34.25;48.04;;;;15.53;1.02;1.02;32.0;;25.0;;25.0;37.0;;;1967.0;;;;;;;;2322.0;;;;;375.0;1507.0;;;-137.0;1370.0;;;;0.0;;;577.0;2157.0;166.0;2322.0;;44.0;53.0;;;-154.0;-34.0;;7.0;-375.0;142.0;-528.0;;-255.0;33.0;-11.0;-166.0;451.0;;-90.0;480.0;;25.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;327.0;;190.0;160.0;;129.0;63.0;;2404.0;384.0;1626.0;620.0;140.0;-248.0;123.0;15.0;-78.0;;;167.0;;5.0;5.0;;162.0;167.0;;;61.0;58.15;48.94;;;;39.4;3.14;2.88;35.0;;40.0;;40.0;34.0;;;1931.0;;;;;;;;2404.0;;;;;384.0;1561.0;;;-161.0;1400.0;;;;0.0;44.0;;576.0;2247.0;158.0;2404.0;;129.0;61.0;;;-9.0;7.0;;2.0;-384.0;-42.0;-217.0;;-143.0;30.0;82.0;-328.0;;;-132.0;584.0;;40.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;320.0;;119.0;151.0;;57.0;47.0;36.0;2337.0;324.0;1854.0;362.0;121.0;2.0;-127.0;-4.0;71.0;;;169.0;;6.0;6.0;;163.0;169.0;;;62.0;37.04;47.26;;;;17.79;1.07;1.07;35.0;;36.0;;36.0;39.0;;-39.0;1934.0;;;;;;;;2301.0;;;;;324.0;1551.0;;;-147.0;1404.0;2934.0;;;0.0;10.0;;352.0;2217.0;121.0;2337.0;;57.0;62.0;;;96.0;-4.0;;-9.0;-288.0;-94.0;-50.0;;-43.0;113.0;-18.0;-306.0;;;-117.0;296.0;;36.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;335.0;;144.0;151.0;;78.0;47.0;26.0;2295.0;333.0;1832.0;349.0;141.0;-57.0;-93.0;-10.0;72.0;;;184.0;;7.0;7.0;;177.0;184.0;;;66.0;42.95;45.13;24.0;;;23.23;1.66;1.66;35.0;;26.0;;26.0;43.0;;-43.0;1887.0;;;;;;;;2268.0;;;;;333.0;1524.0;;;-159.0;1365.0;2864.0;;;0.0;-5.0;;354.0;2181.0;114.0;2295.0;;78.0;66.0;;;-19.0;-4.0;;4.0;-307.0;16.0;-68.0;;-40.0;34.0;16.0;-315.0;;;-121.0;343.0;;26.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;379.0;;160.0;162.0;;81.0;52.0;54.0;3662.0;874.0;2643.0;798.0;206.0;-918.0;739.0;27.0;-343.0;;;216.0;;8.0;8.0;;208.0;216.0;;;79.0;42.28;42.88;-4.0;;;21.48;1.57;1.56;39.0;;54.0;;54.0;49.0;;-49.0;2842.0;;;;617.0;;;;3609.0;;;;;874.0;2292.0;;;-549.0;1743.0;3512.0;;;1.0;-24.0;;821.0;3441.0;221.0;3662.0;;81.0;79.0;;;-514.0;-5.0;;53.0;-820.0;560.0;-549.0;;-52.0;74.0;-392.0;-889.0;472.0;;-125.0;1281.0;;54.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;486.0;;237.0;195.0;;128.0;78.0;;4146.0;1176.0;2954.0;953.0;262.0;-384.0;116.0;-6.0;-94.0;;;291.0;;11.0;11.0;;280.0;291.0;;;109.0;48.78;40.1;12.0;;;26.34;2.03;2.01;56.0;;47.0;;47.0;75.0;;;3227.0;;;;578.0;;;;4146.0;;;;;1176.0;2683.0;;;-766.0;1917.0;;;;1.0;-39.0;;991.0;3908.0;238.0;4146.0;;128.0;109.0;;;-356.0;-29.0;;61.0;-1176.0;380.0;-356.0;;-104.0;60.0;16.0;-374.0;;;-153.0;643.0;;47.0;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;
