;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011.0;;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;;0.0;;0.0;;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.26;-0.26;0.0;;0.0;;0.0;;;0.0;;;;;;;0.0;0.0;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;;;;;;;;;;;;0.0;;0.0;0.0;;;;-0.26;-0.29;;;-0.88;0.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;29.6;-20.3;29.6;100.0;
2012.0;;;-6.0;-6.0;-6.0;-7.0;0.0;2.0;4.0;0.0;0.0;4.0;-1.0;-2.0;5.0;2.0;-2.0;;;6.0;;6.0;6.0;;;6.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;;-inf;-19.76;-19.88;0.0;;2.0;;2.0;;;0.0;;;0.0;0.0;;;1.0;2.0;;0.0;;;;0.0;;;;;;;;;0.0;-7.0;;11.0;4.0;-0.0;4.0;;-7.0;;;4.0;-0.0;;;;0.0;1.0;-1.0;;-1.0;1.0;-1.0;-1.0;7.0;;;-0.0;;2.0;0.0;;;;-19.88;-6.69;;3.07;11.31;0.0;-4.4;-0.3;;;-inf;0.0;-7.0;;-inf;2.0;;4.0;-140.6;-137.6;-175.9;100.0;
2013.0;3.0;2.0;-2.0;-4.0;-4.0;-3.0;1.0;5.0;13.0;1.0;1.0;12.0;-2.0;-3.0;6.0;1.0;-5.0;1.0;72.0;6.0;;5.0;5.0;;1.0;7.0;0.0;0.0;1.0;-70.43;-107.52;-0.0;-108.64;;-100.94;-6.0;-6.0;1.0;;4.0;0.0;4.0;0.0;;1.0;0.0;2.0;6.0;8.0;;;;8.0;;;;;;1.0;;;;;;;;;0.0;-10.0;-0.0;23.0;13.0;-0.0;13.0;;-3.0;1.0;;2.0;1.0;-0.0;;;0.0;-1.0;-3.0;-1.0;;1.0;-3.0;;6.0;;;;;4.0;2.0;;;5.94;-6.0;-8.17;;5.53;21.16;1.0;-8.2;-0.5;;3.0;-107.5;1.0;-3.0;;-100.9;4.0;;12.0;-28.3;-26.6;-28.3;100.0;
2014.0;21.0;10.0;-1.0;-6.0;-7.0;-2.0;1.0;8.0;59.0;22.0;35.0;24.0;4.0;-8.0;5.0;1.0;-3.0;12.0;44.93;14.0;;8.0;8.0;;6.0;25.0;0.0;1.0;6.0;-3.38;-29.0;-1.0;-31.75;-5.0;-8.79;-2.56;-4.33;1.0;;5.0;;5.0;0.0;;2.0;0.0;3.0;43.0;47.0;;5.0;;52.0;;;17.0;;;5.0;5.0;;;7.0;13.0;;;0.0;0.0;-12.0;-0.0;37.0;59.0;;59.0;;-2.0;6.0;-2.0;3.0;0.0;0.0;;;;-1.0;-8.0;;;;-8.0;-4.0;6.0;;;3.0;;5.0;4.0;;;29.37;-2.58;-4.69;;10.8;33.28;1.0;-32.4;-1.8;;21.0;-29.0;6.0;-2.0;72.3;-8.8;-15.0;5.0;24.0;-4.7;-10.5;-7.8;100.0;
2015.0;19.0;2.0;-10.0;-26.0;-25.0;-17.0;1.0;5.0;47.0;17.0;35.0;13.0;-3.0;-0.0;1.0;-3.0;-3.0;17.0;12.51;22.0;;11.0;11.0;;11.0;39.0;0.0;4.0;11.0;-52.79;-135.32;1.0;-132.24;-8.0;-89.26;-19.04;-19.04;1.0;;3.0;;3.0;0.0;;2.0;0.0;4.0;25.0;30.0;;12.0;0.0;42.0;;;10.0;;;7.0;12.0;;1.0;4.0;18.0;;;0.0;0.0;-29.0;-1.0;43.0;47.0;;47.0;;-17.0;11.0;-8.0;2.0;4.0;-0.0;;;;5.0;-0.0;;;;;-19.0;;;;20.0;-0.0;3.0;5.0;;;21.37;-19.08;-3.4;;0.07;14.27;1.0;-3.4;-0.2;;19.0;-135.3;11.0;-17.0;32.5;-89.3;-12.0;12.0;13.0;-46.5;-44.1;-133.6;100.0;
2016.0;37.0;18.0;-7.0;-16.0;-17.0;-29.0;1.0;6.0;18.0;20.0;28.0;-9.0;10.0;-4.0;-4.0;2.0;6.0;19.0;47.95;17.0;;9.0;9.0;;7.0;36.0;0.0;3.0;7.0;-17.88;-42.54;-2.0;-47.26;12.0;-78.26;-30.24;-30.24;1.0;;5.0;;5.0;0.0;;0.0;0.0;0.0;12.0;13.0;;;0.0;13.0;;;13.0;;;7.0;5.0;;;2.0;7.0;;;0.0;0.0;-58.0;-1.0;50.0;18.0;-0.0;18.0;;-29.0;7.0;11.0;2.0;2.0;0.0;;;;16.0;-4.0;;;;-4.0;-9.0;5.0;;;0.0;-0.0;5.0;3.0;;;38.61;-30.22;6.83;;3.89;-9.62;1.0;-1.2;-0.1;;37.0;-42.5;7.0;-29.0;-66.5;-78.3;-15.0;5.0;-9.0;1161.3;-75.9;314.2;100.0;
2017.0;1.0;-7.0;-25.0;-14.0;-31.0;-31.0;2.0;15.0;15.0;8.0;8.0;7.0;-11.0;-0.0;20.0;10.0;-11.0;8.0;-1407.48;4.0;;4.0;4.0;;;12.0;0.0;5.0;2.0;-4756.6;-2729.58;-17.0;-6050.08;-0.0;-6030.07;-19.2;-19.2;2.0;;15.0;;15.0;0.0;;0.0;0.0;;;;;;;0.0;;2.0;2.0;;;4.0;;;;;;;;0.0;0.0;-89.0;-0.0;97.0;15.0;;15.0;;-31.0;2.0;;2.0;-1.0;0.0;;-1.0;0.0;17.0;-0.0;;;;;-1.0;16.0;;;6.0;0.0;15.0;5.0;;;0.32;-19.22;-6.63;;0.0;4.53;2.0;-0.7;-0.0;;1.0;-2729.6;2.0;-31.0;0.3;-6030.1;7.0;;7.0;-358.4;-176.4;-424.1;100.0;
2018.0;2.0;-4.0;-8.0;-12.0;-13.0;-13.0;5.0;3.0;5.0;2.0;2.0;3.0;-8.0;-4.0;;-12.0;-14.0;5.0;-241.54;6.0;;3.0;3.0;;3.0;11.0;0.0;2.0;2.0;-531.5;-772.95;-1.0;-815.76;0.0;-820.18;-2.4;-2.4;5.0;;3.0;;3.0;;;0.0;1.0;;1.0;1.0;;;;2.0;;;1.0;;;1.0;;;;;;;;;0.0;-102.0;-0.0;105.0;5.0;;5.0;;-13.0;2.0;;1.0;-5.0;;;;;6.0;-6.0;;;1.0;-0.0;;;;;;0.0;3.0;15.0;;;0.29;-2.41;-2.58;;1.03;0.55;5.0;-2.4;-0.1;;2.0;-772.9;2.0;-13.0;-0.5;-820.2;1.0;;3.0;-357.1;-199.7;-438.7;100.0;
2019.0;1.0;-3.0;-2.0;-4.0;-4.0;-4.0;7.0;1.0;7.0;2.0;3.0;4.0;-3.0;1.0;0.0;-2.0;-3.0;4.0;-233.91;1.0;;1.0;1.0;;;5.0;0.0;0.0;1.0;-201.47;-357.66;1.0;-296.74;;-296.74;-0.53;-0.53;7.0;;1.0;0.0;1.0;;;1.0;4.0;;1.0;1.0;;;;5.0;;1.0;0.0;;;1.0;1.0;;;;1.0;;0.0;;0.0;-106.0;-0.0;110.0;7.0;;7.0;;-4.0;1.0;;1.0;-2.0;;;;;-0.0;-0.0;;;1.0;;;0.0;;;-0.0;;1.0;3.0;;;0.18;-0.53;-0.5;;0.0;0.55;7.0;-4.0;-0.2;;1.0;-357.7;1.0;-4.0;;-296.7;-0.0;1.0;4.0;-72.7;-52.3;-96.4;100.0;
