;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;5.0;3.0;-13.0;-13.0;-13.0;-13.0;18.0;8.0;10.0;3.0;44.0;-34.0;-12.0;-2.0;13.0;-2.0;-13.0;2.0;58.64;16.0;9.0;;;;7.0;18.0;0.0;0.0;0.0;-239.82;-249.93;-0.0;-251.0;;-251.0;-0.72;-0.72;18.0;;2.0;2.0;4.0;0.0;3.0;0.0;1.0;;;;;;1.0;2.0;;1.0;;;0.0;2.0;0.0;1.0;;40.0;41.0;;0.0;;;-35.0;-1.0;2.0;10.0;;10.0;;-13.0;0.0;;0.0;-0.0;0.0;-2.0;0.0;5.0;-0.0;-0.0;;-2.0;;;-1.0;;;;14.0;;2.0;4.0;;;0.29;-0.72;-0.7;;0.02;-1.87;18.0;;;;5.0;-249.9;0.0;-13.0;;-251.0;5.0;0.0;-34.0;-198.1;-133.3;38.7;100.0;
2012.0;7.0;3.0;-36.0;-24.0;-39.0;-39.0;18.0;27.0;34.0;39.0;108.0;-74.0;-22.0;-1.0;31.0;8.0;-25.0;4.0;39.31;23.0;13.0;;;;10.0;27.0;0.0;2.0;1.0;-500.21;-333.87;-15.0;-543.33;;-543.33;-2.24;-2.24;18.0;;10.0;;10.0;3.0;5.0;10.0;4.0;;;;;;3.0;6.0;;2.0;;;0.0;37.0;27.0;2.0;;40.0;69.0;;0.0;40.0;;-76.0;-2.0;3.0;34.0;;34.0;;-39.0;1.0;;1.0;-16.0;-3.0;-2.0;1.0;-11.0;32.0;-3.0;;;2.0;;-2.0;;;;33.0;;10.0;2.0;;;0.39;-2.12;-1.38;;0.15;-4.06;18.0;;;;7.0;-333.9;1.0;-39.0;;-543.3;-11.0;27.0;-74.0;704.7;-107.5;52.2;100.0;
2013.0;15.0;4.0;-22.0;-29.0;-28.0;-28.0;9.0;59.0;69.0;12.0;27.0;42.0;-34.0;-18.0;66.0;14.0;-38.0;11.0;26.18;33.0;18.0;15.0;15.0;;;44.0;0.0;6.0;1.0;-147.95;-199.58;1.0;-195.89;;-195.89;-3.42;-3.94;9.0;;24.0;14.0;38.0;7.0;12.0;2.0;9.0;;;;;;1.0;10.0;;4.0;0.0;;1.0;6.0;12.0;1.0;;2.0;15.0;;3.0;;;-105.0;-3.0;150.0;69.0;;69.0;;-28.0;1.0;;2.0;58.0;-4.0;-7.0;2.0;47.0;-67.0;-4.0;;-17.0;4.0;0.0;-13.0;56.0;;;23.0;;24.0;10.0;;;1.67;-3.26;-4.36;;0.46;4.79;9.0;-4.8;-0.3;;15.0;-199.6;1.0;-28.0;;-195.9;47.0;12.0;42.0;-39.4;-32.7;-68.2;100.0;
2014.0;9.0;-0.0;-46.0;-49.0;-52.0;-52.0;22.0;55.0;77.0;31.0;44.0;33.0;-36.0;1.0;46.0;11.0;-49.0;9.0;-3.31;48.0;19.0;29.0;29.0;;;58.0;0.0;3.0;3.0;-505.37;-531.23;-3.0;-565.44;;-565.44;-2.32;-2.32;22.0;;35.0;;35.0;2.0;13.0;5.0;20.0;;;;;;2.0;22.0;;6.0;13.0;;5.0;8.0;10.0;2.0;;1.0;13.0;;2.0;;;-160.0;-5.0;198.0;77.0;;77.0;;-52.0;3.0;;5.0;-23.0;3.0;0.0;2.0;24.0;32.0;-13.0;;-0.0;14.0;0.0;-6.0;40.0;;;12.0;;35.0;24.0;;;0.41;-2.32;-2.19;;0.58;1.49;22.0;-4.0;-0.2;;9.0;-531.2;3.0;-52.0;;-565.4;24.0;10.0;33.0;-106.0;-63.2;-155.5;100.0;
2015.0;10.0;1.0;-36.0;-39.0;-44.0;-44.0;24.0;36.0;72.0;13.0;74.0;-2.0;-36.0;-2.0;22.0;-15.0;-38.0;9.0;5.56;40.0;14.0;27.0;27.0;;;49.0;0.0;4.0;4.0;-365.83;-402.58;-4.0;-446.16;;-446.16;-1.79;-1.79;24.0;;20.0;;20.0;2.0;9.0;5.0;18.0;;;;;;17.0;36.0;;2.0;0.0;;3.0;8.0;58.0;2.0;;1.0;61.0;;1.0;;;-204.0;-7.0;209.0;72.0;;72.0;;-44.0;4.0;;4.0;-0.0;-1.0;4.0;-3.0;23.0;1.0;-2.0;;;;0.0;-2.0;;;;25.0;;20.0;35.0;;;0.4;-1.79;-1.55;;0.07;-0.08;24.0;-1.5;-0.1;;10.0;-402.6;4.0;-44.0;;-446.2;23.0;58.0;-2.0;-66.8;-54.9;2162.6;100.0;
2016.0;14.0;5.0;-22.0;-24.0;-31.0;-31.0;25.0;27.0;46.0;15.0;76.0;-30.0;-24.0;-0.0;14.0;-10.0;-25.0;10.0;32.19;28.0;10.0;19.0;19.0;;;38.0;0.0;7.0;2.0;-153.35;-168.49;-7.0;-221.27;;-221.27;-1.26;-1.26;25.0;;10.0;;10.0;4.0;8.0;5.0;17.0;;;;;;2.0;19.0;;1.0;0.0;;6.0;8.0;58.0;2.0;;1.0;61.0;;1.0;;;-235.0;-7.0;212.0;46.0;;46.0;;-31.0;2.0;;3.0;-12.0;-1.0;1.0;-1.0;12.0;13.0;-0.0;;;;;-1.0;;;;15.0;;10.0;20.0;;;0.57;-1.26;-1.0;;0.01;-1.23;25.0;-1.1;-0.0;;14.0;-168.5;2.0;-31.0;;-221.3;12.0;58.0;-30.0;-77.3;-51.7;102.9;100.0;
2017.0;18.0;8.0;-21.0;-23.0;-31.0;-31.0;29.0;19.0;37.0;22.0;88.0;-51.0;-21.0;-1.0;13.0;-9.0;-22.0;11.0;42.05;31.0;11.0;20.0;20.0;;;41.0;0.0;8.0;2.0;-116.43;-126.58;-8.0;-170.23;;-170.23;-1.07;-1.07;29.0;;1.0;;1.0;4.0;10.0;5.0;16.0;;;;;;2.0;18.0;;4.0;2.0;;6.0;10.0;62.0;2.0;;1.0;66.0;;;;;-266.0;-9.0;224.0;37.0;;37.0;;-31.0;2.0;;2.0;-15.0;-0.0;-1.0;2.0;-3.0;20.0;-1.0;;;;0.0;-16.0;8.0;;;21.0;;1.0;10.0;;;0.62;-1.06;-0.75;;0.03;-1.73;29.0;-1.4;-0.1;;18.0;-126.6;2.0;-31.0;;-170.2;-3.0;62.0;-51.0;-155.6;-62.8;61.1;100.0;
2018.0;21.0;10.0;-16.0;-20.0;-20.0;-20.0;101.0;30.0;47.0;11.0;34.0;13.0;-19.0;-1.0;37.0;17.0;-20.0;11.0;48.6;30.0;11.0;19.0;19.0;;;41.0;;3.0;2.0;-74.53;-91.91;-1.0;-95.25;;-95.25;-0.2;-0.2;101.0;;18.0;;18.0;3.0;8.0;1.0;15.0;;;;;;2.0;16.0;;2.0;2.0;;0.0;7.0;19.0;2.0;;1.0;22.0;;;;0.0;-283.0;-11.0;307.0;47.0;;47.0;;-20.0;2.0;;2.0;22.0;1.0;2.0;-2.0;19.0;-25.0;-1.0;;;;;-21.0;34.0;;;24.0;;20.0;3.0;;;0.21;-0.2;-0.2;;0.01;0.13;101.0;-8.6;-0.3;;21.0;-91.9;2.0;-20.0;;-95.3;19.0;19.0;13.0;-50.2;-38.0;-156.3;100.0;
2019.0;29.0;16.0;-33.0;-28.0;-37.0;-37.0;118.0;22.0;73.0;21.0;49.0;24.0;-21.0;-7.0;16.0;-12.0;-22.0;13.0;54.86;44.0;14.0;30.0;30.0;;;57.0;;1.0;3.0;-110.75;-95.27;-9.0;-126.56;0.0;-126.56;-0.32;-0.32;118.0;;6.0;;6.0;6.0;8.0;1.0;18.0;7.0;24.0;31.0;;;3.0;51.0;;3.0;4.0;;0.0;13.0;19.0;2.0;;7.0;28.0;;5.0;;0.0;-321.0;-13.0;357.0;73.0;;73.0;;-37.0;3.0;;4.0;-18.0;-3.0;1.0;1.0;1.0;27.0;-0.0;-6.0;;;-0.0;-30.0;;;;46.0;;8.0;20.0;;;0.25;-0.32;-0.18;;0.0;0.2;118.0;-4.6;-0.2;;29.0;-95.3;3.0;-37.0;-0.0;-126.6;1.0;19.0;24.0;-69.1;-49.1;-157.8;100.0;
2020.0;0.0;0.0;4.0;-17.0;-0.0;-0.0;149.0;34.0;75.0;24.0;50.0;31.0;-16.0;-2.0;27.0;10.0;-17.0;0.0;60.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;4.0;3509.0;-17195.0;17.0;-53.0;;-53.0;-0.14;-0.14;149.0;;16.0;;16.0;10.0;7.0;2.0;13.0;7.0;21.0;28.0;;;;41.0;;2.0;1.0;;0.0;21.0;27.0;;;;27.0;;4.0;;0.0;;;31.0;81.0;-6.0;75.0;;-0.0;4.0;;4.0;9.0;-4.0;2.0;-1.0;10.0;-32.0;-1.0;;;;-1.0;-1.0;;;;28.0;;17.0;8.0;;;0.0;-0.0;-0.11;;0.0;0.21;149.0;-3090.2;-81.6;;0.0;-17195.0;4.0;-0.0;;-53.0;10.0;27.0;31.0;-0.1;-0.1;-0.2;100.0;
