;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;10.0;4.0;-0.0;-0.0;-0.0;-0.0;25.0;2.0;3.0;2.0;2.0;0.0;2.0;-0.0;0.0;1.0;1.0;6.0;37.1;4.0;1.0;3.0;1.0;2.0;0.0;10.0;;;0.0;-0.18;-2.36;0.0;-2.31;-0.0;-0.89;-0.01;-0.01;13.0;;1.0;;1.0;0.0;;0.0;0.0;;;;;0.0;0.0;1.0;;1.0;;;;1.0;;0.0;;0.0;0.0;;;;2.0;-1.0;;-0.0;3.0;;3.0;;-0.0;0.0;-0.0;;0.0;;;;-0.0;1.0;-0.0;;;;0.0;;0.0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;20.0;;0.0;-3.0;-3.0;-2.0;13.0;8.0;34.0;9.0;32.0;2.0;3.0;-17.0;20.0;20.0;2.0;;;;1.0;;;;;23.0;;;3.0;0.42;-16.73;0.0;-16.36;-1.0;-10.91;-0.26;-0.26;13.0;;6.0;;6.0;2.0;;0.0;1.0;;24.0;24.0;;;0.0;25.0;;3.0;;;1.0;5.0;;;2.0;22.0;23.0;;;;0.0;-3.0;-0.0;5.0;34.0;;34.0;;-2.0;3.0;-2.0;;-0.0;;;;-0.0;4.0;-1.0;-17.0;;;-0.0;;20.0;;;-0.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;44.0;;5.0;-1.0;-1.0;-1.0;22.0;32.0;72.0;16.0;16.0;56.0;4.0;-13.0;28.0;19.0;3.0;;;44.0;2.0;37.0;37.0;;5.0;44.0;;;6.0;11.32;-2.32;0.0;-1.6;0.0;-1.67;-0.05;-0.05;22.0;;25.0;;25.0;5.0;;2.0;2.0;;38.0;38.0;;;;40.0;;6.0;;;2.0;7.0;;;0.0;0.0;0.0;;;;0.0;-5.0;-1.0;61.0;72.0;;72.0;;-1.0;6.0;-2.0;;16.0;;;;16.0;-16.0;-1.0;-11.0;;;-1.0;;29.0;;;-1.0;;25.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;95.0;36.0;30.0;5.0;7.0;4.0;37.0;84.0;334.0;13.0;14.0;321.0;17.0;-209.0;230.0;38.0;15.0;59.0;37.98;31.0;4.0;8.0;8.0;;18.0;90.0;;;23.0;31.1;5.1;2.0;7.19;3.0;4.11;0.04;0.04;35.0;;63.0;;63.0;14.0;;6.0;3.0;;247.0;247.0;;;;251.0;;9.0;;;2.0;2.0;;;0.0;0.0;0.0;;;54.0;0.0;-3.0;-2.0;271.0;334.0;;334.0;;4.0;23.0;-3.0;;54.0;;;;70.0;-61.0;-3.0;-190.0;;;-16.0;;233.0;;-2.0;-1.0;;63.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;128.0;67.0;30.0;1.0;4.0;-0.0;40.0;73.0;333.0;16.0;16.0;317.0;31.0;-24.0;-24.0;-17.0;25.0;60.0;52.7;67.0;10.0;37.0;37.0;;20.0;127.0;;;27.0;23.78;0.43;3.0;2.89;4.0;-0.35;0.07;-0.04;38.0;;46.0;;46.0;24.0;;3.0;7.0;201.0;50.0;251.0;;2.0;;261.0;;11.0;;;2.0;3.0;;;;0.0;0.0;;;2.0;0.0;-6.0;-4.0;324.0;333.0;;333.0;;-0.0;27.0;-3.0;;-13.0;;;;57.0;21.0;-6.0;-18.0;;;1.0;;2.0;-26.0;-3.0;2.0;;46.0;63.0;;;3.34;-0.01;0.65;0.08;0.15;8.29;38.0;-1137.6;-63.0;0.6;128.0;0.4;27.0;-0.0;116.1;-0.3;57.0;;317.0;-0.2;1.2;-0.1;753.4;
2007.0;139.0;68.0;26.0;-3.0;-1.0;-2.0;39.0;59.0;320.0;18.0;18.0;302.0;37.0;-27.0;-20.0;-10.0;23.0;71.0;49.13;71.0;12.0;43.0;43.0;;17.0;142.0;;;26.0;18.38;-2.18;2.0;-0.39;1.0;-1.08;-0.04;-0.04;39.0;;36.0;;36.0;20.0;;3.0;7.0;205.0;41.0;246.0;;7.0;0.0;261.0;;12.0;;;3.0;4.0;;;;0.0;0.0;;;1.0;0.0;-8.0;-7.0;314.0;320.0;;320.0;;-2.0;26.0;-5.0;;-16.0;;;;41.0;33.0;-14.0;-13.0;;;1.0;;4.0;-23.0;-3.0;3.0;;36.0;46.0;;;3.58;-0.04;0.59;0.09;0.37;7.75;39.0;-244.4;-14.1;0.9;139.0;-2.2;26.0;-2.0;-176.3;-1.1;41.0;;302.0;-0.5;-0.2;-0.5;323.3;
2008.0;146.0;80.0;-147.0;-175.0;-174.0;-128.0;47.0;56.0;170.0;21.0;21.0;149.0;31.0;-24.0;-24.0;-17.0;24.0;66.0;54.9;256.0;17.0;52.0;52.0;;187.0;322.0;;;27.0;-100.61;-119.75;1.0;-118.74;-46.0;-87.35;-3.51;-3.51;36.0;;27.0;;27.0;25.0;;4.0;6.0;35.0;16.0;52.0;;57.0;;114.0;;12.0;;;2.0;6.0;;;;0.0;0.0;;;;0.0;-136.0;-10.0;294.0;170.0;;170.0;;-128.0;27.0;-3.0;;-6.0;;;;35.0;141.0;-7.0;-18.0;;;2.0;;2.0;-26.0;-3.0;2.0;;46.0;63.0;;;4.02;-3.51;0.65;0.08;0.2;4.1;36.0;-2.1;-0.1;1.1;146.0;-119.8;27.0;-128.0;26.4;-87.4;35.0;;149.0;-85.6;-102.1;-85.6;102.3;
2009.0;93.0;46.0;8.0;39.0;-4.0;-2.0;45.0;58.0;159.0;17.0;18.0;141.0;17.0;3.0;-13.0;6.0;15.0;48.0;48.93;6.0;14.0;34.0;16.0;18.0;-42.0;54.0;0.0;0.0;12.0;8.81;42.19;-43.0;-3.85;-2.0;-2.21;-0.07;-0.07;34.0;;34.0;;34.0;20.0;;4.0;5.0;35.0;8.0;43.0;;53.0;;101.0;;9.0;;;2.0;6.0;;;;1.0;1.0;;;;0.0;-138.0;-13.0;291.0;159.0;;159.0;;-2.0;12.0;4.0;10.0;6.0;6.0;;-4.0;41.0;-13.0;-2.0;;;;5.0;-0.0;0.0;-11.0;-3.0;0.0;;34.0;27.0;;;2.77;-0.06;0.44;0.09;0.07;4.19;34.0;-54.6;-0.8;2.6;93.0;42.2;12.0;-2.0;42.5;-2.2;41.0;;141.0;-1.4;-2.2;-1.5;240.7;
2010.0;98.0;40.0;4.0;-11.0;-4.0;-3.0;43.0;65.0;160.0;18.0;20.0;140.0;9.0;3.0;-9.0;4.0;6.0;58.0;41.01;51.0;17.0;31.0;18.0;14.0;3.0;108.0;0.0;0.0;8.0;4.24;-10.82;7.0;-3.75;-1.0;-3.12;-0.1;-0.1;33.0;;37.0;;37.0;23.0;;4.0;5.0;35.0;4.0;39.0;;51.0;;94.0;;11.0;;;2.0;5.0;;;;2.0;2.0;;;;0.0;-141.0;-15.0;295.0;160.0;;160.0;;-3.0;8.0;2.0;11.0;6.0;-7.0;;2.0;47.0;-14.0;-4.0;;;;7.0;-0.0;0.0;-7.0;-3.0;0.0;;37.0;34.0;;;2.99;-0.09;0.18;0.09;0.11;4.28;33.0;-45.5;-2.2;2.0;98.0;-10.8;8.0;-3.0;16.9;-3.1;47.0;;140.0;-2.1;-2.2;-2.2;192.5;
2011.0;147.0;65.0;16.0;6.0;6.0;3.0;45.0;75.0;220.0;58.0;61.0;159.0;17.0;-10.0;-6.0;0.0;13.0;82.0;44.23;66.0;23.0;38.0;23.0;15.0;5.0;148.0;0.0;1.0;9.0;10.67;4.11;-0.0;3.8;3.0;2.02;0.08;0.08;33.0;;37.0;;37.0;31.0;;6.0;6.0;83.0;10.0;93.0;;46.0;;145.0;;13.0;;;2.0;44.0;;;;3.0;3.0;;;;0.0;-138.0;-17.0;314.0;220.0;;220.0;;3.0;9.0;2.0;15.0;-31.0;-7.0;;-2.0;16.0;18.0;-4.0;-16.0;;;9.0;;0.0;-6.0;-3.0;3.0;;37.0;37.0;;;4.41;0.09;0.38;0.09;0.12;4.78;33.0;72.7;4.5;1.4;147.0;4.1;9.0;3.0;46.9;2.0;16.0;;159.0;2.0;2.8;1.9;0.7;71.3
