;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;33.0;30.0;9.0;9.0;9.0;5.0;52.0;17.0;20.0;3.0;4.0;16.0;5.0;-1.0;0.0;0.0;5.0;3.0;91.46;21.0;;21.0;;;0.0;24.0;;;0.0;28.35;27.74;;27.74;4.0;16.46;0.04;0.03;52.0;;7.0;;7.0;9.0;;1.0;3.0;;;;;;0.0;3.0;;3.0;;;;1.0;1.0;;;;1.0;;;;;0.0;-0.0;16.0;20.0;;20.0;;5.0;0.0;1.0;;-1.0;;;;14.0;0.0;-1.0;;;;;;1.0;-0.0;;-0.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;44.0;40.0;12.0;11.0;11.0;7.0;52.0;60.0;70.0;6.0;7.0;63.0;6.0;-35.0;40.0;40.0;4.0;4.0;92.03;30.0;;30.0;;;0.0;33.0;;;0.0;26.42;23.92;1.0;25.51;5.0;15.26;0.04;0.04;52.0;;19.0;;19.0;12.0;;29.0;5.0;;;;;;6.0;10.0;;4.0;;;;2.0;1.0;;;;1.0;;;;;7.0;-0.0;56.0;70.0;;70.0;;7.0;0.0;2.0;;40.0;;;;54.0;-42.0;-2.0;;-34.0;7.0;-5.0;;40.0;-0.0;;-0.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;81.0;75.0;24.0;20.0;22.0;13.0;116.0;101.0;159.0;20.0;23.0;136.0;15.0;-77.0;62.0;62.0;10.0;6.0;92.2;55.0;;53.0;53.0;;2.0;61.0;;;2.0;29.46;24.75;2.0;27.23;9.0;16.21;0.11;0.11;116.0;;18.0;;18.0;23.0;;59.0;9.0;;;;;;49.0;58.0;;13.0;0.0;;;6.0;3.0;;0.0;;3.0;;;;;20.0;-1.0;117.0;159.0;;159.0;;13.0;2.0;4.0;;28.0;;;;81.0;-32.0;-5.0;;-57.0;28.0;-43.0;;60.0;;;2.0;;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;129.0;119.0;39.0;33.0;35.0;21.0;126.0;82.0;197.0;28.0;33.0;164.0;29.0;-32.0;3.0;3.0;-33.0;10.0;92.4;86.0;;82.0;82.0;;5.0;96.0;;;5.0;30.49;25.68;2.0;27.0;14.0;16.21;0.17;0.17;120.0;;19.0;;19.0;35.0;;29.0;10.0;;;;;;105.0;115.0;;16.0;0.0;;;12.0;3.0;;2.0;;5.0;;;;;41.0;-2.0;125.0;197.0;;197.0;;21.0;5.0;7.0;;-27.0;;;;54.0;24.0;-62.0;;-14.0;44.0;;;4.0;;;-0.0;;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;185.0;171.0;57.0;49.0;49.0;29.0;64.0;64.0;271.0;49.0;63.0;201.0;34.0;-65.0;14.0;14.0;-58.0;14.0;92.39;122.0;;114.0;114.0;;9.0;137.0;;;9.0;30.85;26.38;-0.0;26.16;19.0;15.7;0.24;0.23;61.0;;1.0;;1.0;62.0;;1.0;12.0;;;;;;195.0;207.0;;30.0;0.0;;;19.0;10.0;;3.0;1.0;15.0;;;;;70.0;-4.0;135.0;264.0;6.0;271.0;;29.0;9.0;5.0;;-39.0;;;;15.0;30.0;-92.0;;-10.0;37.0;-0.0;;6.0;;;8.0;;;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;227.0;206.0;55.0;45.0;43.0;25.0;63.0;80.0;335.0;96.0;106.0;229.0;24.0;-72.0;48.0;0.0;-31.0;21.0;90.7;161.0;;149.0;149.0;;12.0;182.0;;;12.0;24.1;19.78;-2.0;18.77;18.0;11.01;0.4;0.4;62.0;;1.0;;1.0;78.0;;2.0;14.0;;;;;;241.0;255.0;;29.0;49.0;;;19.0;2.0;;5.0;2.0;10.0;;;;0.0;95.0;-6.0;139.0;335.0;;335.0;;25.0;12.0;6.0;;-31.0;;;;-16.0;12.0;-55.0;;;;-17.0;;8.0;;;40.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;243.0;216.0;35.0;25.0;21.0;11.0;64.0;74.0;325.0;72.0;83.0;242.0;36.0;-8.0;-26.0;2.0;23.0;27.0;89.03;192.0;;178.0;178.0;;14.0;218.0;;;14.0;14.51;10.23;-3.0;8.83;10.0;4.52;0.17;0.17;63.0;;3.0;;3.0;69.0;;2.0;10.0;;241.0;241.0;;;;251.0;;30.0;24.0;;;18.0;;;7.0;4.0;11.0;;;;0.0;106.0;-8.0;143.0;325.0;;325.0;;11.0;14.0;-1.0;;18.0;;;;2.0;-6.0;-13.0;;;;5.0;;2.0;;;-27.0;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;355.0;;78.0;58.0;56.0;30.0;90.0;113.0;573.0;79.0;94.0;479.0;90.0;-31.0;-35.0;24.0;60.0;;;296.0;;275.0;275.0;;21.0;296.0;;;21.0;21.9;16.48;-2.0;15.85;26.0;8.58;0.36;0.34;85.0;;28.0;;28.0;64.0;;22.0;15.0;;445.0;445.0;;;;460.0;;73.0;1.0;;;5.0;3.0;;10.0;3.0;16.0;;;;0.0;137.0;-12.0;354.0;573.0;;573.0;;30.0;21.0;-15.0;;32.0;;;;34.0;21.0;-31.0;;;;;;16.0;-3.0;;-48.0;;28.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;465.0;450.0;118.0;112.0;112.0;69.0;107.0;161.0;649.0;82.0;101.0;548.0;98.0;-34.0;-18.0;46.0;90.0;16.0;96.61;338.0;;331.0;;;6.0;353.0;;;6.0;25.32;24.08;-0.0;24.0;43.0;14.78;0.67;0.65;102.0;;73.0;;73.0;75.0;;13.0;17.0;;463.0;463.0;;;7.0;487.0;;76.0;1.0;;;5.0;2.0;;13.0;4.0;19.0;;;;0.0;205.0;-18.0;360.0;649.0;;649.0;;69.0;6.0;1.0;;45.0;;;;80.0;-24.0;-8.0;;;;-26.0;;32.0;-50.0;;-1.0;;73.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;551.0;533.0;144.0;137.0;136.0;84.0;98.0;146.0;718.0;121.0;145.0;572.0;118.0;-91.0;-73.0;-45.0;103.0;19.0;96.63;396.0;;387.0;;;8.0;414.0;;;8.0;26.2;24.83;-1.0;24.67;52.0;15.3;0.89;0.86;95.0;;28.0;;28.0;94.0;;23.0;27.0;;527.0;527.0;;;17.0;572.0;;112.0;1.0;;;8.0;1.0;;17.0;6.0;24.0;;;;0.0;290.0;-24.0;307.0;718.0;;718.0;;84.0;8.0;-10.0;;-55.0;;;;25.0;90.0;-15.0;-75.0;;;;;28.0;-100.0;;-1.0;;28.0;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;
