;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;409.0;;41.0;409.0;;41.0;86.0;;;;;;;;;;;;;;;;;;;;;;;10.07;100.0;;;;10.07;0.42;0.42;86.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;364.0;;38.0;364.0;;38.0;89.0;;;;;;;;;;;;;;;;;;;;;;;10.43;100.0;;;;10.43;0.38;0.38;89.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;326.0;;28.0;326.0;;28.0;91.0;;;;;;;;;;;;;;;;;;;;;;;8.57;100.0;;;;8.57;0.29;0.29;91.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;344.0;;35.0;344.0;;35.0;94.0;;;;;;;;;;;;;;;;;;;;;;;10.15;100.0;;;;10.15;0.36;0.36;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;338.0;;37.0;338.0;;37.0;96.0;;;;;;;;;;;;;;;;;;;;;;;10.85;100.0;;;;10.85;0.37;0.37;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;329.0;;28.0;329.0;;28.0;97.0;;;;;;;;;;;;;;;;;;;;;;;8.48;100.0;;;;8.48;0.28;0.28;97.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;367.0;;38.0;367.0;;38.0;96.0;;;;;;;;;;;;;;;;;;;;;;;10.35;100.0;;;;10.35;0.39;0.39;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;353.0;;35.0;353.0;;35.0;96.0;;;;;;;;;;;;;;;;;;;;;;;10.04;100.0;;;;10.04;0.36;0.36;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;440.0;;44.0;440.0;;44.0;96.0;;;;;;;;;;;;;;;;;;;;;;;10.08;100.0;;;;10.08;0.45;0.45;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;450.0;354.0;59.0;78.0;59.0;40.0;96.0;159.0;1005.0;147.0;661.0;344.0;98.0;-74.0;-59.0;-35.0;16.0;96.0;78.63;275.0;;;;;275.0;371.0;;;;13.03;17.39;-20.0;13.03;19.0;8.85;0.41;0.41;96.0;;37.0;;37.0;55.0;27.0;39.0;692.0;;;;;;154.0;846.0;;20.0;21.0;;;105.0;218.0;;125.0;83.0;426.0;940.0;;;63.0;168.0;-542.0;655.0;1005.0;;1005.0;;40.0;;2.0;;-11.0;;-7.0;;12.0;67.0;-82.0;;;;8.0;;;-0.0;-31.0;-28.0;;37.0;72.0;;;;;;;;;;;;;;;;;;;;;;;;;;
