;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;5.0;;8.0;;;3.0;9.0;;265.0;;194.0;71.0;0.0;-189.0;185.0;185.0;0.0;;;;;2.0;2.0;;;;0.0;5.0;0.0;169.57;;;;;63.04;0.32;0.32;9.0;;6.0;;6.0;2.0;;;;;;7.0;;;;;265.0;1.0;;;;;;;;;;194.0;;;;-4.0;;75.0;265.0;0.0;265.0;;3.0;0.0;;;-3.0;;;;;-0.0;;;-241.0;48.0;4.0;;;;-6.0;190.0;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;10.0;;28.0;;;8.0;9.0;;524.0;;457.0;68.0;10.0;-251.0;254.0;14.0;10.0;;;;;3.0;3.0;;;;0.0;19.0;1.0;266.99;;;;;73.79;0.84;0.84;9.0;;24.0;;24.0;3.0;;;;;;8.0;;;;;524.0;3.0;;;;;;;;;;457.0;;;0.0;-3.0;;70.0;524.0;;524.0;;8.0;1.0;;;;;;;;1.0;;;-356.0;113.0;-8.0;;;;-7.0;261.0;;20.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;10.0;;40.0;;;8.0;9.0;;522.0;;453.0;70.0;5.0;-9.0;-7.0;-11.0;5.0;;;;;2.0;2.0;;;;1.0;30.0;2.0;386.13;;;;;76.2;0.89;0.89;9.0;;9.0;;9.0;3.0;;;;;;7.0;;;;;522.0;2.0;;;;;;;;;;453.0;;;0.0;-0.0;;70.0;522.0;;522.0;;8.0;2.0;;;;;;;;-5.0;;;-121.0;113.0;-1.0;;;;-5.0;-2.0;;8.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;24.0;;44.0;;;4.0;15.0;;2069.0;;1865.0;204.0;22.0;-1446.0;1474.0;50.0;22.0;;;;;5.0;5.0;;;;1.0;35.0;6.0;184.05;;;;;15.68;0.25;0.25;15.0;;59.0;;59.0;12.0;;;;;;7.0;;;;;2069.0;11.0;;;;;;;;;;1865.0;;;0.0;-14.0;;217.0;2069.0;;2069.0;;4.0;6.0;-9.0;;;;;;;21.0;;;-1754.0;308.0;-0.0;;;;-11.0;1485.0;;59.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;62.0;;148.0;;;56.0;42.0;;3604.0;3217.0;3233.0;371.0;83.0;-1554.0;1476.0;6.0;83.0;;;;;3.0;3.0;;;;1.0;63.0;28.0;238.2;;;;;90.48;1.35;1.35;41.0;;64.0;;64.0;19.0;;;;;;7.0;3485.0;;;;3604.0;14.0;;;;3203.0;16.0;;;-0.0;16.0;;;;0.0;-12.0;;383.0;3604.0;;3604.0;;56.0;28.0;;;-3217.0;;;;-3217.0;3216.0;;;-2959.0;1405.0;0.0;;;;-48.0;1523.0;;64.0;59.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;66.0;;161.0;;;58.0;54.0;;4565.0;4064.0;4080.0;485.0;112.0;-967.0;931.0;76.0;112.0;;;;;4.0;4.0;;;;1.0;58.0;46.0;243.33;;;;;87.2;1.07;1.07;54.0;;140.0;;140.0;20.0;;;;;;7.0;4373.0;;;;4565.0;7.0;;;;4057.0;16.0;;;-0.0;16.0;;;;1.0;-16.0;;500.0;4565.0;;4565.0;;58.0;46.0;;;-847.0;;;;-4064.0;855.0;;;-3402.0;2433.0;2.0;;;;-60.0;991.0;;140.0;64.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;92.0;;218.0;;;78.0;76.0;68.0;76.0;6162.0;6185.0;729.0;128.0;-2476.0;2277.0;-71.0;128.0;;;;;6.0;6.0;;;;1.0;89.0;51.0;237.95;;;;;85.26;0.98;0.98;76.0;;68.0;;68.0;27.0;;-27.0;;;;7.0;6778.0;;-6778.0;7.0;;28.0;;;;6134.0;23.0;;;0.0;23.0;;;0.0;1.0;-17.0;;745.0;6914.0;-6838.0;76.0;;78.0;51.0;;;-2030.0;;;;-6094.0;2029.0;;;-4595.0;2119.0;0.0;;;;-77.0;2354.0;;68.0;140.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;41.0;;249.0;;;7.0;82.0;64.0;71.0;5163.0;5186.0;661.0;136.0;939.0;-1079.0;-4.0;136.0;;;11.0;;6.0;6.0;;5.0;;239.0;184.0;59.0;607.43;;;;;16.33;-0.02;-0.02;82.0;;64.0;;64.0;24.0;;-24.0;29.0;;;7.0;5715.0;;-5744.0;7.0;;54.0;;;;5109.0;23.0;;;0.0;23.0;;;0.0;1.0;-52.0;-58.0;771.0;5847.0;-5775.0;71.0;;7.0;59.0;;;995.0;;;;-5099.0;-924.0;;;-2308.0;3247.0;;;;;-56.0;-1023.0;;64.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;16.0;;222.0;;;9.0;60.0;47.0;54.0;5755.0;5765.0;679.0;16.0;-624.0;591.0;-17.0;16.0;;;11.0;;10.0;10.0;;1.0;;219.0;182.0;32.0;1353.84;;;;;53.33;0.01;0.01;60.0;;47.0;;47.0;33.0;;-33.0;12.0;;;7.0;6341.0;;-6352.0;7.0;;23.0;;;;5732.0;10.0;;;0.0;10.0;20.0;;0.0;1.0;-69.0;-30.0;776.0;6444.0;-6390.0;54.0;;9.0;32.0;;;-609.0;;;;-5708.0;585.0;;;-4128.0;3481.0;24.0;;;;-24.0;615.0;;47.0;64.0;;;0.27;0.15;0.27;0.41;;11.35;60.0;187.3;10.4;1.5;16.0;;32.0;9.0;;53.3;-5708.0;10.0;679.0;;3.0;1.3;-176.8;152.6
2007.0;43.0;;379.0;;;30.0;92.0;234.0;242.0;7670.0;7679.0;927.0;69.0;-1951.0;2069.0;187.0;68.0;;;14.0;;12.0;12.0;;2.0;;385.0;321.0;28.0;873.81;;;;;69.61;0.24;0.24;92.0;;234.0;;234.0;44.0;;-44.0;12.0;;;7.0;8301.0;;-8313.0;7.0;;20.0;;;;7650.0;9.0;;;-0.0;9.0;;;0.0;1.0;-89.0;-71.0;1086.0;8606.0;-8364.0;242.0;;30.0;28.0;;;-1728.0;;;;-7436.0;1739.0;-0.0;;-4492.0;2542.0;-0.0;-0.0;;;-38.0;2107.0;;234.0;47.0;;;0.47;0.33;0.75;0.41;0.0;10.09;92.0;93.0;5.4;1.3;43.0;;28.0;30.0;;69.6;-7436.0;9.0;927.0;;4.1;3.3;-24.9;55.1
