;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;737.0;360.0;164.0;98.0;88.0;114.0;11.0;8837.0;9222.0;8135.0;8372.0;850.0;-196.0;250.0;-59.0;-5.0;-223.0;377.0;48.82;262.0;;235.0;235.0;;27.0;639.0;323.0;10.0;27.0;22.18;13.3;-10.0;11.96;12.0;15.45;10.48;10.48;11.0;;64.0;;64.0;1867.0;36.0;6870.0;251.0;;33.0;33.0;6138.0;;-6036.0;385.0;;58.0;;;;8078.0;237.0;;;;237.0;;;;150.0;864.0;-90.0;;9222.0;0.0;9222.0;;114.0;27.0;;;-338.0;;;30.0;-124.0;1.0;-27.0;-105.0;-4889.0;5355.0;-84.0;-106.0;;-1.0;-32.0;80.0;;34.0;39.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;827.0;675.0;140.0;65.0;89.0;86.0;11.0;1699.0;8631.0;210.0;8066.0;565.0;447.0;-261.0;-111.0;-111.0;417.0;152.0;81.66;610.0;;127.0;;;483.0;761.0;;;30.0;16.92;7.88;24.0;10.77;24.0;10.45;7.92;7.92;11.0;;927.0;;927.0;772.0;;;88.0;;411.0;411.0;;32.0;6401.0;6932.0;;99.0;;;;111.0;150.0;;;7706.0;7856.0;;;;1.0;507.0;-5.0;63.0;8631.0;;8631.0;;86.0;30.0;6.0;;294.0;;;;76.0;30.0;-30.0;;-3098.0;2852.0;16.0;;2.0;-40.0;-17.0;-55.0;;;-75.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;971.0;501.0;187.0;154.0;146.0;113.0;11.0;8425.0;9075.0;131.0;8451.0;624.0;102.0;-63.0;-39.0;-39.0;55.0;470.0;51.56;347.0;;314.0;314.0;;32.0;817.0;368.0;8.0;32.0;19.27;15.85;-8.0;15.07;34.0;11.63;10.64;10.48;11.0;;;;;1326.0;;7100.0;106.0;404.0;13.0;418.0;;37.0;89.0;650.0;;131.0;;;;;150.0;;;8170.0;8320.0;;;;1.0;613.0;12.0;-2.0;9075.0;;9075.0;;113.0;32.0;;;-59.0;;;23.0;484.0;16.0;-47.0;-9.0;-1843.0;1837.0;-1.0;;;-50.0;-6.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1160.0;596.0;224.0;185.0;177.0;124.0;11.0;8569.0;9276.0;140.0;8607.0;669.0;-370.0;428.0;-58.0;-58.0;-451.0;564.0;51.39;411.0;;372.0;372.0;;39.0;975.0;395.0;8.0;39.0;19.29;15.93;-8.0;15.24;53.0;10.7;11.76;11.6;11.0;;;;;1759.0;;6810.0;149.0;421.0;15.0;437.0;;12.0;110.0;707.0;;140.0;;;;;150.0;;;8317.0;8467.0;;;;1.0;723.0;-6.0;-49.0;9276.0;;9276.0;;124.0;39.0;;;-572.0;;;-25.0;-212.0;39.0;-81.0;-7.0;-707.0;1223.0;;;;-68.0;-14.0;25.0;;;;;;110.05;11.77;-42.81;1.37;7.69;63.5;11.0;21.0;1.2;0.6;1160.0;15.9;39.0;124.0;29.8;10.7;8429.0;150.0;669.0;1.4;2.0;18.5;88.4;-18.2
2007.0;158.0;-506.0;-930.0;-993.0;-993.0;-1072.0;10.0;7211.0;7935.0;189.0;8424.0;-489.0;-356.0;216.0;140.0;140.0;-426.0;664.0;-321.43;476.0;;424.0;424.0;;52.0;1140.0;;11.0;52.0;-590.64;-630.5;;-630.5;78.0;-680.47;-103.52;-103.52;10.0;;;;;1408.0;;5802.0;171.0;439.0;18.0;456.0;;;97.0;724.0;;189.0;;;;;345.0;;11.0;7878.0;8235.0;;;;1.0;-387.0;-22.0;-80.0;7935.0;;7935.0;;-1072.0;52.0;;14.0;-572.0;;;8.0;-922.0;1222.0;-70.0;-29.0;-759.0;1078.0;-3.0;;;-46.0;-17.0;203.0;;;;;;15.22;-103.55;-41.18;1.61;6.81;-47.19;10.0;-1.9;-0.1;0.8;158.0;-630.5;52.0;-1072.0;-7.9;-680.5;7022.0;345.0;-489.0;-13.7;-12.4;219.4;101.6;
2008.0;927.0;323.0;-185.0;-337.0;-337.0;-261.0;10.0;5803.0;6642.0;122.0;7424.0;-782.0;-4640.0;3348.0;1292.0;1292.0;-4678.0;605.0;34.79;547.0;;490.0;490.0;;57.0;1152.0;;95.0;57.0;-20.01;-36.37;;-36.37;-76.0;-28.19;-33.52;-33.52;10.0;;;;;1265.0;;4538.0;156.0;434.0;15.0;449.0;;;235.0;840.0;;122.0;;;;;979.0;;12.0;6311.0;7302.0;;;742.0;1.0;-649.0;-43.0;-833.0;6642.0;;6642.0;;-261.0;57.0;;13.0;-4887.0;;;-96.0;-4920.0;439.0;-38.0;-3.0;;3389.0;;-102.0;;;;1394.0;;;;;;89.95;-25.36;-453.89;;3.73;-75.85;10.0;-0.8;-0.0;;927.0;-36.4;57.0;-261.0;22.5;-28.2;5681.0;979.0;-782.0;-2.9;-3.6;33.4;100.0;
2009.0;1172.0;673.0;143.0;86.0;-22.0;-2.0;10.0;5157.0;5930.0;189.0;6813.0;-883.0;83.0;104.0;-187.0;-187.0;45.0;498.0;57.47;588.0;;531.0;531.0;;57.0;1086.0;;108.0;57.0;12.18;7.3;-108.0;-1.9;-20.0;-0.16;-9.92;-9.92;10.0;;;27.0;;1054.0;;4102.0;128.0;426.0;8.0;433.0;299.0;16.0;-103.0;773.0;;189.0;;;;;797.0;;;5827.0;6624.0;;;;1.0;-695.0;-36.0;-153.0;5930.0;;5930.0;;-2.0;57.0;;10.0;-52.0;;;-6.0;-233.0;70.0;-38.0;1.0;;141.0;;-187.0;;;;;;;;;;113.64;-0.18;4.32;;3.68;-85.63;10.0;-88.5;-1.2;;1172.0;7.3;57.0;-2.0;91.5;-0.2;4968.0;797.0;-883.0;0.1;1.4;0.2;100.0;
2010.0;1167.0;665.0;209.0;158.0;58.0;44.0;10.0;4415.0;5116.0;114.0;6058.0;-942.0;61.0;102.0;-163.0;-163.0;21.0;501.0;57.01;507.0;;459.0;459.0;;48.0;1008.0;;102.0;48.0;17.88;13.58;-100.0;5.0;15.0;3.75;-8.8;-8.8;10.0;;;;;982.0;;3433.0;115.0;429.0;;429.0;161.0;;-4.0;701.0;;114.0;;;;;640.0;;;5305.0;5945.0;;;;1.0;-772.0;-32.0;-140.0;5116.0;;5116.0;;44.0;48.0;;35.0;-105.0;;;-33.0;-164.0;39.0;-40.0;-0.0;-707.0;842.0;8.0;;;;;-163.0;;;;;;112.2;4.21;1.98;;3.87;-90.64;10.0;5.2;0.3;;1167.0;13.6;48.0;44.0;25.0;3.8;4301.0;640.0;-942.0;2.4;3.1;-4.6;100.0;
2011.0;1248.0;700.0;172.0;143.0;40.0;59.0;49.0;4417.0;5176.0;149.0;5286.0;-110.0;188.0;-70.0;-118.0;-118.0;144.0;548.0;56.08;557.0;;511.0;511.0;;46.0;1105.0;;86.0;46.0;13.78;11.42;-103.0;3.19;-20.0;4.76;-9.03;-9.03;49.0;;;625.0;;1220.0;;3197.0;116.0;429.0;;429.0;;;214.0;759.0;;149.0;;;;;811.0;;;4326.0;5137.0;;;282.0;1.0;-1217.0;-38.0;862.0;5176.0;;5176.0;;59.0;46.0;;26.0;105.0;;;33.0;317.0;-48.0;-44.0;3.0;-540.0;512.0;;-17.0;;;-20.0;-80.0;;;;;;25.69;1.22;2.96;0.42;0.91;-2.27;49.0;19.0;1.2;1.8;1248.0;11.4;46.0;59.0;-49.4;4.8;4268.0;811.0;-110.0;3.7;2.4;-53.9;65.5;14.2
