;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;37.0;24.0;-10.0;-15.0;-15.0;-15.0;26.0;59.0;71.0;50.0;55.0;16.0;2.0;-8.0;1.0;-5.0;-5.0;13.0;65.21;39.0;12.0;27.0;9.0;18.0;;52.0;-0.0;;6.0;-26.27;-40.49;-0.0;-41.21;0.0;-41.58;-0.76;-0.76;26.0;;16.0;;16.0;41.0;;3.0;7.0;0.0;5.0;5.0;;;0.0;12.0;;43.0;1.0;;;6.0;4.0;;;1.0;5.0;;;53.0;;-50.0;-5.0;71.0;71.0;;71.0;;-15.0;6.0;-0.0;2.0;10.0;-8.0;;;9.0;0.0;-7.0;-1.0;;;-3.0;-1.0;;;;2.0;0.0;16.0;21.0;;;1.43;-0.59;-0.18;;0.26;0.61;26.0;;;;37.0;-40.5;6.0;-15.0;-0.9;-41.6;9.0;4.0;16.0;-73.4;-21.5;-97.5;100.0;
2012.0;57.0;45.0;5.0;-1.0;-2.0;-2.0;51.0;91.0;108.0;84.0;90.0;18.0;16.0;-9.0;-1.0;5.0;9.0;12.0;78.33;46.0;13.0;33.0;12.0;20.0;;58.0;-0.0;;7.0;8.11;-2.1;-1.0;-3.9;0.0;-4.14;-0.04;-0.04;51.0;;22.0;;22.0;67.0;;2.0;7.0;1.0;7.0;9.0;;;1.0;17.0;;75.0;1.0;;;8.0;4.0;;;1.0;6.0;;;53.0;;-53.0;-8.0;79.0;108.0;;108.0;;-2.0;7.0;-0.0;3.0;-2.0;-26.0;;;7.0;10.0;-7.0;-2.0;;;-4.0;-2.0;;;;0.0;0.0;22.0;16.0;;;1.12;-0.05;0.17;;0.13;0.35;51.0;;;;57.0;-2.1;7.0;-2.0;-6.0;-4.1;7.0;4.0;18.0;-10.0;-2.1;-13.1;100.0;
2013.0;84.0;68.0;-1.0;-4.0;-9.0;-9.0;26.0;129.0;150.0;123.0;128.0;22.0;21.0;-12.0;-1.0;8.0;10.0;15.0;81.68;72.0;19.0;54.0;28.0;26.0;;88.0;-0.0;;8.0;-0.67;-4.63;-5.0;-10.74;0.0;-11.03;-0.2;-0.2;26.0;;30.0;;30.0;95.0;;4.0;9.0;1.0;8.0;9.0;;;3.0;21.0;;111.0;0.0;;;12.0;4.0;;;1.0;5.0;;;;0.0;-62.0;-11.0;95.0;150.0;;150.0;;-9.0;8.0;;6.0;-2.0;-27.0;;;5.0;17.0;-11.0;;;;-5.0;-1.0;;;;0.0;-0.0;30.0;22.0;;;3.24;-0.36;0.4;;0.41;0.83;26.0;;;;84.0;-4.6;8.0;-9.0;-2.7;-11.0;5.0;4.0;22.0;-34.9;-6.0;-42.8;100.0;
2014.0;125.0;105.0;-6.0;-19.0;-19.0;-19.0;28.0;238.0;296.0;154.0;168.0;129.0;7.0;-23.0;84.0;67.0;-13.0;21.0;83.44;123.0;23.0;101.0;57.0;43.0;;144.0;-0.0;;13.0;-4.78;-14.99;0.0;-14.77;0.0;-14.9;-0.7;-0.7;28.0;;97.0;;97.0;133.0;;8.0;15.0;16.0;26.0;42.0;;;1.0;59.0;;144.0;0.0;;;11.0;;;;13.0;13.0;;0.0;;;-81.0;-16.0;225.0;296.0;;296.0;;-19.0;13.0;-0.0;24.0;78.0;-38.0;;;84.0;-89.0;-19.0;-4.0;;;-8.0;-4.0;90.0;;;-2.0;-0.0;97.0;30.0;;;4.44;-0.66;-0.46;;0.69;4.56;28.0;-19.8;-1.1;;125.0;-15.0;13.0;-19.0;-0.9;-14.9;84.0;;129.0;-13.1;-6.2;-14.5;100.0;
2015.0;248.0;190.0;27.0;-6.0;-4.0;0.0;44.0;366.0;537.0;250.0;259.0;278.0;77.0;-73.0;15.0;19.0;48.0;58.0;76.46;196.0;42.0;154.0;70.0;83.0;;254.0;0.0;;31.0;10.81;-2.25;1.0;-1.67;-5.0;0.17;0.01;0.01;40.0;;116.0;23.0;140.0;218.0;;8.0;25.0;66.0;65.0;130.0;13.0;;2.0;171.0;;236.0;;;;14.0;;;6.0;2.0;8.0;;;;;-80.0;-22.0;381.0;537.0;;537.0;;0.0;31.0;-5.0;31.0;32.0;-72.0;;;116.0;-12.0;-28.0;-9.0;-49.0;12.0;-7.0;-0.0;2.0;;;14.0;-0.0;116.0;97.0;;;6.26;0.01;1.22;;0.72;7.01;40.0;1533.9;76.6;;248.0;-2.3;31.0;0.0;110.2;0.2;116.0;;278.0;0.1;-0.8;0.2;100.0;-4.2
2016.0;278.0;205.0;20.0;-25.0;-23.0;-18.0;47.0;392.0;520.0;218.0;220.0;300.0;60.0;-37.0;10.0;33.0;27.0;73.0;73.67;203.0;51.0;152.0;69.0;83.0;;276.0;0.0;;43.0;7.13;-8.95;2.0;-8.24;-5.0;-6.49;-0.39;-0.39;47.0;;149.0;41.0;190.0;192.0;;10.0;36.0;66.0;23.0;89.0;;;3.0;128.0;;205.0;;;;13.0;;;0.0;2.0;2.0;;;;;-99.0;-33.0;432.0;520.0;;520.0;;-18.0;43.0;-7.0;29.0;58.0;26.0;;;173.0;-44.0;-33.0;;-41.0;37.0;-10.0;;;;;10.0;-0.0;149.0;116.0;;;5.96;-0.39;0.57;;0.72;6.42;47.0;-33.0;-1.5;;278.0;-8.9;43.0;-18.0;21.2;-6.5;173.0;;300.0;-6.0;-4.4;-6.0;100.0;
2017.0;156.0;99.0;-120.0;-157.0;-157.0;-155.0;49.0;305.0;384.0;217.0;219.0;165.0;22.0;-93.0;-1.0;-73.0;-19.0;57.0;63.46;155.0;48.0;107.0;56.0;52.0;;212.0;1.0;;36.0;-77.35;-100.92;0.0;-100.64;-2.0;-99.51;-3.17;-3.17;49.0;;77.0;53.0;129.0;166.0;;10.0;47.0;;26.0;26.0;;;5.0;79.0;;207.0;;;;10.0;;;;2.0;2.0;;;;;-254.0;-51.0;469.0;384.0;;384.0;;-155.0;36.0;-2.0;21.0;-86.0;26.0;;;87.0;207.0;-40.0;-39.0;-95.0;81.0;-8.0;;1.0;;;-2.0;0.0;77.0;149.0;;;3.18;-3.17;-0.39;;0.83;3.37;49.0;-1.6;-0.1;;156.0;-100.9;36.0;-155.0;1.1;-99.5;87.0;;165.0;-93.0;-40.8;-94.0;100.0;
2018.0;125.0;65.0;-26.0;-64.0;-61.0;-62.0;50.0;301.0;360.0;241.0;242.0;118.0;-23.0;28.0;-1.0;4.0;-43.0;60.0;51.88;125.0;38.0;87.0;42.0;45.0;;185.0;1.0;;35.0;-20.95;-51.01;2.0;-49.3;0.0;-49.58;-1.23;-1.23;50.0;;80.0;8.0;88.0;206.0;;7.0;33.0;;25.0;25.0;;;1.0;59.0;;234.0;;;;7.0;;;;1.0;1.0;;;;0.0;-316.0;-71.0;505.0;360.0;;360.0;;-62.0;35.0;-0.0;16.0;-28.0;-41.0;;;60.0;15.0;-20.0;;-24.0;72.0;-9.0;;;;;-1.0;-0.0;80.0;77.0;;;2.48;-1.23;-0.85;;0.4;2.35;50.0;-2.4;-0.1;;125.0;-51.0;35.0;-62.0;-0.6;-49.6;60.0;;118.0;-51.9;-17.1;-52.4;100.0;
2019.0;156.0;99.0;5.0;-28.0;-27.0;-25.0;53.0;313.0;395.0;267.0;283.0;112.0;32.0;-23.0;-0.0;8.0;12.0;57.0;63.31;127.0;40.0;86.0;42.0;45.0;;184.0;1.0;;32.0;3.28;-17.63;1.0;-17.26;-2.0;-16.29;-0.48;-0.48;53.0;;89.0;;89.0;218.0;;7.0;45.0;7.0;27.0;35.0;;;2.0;82.0;;253.0;;;;15.0;15.0;;;0.0;16.0;;23.0;;0.0;-341.0;-87.0;540.0;395.0;;395.0;;-25.0;32.0;-1.0;19.0;-14.0;-11.0;;;46.0;21.0;-20.0;-11.0;;8.0;-8.0;;;;;-0.0;0.0;89.0;80.0;;;2.97;-0.48;0.23;;0.38;2.13;53.0;-14.7;-0.6;;156.0;-17.6;32.0;-25.0;5.6;-16.3;46.0;15.0;112.0;-20.0;-6.8;-22.8;100.0;
2020.0;222.0;144.0;-3.0;-54.0;-53.0;-53.0;97.0;607.0;939.0;522.0;557.0;382.0;-12.0;33.0;7.0;29.0;-34.0;78.0;64.92;181.0;52.0;129.0;53.0;76.0;;258.0;;;49.0;-1.58;-24.47;1.0;-23.8;1.0;-24.11;-0.55;-0.55;97.0;;118.0;;118.0;472.0;;18.0;63.0;158.0;106.0;264.0;;;4.0;332.0;;497.0;10.0;;;16.0;32.0;;0.0;3.0;35.0;;42.0;;0.0;-395.0;-1.0;777.0;939.0;;939.0;;-53.0;49.0;1.0;28.0;39.0;-104.0;;;85.0;-76.0;-22.0;55.0;;;-8.0;;;;;7.0;1.0;118.0;89.0;;;2.29;-0.55;-0.35;;0.23;3.95;97.0;-17.6;-0.5;;222.0;-24.5;49.0;-53.0;-1.3;-24.1;85.0;32.0;382.0;-12.8;-5.6;-14.0;100.0;
2021.0;468.0;267.0;52.0;-81.0;-95.0;0.0;136.0;1178.0;2713.0;1029.0;1832.0;881.0;127.0;-691.0;678.0;113.0;97.0;202.0;56.95;310.0;74.0;235.0;65.0;170.0;;511.0;;;147.0;11.08;-17.31;-14.0;-20.28;-95.0;0.01;0.0;0.0;126.0;;230.0;;230.0;928.0;;20.0;111.0;970.0;447.0;1417.0;;;7.0;1534.0;;983.0;23.0;;;24.0;787.0;;13.0;3.0;802.0;;86.0;;0.0;-394.0;-1.0;1277.0;2713.0;;2713.0;;0.0;147.0;-99.0;41.0;32.0;-254.0;;;;6.0;-29.0;-662.0;;;-11.0;-2.0;;-6.0;;687.0;-1.0;231.0;118.0;;;3.71;0.0;0.77;;0.23;6.97;126.0;63166.4;2104.1;;468.0;-17.3;147.0;0.0;100.1;0.0;149.0;787.0;881.0;0.0;-3.5;0.0;100.0;6.2
