;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;23.0;;2.0;;;1.0;4.0;;;;;;;;;;;;;;;;;;;;;;;8.41;;;;1.0;3.98;0.22;0.22;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;35.0;;7.0;;;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;20.62;;;;3.0;13.28;1.27;1.27;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;41.0;;9.0;;;6.0;4.0;;;;;;;;;;;;;;;;;;;0.0;;0.0;;21.87;;;;3.0;14.74;1.37;1.37;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;70.0;;16.0;;;11.0;5.0;;;;;;;;;;;;;;;;;;;2.0;;2.0;;22.59;;;;2.0;15.68;2.29;2.29;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;98.0;;24.0;;;14.0;5.0;;;;;;17.0;-18.0;4.0;4.0;13.0;;;;;41.0;37.0;3.0;;56.0;;3.0;4.0;24.95;;74.0;;3.0;14.11;2.62;2.62;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;4.0;0.0;;7.0;-1.0;;-1.0;;-9.0;-3.0;;-178.0;164.0;;-21.0;-0.0;;-0.0;26.0;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;77.0;;17.0;;;6.0;5.0;;;;;;27.0;-26.0;38.0;38.0;16.0;;;;;19.0;19.0;;;31.0;;4.0;5.0;21.56;;44.0;;2.0;7.4;1.05;1.05;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;5.0;-0.0;;;-0.0;;-0.0;;17.0;-11.0;;-212.0;210.0;-14.0;-15.0;-5.0;;;57.0;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;225.0;;30.0;;;14.0;5.0;;;;;;22.0;-33.0;-20.0;-20.0;17.0;;;;;;;;;42.0;;;13.0;13.47;;73.0;;3.0;6.4;2.7;2.7;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;13.0;2.0;;;-2.0;;-2.0;;-7.0;-5.0;;-1220.0;1204.0;-12.0;-22.0;0.0;;-0.0;2.0;;;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;229.0;;57.0;;;26.0;6.0;;;;;;30.0;-33.0;6.0;6.0;27.0;;;;;22.0;22.0;;;73.0;;5.0;12.0;24.97;;76.0;;14.0;11.17;4.64;4.64;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;12.0;0.0;;;47.0;;47.0;;-8.0;-3.0;;-1289.0;1238.0;21.0;-27.0;0.0;;-0.0;32.0;;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;235.0;;51.0;;;24.0;6.0;;;;;;92.0;-80.0;-23.0;-23.0;87.0;;;;;;;;;73.0;;6.0;13.0;21.58;;42.0;;9.0;10.05;4.23;4.23;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.0;13.0;-1.0;;;8.0;;8.0;;57.0;-5.0;;-585.0;471.0;39.0;-107.0;;;;84.0;;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;280.0;;49.0;;;19.0;6.0;;;;;;61.0;-63.0;;;54.0;;;;;;;;;88.0;;8.0;15.0;17.45;;37.0;;7.0;6.65;3.33;3.33;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.0;15.0;4.0;;;36.0;;36.0;;23.0;-7.0;;-418.0;360.0;1.0;-27.0;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;344.0;;68.0;;;35.0;6.0;;;;;;169.0;-167.0;6.0;8.0;165.0;;;;;;;;;9.0;;9.0;11.0;19.64;;59.0;;13.0;10.04;6.38;6.15;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.0;11.0;1.0;;;12.0;;12.0;;122.0;-5.0;;-793.0;654.0;-24.0;-22.0;;;;28.0;;18.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;367.0;;56.0;;;47.0;6.0;;;;;;94.0;-108.0;6.0;-7.0;90.0;;;;;;;;;8.0;;8.0;11.0;15.24;;59.0;;-10.0;12.74;8.58;8.3;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;11.0;-15.0;;;1.0;;1.0;;52.0;-4.0;;-591.0;522.0;-35.0;-33.0;;;;39.0;;11.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;419.0;;94.0;;;50.0;6.0;;;;;;69.0;-201.0;123.0;-10.0;64.0;;;;;;;;;20.0;;20.0;7.0;22.36;;86.0;;16.0;12.03;9.2;8.92;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;7.0;-1.0;;;-6.0;;-6.0;;12.0;-5.0;;-904.0;692.0;16.0;-22.0;;;;144.0;;1.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
