;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;0.0;;-25.0;-25.0;-25.0;-25.0;1.0;;43.0;;11.0;32.0;;;;;;;;25.0;21.0;5.0;;;;25.0;;;;-16012.34;-16390.91;1.0;-16012.34;0.0;-16013.64;-19.75;-19.75;1.0;;;;;;;;;;;;;;;;43.0;;;;;;;;;;;11.0;;;;-47.0;;78.0;43.0;;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;0.0;;-48.0;-50.0;-48.0;-48.0;2.0;;;;;;;;;;;;;;20.0;;;;;20.0;;;;-14798.47;-15273.62;2.0;-14798.47;0.0;-14799.08;-23.0;-23.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;-51.0;-207.0;-206.0;-206.0;3.0;32.0;105.0;8.0;14.0;91.0;-49.0;-45.0;60.0;-34.0;-83.0;;;56.0;43.0;13.0;;;;207.0;;;5.0;-inf;-inf;1.0;-inf;0.0;-inf;-77.15;-77.15;3.0;;20.0;11.0;31.0;;;1.0;73.0;;;;;;0.0;73.0;;4.0;;;;4.0;;;;6.0;6.0;;;15.0;0.0;-301.0;-8.0;385.0;105.0;;105.0;;-206.0;5.0;;;1.0;;;;24.0;152.0;-34.0;;-71.0;60.0;;;59.0;;;1.0;;20.0;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;-59.0;-66.0;-66.0;-66.0;4.0;58.0;126.0;9.0;14.0;112.0;-53.0;4.0;83.0;34.0;-58.0;;;66.0;46.0;21.0;;;;66.0;;;8.0;-inf;-inf;0.0;-inf;0.0;-inf;-18.15;-18.15;4.0;;54.0;2.0;56.0;;;2.0;67.0;;;;;;1.0;68.0;;2.0;;;1.0;5.0;;;;6.0;6.0;;;47.0;0.0;-367.0;-13.0;444.0;126.0;;126.0;;-66.0;8.0;;;25.0;;;;49.0;-19.0;-5.0;;-50.0;59.0;0.0;;51.0;-1.0;;33.0;;54.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-70.0;-77.0;-76.0;-76.0;5.0;96.0;163.0;13.0;13.0;150.0;-60.0;-10.0;101.0;32.0;-67.0;;;77.0;59.0;18.0;18.0;;;77.0;;;7.0;-inf;-inf;1.0;-inf;0.0;-inf;-19.0;-19.0;5.0;;79.0;12.0;91.0;2.0;;4.0;67.0;;;;;;1.0;68.0;;3.0;;;;10.0;;;;0.0;0.0;;;;0.0;-443.0;-19.0;612.0;163.0;;163.0;;-76.0;7.0;;;34.0;;;;83.0;-25.0;-7.0;;-16.0;14.0;;;85.0;;;17.0;;79.0;47.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-111.0;-118.0;-114.0;-114.0;8.0;150.0;228.0;21.0;21.0;207.0;-101.0;-94.0;173.0;-23.0;-118.0;;;118.0;95.0;23.0;23.0;;;118.0;;;7.0;-inf;-inf;4.0;-inf;0.0;-inf;-14.35;-14.35;8.0;;56.0;90.0;146.0;1.0;;3.0;76.0;;;;;;2.0;78.0;;4.0;;;;18.0;;;;0.0;0.0;;;;1.0;-557.0;-25.0;789.0;228.0;;228.0;;-114.0;7.0;;;46.0;;;;129.0;-40.0;-17.0;;-258.0;180.0;1.0;;173.0;;;;;56.0;79.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;0.0;;-222.0;-234.0;-231.0;-231.0;10.0;450.0;540.0;45.0;156.0;383.0;-190.0;-48.0;502.0;264.0;-211.0;;;234.0;192.0;42.0;42.0;;;234.0;;;9.0;-222026.0;-233697.0;3.0;-230543.0;0.0;-230548.0;-22.6;-22.6;10.0;;320.0;117.0;436.0;2.0;;11.0;88.0;;;;;;2.0;90.0;;11.0;;;;34.0;111.0;;;0.0;111.0;;;;1.0;-788.0;-33.0;1204.0;540.0;;540.0;;-231.0;9.0;;;276.0;;;;405.0;-244.0;-21.0;;-154.0;127.0;0.0;;391.0;;;111.0;;320.0;56.0;;;0.01;-22.62;-20.66;;2.04;37.62;10.0;-4.0;-0.2;;0.0;-233697.0;9.0;-231.0;-0.0;-230548.0;405.0;111.0;383.0;-46.6;-42.7;-60.1;100.0;
2007.0;0.0;;-284.0;-307.0;-293.0;-293.0;16.0;379.0;543.0;68.0;179.0;364.0;-245.0;39.0;255.0;49.0;-323.0;;;307.0;257.0;51.0;51.0;;;307.0;;;9.0;-2842140.0;-3073570.0;14.0;-2931870.0;0.0;-2931900.0;-18.3;-18.3;16.0;;368.0;;368.0;1.0;;10.0;163.0;;;;;;2.0;165.0;;35.0;;;;32.0;112.0;;;0.0;112.0;;;;1.0;-1081.0;-41.0;1485.0;543.0;;543.0;;-293.0;9.0;;;-93.0;;;;311.0;133.0;-78.0;;-170.0;287.0;;;256.0;;;-1.0;;368.0;320.0;;;0.0;-18.32;-20.2;;4.89;22.75;16.0;-3.4;-0.2;;0.0;-3073570.0;9.0;-293.0;-0.0;-2931900.0;311.0;112.0;364.0;-61.6;-53.9;-80.5;100.0;
2008.0;0.0;0.0;-288.0;-306.0;-303.0;-303.0;20.0;54.0;282.0;53.0;196.0;87.0;-271.0;-100.0;31.0;-341.0;-354.0;;100.0;306.0;250.0;55.0;55.0;;;306.0;5.0;2.0;12.0;-1442055.0;-1528825.0;3.0;-1515185.0;0.0;-1515195.0;-14.9;-14.9;20.0;;28.0;19.0;46.0;2.0;;6.0;226.0;;;;;;2.0;228.0;;16.0;;;;38.0;142.0;;;;142.0;;;;1.0;-1384.0;-51.0;1521.0;282.0;;282.0;;-303.0;12.0;;25.0;-311.0;;;-15.0;1.0;305.0;-82.0;;-64.0;46.0;0.0;;1.0;;;30.0;;28.0;368.0;;;0.0;-14.92;-17.42;;4.06;4.27;20.0;-1.4;-0.1;;0.0;-1528825.0;12.0;-303.0;-0.0;-1515195.0;1.0;142.0;87.0;-131.3;-106.5;-349.4;100.0;
2009.0;;;-191.0;-210.0;-220.0;-220.0;21.0;38.0;247.0;29.0;307.0;-59.0;-184.0;-3.0;190.0;2.0;-203.0;;;210.0;156.0;53.0;53.0;;;210.0;0.0;10.0;19.0;-inf;-inf;-10.0;-inf;;-inf;-10.35;-10.35;21.0;;30.0;2.0;32.0;2.0;;4.0;208.0;;;;;;2.0;210.0;;7.0;;;;22.0;278.0;;;;278.0;;;;1.0;-1604.0;-66.0;1610.0;247.0;;247.0;;-220.0;19.0;;20.0;8.0;;;-6.0;9.0;-11.0;-19.0;;-2.0;18.0;;;62.0;;;128.0;;30.0;28.0;;;;-10.33;-9.52;;0.88;-2.78;21.0;-3.0;-0.0;;;-inf;19.0;-220.0;;-inf;9.0;278.0;-59.0;-96.0;-84.8;371.7;100.0;
