;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1990.0;14616.0;2107.0;1805.0;1081.0;779.0;508.0;509.0;;;;;;1202.0;-473.0;-1029.0;-1029.0;202.0;12509.0;14.42;1026.0;;;;;1026.0;13535.0;;;1026.0;12.35;7.4;-302.0;5.33;271.0;3.48;0.97;0.97;509.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;508.0;1026.0;;;;;;;;-332.0;-1000.0;;;;527.0;;;-256.0;-315.0;-458.0;3.0;;490.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;13975.0;3765.0;940.0;382.0;65.0;-71.0;503.0;;;;;;1014.0;-903.0;-103.0;-103.0;54.0;10210.0;26.94;3383.0;;623.0;;;2760.0;13593.0;;;875.0;6.73;2.73;-317.0;0.47;136.0;-0.51;-0.15;-0.15;503.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-71.0;875.0;2.0;;;;-158.0;;;208.0;-960.0;;;;57.0;;113.0;-49.0;-327.0;160.0;-1.0;;193.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;12782.0;3254.0;663.0;342.0;201.0;-222.0;570.0;;;;;;995.0;-985.0;-171.0;-171.0;-198.0;9528.0;25.46;2912.0;;343.0;;;2569.0;12440.0;;;793.0;5.19;2.68;-141.0;1.57;92.0;-1.74;-0.4;-0.4;570.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-222.0;793.0;2.0;;;;8.0;;;422.0;-1193.0;;;;208.0;;596.0;-1.0;-340.0;-426.0;-4.0;;200.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;11962.0;3608.0;649.0;410.0;-55.0;-29.0;583.0;;;;;;827.0;-736.0;60.0;60.0;-83.0;8354.0;30.16;3198.0;;325.0;;;2873.0;11552.0;;;727.0;5.43;3.43;-465.0;-0.46;-49.0;-0.24;-0.06;-0.06;583.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29.0;727.0;-116.0;;;;44.0;;;245.0;-910.0;;;;174.0;;1.0;-1.0;-201.0;261.0;-1.0;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;10215.0;1653.0;1197.0;424.0;476.0;321.0;750.0;1737.0;10951.0;1712.0;7710.0;3241.0;719.0;-480.0;-397.0;-157.0;-34.0;8562.0;16.18;1229.0;;313.0;313.0;;916.0;9791.0;;;721.0;11.72;4.15;52.0;4.66;155.0;3.14;0.64;0.63;743.0;;28.0;;28.0;438.0;1137.0;134.0;8364.0;;;;;;850.0;9214.0;;1129.0;56.0;;;527.0;3983.0;;1270.0;745.0;5998.0;;;;;;-7797.0;11038.0;10951.0;;10951.0;;321.0;721.0;116.0;;25.0;;3.0;;25.0;-464.0;-753.0;;;;273.0;;176.0;;-201.0;-372.0;1.0;28.0;185.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;11163.0;2003.0;622.0;35.0;-190.0;-88.0;772.0;1888.0;10109.0;2025.0;7237.0;2872.0;1044.0;-511.0;-484.0;49.0;402.0;9160.0;17.94;1309.0;;297.0;297.0;;1012.0;10469.0;;;817.0;5.57;0.31;-225.0;-1.7;-107.0;-0.79;0.24;0.24;752.0;;77.0;;77.0;552.0;1152.0;107.0;7521.0;;;;;;700.0;8221.0;;1210.0;384.0;;;431.0;3367.0;;1072.0;773.0;5212.0;;;;;;-8890.0;11762.0;10109.0;;10109.0;;-88.0;817.0;-88.0;;-162.0;;-27.0;;-137.0;565.0;-642.0;;;;131.0;;;-79.0;-199.0;-206.0;;77.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;13564.0;2240.0;1677.0;1025.0;991.0;664.0;784.0;2046.0;10151.0;2142.0;6811.0;3340.0;1503.0;-580.0;-969.0;-45.0;752.0;11324.0;16.51;1215.0;;319.0;319.0;;896.0;12539.0;;;693.0;12.36;7.56;-34.0;7.31;320.0;4.9;1.21;1.18;762.0;;32.0;;32.0;613.0;1282.0;119.0;7298.0;;;;;;807.0;8105.0;;1385.0;323.0;;;434.0;2642.0;;1178.0;849.0;4669.0;;;;;;-9031.0;12371.0;10151.0;;10151.0;;664.0;693.0;104.0;;41.0;;72.0;;-96.0;1.0;-751.0;;;;171.0;;2.0;;-201.0;-770.0;1.0;32.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;12932.0;2351.0;1336.0;1130.0;672.0;456.0;788.0;2018.0;10565.0;2262.0;6947.0;3618.0;1246.0;-1113.0;-127.0;4.0;208.0;10581.0;18.18;1221.0;;355.0;355.0;;866.0;11802.0;;;664.0;10.33;8.74;-458.0;5.2;216.0;3.53;1.32;1.25;747.0;;36.0;;36.0;856.0;980.0;146.0;7566.0;;;;;;981.0;8547.0;;1348.0;525.0;;;389.0;2476.0;;1318.0;891.0;4685.0;;;;;;-9667.0;13285.0;10565.0;;10565.0;;456.0;664.0;30.0;;-148.0;;18.0;;-244.0;244.0;-1038.0;;;;-75.0;;34.0;;-219.0;58.0;-2.0;36.0;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;18145.0;2507.0;1393.0;1101.0;452.0;310.0;777.0;2976.0;14544.0;2610.0;8642.0;4312.0;1431.0;-2004.0;673.0;101.0;-525.0;15638.0;13.82;1651.0;;505.0;505.0;;1146.0;17289.0;;;941.0;7.68;6.07;-649.0;2.49;142.0;1.71;0.86;0.85;761.0;;137.0;;137.0;1277.0;1310.0;252.0;10429.0;;;;;;1139.0;11568.0;;1980.0;191.0;;;439.0;3456.0;;1450.0;1126.0;6032.0;;;;;;-10299.0;14611.0;12954.0;1590.0;14544.0;;310.0;941.0;26.0;;610.0;;-13.0;;366.0;-456.0;-1956.0;;;;-48.0;;613.0;;-246.0;306.0;1.0;137.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;20239.0;2728.0;1928.0;1047.0;978.0;654.0;797.0;4102.0;15705.0;3149.0;9152.0;4800.0;2016.0;-1174.0;-867.0;-26.0;638.0;17511.0;13.48;1681.0;;486.0;486.0;;1195.0;19192.0;;;950.0;9.53;5.17;-69.0;4.83;324.0;3.23;0.86;0.86;796.0;;111.0;;111.0;1866.0;1884.0;241.0;10293.0;;;;;;1310.0;11603.0;;2659.0;48.0;;;442.0;3320.0;;1495.0;1188.0;6003.0;;;;;;-10567.0;15367.0;13952.0;1753.0;15705.0;;654.0;950.0;105.0;;587.0;;-63.0;;953.0;-280.0;-1378.0;;;;204.0;;89.0;;-257.0;-699.0;-1.0;111.0;137.0;;;;;;;;;;;;;;;;;;;;;;;;;;
