;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;393.0;141.0;57.0;46.0;46.0;26.0;60.0;161.0;293.0;71.0;127.0;166.0;;;;;;253.0;35.77;95.0;;84.0;;;11.0;347.0;;;11.0;14.42;11.67;0.0;11.7;20.0;6.51;0.43;0.43;60.0;;7.0;;7.0;66.0;83.0;5.0;127.0;;;;;;5.0;132.0;;;;;;71.0;24.0;;20.0;12.0;56.0;;;;;178.0;-63.0;51.0;293.0;;293.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;389.0;146.0;53.0;38.0;39.0;21.0;59.0;171.0;326.0;62.0;137.0;189.0;;;;;;242.0;37.64;108.0;;94.0;;;14.0;350.0;;;14.0;13.61;9.88;1.0;10.03;18.0;5.43;0.35;0.35;59.0;;18.0;;18.0;65.0;82.0;6.0;151.0;;;;;;4.0;156.0;;;;;;62.0;31.0;;24.0;21.0;76.0;;;;;196.0;-80.0;74.0;326.0;;326.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;383.0;139.0;39.0;25.0;23.0;14.0;60.0;177.0;337.0;53.0;125.0;212.0;;;;;;243.0;36.38;114.0;;99.0;;;16.0;358.0;;;16.0;10.12;6.51;-2.0;5.99;9.0;3.66;0.23;0.23;60.0;;30.0;;30.0;71.0;69.0;8.0;155.0;;;;;;5.0;160.0;;;;;;53.0;18.0;;29.0;25.0;72.0;;;;;206.0;-97.0;103.0;337.0;;337.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;397.0;159.0;56.0;39.0;41.0;24.0;60.0;204.0;361.0;54.0;130.0;231.0;;;;;;238.0;40.09;120.0;;105.0;;;15.0;358.0;;;15.0;14.17;9.81;2.0;10.32;17.0;6.09;0.41;0.41;60.0;;40.0;;40.0;77.0;77.0;10.0;153.0;;;;;;4.0;157.0;;;;;;54.0;19.0;;30.0;27.0;76.0;;;;;226.0;-108.0;114.0;361.0;;361.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;415.0;165.0;59.0;41.0;45.0;28.0;59.0;221.0;387.0;58.0;141.0;246.0;;;;;;250.0;39.71;124.0;;111.0;;;14.0;375.0;;;14.0;14.19;9.76;5.0;10.87;18.0;6.63;0.47;0.47;59.0;;45.0;;45.0;77.0;88.0;12.0;159.0;;;;;;7.0;166.0;;;;;;58.0;23.0;;33.0;29.0;84.0;;;;;249.0;-112.0;109.0;387.0;;387.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;474.0;186.0;66.0;45.0;51.0;29.0;58.0;258.0;443.0;71.0;164.0;280.0;56.0;-25.0;-10.0;-10.0;30.0;289.0;39.15;141.0;;126.0;;;15.0;430.0;;;15.0;13.94;9.41;7.0;10.78;22.0;6.16;0.5;0.5;58.0;;12.0;;12.0;86.0;89.0;71.0;177.0;;;;;;8.0;185.0;;6.0;;;;64.0;25.0;;34.0;35.0;93.0;;;;;272.0;-130.0;137.0;443.0;;443.0;;29.0;15.0;-3.0;;4.0;;-1.0;;188.0;11.0;-25.0;;;;0.0;;1.0;-7.0;-5.0;1.0;4.0;;-13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;501.0;174.0;53.0;27.0;35.0;19.0;58.0;254.0;436.0;69.0;157.0;279.0;21.0;-20.0;-11.0;-11.0;3.0;327.0;34.67;146.0;;128.0;;;18.0;473.0;;;18.0;10.57;5.47;8.0;6.99;16.0;3.73;0.32;0.32;58.0;;55.0;;55.0;84.0;101.0;15.0;173.0;;;;;;10.0;182.0;;23.0;;;;46.0;23.0;;31.0;35.0;88.0;;;;;285.0;-142.0;136.0;436.0;;436.0;;19.0;18.0;-2.0;;-2.0;;-12.0;;185.0;-11.0;-18.0;;;;-2.0;;;-6.0;-6.0;1.0;-4.0;;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;502.0;175.0;31.0;17.0;28.0;3.0;56.0;232.0;408.0;55.0;145.0;263.0;37.0;-21.0;-11.0;-11.0;14.0;328.0;34.79;158.0;;141.0;;;17.0;486.0;;;17.0;6.07;3.34;11.0;5.53;11.0;0.52;0.05;0.05;56.0;;55.0;;55.0;76.0;88.0;13.0;156.0;;;;;;19.0;175.0;;25.0;;;;30.0;29.0;;10.0;51.0;90.0;;;;;282.0;-150.0;131.0;408.0;;408.0;;3.0;17.0;0.0;;-8.0;;12.0;;177.0;26.0;-23.0;;;;2.0;;0.0;-8.0;-6.0;3.0;-3.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;429.0;156.0;36.0;14.0;18.0;11.0;54.0;225.0;408.0;60.0;148.0;260.0;25.0;-21.0;-10.0;-10.0;4.0;273.0;36.3;142.0;;125.0;;;17.0;415.0;;;17.0;8.29;3.26;4.0;4.26;8.0;2.47;0.19;0.19;54.0;;46.0;;46.0;82.0;82.0;15.0;154.0;;;;;;30.0;183.0;;21.0;;;;40.0;28.0;;12.0;48.0;88.0;;;;;287.0;-153.0;126.0;408.0;;408.0;;11.0;17.0;-0.0;;-13.0;;6.0;;164.0;10.0;-20.0;;;;-1.0;;;-4.0;-6.0;-0.0;-3.0;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;460.0;173.0;44.0;30.0;26.0;15.0;54.0;237.0;417.0;71.0;151.0;266.0;41.0;-12.0;-23.0;-23.0;18.0;287.0;37.62;143.0;;125.0;125.0;;19.0;430.0;;;19.0;9.64;6.46;-4.0;5.61;11.0;3.33;0.29;0.29;53.0;;54.0;;54.0;89.0;77.0;17.0;152.0;;;;;;28.0;180.0;;26.0;10.0;;;35.0;17.0;;14.0;49.0;80.0;;;;;297.0;-170.0;139.0;417.0;;417.0;;15.0;19.0;0.0;;2.0;;5.0;;167.0;5.0;-23.0;;;;11.0;;;-9.0;-6.0;-9.0;2.0;;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;
