;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;305.0;130.0;38.0;35.0;34.0;21.0;61.0;213.0;266.0;49.0;93.0;173.0;-31.0;-37.0;69.0;69.0;-58.0;175.0;42.68;96.0;;92.0;92.0;;4.0;271.0;;;4.0;12.28;11.3;-1.0;11.14;13.0;6.75;0.48;0.48;61.0;;2.0;;2.0;41.0;153.0;17.0;39.0;;8.0;8.0;;;6.0;53.0;;3.0;13.0;;;33.0;42.0;;2.0;0.0;44.0;;;;;30.0;-14.0;157.0;266.0;;266.0;;21.0;4.0;-8.0;;-56.0;;-60.0;;164.0;9.0;-27.0;;;;-11.0;;133.0;;-63.0;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;438.0;179.0;65.0;59.0;60.0;36.0;67.0;244.0;335.0;54.0;60.0;275.0;46.0;-47.0;13.0;13.0;32.0;259.0;40.94;121.0;;121.0;;;;379.0;;;6.0;14.93;13.42;1.0;13.58;24.0;8.22;0.53;0.53;67.0;;13.0;;13.0;56.0;163.0;12.0;50.0;34.0;;34.0;;3.0;4.0;91.0;;12.0;;;;42.0;3.0;;;3.0;6.0;;;;;66.0;-3.0;213.0;335.0;;335.0;;36.0;6.0;2.0;;27.0;;6.0;;190.0;-25.0;-14.0;;;;-34.0;;66.0;-1.0;;-52.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;583.0;238.0;86.0;76.0;78.0;47.0;69.0;254.0;402.0;71.0;80.0;322.0;47.0;-52.0;0.0;0.0;14.0;345.0;40.82;162.0;;162.0;;;-0.0;507.0;;;8.0;14.75;13.05;2.0;13.41;31.0;8.11;0.7;0.69;68.0;;9.0;;9.0;73.0;158.0;15.0;78.0;59.0;;59.0;;7.0;4.0;147.0;;15.0;;;;56.0;2.0;;;7.0;9.0;;;;0.0;113.0;-2.0;211.0;402.0;;402.0;;47.0;8.0;1.0;;-7.0;;9.0;;184.0;-3.0;-33.0;;;;-19.0;;2.0;-0.0;;-1.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;652.0;262.0;90.0;82.0;81.0;49.0;68.0;328.0;514.0;81.0;159.0;356.0;-5.0;-48.0;48.0;-6.0;-41.0;390.0;40.17;180.0;;180.0;;;-0.0;570.0;;;9.0;13.81;12.54;-1.0;12.4;32.0;7.51;0.73;0.72;67.0;;3.0;;3.0;90.0;226.0;10.0;107.0;67.0;;67.0;;9.0;4.0;186.0;;24.0;;;;57.0;70.0;;;9.0;78.0;;;;0.0;162.0;-1.0;195.0;514.0;;514.0;;49.0;9.0;8.0;;63.0;;-64.0;;247.0;-134.0;-36.0;;;;-13.0;;3.0;-21.0;;67.0;;3.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;793.0;306.0;103.0;93.0;88.0;53.0;68.0;375.0;581.0;79.0;159.0;422.0;20.0;-31.0;11.0;0.0;-1.0;487.0;38.64;213.0;;213.0;;;0.0;700.0;;;14.0;12.93;11.77;-5.0;11.11;35.0;6.67;0.79;0.78;67.0;;3.0;;3.0;99.0;265.0;9.0;116.0;65.0;;65.0;9.0;12.0;3.0;206.0;;30.0;;;;48.0;68.0;;;12.0;81.0;;;;0.0;214.0;-0.0;208.0;581.0;;581.0;;53.0;14.0;5.0;;50.0;;-39.0;;297.0;-101.0;-22.0;;;;-9.0;;13.0;-1.0;;-1.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;869.0;373.0;91.0;87.0;74.0;41.0;69.0;352.0;554.0;64.0;81.0;473.0;91.0;-22.0;-60.0;9.0;71.0;496.0;42.89;296.0;;285.0;;;10.0;792.0;;;17.0;10.43;10.06;-14.0;8.49;33.0;4.66;0.59;0.58;68.0;;13.0;;13.0;95.0;233.0;11.0;121.0;63.0;;63.0;;16.0;1.0;202.0;;26.0;;;;38.0;2.0;;;16.0;18.0;;;;0.0;254.0;-55.0;274.0;554.0;;554.0;;41.0;17.0;3.0;;-9.0;;31.0;;288.0;39.0;-20.0;;;;-2.0;;7.0;;;-67.0;;12.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;794.0;346.0;76.0;60.0;60.0;36.0;71.0;371.0;563.0;72.0;88.0;475.0;85.0;-8.0;-30.0;48.0;77.0;448.0;43.6;286.0;;286.0;286.0;;;734.0;;;16.0;9.59;7.55;0.0;7.58;24.0;4.59;0.53;0.51;69.0;;60.0;;60.0;94.0;206.0;11.0;113.0;;63.0;63.0;;;16.0;192.0;;32.0;0.0;;;40.0;1.0;;15.0;;17.0;;;;0.0;283.0;-70.0;261.0;563.0;;563.0;;36.0;16.0;-0.0;;11.0;;28.0;;299.0;22.0;-8.0;;;;;;15.0;-44.0;;-0.0;;60.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;845.0;380.0;100.0;83.0;84.0;52.0;68.0;433.0;619.0;79.0;109.0;510.0;84.0;-10.0;-20.0;54.0;74.0;465.0;44.95;297.0;;297.0;;;-0.0;762.0;;;15.0;11.81;9.82;1.0;9.99;32.0;6.17;0.78;0.77;67.0;;114.0;;114.0;94.0;202.0;23.0;107.0;63.0;;63.0;;29.0;-13.0;186.0;;30.0;0.0;;11.0;37.0;1.0;;;29.0;30.0;;;;0.0;332.0;-85.0;264.0;619.0;0.0;619.0;;52.0;15.0;7.0;;55.0;;4.0;;354.0;-45.0;-10.0;;;;;;6.0;-23.0;-3.0;-0.0;;114.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;955.0;430.0;146.0;131.0;133.0;81.0;70.0;411.0;729.0;85.0;111.0;618.0;67.0;-153.0;11.0;-75.0;58.0;525.0;45.05;300.0;;300.0;;;0.0;825.0;;;13.0;15.26;13.68;2.0;13.92;52.0;8.5;1.21;1.17;67.0;;40.0;6.0;46.0;114.0;225.0;26.0;103.0;63.0;;63.0;;25.0;126.0;318.0;;36.0;0.0;;10.0;39.0;1.0;;;25.0;26.0;;;;0.0;393.0;-3.0;227.0;729.0;-0.0;729.0;;81.0;13.0;-3.0;;-28.0;;-24.0;;326.0;3.0;-9.0;;-200.0;56.0;;;37.0;-7.0;-19.0;-0.0;;40.0;114.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1100.0;504.0;195.0;178.0;182.0;112.0;70.0;432.0;652.0;93.0;121.0;530.0;125.0;87.0;-211.0;2.0;114.0;596.0;45.83;327.0;;326.0;;;0.0;922.0;;;14.0;17.76;16.15;4.0;16.53;69.0;10.21;1.65;1.61;68.0;;41.0;4.0;45.0;127.0;231.0;29.0;102.0;63.0;;63.0;;28.0;27.0;220.0;;37.0;0.0;;10.0;46.0;1.0;;;28.0;28.0;;;;0.0;376.0;-11.0;165.0;652.0;-0.0;652.0;;112.0;14.0;2.0;;13.0;;-6.0;;339.0;-16.0;-11.0;;-107.0;206.0;;;24.0;-105.0;-130.0;-0.0;;41.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1318.0;613.0;237.0;221.0;222.0;136.0;68.0;528.0;1014.0;153.0;375.0;639.0;134.0;-334.0;167.0;-33.0;111.0;704.0;46.56;393.0;;393.0;;;0.0;1097.0;;;15.0;18.0;16.76;1.0;16.83;85.0;10.35;2.04;2.0;67.0;;8.0;;8.0;186.0;298.0;36.0;122.0;272.0;76.0;348.0;;29.0;-13.0;487.0;;57.0;8.0;;14.0;74.0;193.0;;;29.0;222.0;;;;0.0;477.0;-117.0;279.0;1014.0;0.0;1014.0;;136.0;15.0;-2.0;;36.0;;-19.0;;375.0;-52.0;-23.0;-356.0;-132.0;177.0;;;17.0;-21.0;-36.0;207.0;;8.0;41.0;;;19.72;2.04;1.66;0.54;0.34;9.57;67.0;21.6;1.2;1.2;1318.0;16.8;15.0;136.0;38.5;10.4;375.0;193.0;639.0;15.8;21.9;21.3;73.4;36.3
2007.0;1688.0;781.0;305.0;291.0;280.0;174.0;67.0;590.0;1075.0;173.0;348.0;728.0;165.0;-39.0;-126.0;0.0;139.0;908.0;46.23;490.0;;490.0;;;-0.0;1397.0;;;26.0;18.1;17.23;-11.0;16.56;106.0;10.3;2.64;2.59;66.0;;8.0;;8.0;204.0;338.0;39.0;128.0;273.0;71.0;344.0;;32.0;-18.0;486.0;;70.0;33.0;;19.0;52.0;142.0;;;32.0;174.0;;;;0.0;610.0;1.0;117.0;1075.0;-0.0;1075.0;;174.0;26.0;-2.0;;42.0;;-39.0;;417.0;-75.0;-26.0;-13.0;;;;;15.0;-82.0;-42.0;-17.0;0.0;8.0;8.0;;;25.66;2.64;2.11;0.64;0.4;11.06;66.0;18.1;1.0;1.3;1688.0;17.2;26.0;174.0;37.8;10.3;417.0;142.0;728.0;19.3;26.0;23.9;75.7;78.2
2008.0;1780.0;823.0;341.0;320.0;313.0;196.0;65.0;623.0;1103.0;251.0;391.0;712.0;219.0;-19.0;-164.0;35.0;198.0;957.0;46.21;503.0;;503.0;;;0.0;1460.0;;;27.0;19.14;17.95;-6.0;17.61;117.0;11.02;3.08;3.04;64.0;;43.0;;43.0;216.0;320.0;43.0;129.0;272.0;63.0;335.0;;42.0;-26.0;480.0;;55.0;91.0;;24.0;81.0;99.0;;;42.0;141.0;;;;0.0;758.0;-1.0;-46.0;1103.0;-0.0;1103.0;;196.0;27.0;5.0;;-44.0;;17.0;;372.0;34.0;-21.0;;;;2.0;;10.0;-187.0;-48.0;61.0;-0.0;43.0;8.0;;;27.92;3.08;3.1;0.75;0.33;11.16;64.0;13.9;0.6;1.7;1780.0;18.0;27.0;196.0;37.4;11.0;372.0;99.0;712.0;23.0;28.4;27.6;75.7;113.8
2009.0;1490.0;688.0;232.0;205.0;202.0;125.0;63.0;683.0;1158.0;256.0;352.0;806.0;285.0;-22.0;-80.0;183.0;263.0;802.0;46.18;483.0;;;;;483.0;1285.0;1.0;4.0;27.0;15.61;13.74;-3.0;13.55;77.0;8.4;2.02;2.0;62.0;;226.0;;226.0;165.0;247.0;45.0;132.0;272.0;56.0;328.0;;57.0;-42.0;475.0;;55.0;95.0;;28.0;78.0;39.0;;;57.0;96.0;;;;0.0;577.0;-2.0;230.0;1158.0;-0.0;1158.0;;125.0;27.0;4.0;11.0;55.0;46.0;73.0;;427.0;63.0;-23.0;;;;0.0;-44.0;3.0;-1.0;-50.0;12.0;-0.0;226.0;43.0;;;24.1;2.02;4.25;0.81;0.37;13.03;62.0;19.2;0.3;2.1;1490.0;13.7;27.0;125.0;38.0;8.4;427.0;39.0;806.0;14.1;17.8;15.5;60.1;18.4
2010.0;1692.0;767.0;268.0;242.0;241.0;150.0;63.0;677.0;1153.0;190.0;253.0;900.0;150.0;-30.0;-224.0;-104.0;120.0;925.0;45.33;525.0;;;;;525.0;1450.0;0.0;1.0;26.0;15.84;14.29;-1.0;14.23;90.0;8.89;2.39;2.37;62.0;;121.0;;121.0;221.0;286.0;48.0;144.0;272.0;49.0;321.0;;63.0;-51.0;477.0;;81.0;39.0;;28.0;42.0;;;;63.0;63.0;;;;0.0;676.0;-3.0;227.0;1153.0;0.0;1153.0;;150.0;26.0;6.0;14.0;59.0;-58.0;-40.0;;486.0;-106.0;-30.0;;;;;-154.0;3.0;-48.0;-52.0;28.0;-0.0;121.0;226.0;;;27.1;2.41;1.91;0.83;0.49;14.41;62.0;21.6;1.0;1.6;1692.0;14.3;26.0;150.0;37.6;8.9;486.0;;900.0;15.7;21.0;16.7;65.6;81.4
2011.0;2022.0;941.0;379.0;350.0;349.0;219.0;63.0;758.0;1244.0;172.0;251.0;993.0;210.0;-54.0;-181.0;-25.0;184.0;1081.0;46.54;591.0;;;;;591.0;1672.0;0.0;0.0;29.0;18.73;17.3;-0.0;17.28;131.0;10.82;3.45;3.43;63.0;;96.0;;96.0;267.0;345.0;51.0;149.0;277.0;48.0;326.0;;79.0;-68.0;486.0;;96.0;;;29.0;48.0;;;79.0;-0.0;79.0;;;;0.0;775.0;-2.0;220.0;1244.0;-0.0;1244.0;;219.0;29.0;15.0;7.0;100.0;-38.0;-47.0;;586.0;-161.0;-25.0;-29.0;;;;-39.0;3.0;-69.0;-119.0;44.0;0.0;96.0;121.0;;;32.14;3.48;2.93;1.9;0.41;15.79;63.0;18.7;1.1;2.9;2022.0;17.3;29.0;219.0;37.4;10.8;586.0;;993.0;20.4;28.1;22.0;45.5;100.6
2012.0;2356.0;1078.0;447.0;412.0;412.0;259.0;63.0;920.0;1445.0;171.0;258.0;1187.0;234.0;-81.0;-81.0;72.0;187.0;1278.0;45.77;666.0;;;;;666.0;1944.0;0.0;0.0;35.0;18.98;17.5;-0.0;17.49;153.0;10.99;4.12;4.09;62.0;;169.0;;169.0;297.0;393.0;61.0;175.0;289.0;51.0;340.0;;85.0;-75.0;525.0;;97.0;1.0;;32.0;41.0;2.0;;85.0;0.0;87.0;;3.0;;0.0;971.0;-2.0;218.0;1445.0;-0.0;1445.0;;259.0;35.0;3.0;15.0;163.0;-30.0;-45.0;;750.0;-241.0;-48.0;-33.0;;;;-1.0;;-45.0;-63.0;29.0;-0.0;168.0;96.0;;;37.73;4.15;2.99;1.01;0.76;19.01;62.0;17.5;1.2;1.4;2356.0;17.5;35.0;259.0;37.2;11.0;750.0;2.0;1187.0;20.3;28.5;21.8;75.7;57.7
2013.0;2458.0;1119.0;435.0;386.0;383.0;238.0;63.0;893.0;1943.0;214.0;553.0;1390.0;325.0;-638.0;200.0;-113.0;236.0;1339.0;45.51;733.0;;;;;733.0;2072.0;0.0;2.0;49.0;17.7;15.69;-2.0;15.6;145.0;9.68;3.77;3.75;63.0;;56.0;;56.0;345.0;419.0;73.0;252.0;630.0;155.0;786.0;;;12.0;1050.0;;114.0;14.0;;;86.0;242.0;;97.0;;339.0;;;;0.0;1133.0;-4.0;261.0;1943.0;;1943.0;;238.0;49.0;6.0;16.0;-70.0;-16.0;23.0;;680.0;85.0;-89.0;-549.0;;;;-121.0;4.0;-4.0;-76.0;397.0;-0.0;56.0;168.0;;;39.2;3.8;3.77;1.21;1.42;22.18;63.0;21.2;1.2;1.5;2458.0;15.7;49.0;238.0;37.9;9.7;680.0;242.0;1390.0;13.8;19.8;17.1;68.1;32.1
