;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;54.0;44.0;2.0;0.0;;0.0;7.0;21.0;30.0;27.0;31.0;-0.0;5.0;-8.0;5.0;5.0;-3.0;10.0;81.53;43.0;5.0;37.0;;;1.0;53.0;;;1.0;2.8;0.75;0.0;;;0.56;0.04;0.04;7.0;;4.0;;4.0;16.0;;1.0;7.0;;;;;;2.0;9.0;;9.0;;;;17.0;3.0;;;1.0;4.0;;;;;-1.0;-1.0;1.0;30.0;;30.0;;0.0;1.0;;;3.0;;;;-6.0;0.0;-8.0;;;;;;0.0;;;5.0;0.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;106.0;90.0;14.0;9.0;10.0;7.0;8.0;64.0;83.0;35.0;36.0;46.0;-3.0;-9.0;36.0;36.0;-12.0;17.0;84.49;81.0;12.0;65.0;65.0;;3.0;97.0;;;3.0;12.78;8.74;1.0;9.68;3.0;6.48;0.9;0.8;7.0;;28.0;;28.0;33.0;;3.0;14.0;;;;;;5.0;19.0;;12.0;5.0;;;18.0;;;;1.0;1.0;;;;;5.0;-5.0;46.0;83.0;;83.0;;7.0;3.0;;;34.0;;;;29.0;-47.0;-9.0;;;;;;49.0;;;-13.0;0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;151.0;122.0;-24.0;-32.0;-32.0;-34.0;15.0;121.0;203.0;68.0;102.0;102.0;0.0;-43.0;42.0;-2.0;-24.0;29.0;80.88;154.0;28.0;118.0;118.0;;8.0;183.0;;;8.0;-16.12;-20.98;-1.0;-21.48;1.0;-22.31;-2.2;-2.2;15.0;;26.0;;26.0;38.0;;58.0;31.0;;47.0;47.0;;;4.0;82.0;;14.0;;;;55.0;;;;33.0;33.0;;;;0.0;-38.0;-11.0;151.0;203.0;;203.0;;-34.0;8.0;;;25.0;;;;53.0;1.0;-24.0;;-24.0;5.0;;;47.0;;;-5.0;-1.0;26.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;224.0;153.0;-225.0;-153.0;-260.0;-261.0;8.0;155.0;259.0;112.0;245.0;15.0;-88.0;-38.0;168.0;42.0;-135.0;70.0;68.53;306.0;61.0;210.0;210.0;;35.0;377.0;;;35.0;-100.36;-68.32;-107.0;-116.07;1.0;-116.69;-35.8;-35.8;8.0;;68.0;1.0;69.0;49.0;;37.0;61.0;;34.0;34.0;;;9.0;104.0;;35.0;;;;77.0;;;;132.0;132.0;;;;0.0;-299.0;-27.0;341.0;259.0;;259.0;;-261.0;35.0;;;-10.0;;;;43.0;149.0;-47.0;;-1.0;45.0;-34.0;;168.0;;;;-1.0;68.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;180.0;135.0;-49.0;-67.0;-46.0;-81.0;9.0;68.0;104.0;91.0;173.0;-69.0;-5.0;26.0;-16.0;5.0;-7.0;46.0;74.7;162.0;33.0;112.0;112.0;;17.0;208.0;;;30.0;-27.08;-36.98;21.0;-25.27;2.0;-44.82;-2.0;-2.0;9.0;;38.0;1.0;39.0;22.0;;6.0;27.0;;5.0;5.0;;;4.0;36.0;;19.0;1.0;;21.0;50.0;;;;82.0;82.0;;;;0.0;-380.0;-26.0;336.0;104.0;;104.0;;-81.0;30.0;;;-66.0;;;;-23.0;112.0;-2.0;;-2.0;5.0;25.0;;4.0;-20.0;-0.0;0.0;-1.0;38.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;148.0;120.0;52.0;10.0;39.0;38.0;12.0;55.0;80.0;62.0;114.0;-35.0;1.0;-10.0;-15.0;-23.0;-4.0;28.0;81.13;105.0;26.0;76.0;76.0;;3.0;133.0;;;13.0;35.46;7.05;29.0;26.59;1.0;25.78;3.2;3.12;12.0;;15.0;0.0;15.0;28.0;;12.0;18.0;;1.0;1.0;;;6.0;25.0;;15.0;5.0;;24.0;18.0;45.0;;;7.0;52.0;;;;0.0;-342.0;-27.0;334.0;80.0;;80.0;;38.0;13.0;;;16.0;;;;-7.0;-67.0;-4.0;;;0.0;-6.0;;1.0;;;-16.0;1.0;15.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;176.0;148.0;2.0;28.0;-7.0;-4.0;15.0;89.0;115.0;62.0;70.0;44.0;37.0;0.0;-1.0;37.0;33.0;28.0;84.06;118.0;28.0;90.0;90.0;;0.0;146.0;;;9.0;1.34;15.93;-35.0;-4.13;-3.0;-2.22;-0.26;-0.26;15.0;;52.0;;52.0;31.0;;6.0;16.0;;1.0;1.0;;4.0;5.0;25.0;;13.0;;;28.0;21.0;;;;9.0;9.0;;;;0.0;-346.0;-31.0;421.0;115.0;;115.0;;-4.0;9.0;;;35.0;;;;28.0;-2.0;-4.0;;;;4.0;;4.0;;;-5.0;1.0;52.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;231.0;198.0;78.0;68.0;69.0;168.0;17.0;175.0;337.0;90.0;96.0;241.0;86.0;-74.0;3.0;16.0;80.0;33.0;85.78;130.0;25.0;105.0;105.0;;0.0;163.0;;;8.0;33.58;29.61;1.0;29.98;-99.0;72.8;10.48;9.83;16.0;;68.0;38.0;106.0;41.0;;28.0;16.0;;;;;111.0;35.0;162.0;;19.0;;;44.0;27.0;;;;7.0;7.0;;;;0.0;-178.0;-34.0;452.0;337.0;;337.0;;168.0;8.0;6.0;;58.0;;;;86.0;-155.0;-6.0;;-64.0;;-5.0;;6.0;-2.0;;;2.0;68.0;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;269.0;232.0;107.0;94.0;98.0;65.0;15.0;173.0;278.0;93.0;97.0;181.0;103.0;4.0;-129.0;-26.0;101.0;36.0;86.43;138.0;31.0;107.0;107.0;;0.0;175.0;;;8.0;39.7;34.94;4.0;36.54;33.0;24.1;4.38;4.19;15.0;;42.0;54.0;96.0;43.0;;34.0;12.0;;;;;86.0;6.0;104.0;;20.0;;;46.0;27.0;;;;4.0;4.0;;;;0.0;-113.0;2.0;292.0;278.0;;278.0;;65.0;8.0;28.0;;-5.0;;;;81.0;6.0;-2.0;;-169.0;180.0;-5.0;;6.0;-134.0;;;-4.0;42.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;314.0;269.0;109.0;100.0;101.0;71.0;14.0;175.0;249.0;113.0;116.0;133.0;104.0;50.0;-121.0;37.0;100.0;44.0;85.86;170.0;34.0;135.0;135.0;;0.0;214.0;;;8.0;34.73;31.8;2.0;32.3;30.0;22.58;5.46;5.2;13.0;;79.0;0.0;79.0;54.0;;42.0;11.0;;2.0;2.0;;58.0;2.0;73.0;;24.0;;;57.0;32.0;;;;3.0;3.0;;;;0.0;-42.0;3.0;172.0;249.0;;249.0;;71.0;8.0;27.0;;-18.0;;;;63.0;18.0;-5.0;;-59.0;113.0;1.0;;6.0;-132.0;;4.0;3.0;79.0;42.0;;;24.16;5.46;7.67;;0.37;10.25;13.0;18.3;1.0;;314.0;31.8;8.0;71.0;30.1;22.6;63.0;;133.0;52.1;40.7;53.2;100.0;126.4
