;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;2190.0;483.0;388.0;299.0;300.0;289.0;49.0;;;;;;259.0;-286.0;532.0;480.0;-29.0;1707.0;22.05;164.0;;76.0;;;88.0;1871.0;;;88.0;17.72;13.65;1.0;13.7;11.0;13.2;5.86;5.86;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;289.0;88.0;3.0;;-82.0;;-81.0;;;-39.0;-288.0;;;;2.0;;400.0;-32.0;;164.0;-25.0;790.0;310.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;3492.0;647.0;379.0;406.0;288.0;237.0;52.0;;;;;;253.0;-1474.0;987.0;-231.0;-1221.0;2845.0;18.53;220.0;;129.0;;;91.0;3065.0;;;91.0;10.85;11.63;-118.0;8.25;51.0;6.79;4.6;4.6;52.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;237.0;91.0;45.0;;-96.0;;-11.0;;;-24.0;-1474.0;;;;;;;-78.0;-19.0;1084.0;3.0;188.0;419.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;4680.0;628.0;292.0;308.0;128.0;85.0;50.0;;;;;;599.0;-184.0;-432.0;-18.0;385.0;4052.0;13.42;320.0;;156.0;;;164.0;4372.0;;;164.0;6.24;6.58;-180.0;2.74;43.0;1.82;1.69;1.69;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.0;164.0;25.0;;406.0;;136.0;;;-81.0;-214.0;9.0;;;21.0;;;;-18.0;-414.0;-1.0;170.0;188.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;5097.0;673.0;299.0;315.0;122.0;99.0;50.0;;;;;;381.0;-195.0;-139.0;44.0;197.0;4424.0;13.2;358.0;;181.0;;;177.0;4782.0;;;177.0;5.87;6.18;-193.0;2.39;23.0;1.94;1.95;1.95;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.0;177.0;3.0;;187.0;;27.0;;;-85.0;-184.0;;-25.0;23.0;-9.0;;;-1.0;-18.0;-120.0;-3.0;214.0;170.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;4486.0;213.0;-202.0;-194.0;-418.0;-312.0;51.0;;;;;;40.0;-48.0;-123.0;-129.0;-57.0;4273.0;4.75;407.0;;155.0;;;252.0;4680.0;;;216.0;-4.5;-4.32;-224.0;-9.32;-106.0;-6.95;-6.15;-6.15;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-312.0;216.0;-114.0;;316.0;;169.0;;;-66.0;-97.0;;;8.0;41.0;;5.0;-1.0;;-127.0;2.0;85.0;214.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4889.0;533.0;172.0;142.0;-24.0;49.0;52.0;1612.0;5512.0;1274.0;5384.0;128.0;168.0;-80.0;-101.0;-8.0;60.0;4356.0;10.9;391.0;;214.0;;;177.0;4747.0;;;177.0;3.52;2.9;-166.0;-0.49;-54.0;1.0;0.95;0.95;52.0;;77.0;;77.0;529.0;873.0;133.0;3035.0;;83.0;83.0;;438.0;344.0;3900.0;;607.0;;;;667.0;2022.0;;69.0;2019.0;4110.0;;;;7.0;141.0;-1198.0;1178.0;5512.0;;5512.0;;49.0;177.0;-61.0;;18.0;;-37.0;;;-15.0;-108.0;;;;28.0;;5.0;-1.0;;-105.0;5.0;77.0;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;5441.0;498.0;241.0;151.0;57.0;66.0;51.0;1550.0;5635.0;1460.0;5486.0;149.0;189.0;-124.0;-63.0;3.0;25.0;4943.0;9.15;347.0;;164.0;;;183.0;5290.0;;;183.0;4.43;2.78;-94.0;1.05;-8.0;1.21;1.26;1.26;51.0;;80.0;;80.0;507.0;828.0;135.0;3091.0;;117.0;117.0;;535.0;342.0;4085.0;;577.0;;;;883.0;1914.0;;74.0;2038.0;4026.0;;;;7.0;207.0;-1616.0;1551.0;5635.0;;5635.0;;66.0;183.0;-30.0;;172.0;;106.0;;;-202.0;-164.0;;;;40.0;;;-8.0;;-55.0;1.0;80.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;22197.0;7503.0;6071.0;6146.0;6133.0;4701.0;270.0;9625.0;19153.0;6230.0;11564.0;5846.0;4611.0;-801.0;-2329.0;1735.0;3713.0;14694.0;33.8;1357.0;;804.0;;;553.0;16051.0;;;553.0;27.35;27.69;-13.0;27.63;817.0;21.18;17.42;17.42;270.0;;2495.0;1.0;2496.0;2006.0;4013.0;1110.0;7562.0;;106.0;106.0;;855.0;1005.0;9528.0;;1899.0;;;;4331.0;1639.0;;955.0;2740.0;5334.0;;;;59.0;4739.0;-3826.0;4874.0;17410.0;1743.0;19153.0;;4701.0;553.0;86.0;;-1173.0;;-1374.0;;;444.0;-898.0;-19.0;;;116.0;;9.0;-54.0;-763.0;-1521.0;254.0;2495.0;760.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;28132.0;6637.0;5012.0;4746.0;4703.0;3365.0;289.0;11712.0;31042.0;5615.0;19058.0;10150.0;3974.0;-7612.0;3349.0;-460.0;2793.0;21495.0;23.59;1891.0;;1062.0;;;829.0;23386.0;;;829.0;17.82;16.87;-43.0;16.72;818.0;11.96;11.68;11.66;288.0;;2035.0;14.0;2049.0;2287.0;6036.0;1340.0;15539.0;;1439.0;1439.0;;785.0;1567.0;19330.0;;2504.0;;;;3111.0;7974.0;;1602.0;3867.0;13443.0;;;;60.0;7891.0;-4037.0;6236.0;29208.0;1834.0;31042.0;;3365.0;829.0;155.0;;-520.0;;40.0;;-133.0;145.0;-1181.0;-6220.0;-300.0;;89.0;;3.0;;-2092.0;5438.0;-171.0;2035.0;2495.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;58870.0;10459.0;8631.0;7499.0;7195.0;5226.0;415.0;39362.0;112166.0;24560.0;61975.0;42127.0;7122.0;-8576.0;5445.0;3985.0;4187.0;48411.0;17.77;2960.0;;2960.0;;;;51371.0;;;2296.0;14.66;12.74;-304.0;12.22;1109.0;8.88;12.61;12.59;415.0;;6020.0;6.0;6026.0;8769.0;19238.0;5329.0;54696.0;8020.0;2762.0;10782.0;;1670.0;5656.0;72804.0;;10717.0;;;;13843.0;21645.0;;7274.0;8496.0;37415.0;;;;17.0;14974.0;-8403.0;35539.0;104102.0;8064.0;112166.0;;5226.0;2296.0;;;-626.0;;-584.0;;-768.0;226.0;-2935.0;-5842.0;;;201.0;;8.0;;-660.0;6097.0;-6.0;6020.0;2035.0;;;142.02;12.61;10.1;1.59;7.08;101.63;415.0;8.5;0.5;1.5;58870.0;12.7;2296.0;5226.0;15.4;8.9;14802.0;21645.0;42127.0;6.7;6.1;12.4;87.4;15.6
