;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;878.0;411.0;-17.0;71.0;-6.0;-66.0;32.0;310.0;749.0;264.0;720.0;25.0;56.0;-96.0;8.0;8.0;-47.0;468.0;46.73;340.0;48.0;260.0;260.0;;32.0;808.0;;;32.0;-1.89;8.05;-77.0;-0.73;18.0;-7.5;-2.06;-2.06;32.0;;24.0;;24.0;154.0;101.0;32.0;235.0;;183.0;183.0;;;21.0;439.0;;39.0;56.0;;;168.0;340.0;;25.0;91.0;457.0;;;;;-224.0;-31.0;281.0;746.0;4.0;749.0;;-66.0;32.0;;;19.0;;-3.0;;46.0;70.0;-103.0;;-9.0;;16.0;;98.0;-1.0;;-89.0;-5.0;;61.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;936.0;440.0;91.0;93.0;59.0;38.0;41.0;358.0;820.0;293.0;762.0;54.0;72.0;-36.0;-39.0;-39.0;15.0;496.0;47.03;347.0;49.0;266.0;266.0;;32.0;842.0;;;32.0;9.7;9.98;-35.0;6.26;21.0;4.02;0.98;0.92;38.0;;21.0;;21.0;179.0;112.0;46.0;230.0;;214.0;214.0;;;18.0;462.0;;59.0;46.0;;;188.0;340.0;;26.0;103.0;469.0;;;;;-187.0;-55.0;296.0;816.0;4.0;820.0;;38.0;32.0;-1.0;;19.0;;-6.0;;65.0;-15.0;-58.0;;;;22.0;;1.0;;;-39.0;0.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1066.0;505.0;115.0;112.0;80.0;48.0;41.0;388.0;821.0;336.0;709.0;112.0;91.0;-38.0;-57.0;-4.0;44.0;560.0;47.43;393.0;57.0;300.0;300.0;;35.0;953.0;;;35.0;10.77;10.54;-33.0;7.46;31.0;4.51;1.25;1.16;39.0;;17.0;;17.0;204.0;124.0;43.0;200.0;;204.0;204.0;;;29.0;433.0;;81.0;47.0;;;208.0;250.0;;23.0;100.0;373.0;;;;0.0;-138.0;-69.0;319.0;821.0;;821.0;;48.0;35.0;-2.0;;-13.0;;-10.0;;52.0;23.0;-48.0;;;;10.0;;3.0;;;-60.0;-1.0;17.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1096.0;517.0;142.0;131.0;109.0;70.0;42.0;423.0;888.0;349.0;709.0;179.0;85.0;-54.0;-26.0;5.0;55.0;578.0;47.2;386.0;56.0;296.0;296.0;;33.0;964.0;;;33.0;12.95;11.98;-23.0;9.92;39.0;6.4;1.8;1.66;39.0;;22.0;;22.0;213.0;142.0;47.0;199.0;;228.0;228.0;;;37.0;464.0;;81.0;51.0;;;218.0;238.0;;26.0;96.0;360.0;;;;0.0;-68.0;-86.0;332.0;888.0;;888.0;;70.0;33.0;1.0;;22.0;;-17.0;;74.0;-43.0;-29.0;-26.0;;;1.0;;6.0;;;-32.0;-0.0;22.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1148.0;529.0;155.0;118.0;118.0;72.0;43.0;432.0;1189.0;348.0;801.0;388.0;102.0;-195.0;100.0;6.0;68.0;619.0;46.07;410.0;65.0;299.0;299.0;;47.0;1030.0;;;37.0;13.54;10.32;;10.32;46.0;6.29;1.78;1.68;41.0;;28.0;;28.0;227.0;146.0;31.0;192.0;;127.0;127.0;;;439.0;758.0;;66.0;50.0;;;231.0;309.0;;25.0;119.0;454.0;;;;0.0;4.0;-109.0;493.0;1189.0;;1189.0;;72.0;37.0;;;10.0;;4.0;;84.0;-18.0;-33.0;-165.0;;;4.0;;17.0;;;83.0;-1.0;28.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1214.0;568.0;145.0;156.0;110.0;100.0;45.0;476.0;1303.0;368.0;801.0;502.0;115.0;-52.0;-58.0;4.0;82.0;646.0;46.78;412.0;71.0;;;;341.0;1058.0;;;35.0;11.96;12.84;-45.0;9.1;10.0;8.27;2.27;2.21;44.0;;31.0;;31.0;232.0;150.0;62.0;218.0;;538.0;538.0;;;72.0;828.0;;73.0;51.0;;;244.0;262.0;;38.0;134.0;433.0;;;;0.0;104.0;-155.0;553.0;1303.0;;1303.0;;100.0;35.0;;;24.0;;7.0;;108.0;-44.0;-33.0;-21.0;;;2.0;;4.0;;;-61.0;-2.0;31.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1304.0;618.0;174.0;156.0;137.0;96.0;46.0;506.0;1387.0;328.0;733.0;654.0;117.0;-30.0;-77.0;14.0;90.0;686.0;47.39;463.0;78.0;;;;385.0;1149.0;;;37.0;13.32;11.93;-19.0;10.5;41.0;7.35;2.15;2.11;44.0;;45.0;;45.0;249.0;152.0;59.0;232.0;;549.0;549.0;;41.0;61.0;882.0;;68.0;18.0;;;241.0;223.0;;47.0;136.0;405.0;;;;0.0;200.0;-195.0;648.0;1387.0;;1387.0;;96.0;37.0;;;70.0;;9.0;;178.0;-85.0;-27.0;-4.0;;;2.0;;4.0;;;-80.0;3.0;45.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1404.0;682.0;193.0;167.0;154.0;108.0;45.0;552.0;1480.0;348.0;759.0;721.0;166.0;-28.0;-117.0;22.0;138.0;722.0;48.59;515.0;83.0;;;;432.0;1237.0;;;39.0;13.75;11.9;-13.0;10.98;46.0;7.69;2.44;2.37;44.0;;67.0;;67.0;271.0;157.0;58.0;243.0;;560.0;560.0;;73.0;52.0;928.0;;85.0;7.0;;26.0;230.0;196.0;;82.0;133.0;411.0;;;;0.0;293.0;-214.0;641.0;1480.0;;1480.0;;108.0;39.0;;;26.0;;4.0;;204.0;-7.0;-28.0;-2.0;;;2.0;;26.0;-102.0;;-41.0;2.0;67.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1482.0;730.0;198.0;195.0;160.0;109.0;43.0;801.0;1670.0;353.0;1011.0;659.0;177.0;-35.0;118.0;257.0;145.0;752.0;49.26;535.0;82.0;;;;453.0;1287.0;;;37.0;13.33;13.17;-35.0;10.81;51.0;7.35;2.58;2.52;42.0;;325.0;;325.0;272.0;150.0;54.0;219.0;;528.0;528.0;;73.0;49.0;869.0;;89.0;6.0;;35.0;224.0;444.0;;78.0;135.0;657.0;;;;0.0;417.0;-45.0;286.0;1670.0;;1670.0;;109.0;37.0;;;243.0;;-5.0;;447.0;-212.0;-32.0;-4.0;;;1.0;;27.0;-162.0;;253.0;-2.0;325.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1595.0;790.0;242.0;214.0;2048.0;158.0;41.0;670.0;1587.0;384.0;956.0;631.0;192.0;-31.0;-337.0;-173.0;157.0;804.0;49.56;576.0;83.0;;;;493.0;1380.0;;;38.0;15.2;13.44;1834.0;128.44;47.0;9.88;3.93;3.86;40.0;;151.0;;151.0;307.0;148.0;63.0;229.0;433.0;103.0;536.0;;69.0;83.0;917.0;;96.0;10.0;;42.0;237.0;346.0;;83.0;144.0;572.0;;;;0.0;494.0;-17.0;154.0;1587.0;;1587.0;;158.0;38.0;7.0;;-162.0;;11.0;;285.0;151.0;-34.0;-1.0;;;4.0;;30.0;-265.0;;-103.0;4.0;151.0;325.0;;;39.81;3.93;3.92;;0.86;15.75;40.0;16.4;0.9;;1595.0;13.4;38.0;158.0;2.3;9.9;285.0;346.0;631.0;16.6;12.9;25.0;100.0;148.9
