;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;359.0;123.0;50.0;27.0;26.0;20.0;50.0;149.0;476.0;191.0;248.0;227.0;82.0;-86.0;-6.0;-6.0;-5.0;236.0;34.29;96.0;;72.0;;;25.0;332.0;;;25.0;14.03;7.49;-1.0;7.15;6.0;5.57;0.4;0.4;50.0;;14.0;;14.0;75.0;55.0;5.0;321.0;;;;;;6.0;328.0;;25.0;;;;167.0;14.0;;17.0;26.0;57.0;;;;;211.0;-146.0;162.0;475.0;1.0;476.0;;20.0;25.0;;;36.0;;1.0;;-43.0;1.0;-87.0;;;;1.0;;;;-2.0;-4.0;1.0;;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;394.0;137.0;64.0;36.0;34.0;26.0;50.0;149.0;497.0;53.0;124.0;373.0;81.0;-57.0;-15.0;-15.0;24.0;257.0;34.8;102.0;;73.0;;;29.0;358.0;;;29.0;16.24;9.04;-2.0;8.65;10.0;6.5;0.51;0.51;50.0;;23.0;;23.0;76.0;46.0;4.0;343.0;;;;;;5.0;347.0;;26.0;;;;28.0;14.0;;25.0;32.0;71.0;;;;;228.0;-146.0;290.0;497.0;;497.0;;26.0;29.0;7.0;;138.0;;9.0;;96.0;-118.0;-57.0;;;;1.0;;;;-10.0;-5.0;-1.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;428.0;159.0;77.0;46.0;44.0;29.0;47.0;178.0;549.0;66.0;204.0;343.0;69.0;-54.0;;;15.0;269.0;37.12;113.0;;79.0;;;34.0;382.0;;;34.0;17.98;10.83;-3.0;10.16;15.0;6.77;0.63;0.62;46.0;;38.0;;38.0;90.0;46.0;4.0;361.0;;;;;;10.0;371.0;;33.0;;;;33.0;79.0;;28.0;31.0;138.0;;;;;255.0;-198.0;286.0;547.0;2.0;549.0;;29.0;34.0;3.0;;17.0;;;;112.0;-13.0;-54.0;;;;-0.0;;;-60.0;-2.0;;-0.0;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;473.0;173.0;85.0;53.0;50.0;33.0;46.0;197.0;588.0;61.0;205.0;381.0;67.0;-52.0;2.0;2.0;15.0;300.0;36.63;121.0;;85.0;;;36.0;420.0;;;36.0;18.05;11.13;-3.0;10.47;16.0;7.05;0.74;0.73;45.0;;56.0;;56.0;93.0;44.0;3.0;383.0;;;;;;9.0;392.0;;32.0;;;;29.0;83.0;;32.0;30.0;144.0;;;;;286.0;-238.0;333.0;586.0;2.0;588.0;;33.0;36.0;3.0;;24.0;;3.0;;136.0;-29.0;-52.0;;;;-0.0;;;;-2.0;4.0;1.0;;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;525.0;189.0;99.0;59.0;58.0;40.0;46.0;182.0;649.0;96.0;231.0;416.0;58.0;-114.0;12.0;12.0;-57.0;335.0;36.07;131.0;20.0;71.0;;;40.0;466.0;;;40.0;18.82;11.19;-0.0;11.13;19.0;7.53;0.88;0.86;45.0;;11.0;;11.0;101.0;65.0;6.0;456.0;;;;;;11.0;467.0;;30.0;;;;65.0;68.0;;37.0;30.0;135.0;;;;;323.0;-276.0;369.0;647.0;2.0;649.0;;40.0;40.0;6.0;;-49.0;;-21.0;;87.0;22.0;-115.0;;;;1.0;;1.0;;-2.0;14.0;-1.0;;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;556.0;206.0;109.0;68.0;63.0;43.0;46.0;202.0;714.0;87.0;261.0;448.0;70.0;-96.0;31.0;31.0;-27.0;350.0;37.03;138.0;20.0;73.0;73.0;;46.0;489.0;;;46.0;19.57;12.14;-5.0;11.26;20.0;7.75;0.95;0.95;45.0;;15.0;;15.0;103.0;70.0;14.0;501.0;;;;;;11.0;512.0;;29.0;25.0;;;32.0;105.0;;39.0;30.0;174.0;;;;;364.0;-312.0;396.0;709.0;5.0;714.0;;43.0;46.0;3.0;;29.0;;-7.0;;116.0;-52.0;-97.0;;;;1.0;;3.0;-6.0;-2.0;37.0;-1.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;602.0;231.0;126.0;80.0;73.0;50.0;46.0;227.0;741.0;94.0;274.0;467.0;121.0;-73.0;-18.0;-18.0;43.0;372.0;38.29;150.0;20.0;77.0;77.0;;53.0;522.0;;;53.0;20.97;13.32;-7.0;12.19;23.0;8.35;1.11;1.09;45.0;;42.0;;42.0;108.0;61.0;16.0;501.0;;;;;;14.0;515.0;;33.0;14.0;;;47.0;102.0;;45.0;34.0;180.0;;;;;412.0;-350.0;404.0;741.0;;741.0;;50.0;53.0;4.0;;17.0;;8.0;;132.0;-3.0;-77.0;;;;4.0;;2.0;-7.0;-2.0;-11.0;-3.0;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;609.0;246.0;138.0;93.0;85.0;57.0;46.0;211.0;761.0;98.0;272.0;489.0;117.0;-86.0;-52.0;-52.0;0.0;363.0;40.35;153.0;21.0;79.0;79.0;;53.0;517.0;;;53.0;22.6;15.18;-8.0;13.89;27.0;9.39;1.28;1.25;45.0;;21.0;;21.0;110.0;64.0;16.0;525.0;;;;;;26.0;550.0;;32.0;14.0;;;52.0;88.0;;46.0;39.0;174.0;;;;;467.0;-382.0;404.0;761.0;;761.0;;57.0;53.0;1.0;;-20.0;;-2.0;;113.0;25.0;-117.0;;;;31.0;;7.0;-43.0;-2.0;-14.0;-0.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;638.0;258.0;150.0;97.0;91.0;62.0;44.0;220.0;769.0;118.0;284.0;485.0;130.0;-73.0;-58.0;-0.0;56.0;380.0;40.41;160.0;25.0;77.0;77.0;;59.0;540.0;;;59.0;23.48;15.28;-6.0;14.27;29.0;9.74;1.45;1.4;43.0;;20.0;;20.0;118.0;67.0;14.0;522.0;;;;;;27.0;549.0;;47.0;13.0;;;57.0;75.0;;50.0;41.0;167.0;;;;3.0;527.0;-433.0;388.0;769.0;;769.0;;62.0;59.0;6.0;;-11.0;;-5.0;;102.0;14.0;-74.0;;;;0.0;;6.0;-51.0;-2.0;-11.0;1.0;20.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;671.0;254.0;139.0;90.0;78.0;54.0;42.0;215.0;800.0;134.0;316.0;484.0;91.0;-114.0;10.0;-14.0;-12.0;417.0;37.89;164.0;26.0;77.0;77.0;;61.0;581.0;;;61.0;20.68;13.37;-12.0;11.62;24.0;8.08;1.32;1.29;41.0;;7.0;;7.0;116.0;72.0;21.0;548.0;;;;;;36.0;584.0;;36.0;49.0;;;49.0;90.0;;50.0;42.0;183.0;;;;3.0;579.0;-467.0;368.0;800.0;;800.0;;54.0;61.0;1.0;;-21.0;;-5.0;;82.0;-5.0;-103.0;-13.0;;;2.0;;4.0;-43.0;-2.0;51.0;-1.0;7.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
