;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;1.0;1.0;1.0;;0.0;0.0;4.0;;;;;;;;;;;0.0;71.43;1.0;;0.0;;;0.0;1.0;;;0.0;71.43;;1.0;57.14;0.0;28.57;0.1;0.1;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;7.0;4.0;4.0;3.0;3.0;2.0;4.0;;;;;;;;;;;2.0;65.15;2.0;;1.0;;;1.0;4.0;;;1.0;54.55;42.42;;42.42;0.0;36.36;0.67;0.67;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;11.0;6.0;6.0;4.0;4.0;3.0;5.0;;;;;;;;;;;5.0;55.75;2.0;;1.0;;;2.0;7.0;;;2.0;48.67;36.28;-0.0;33.63;1.0;22.12;0.48;0.48;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;9.0;4.0;4.0;2.0;2.0;2.0;4.0;;;;;;;;;;;5.0;46.15;2.0;;1.0;;;2.0;7.0;;;2.0;40.66;21.98;0.0;23.08;1.0;17.58;0.38;0.38;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;15.0;4.0;-17.0;-1.0;-14.0;-12.0;5.0;;;;;;7.0;-26.0;9.0;9.0;-26.0;10.0;28.97;5.0;;2.0;;;3.0;15.0;;;-3.0;-115.86;-3.45;-13.0;-94.48;-2.0;-80.0;-2.29;-2.29;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.0;-3.0;-2.0;;4.0;;;;;19.0;-33.0;;-0.0;;7.0;;;;;9.0;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;4.0;2.0;-24.0;-1.0;;-23.0;5.0;;;;;;1.0;8.0;-12.0;-12.0;-8.0;2.0;43.59;2.0;;2.0;;;1.0;4.0;;;-1.0;-607.69;-12.82;-21.0;;;-594.87;-4.68;-4.68;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23.0;-1.0;;;;;;;;25.0;-9.0;;;;17.0;;;;;-12.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;0.0;;-31.0;-2.0;;-31.0;7.0;;;;;;-2.0;0.0;1.0;1.0;-2.0;;;2.0;;2.0;;;0.0;2.0;;;-0.0;-31200.0;-1700.0;-26.0;;;-31100.0;-4.64;-4.64;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-31.0;-0.0;;;;;;;;30.0;;;;;0.0;;;;;1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2.0;;27.0;1.0;0.0;27.0;14.0;;;;;;-0.0;1.0;-1.0;-1.0;-0.0;;;1.0;;1.0;;;;1.0;;;;1826.67;60.0;-1.0;26.67;0.0;1813.33;1.98;1.98;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0;;;;;;;;;-27.0;;;;;1.0;;;;;-1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1.0;;-0.0;1.0;0.0;0.0;16.0;;;;;;-1.0;0.0;0.0;0.0;-1.0;;;1.0;;1.0;;;;1.0;;;;-14.29;42.86;-0.0;21.43;-1.0;21.43;0.02;0.02;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;-1.0;;;;;0.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1.0;;0.0;0.0;;0.0;10.0;;;;;;-1.0;1.0;-0.0;-0.0;-1.0;;;1.0;;1.0;;;;1.0;;;;20.0;30.0;;;;20.0;0.01;0.01;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;-1.0;;;;;1.0;;;;;-0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1.0;;1.0;1.0;1.0;1.0;15.0;2.0;9.0;;4.0;5.0;-1.0;2.0;-0.0;0.0;-1.0;;;1.0;;1.0;1.0;;0.0;1.0;;;;41.8;43.8;-0.0;41.8;;41.8;0.04;0.04;15.0;;0.0;;0.0;1.0;;0.0;;;;;;0.0;7.0;7.0;;0.0;;;;;;3.0;;1.0;4.0;7.0;;;1.0;-28.0;;32.0;9.0;;9.0;;1.0;;;;2.0;;;;2.0;-3.0;-0.0;;;;2.0;-0.0;0.0;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
