;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2004.0;1085.0;226.0;394.0;45.0;47.0;37.0;39.0;324.0;1155.0;195.0;1099.0;56.0;329.0;-611.0;-217.0;-217.0;219.0;859.0;20.84;181.0;98.0;;;;84.0;1041.0;;35.0;313.0;36.33;4.12;2.0;4.33;10.0;3.45;-0.51;-0.51;38.0;;58.0;;58.0;160.0;86.0;20.0;582.0;;212.0;212.0;;;37.0;831.0;;153.0;;;;42.0;750.0;;;154.0;904.0;;;;53.0;-19.0;-36.0;59.0;1155.0;;1155.0;;37.0;313.0;;3.0;-13.0;-50.0;18.0;61.0;129.0;-11.0;-110.0;-488.0;;;-15.0;-575.0;3.0;-418.0;;773.0;10.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;938.0;209.0;161.0;-58.0;-99.0;-101.0;39.0;310.0;1041.0;168.0;1087.0;-46.0;104.0;-69.0;-13.0;28.0;39.0;729.0;22.25;231.0;108.0;123.0;123.0;;;960.0;;57.0;203.0;17.18;-6.23;-41.0;-10.57;2.0;-10.76;-2.93;-2.93;38.0;;87.0;;87.0;122.0;89.0;13.0;;;191.0;191.0;;;539.0;731.0;;129.0;;;;39.0;750.0;;;169.0;919.0;;;;53.0;-130.0;-219.0;249.0;1041.0;;1041.0;;-101.0;203.0;;;12.0;-26.0;-1.0;-41.0;141.0;-11.0;-65.0;-16.0;;;10.0;-13.0;1.0;;;-1.0;1.0;87.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;744.0;99.0;26.0;-214.0;-220.0;-229.0;39.0;244.0;770.0;121.0;1055.0;-285.0;30.0;-33.0;-0.0;3.0;-11.0;645.0;13.36;219.0;131.0;88.0;88.0;;;864.0;;57.0;189.0;3.45;-28.72;-6.0;-29.56;9.0;-30.81;-6.35;-6.35;38.0;;89.0;;89.0;83.0;58.0;14.0;;;140.0;140.0;;;386.0;526.0;;95.0;;;;27.0;750.0;;;183.0;933.0;;;;53.0;-370.0;-253.0;286.0;770.0;;770.0;;-229.0;189.0;;;-19.0;44.0;37.0;-54.0;123.0;90.0;-41.0;;;;6.0;;0.0;-0.0;;;6.0;89.0;87.0;;;19.67;-6.06;-0.29;;1.09;-7.52;38.0;;;;744.0;-28.7;189.0;-229.0;-4.2;-30.8;123.0;750.0;-285.0;-26.2;-21.2;80.6;100.0;
2007.0;792.0;138.0;52.0;-106.0;-171.0;-181.0;39.0;281.0;708.0;225.0;1185.0;-477.0;-24.0;-82.0;80.0;-25.0;-110.0;655.0;17.36;232.0;139.0;93.0;93.0;;;887.0;;60.0;163.0;6.6;-13.42;-65.0;-21.63;9.0;-22.79;-5.09;-5.09;38.0;;64.0;;64.0;130.0;76.0;11.0;;;105.0;105.0;;;322.0;427.0;;121.0;80.0;;;24.0;750.0;;;210.0;960.0;;;;53.0;-564.0;-368.0;402.0;708.0;;708.0;;-181.0;163.0;;1.0;-67.0;-47.0;-18.0;20.0;56.0;60.0;-87.0;;;;3.0;-50.0;0.0;-0.0;;130.0;1.0;64.0;89.0;;;20.94;-4.77;-2.91;;2.29;-12.62;38.0;;;;792.0;-13.4;163.0;-181.0;-5.3;-22.8;56.0;750.0;-477.0;-24.2;-15.7;37.8;100.0;
2008.0;602.0;156.0;-258.0;-28.0;-314.0;-417.0;39.0;158.0;399.0;972.0;1187.0;-788.0;-18.0;-40.0;15.0;-60.0;-47.0;445.0;26.0;171.0;89.0;81.0;;;;616.0;;76.0;72.0;-42.82;-4.61;-287.0;-52.23;12.0;-69.36;-11.38;-11.38;38.0;;4.0;;4.0;76.0;47.0;31.0;184.0;;35.0;35.0;;;22.0;241.0;;85.0;845.0;;;42.0;;;;214.0;214.0;;;;53.0;-995.0;151.0;;399.0;;399.0;;-417.0;72.0;;0.0;-870.0;31.0;11.0;-25.0;-815.0;1197.0;-29.0;;;;-11.0;-165.0;0.0;-0.0;;180.0;-17.0;4.0;64.0;;;15.9;-11.03;-1.24;;0.76;-20.82;38.0;;;;602.0;-4.6;72.0;-417.0;-3.7;-69.4;-815.0;;-788.0;59.6;-82.6;53.0;100.0;
2009.0;560.0;159.0;930.0;16.0;841.0;839.0;39.0;222.0;453.0;94.0;238.0;216.0;41.0;12.0;2.0;61.0;33.0;402.0;28.3;142.0;71.0;;;;71.0;543.0;;32.0;49.0;166.1;2.92;825.0;150.21;9.0;149.83;22.01;21.28;38.0;;65.0;;65.0;74.0;63.0;19.0;;;50.0;50.0;;;181.0;231.0;;67.0;1.0;;;26.0;61.0;;;83.0;144.0;;;;55.0;-2.0;-5.0;168.0;453.0;;453.0;;839.0;49.0;;2.0;943.0;4.0;6.0;-32.0;128.0;-1793.0;-9.0;;-0.0;;21.0;-33.0;35.0;;;;6.0;65.0;4.0;;;14.8;22.18;0.86;;0.23;5.7;38.0;;;;560.0;2.9;49.0;839.0;1.1;149.8;128.0;61.0;216.0;242.1;194.3;389.1;100.0;-107.9
2010.0;770.0;244.0;141.0;91.0;83.0;74.0;39.0;390.0;626.0;116.0;463.0;163.0;106.0;-44.0;42.0;107.0;62.0;527.0;31.61;150.0;84.0;67.0;67.0;;;677.0;;;58.0;18.29;11.86;-9.0;10.71;8.0;9.62;1.96;1.89;38.0;;172.0;;172.0;122.0;68.0;27.0;;;28.0;28.0;;;208.0;236.0;;73.0;;;;43.0;247.0;;;100.0;347.0;;9.0;;0.0;72.0;-42.0;133.0;626.0;;626.0;;74.0;58.0;;5.0;145.0;-41.0;-3.0;3.0;274.0;-176.0;-44.0;;;;-0.0;-70.0;;;;113.0;2.0;172.0;65.0;;;20.36;1.96;1.64;;1.17;4.3;38.0;;;;770.0;11.9;58.0;74.0;10.2;9.6;274.0;247.0;163.0;14.5;13.2;45.5;100.0;
2011.0;773.0;234.0;106.0;73.0;30.0;22.0;40.0;380.0;603.0;138.0;436.0;167.0;105.0;-57.0;-59.0;-10.0;56.0;539.0;30.32;145.0;77.0;68.0;68.0;;;684.0;;25.0;51.0;13.72;9.44;-43.0;3.86;8.0;2.82;0.56;0.55;39.0;;162.0;;162.0;126.0;63.0;29.0;;;17.0;17.0;;;206.0;223.0;;91.0;;;;46.0;201.0;;;97.0;298.0;;3.0;;0.0;94.0;-14.0;86.0;603.0;;603.0;;22.0;51.0;;2.0;-31.0;-6.0;4.0;11.0;242.0;61.0;-49.0;;;;-9.0;-57.0;9.0;-12.0;;;2.0;162.0;172.0;;;19.93;0.56;1.44;;1.26;4.3;39.0;18.9;1.2;;773.0;9.4;51.0;22.0;26.9;2.8;242.0;201.0;167.0;8.6;9.1;13.1;100.0;4.4
2012.0;820.0;264.0;196.0;106.0;141.0;193.0;37.0;457.0;790.0;148.0;480.0;310.0;121.0;-64.0;-30.0;20.0;59.0;556.0;32.15;158.0;79.0;79.0;79.0;;;714.0;;23.0;32.0;23.95;12.91;35.0;17.24;-52.0;23.59;5.29;5.16;37.0;;182.0;;182.0;145.0;89.0;40.0;;3.0;12.0;15.0;;47.0;271.0;333.0;;79.0;;;;69.0;202.0;;;130.0;331.0;;;;0.0;287.0;-41.0;64.0;790.0;;790.0;;193.0;32.0;;2.0;66.0;-8.0;-19.0;-2.0;309.0;-173.0;-62.0;-9.0;;0.0;6.0;-3.0;1.0;-28.0;;;-7.0;182.0;162.0;;;22.41;5.29;1.61;;1.71;8.49;37.0;2.1;0.1;;820.0;12.9;32.0;193.0;-36.8;23.6;309.0;202.0;310.0;34.9;20.7;62.3;100.0;46.3
2013.0;734.0;155.0;-7.0;-27.0;-60.0;-64.0;35.0;334.0;625.0;162.0;544.0;82.0;69.0;-44.0;-50.0;-29.0;26.0;579.0;21.12;174.0;88.0;86.0;86.0;;;753.0;;20.0;33.0;-0.97;-3.65;-33.0;-8.2;4.0;-8.74;-1.82;-1.82;35.0;;154.0;;154.0;85.0;75.0;21.0;;;3.0;3.0;;1.0;287.0;291.0;;75.0;;;;87.0;224.0;;;158.0;382.0;;;;0.0;106.0;-50.0;25.0;625.0;;625.0;;-64.0;33.0;;2.0;-136.0;27.0;10.0;-3.0;172.0;234.0;-43.0;;;;-2.0;-229.0;11.0;-51.0;;219.0;-3.0;154.0;182.0;;;20.84;-1.82;0.73;;1.22;2.31;35.0;-10.1;-0.6;;734.0;-3.6;33.0;-64.0;-6.6;-8.7;172.0;224.0;82.0;-9.2;-6.4;-78.7;100.0;
