;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1988.0;5.0;2.0;-1.0;-1.0;;-1.0;21.0;4.0;5.0;2.0;9.0;-4.0;;;;;;3.0;43.75;3.0;;3.0;;;0.0;6.0;;;0.0;-16.67;-16.67;-0.0;;;-22.92;-0.05;-0.05;21.0;;1.0;;1.0;1.0;2.0;0.0;2.0;;0.0;0.0;;;-0.0;2.0;;;;;;2.0;1.0;;;6.0;7.0;;;;;-4.0;-1.0;1.0;5.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;6.0;3.0;-0.0;-0.0;;-1.0;24.0;3.0;5.0;2.0;9.0;-5.0;;;;;;3.0;51.61;3.0;;3.0;;;0.0;6.0;;;0.0;-3.23;-3.23;;;;-8.06;-0.02;-0.02;24.0;;1.0;;1.0;1.0;2.0;0.0;1.0;;;;;;0.0;1.0;;;;;;2.0;1.0;;;6.0;7.0;;;;;-5.0;-1.0;1.0;5.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;6.0;3.0;0.0;-1.0;;-0.0;45.0;8.0;9.0;1.0;2.0;8.0;;;;;;3.0;48.33;4.0;;4.0;;;0.0;7.0;;;0.0;1.67;-16.67;1.0;;;-3.33;-0.0;-0.0;45.0;;4.0;;4.0;1.0;2.0;1.0;1.0;;;;;;0.0;1.0;;;;;;1.0;1.0;;;;1.0;;;;;-5.0;-2.0;14.0;9.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;6.0;3.0;-1.0;-1.0;;-1.0;45.0;7.0;9.0;1.0;1.0;7.0;;;;;;3.0;48.33;4.0;;4.0;;;0.0;7.0;;;0.0;-10.0;-20.0;1.0;;;-13.33;-0.02;-0.02;45.0;;4.0;;4.0;1.0;2.0;0.0;1.0;;;;;;0.0;1.0;;;;;;1.0;0.0;;;;0.0;;;;;-6.0;-2.0;14.0;9.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;7.0;3.0;-1.0;-1.0;;-1.0;43.0;6.0;8.0;1.0;1.0;6.0;-1.0;1.0;-0.0;;-1.0;3.0;48.48;4.0;;4.0;;;0.0;8.0;;;0.0;-7.58;-15.15;0.0;;;-12.12;-0.02;-0.02;43.0;;0.0;;0.0;1.0;2.0;3.0;1.0;;;;;;0.0;1.0;;1.0;;;;1.0;0.0;;;;0.0;;;;;-7.0;-2.0;15.0;8.0;;8.0;;-1.0;0.0;;;-0.0;;0.0;;5.0;-0.0;-0.0;;-15.0;16.0;;;0.0;;;-0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;8.0;4.0;-0.0;-1.0;;-1.0;43.0;6.0;7.0;1.0;1.0;6.0;-0.0;1.0;0.0;;-1.0;4.0;53.95;5.0;;5.0;;;0.0;8.0;;;0.0;-2.63;-9.21;0.0;;;-6.58;-0.01;-0.01;43.0;;1.0;;1.0;2.0;3.0;0.0;1.0;;0.0;0.0;;;0.0;2.0;;1.0;;;;1.0;0.0;;;;0.0;;;;;-7.0;-2.0;15.0;7.0;;7.0;;-1.0;0.0;;;-1.0;;-0.0;;5.0;1.0;-0.0;;-8.0;9.0;-1.0;;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;11.0;6.0;1.0;1.0;;1.0;53.0;7.0;9.0;2.0;1.0;8.0;2.0;-2.0;-0.0;;2.0;4.0;59.81;6.0;;5.0;;;0.0;10.0;;;0.0;12.15;8.41;;;;8.41;0.02;0.02;53.0;;1.0;;1.0;4.0;2.0;0.0;1.0;;1.0;1.0;;;1.0;2.0;;1.0;;;;1.0;;;;-0.0;-0.0;;;;;-6.0;-2.0;16.0;9.0;;9.0;;1.0;0.0;;;1.0;;0.0;;5.0;-1.0;-0.0;;-8.0;7.0;;;0.0;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;12.0;7.0;1.0;1.0;;1.0;52.0;8.0;12.0;2.0;3.0;9.0;-1.0;-1.0;1.0;;-1.0;5.0;59.83;6.0;;6.0;;;1.0;11.0;;;1.0;10.26;5.13;0.0;;;5.98;0.01;0.01;52.0;;2.0;;2.0;2.0;4.0;0.0;1.0;;2.0;2.0;;;1.0;3.0;;1.0;;;;2.0;0.0;;;;0.0;;;;;-6.0;-2.0;17.0;12.0;;12.0;;1.0;1.0;;;0.0;;-1.0;;6.0;-2.0;-1.0;;;;-1.0;;0.0;;;1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;13.0;8.0;0.0;1.0;;-0.0;56.0;8.0;12.0;2.0;3.0;9.0;1.0;-1.0;0.0;;-0.0;5.0;60.0;7.0;1.0;5.0;5.0;;1.0;12.0;;;1.0;2.4;4.0;-1.0;;;-1.6;-0.01;-0.01;36.0;;2.0;;2.0;2.0;3.0;0.0;1.0;;2.0;2.0;;;1.0;4.0;;1.0;1.0;;;1.0;0.0;;;;0.0;;;;;-6.0;-3.0;17.0;12.0;;12.0;;-0.0;1.0;;;-1.0;;1.0;;5.0;1.0;-1.0;;;;;;0.0;;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;15.0;10.0;3.0;1.0;2.0;2.0;63.0;19.0;23.0;2.0;2.0;21.0;2.0;-11.0;9.0;;2.0;6.0;63.4;8.0;1.0;6.0;6.0;;1.0;14.0;;;1.0;16.34;9.15;1.0;12.42;0.0;11.76;0.03;0.03;63.0;;1.0;;1.0;2.0;4.0;13.0;2.0;;2.0;2.0;;;1.0;4.0;;1.0;0.0;;;1.0;0.0;;;0.0;0.0;;;;;-4.0;-3.0;28.0;23.0;;23.0;;2.0;1.0;;;12.0;;-0.0;;17.0;-12.0;-1.0;;-23.0;12.0;0.0;;10.0;;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
