;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1991.0;185.0;39.0;25.0;31.0;;18.0;7.0;53.0;273.0;25.0;210.0;62.0;17.0;-54.0;37.0;37.0;-16.0;146.0;20.86;8.0;;;;;8.0;154.0;;;8.0;13.71;16.74;;;;9.59;2.45;2.45;7.0;;6.0;;6.0;33.0;3.0;12.0;168.0;;0.0;0.0;;;52.0;220.0;;5.0;;;;20.0;170.0;;15.0;;185.0;;;;;;-16.0;78.0;272.0;1.0;273.0;;18.0;8.0;;;-8.0;;;;28.0;-0.0;-33.0;;;;-21.0;;;;;37.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;216.0;144.0;20.0;22.0;;10.0;8.0;64.0;304.0;26.0;236.0;68.0;11.0;-35.0;32.0;32.0;-4.0;73.0;66.31;121.0;;111.0;;;10.0;194.0;;;10.0;9.2;10.21;;;;4.39;1.28;1.23;7.0;;13.0;;13.0;46.0;3.0;2.0;172.0;;;;;;68.0;240.0;;6.0;;;;20.0;194.0;;;15.0;209.0;;;;;;-20.0;88.0;303.0;1.0;304.0;;10.0;10.0;;;10.0;;-0.0;;38.0;-19.0;-15.0;;;;-21.0;;1.0;;;31.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;270.0;190.0;50.0;49.0;;38.0;9.0;109.0;345.0;40.0;251.0;93.0;33.0;-43.0;-2.0;-2.0;2.0;80.0;70.29;141.0;;129.0;;;12.0;221.0;;;12.0;18.38;18.23;;;;13.93;4.85;4.05;8.0;;0.0;;0.0;68.0;3.0;38.0;191.0;;;;;;45.0;235.0;;5.0;;;;34.0;197.0;;;15.0;212.0;;;;;;-24.0;117.0;344.0;1.0;345.0;;38.0;12.0;;;32.0;;-0.0;;70.0;-48.0;-31.0;;;33.0;-46.0;;;;-6.0;4.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;299.0;200.0;30.0;29.0;;16.0;9.0;98.0;396.0;55.0;294.0;101.0;31.0;-43.0;13.0;13.0;22.0;99.0;66.95;171.0;;158.0;;;14.0;270.0;;;14.0;9.87;9.64;;;;5.32;2.02;1.8;8.0;;1.0;;1.0;76.0;3.0;17.0;187.0;;;;;;111.0;299.0;;18.0;;;;37.0;224.0;;;15.0;239.0;;;;;;-31.0;132.0;395.0;1.0;396.0;;16.0;14.0;;;-27.0;;;;43.0;29.0;-10.0;;;0.0;-34.0;;1.0;;-18.0;30.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;351.0;242.0;37.0;38.0;;21.0;9.0;89.0;356.0;59.0;246.0;109.0;40.0;-18.0;-18.0;-18.0;11.0;109.0;69.06;204.0;;189.0;;;15.0;313.0;;;15.0;10.4;10.83;;;;6.01;2.65;2.31;8.0;;5.0;;5.0;50.0;3.0;32.0;157.0;;;;;;109.0;266.0;;6.0;;;;53.0;172.0;;;15.0;187.0;;;;;;-38.0;147.0;355.0;1.0;356.0;;21.0;15.0;;;-12.0;;-0.0;;30.0;16.0;-29.0;;;2.0;9.0;;1.0;;-15.0;-4.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;389.0;263.0;43.0;40.0;;29.0;10.0;80.0;405.0;73.0;275.0;129.0;52.0;-64.0;10.0;10.0;-18.0;126.0;67.66;223.0;;210.0;;;13.0;349.0;;;13.0;10.93;10.34;;;;7.54;3.44;2.98;9.0;;2.0;;2.0;51.0;4.0;24.0;209.0;;;;;;115.0;325.0;;12.0;;;;61.0;186.0;;;16.0;203.0;;;;;;-48.0;177.0;404.0;1.0;405.0;;29.0;13.0;;;-23.0;;-1.0;;7.0;33.0;-70.0;;-15.0;2.0;18.0;;1.0;;-18.0;26.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;464.0;324.0;52.0;50.0;37.0;37.0;11.0;125.0;230.0;81.0;192.0;38.0;35.0;-52.0;32.0;32.0;0.0;140.0;69.8;273.0;;258.0;258.0;;15.0;413.0;;;15.0;11.24;10.85;-13.0;8.03;0.0;7.98;4.17;3.58;9.0;;17.0;;17.0;79.0;4.0;26.0;68.0;;;;;;37.0;105.0;;13.0;3.0;;;65.0;96.0;;;15.0;111.0;;;;;;-41.0;79.0;229.0;1.0;230.0;;37.0;15.0;-5.0;;37.0;;-0.0;;45.0;-49.0;-35.0;;;1.0;-18.0;;2.0;;-21.0;51.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;441.0;278.0;2.0;22.0;-10.0;-6.0;11.0;120.0;250.0;93.0;199.0;50.0;29.0;-25.0;-8.0;-8.0;5.0;164.0;62.94;255.0;;243.0;243.0;;12.0;419.0;;;12.0;0.45;5.05;-32.0;-2.29;-4.0;-1.45;-0.58;-0.58;11.0;;13.0;;13.0;72.0;4.0;31.0;90.0;;;;;;40.0;130.0;;16.0;4.0;;;73.0;73.0;;;33.0;106.0;;;;;-6.0;-51.0;107.0;249.0;1.0;250.0;;-6.0;12.0;-11.0;;-17.0;;-0.0;;27.0;51.0;-24.0;;-4.0;;3.0;;1.0;;-5.0;-4.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;440.0;319.0;24.0;19.0;14.0;8.0;11.0;107.0;240.0;93.0;187.0;54.0;34.0;-33.0;-9.0;-9.0;12.0;121.0;72.43;299.0;;289.0;289.0;;10.0;421.0;;;10.0;5.55;4.4;-5.0;3.19;6.0;1.9;0.73;0.73;11.0;;4.0;30.0;35.0;53.0;5.0;15.0;100.0;;;;;;33.0;133.0;;13.0;6.0;;;73.0;61.0;;;33.0;94.0;;;;0.0;2.0;-61.0;113.0;240.0;;240.0;;8.0;10.0;4.0;;-12.0;;-1.0;;15.0;24.0;-22.0;;-18.0;;7.0;;1.0;;;-10.0;;4.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;462.0;343.0;32.0;24.0;17.0;10.0;11.0;117.0;273.0;104.0;204.0;70.0;52.0;-51.0;5.0;6.0;46.0;120.0;74.14;319.0;;304.0;304.0;;14.0;438.0;;;14.0;6.83;5.2;-7.0;3.71;7.0;2.21;0.89;0.89;11.0;;10.0;33.0;43.0;51.0;4.0;19.0;90.0;;;;;;66.0;156.0;;16.0;22.0;;;65.0;58.0;;;42.0;100.0;;;;0.0;12.0;-74.0;131.0;273.0;;273.0;;10.0;14.0;-1.0;;-2.0;;1.0;;13.0;30.0;-7.0;;-7.0;;-37.0;;0.0;-3.0;;7.0;;10.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
