;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;6.0;6.0;1.0;3.0;1.0;1.0;7.0;;;;;;1.0;-6.0;5.0;0.0;1.0;0.0;97.59;3.0;;2.0;2.0;0.0;1.0;3.0;;;0.0;19.41;44.16;-2.0;18.15;0.0;11.35;0.1;0.1;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;-0.0;;-0.0;;;;-0.0;1.0;-0.0;;-6.0;;;-6.0;0.0;;;11.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;6.0;6.0;1.0;3.0;1.0;1.0;7.0;;27.0;2.0;21.0;6.0;2.0;-8.0;6.0;-0.0;2.0;0.0;98.41;3.0;;3.0;2.0;0.0;1.0;3.0;;;0.0;22.1;47.45;-2.0;20.77;0.0;12.76;0.11;0.11;7.0;;0.0;;0.0;0.0;;;0.0;;;;;0.0;;;27.0;1.0;2.0;;;-1.0;18.0;0.0;;2.0;19.0;;;;4.0;2.0;;;27.0;;27.0;;1.0;0.0;0.0;;-2.0;-0.0;;0.0;-2.0;2.0;-0.0;;-8.0;;;-0.0;2.0;;;5.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;8.0;8.0;2.0;4.0;1.0;1.0;8.0;;34.0;2.0;27.0;7.0;2.0;-7.0;6.0;0.0;2.0;0.0;98.67;4.0;;3.0;3.0;0.0;1.0;4.0;;;0.0;19.91;45.08;-2.0;18.87;1.0;11.51;0.12;0.12;8.0;;0.0;;0.0;0.0;;;0.0;;;;;1.0;;;34.0;2.0;2.0;;;-1.0;23.0;0.0;;1.0;25.0;;;;4.0;3.0;;;34.0;;34.0;;1.0;0.0;-1.0;;-1.0;0.0;;1.0;-2.0;2.0;-0.0;;;;-7.0;-0.0;0.0;;;6.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;10.0;10.0;3.0;5.0;3.0;2.0;9.0;;42.0;2.0;34.0;9.0;2.0;-9.0;7.0;0.0;2.0;0.0;99.02;5.0;;4.0;4.0;0.0;1.0;5.0;;;0.0;25.87;47.65;-2.0;25.01;1.0;15.38;0.21;0.2;8.0;;1.0;;1.0;0.0;;;0.0;;;;;1.0;;;42.0;2.0;2.0;;;-1.0;30.0;0.0;;1.0;32.0;63.0;;;4.0;5.0;;;42.0;;42.0;;2.0;0.0;-0.0;;0.0;0.0;;-0.0;-2.0;1.0;-0.0;;;;-8.0;;;;;7.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;14.0;14.0;5.0;7.0;4.0;3.0;9.0;;54.0;3.0;43.0;11.0;5.0;-13.0;8.0;-0.0;5.0;0.0;99.36;7.0;;6.0;5.0;0.0;1.0;7.0;;;0.0;32.13;51.17;-3.0;31.48;2.0;18.31;0.33;0.31;8.0;;0.0;;0.0;0.0;;;0.0;;;;;1.0;;;54.0;3.0;1.0;;;-1.0;38.0;1.0;;1.0;40.0;79.0;;;4.0;7.0;;;54.0;;54.0;;3.0;0.0;0.0;;-1.0;0.0;;1.0;-3.0;3.0;-0.0;;;;-13.0;-0.0;0.0;;;8.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;18.0;6.0;9.0;6.0;3.0;8.0;;67.0;4.0;53.0;14.0;5.0;-15.0;9.0;-0.0;5.0;0.0;99.52;8.0;;7.0;6.0;0.0;2.0;9.0;;;0.0;31.9;52.22;-4.0;31.08;2.0;19.17;0.44;0.41;8.0;;0.0;;0.0;0.0;;;0.0;;;;;1.0;;;67.0;3.0;1.0;;;0.0;48.0;1.0;;0.0;49.0;;;;4.0;11.0;;;67.0;;67.0;;3.0;0.0;0.0;;-1.0;-0.0;;0.0;-4.0;3.0;-0.0;;;;-14.0;-0.0;;-0.0;;10.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;20.0;20.0;6.0;10.0;6.0;4.0;9.0;;78.0;6.0;60.0;18.0;7.0;-13.0;6.0;-0.0;7.0;0.0;99.61;10.0;;8.0;7.0;1.0;2.0;10.0;;;0.0;31.95;50.3;-4.0;31.01;2.0;19.45;0.49;0.45;8.0;;0.0;;0.0;0.0;;;0.0;;;;;0.0;;;78.0;3.0;1.0;;;2.0;53.0;1.0;;-0.0;54.0;108.0;;;4.0;15.0;;;78.0;;78.0;;4.0;0.0;1.0;;-2.0;0.0;;1.0;-6.0;4.0;-0.0;;;;-13.0;;0.0;;;6.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;22.0;22.0;7.0;11.0;7.0;4.0;9.0;;90.0;7.0;68.0;22.0;6.0;-13.0;7.0;0.0;6.0;0.0;99.63;12.0;;9.0;8.0;1.0;2.0;12.0;;;0.0;31.41;48.15;-4.0;30.56;3.0;19.13;0.52;0.49;8.0;;0.0;;0.0;0.0;;;0.0;;;;;2.0;;;90.0;3.0;1.0;;;3.0;60.0;1.0;;-0.0;61.0;122.0;;;4.0;19.0;;-1.0;90.0;;90.0;;4.0;0.0;-1.0;;-1.0;-0.0;;0.0;-7.0;4.0;-0.0;;-61.0;48.0;;;0.0;;;7.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;26.0;25.0;9.0;12.0;8.0;5.0;9.0;;103.0;8.0;76.0;27.0;7.0;-14.0;7.0;0.0;7.0;0.0;99.74;13.0;;11.0;10.0;1.0;2.0;13.0;;;0.0;33.72;48.01;-4.0;32.9;3.0;20.44;0.62;0.58;8.0;;1.0;;1.0;0.0;;;1.0;;;;;3.0;;;103.0;4.0;1.0;;;3.0;68.0;1.0;;-0.0;68.0;;;;5.0;24.0;;-1.0;103.0;;103.0;;5.0;0.0;-1.0;;-1.0;-0.0;;1.0;-8.0;3.0;-0.0;;-69.0;56.0;;-0.0;0.0;;-1.0;7.0;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;33.0;33.0;13.0;17.0;13.0;8.0;11.0;1.0;121.0;8.0;74.0;47.0;11.0;-19.0;8.0;-0.0;11.0;0.0;99.8;16.0;;4.0;4.0;1.0;12.0;16.0;;;0.0;40.61;51.0;-4.0;39.94;5.0;24.61;0.52;0.48;10.0;;1.0;;1.0;0.0;;;1.0;;;;;4.0;115.0;120.0;;4.0;1.0;;;2.0;65.0;1.0;;-0.0;66.0;;;;15.0;31.0;;0.0;121.0;;121.0;;8.0;0.0;-1.0;;1.0;-0.0;;2.0;-7.0;3.0;-0.0;;-83.0;64.0;0.0;-2.0;10.0;-0.0;-1.0;1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;43.0;43.0;17.0;21.0;17.0;11.0;12.0;2.0;149.0;9.0;91.0;58.0;15.0;-31.0;17.0;1.0;15.0;0.0;99.89;21.0;;6.0;4.0;1.0;16.0;21.0;;;0.0;40.71;50.08;-4.0;39.93;6.0;24.74;0.97;0.92;11.0;;2.0;;2.0;0.0;;;1.0;;;;;4.0;143.0;148.0;;6.0;;;;3.0;82.0;2.0;;-2.0;82.0;165.0;;;16.0;42.0;1.0;-0.0;149.0;;149.0;;11.0;0.0;-0.0;;-0.0;-0.0;;1.0;-7.0;5.0;-0.0;;-105.0;74.0;0.0;-17.0;;;;33.0;;2.0;1.0;;;3.93;0.97;1.38;;0.04;5.37;11.0;11.9;0.7;;43.0;50.1;0.0;11.0;38.0;24.7;-7.0;82.0;58.0;7.5;11.4;18.1;100.0;
2007.0;47.0;47.0;19.0;24.0;19.0;12.0;11.0;2.0;173.0;9.0;103.0;70.0;16.0;-28.0;12.0;-0.0;16.0;0.0;99.96;22.0;;6.0;5.0;1.0;16.0;22.0;;;0.0;40.89;51.97;-6.0;40.12;7.0;24.79;1.06;1.03;11.0;;1.0;;1.0;0.0;;;1.0;;;;;4.0;166.0;172.0;;6.0;;;;3.0;94.0;2.0;;-2.0;94.0;188.0;;;16.0;53.0;;0.0;173.0;;173.0;;12.0;0.0;0.0;;-1.0;-0.0;;0.0;-8.0;5.0;-1.0;;-113.0;85.0;0.0;-11.0;;;;23.0;;1.0;2.0;;;4.29;1.06;1.43;;0.05;6.41;11.0;8.5;0.5;;47.0;52.0;0.0;12.0;38.2;24.8;-8.0;94.0;70.0;7.1;10.8;16.6;100.0;
2008.0;50.0;50.0;22.0;22.0;16.0;10.0;11.0;2.0;190.0;11.0;111.0;79.0;17.0;-23.0;7.0;1.0;17.0;0.0;99.93;28.0;;7.0;6.0;1.0;21.0;28.0;6.0;6.0;0.0;44.38;43.68;-6.0;31.08;6.0;19.31;0.88;0.85;11.0;;2.0;;2.0;179.0;;-179.0;1.0;;;;;5.0;182.0;188.0;;7.0;100.0;;1.0;-97.0;100.0;;;-0.0;100.0;;;;17.0;63.0;-2.0;0.0;190.0;;190.0;;10.0;0.0;0.0;0.0;-1.0;0.0;;-1.0;-9.0;8.0;-0.0;;;;-23.0;-6.0;1.0;;;12.0;;2.0;1.0;;;4.57;0.88;1.52;;0.02;7.16;11.0;5.7;0.3;;50.0;43.7;0.0;10.0;37.9;19.3;-9.0;100.0;79.0;7.6;11.5;12.3;100.0;-4.5
2009.0;53.0;53.0;13.0;14.0;8.0;5.0;11.0;190.0;198.0;113.0;113.0;85.0;22.0;-24.0;2.0;-1.0;21.0;0.0;99.97;39.0;;22.0;21.0;1.0;17.0;39.0;5.0;5.0;0.0;25.03;27.24;-7.0;14.22;3.0;8.88;0.42;0.41;11.0;;2.0;;2.0;187.0;;2.0;1.0;;;;;7.0;;8.0;;7.0;102.0;;1.0;3.0;;;;;;;;;;68.0;-1.0;18.0;198.0;;198.0;;5.0;0.0;-2.0;1.0;87.0;;;;77.0;-68.0;-0.0;;-103.0;79.0;0.0;;;;;2.0;;2.0;2.0;;;4.71;0.42;1.9;;0.03;7.54;11.0;11.0;0.2;;53.0;27.2;0.0;5.0;37.5;8.9;77.0;;85.0;9.5;6.5;5.5;100.0;
