;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1989.0;40.0;33.0;6.0;4.0;4.0;3.0;80.0;;;;;;;;;;;7.0;81.45;29.0;;27.0;;;2.0;36.0;;;2.0;15.54;10.03;0.0;10.53;1.0;8.02;-0.01;-0.01;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;50.0;43.0;11.0;8.0;9.0;7.0;107.0;;;;;;12.0;-3.0;9.0;9.0;9.0;7.0;85.6;35.0;;32.0;;;3.0;42.0;;;3.0;22.4;16.2;1.0;17.4;2.0;13.4;0.06;0.06;107.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;3.0;-1.0;;4.0;;-0.0;;;-1.0;-3.0;;;;;;10.0;-4.0;;3.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;116.0;96.0;19.0;13.0;14.0;9.0;160.0;;;;;;5.0;-12.0;1.0;1.0;-0.0;20.0;82.72;83.0;;79.0;;;4.0;103.0;;;4.0;15.91;11.09;1.0;12.3;5.0;8.08;0.06;0.06;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;4.0;-1.0;;;;-2.0;;;-8.0;-6.0;;-5.0;;-1.0;;9.0;;;-9.0;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;217.0;168.0;34.0;28.0;29.0;19.0;194.0;;;;;;19.0;-18.0;4.0;4.0;6.0;49.0;77.42;140.0;;134.0;;;5.0;189.0;;;5.0;15.7;12.97;1.0;13.3;10.0;8.63;0.1;0.1;194.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.0;5.0;-8.0;;;;-1.0;;;3.0;-13.0;;-1.0;;-4.0;;7.0;;;-3.0;-0.0;;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;206.0;168.0;-2.0;-6.0;-17.0;-12.0;188.0;;;;;;8.0;-13.0;30.0;30.0;-7.0;38.0;81.65;174.0;;159.0;;;15.0;212.0;;;15.0;-1.12;-2.77;-12.0;-8.35;-6.0;-5.58;-0.06;-0.06;188.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.0;15.0;-4.0;;;;2.0;;;9.0;-15.0;;;4.0;-2.0;;6.0;;;24.0;-0.0;;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;268.0;233.0;9.0;-15.0;-16.0;-11.0;236.0;;;;;;1.0;-36.0;5.0;5.0;-9.0;35.0;87.08;248.0;;222.0;;;25.0;282.0;;;25.0;3.47;-5.42;-2.0;-5.98;-5.0;-4.15;-0.12;-0.12;236.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.0;25.0;-1.0;;;;3.0;;;-12.0;-10.0;;-72.0;47.0;0.0;;17.0;;;-12.0;-1.0;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;335.0;294.0;58.0;37.0;38.0;29.0;334.0;180.0;221.0;85.0;110.0;111.0;50.0;-77.0;19.0;-10.0;28.0;41.0;87.76;257.0;63.0;174.0;174.0;;20.0;298.0;;;20.0;17.38;11.08;1.0;11.47;10.0;8.51;0.1;0.09;299.0;;23.0;;23.0;54.0;4.0;99.0;29.0;;8.0;8.0;;;5.0;42.0;;18.0;1.0;;;66.0;25.0;;;;25.0;;;;;-64.0;-49.0;224.0;221.0;;221.0;;29.0;20.0;8.0;;95.0;;4.0;;95.0;-101.0;-22.0;;-117.0;62.0;;;20.0;;;-1.0;-2.0;23.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;445.0;375.0;-6.0;-21.0;-44.0;-40.0;421.0;237.0;298.0;102.0;118.0;180.0;11.0;-22.0;20.0;20.0;-25.0;70.0;84.26;396.0;95.0;262.0;262.0;;39.0;466.0;;;39.0;-1.23;-4.65;-24.0;-9.97;-5.0;-8.94;-0.1;-0.1;421.0;;42.0;;42.0;72.0;8.0;115.0;52.0;;1.0;1.0;;;9.0;61.0;;23.0;0.0;;;79.0;15.0;;;;15.0;;;;;-92.0;-66.0;338.0;298.0;;298.0;;-40.0;39.0;-1.0;;;;2.0;;95.0;13.0;-36.0;;-155.0;169.0;;;21.0;;;-1.0;2.0;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;472.0;412.0;64.0;35.0;30.0;26.0;447.0;238.0;342.0;109.0;124.0;218.0;94.0;-52.0;12.0;12.0;67.0;60.0;87.23;377.0;89.0;255.0;255.0;;33.0;437.0;;;33.0;13.45;7.41;-5.0;6.42;4.0;5.51;0.06;0.06;443.0;;96.0;;96.0;48.0;5.0;90.0;52.0;;;;;;52.0;104.0;;30.0;;;;78.0;15.0;;;;15.0;;;;;-66.0;-85.0;370.0;342.0;;342.0;;26.0;33.0;;;40.0;;3.0;;135.0;-5.0;-28.0;;-227.0;203.0;;;12.0;;;-0.0;0.0;;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;578.0;518.0;139.0;100.0;112.0;85.0;482.0;329.0;477.0;153.0;159.0;318.0;131.0;-96.0;12.0;12.0;104.0;61.0;89.51;417.0;91.0;299.0;299.0;;27.0;478.0;;;27.0;24.0;17.36;12.0;19.38;27.0;14.71;0.19;0.18;449.0;;139.0;;139.0;65.0;3.0;121.0;50.0;;;;;;98.0;148.0;;34.0;8.0;;;111.0;6.0;;;;6.0;;;;;19.0;-108.0;407.0;477.0;;477.0;;85.0;27.0;-7.0;;-5.0;;1.0;;130.0;31.0;-27.0;;-243.0;174.0;;;33.0;-21.0;;;-3.0;;96.0;;;;;;;;;;;;;;;;;;;;;;;;;;
