;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;
2010.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;1.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;100.0;0.0;;0.0;0.0;;;0.0;;;;-517.91;-517.91;;-517.91;;-517.91;-0.0;-0.0;1.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;0.0;0.0;;;;0.0;-0.0;;;0.0;;0.0;;-0.0;;;;0.0;;;;0.0;-0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;;0.0;-0.0;;;;-0.0;1.0;;;;0.0;-517.9;;-0.0;;-517.9;0.0;;-0.0;-97.8;-66.2;139.8;;
2011.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;0.0;60.39;0.0;;0.0;0.0;;;0.0;;0.0;;-508.11;-508.11;-0.0;-511.37;;-511.37;-0.03;-0.03;2.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;0.0;0.0;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;0.0;;;0.0;;0.0;0.0;;;0.0;-0.02;-0.0;;;-0.0;2.0;;;;0.0;-508.1;;-0.0;;-511.4;0.0;;-0.0;-297.4;-198.0;842.4;100.0;
2012.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;100.0;0.0;;0.0;0.0;;;0.0;;0.0;;-1491.1;-1491.1;-0.0;-1515.74;;-1515.74;-0.01;-0.01;2.0;;0.0;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.01;-0.02;;;-0.01;2.0;;;;0.0;-1491.1;;-0.0;;-1515.7;-0.0;;-0.0;79.7;-1228.4;81.0;100.0;
2013.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;100.0;0.0;;0.0;0.0;;;0.0;;;;-2446.28;-2009.05;-0.0;-2446.28;;-2446.28;-0.03;-0.03;2.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.02;-0.01;;;-0.02;2.0;-87.4;-5.1;;0.0;-2009.0;;-0.0;;-2446.3;-0.0;;-0.0;100.9;-5819.8;100.9;100.0;
2014.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;-0.0;-0.0;;100.0;0.0;;0.0;0.0;;;0.0;;;;-4688.75;-4646.05;-0.0;-4688.75;;-4688.75;-0.03;-0.03;2.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.02;-0.01;;;-0.02;2.0;-77.0;-4.2;;0.0;-4646.1;;-0.0;;-4688.7;-0.0;;-0.0;102.4;-17680.0;102.4;100.0;
2015.0;0.0;;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;0.0;;-6582.88;-6582.88;-0.0;-8472.1;;-8472.1;-0.03;-0.03;2.0;;0.0;;0.0;;;;;;;;;;;;;0.0;0.0;;0.0;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;0.0;0.0;;;0.0;-0.04;-0.02;;;-0.05;2.0;-44.4;-2.2;;0.0;-6582.9;;-0.0;;-8472.1;-0.0;;-0.0;59.9;-2657.5;77.1;100.0;
2016.0;;;-0.0;-0.0;-0.0;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;-inf;;-inf;-0.03;-0.03;2.0;;;;;;;0.0;;;;;;;;;;0.0;;;0.0;0.0;;;;;;;;;0.0;-0.0;;0.0;0.0;;0.0;;-0.0;;;;-4.0;;;0.0;-4.0;4.0;;;;;;;;;;0.0;;;;;;;-0.03;-0.03;;;-0.07;2.0;-58.4;-2.6;;;-inf;;-0.0;;-inf;-0.0;;-0.0;28.7;-762.5;42.0;100.0;
2017.0;;;-3.0;-3.0;-5.0;-5.0;2.0;0.0;0.0;4.0;5.0;-5.0;-2.0;-0.0;2.0;-0.0;-2.0;;;3.0;1.0;2.0;2.0;;;3.0;;1.0;0.0;-inf;-inf;-2.0;-inf;;-inf;-2.31;-2.31;2.0;;0.0;;0.0;;;0.0;;;0.0;0.0;;;;0.0;;;2.0;;;1.0;;;;1.0;1.0;;;;0.0;-5.0;;0.0;0.0;;0.0;;-5.0;0.0;;0.0;0.0;;;;-4.0;3.0;-0.0;;;;-0.0;-0.0;;;;2.0;;0.0;1.0;;;;-2.3;-0.01;;;-2.29;2.0;-2.4;-0.1;;;-inf;0.0;-5.0;;-inf;-4.0;;-5.0;84.1;-1229.0;100.4;100.0;
2018.0;;;;;;;2.0;0.0;0.0;4.0;5.0;-4.0;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;0.0;;0.0;;;0.0;;;0.0;0.0;;;;0.0;;0.0;2.0;;;2.0;;;;1.0;1.0;;;;0.0;-10.0;;6.0;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;;0.04;-2.0;2.0;inf;inf;;;;;;;;-4.0;;-4.0;;;;100.0;
