;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;18.0;1.0;-1.0;-1.0;;-1.0;6.0;;;;;;;;;;;16.0;6.29;2.0;;2.0;;;0.0;18.0;;;0.0;-5.71;-4.57;-0.0;;;-6.86;-0.2;-0.2;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;19.0;2.0;-1.0;-1.0;;-1.0;5.0;;;;;;;;;;;17.0;8.65;2.0;;2.0;;;0.0;19.0;;;0.0;-5.41;-4.32;-0.0;;;-6.49;-0.22;-0.22;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;18.0;2.0;0.0;-0.0;;0.0;5.0;;;;;;;;;;;16.0;10.11;2.0;;2.0;;;0.0;18.0;;;0.0;1.12;-1.69;0.0;;;0.56;0.01;0.01;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;11.0;0.0;-1.0;-1.0;;-1.0;5.0;;;;;;;;;;;11.0;3.67;2.0;;1.0;;;0.0;12.0;;;0.0;-10.09;-10.09;0.0;;;-11.01;-0.25;-0.25;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;12.0;1.0;1.0;0.0;1.0;1.0;6.0;;;;;;;;;;;10.0;11.86;1.0;;1.0;;;0.0;12.0;;0.0;0.0;8.47;0.85;1.0;6.78;0.0;4.24;0.09;0.09;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;11.0;1.0;1.0;;1.0;1.0;5.0;;;;;;0.0;2.0;-2.0;-2.0;0.0;10.0;11.01;1.0;;1.0;;;0.0;11.0;;;0.0;8.26;;1.0;7.34;0.0;4.59;0.11;0.11;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;0.0;;;-0.0;;;;;2.0;;;-0.0;;-1.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;10.0;1.0;-1.0;-2.0;;-1.0;4.0;;;;;;-1.0;1.0;-0.0;-0.0;-1.0;9.0;12.37;3.0;;3.0;;;0.0;11.0;;;0.0;-13.4;-17.53;0.0;;;-14.43;-0.34;-0.34;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;;;-0.0;;;1.0;;;-1.0;1.0;0.0;;;-0.0;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;10.0;1.0;0.0;0.0;0.0;0.0;4.0;;;;;;-1.0;1.0;;;-1.0;9.0;10.31;1.0;;1.0;;;0.0;10.0;;;0.0;4.12;1.03;0.0;2.06;0.0;2.06;0.05;0.05;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;0.0;;;-1.0;;;;1.0;0.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;17.0;2.0;2.0;1.0;2.0;2.0;4.0;;;;;;2.0;;-0.0;-0.0;2.0;15.0;13.95;1.0;;1.0;;;0.0;16.0;;;0.0;13.37;8.14;0.0;9.3;1.0;9.3;0.38;0.38;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;-0.0;;;;0.0;;;1.0;-0.0;;;;-0.0;;;;;-0.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;23.0;5.0;3.0;2.0;2.0;2.0;4.0;;;;;;-0.0;0.0;-1.0;-1.0;-0.0;18.0;22.08;3.0;;3.0;;;0.0;21.0;;;0.0;11.69;7.79;0.0;8.66;1.0;7.79;0.41;0.41;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;-1.0;;;;-1.0;;;-2.0;-0.0;;-3.0;3.0;1.0;;;-0.0;;-1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;31.0;7.0;4.0;3.0;3.0;3.0;4.0;;;;;;1.0;;-2.0;-2.0;1.0;24.0;23.38;4.0;;4.0;;;0.0;28.0;;;0.0;13.31;9.09;-0.0;8.77;1.0;9.42;0.68;0.68;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;-2.0;;;-2.0;-0.0;;;;0.0;;;-0.0;;-2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;37.0;9.0;4.0;4.0;4.0;2.0;4.0;;;;;;2.0;-0.0;-1.0;-1.0;2.0;27.0;25.75;6.0;;6.0;;;0.0;33.0;;;0.0;10.96;10.41;0.0;10.68;2.0;6.58;0.54;0.54;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;-1.0;;;-1.0;-0.0;;;;-0.0;;0.0;;;-1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;42.0;11.0;5.0;5.0;5.0;3.0;4.0;;;;;;5.0;-1.0;;;5.0;31.0;26.38;6.0;;6.0;;;0.0;37.0;;;0.0;12.23;11.51;0.0;11.75;2.0;7.19;0.68;0.68;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;;;;;-0.0;;;2.0;-0.0;;;;-0.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
