;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;649.0;95.0;4.0;35.0;0.0;0.0;57.0;;;;;;-1.0;-109.0;115.0;115.0;-111.0;554.0;14.62;60.0;;;;;60.0;614.0;;;4.0;0.6;5.33;-34.0;0.05;0.0;0.03;0.01;0.01;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;4.0;-2.0;;-26.0;;1.0;;;23.0;-109.0;;;;0.0;;108.0;;;7.0;-0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1006.0;221.0;97.0;98.0;83.0;51.0;104.0;464.0;568.0;212.0;290.0;278.0;-1.0;-47.0;60.0;;-53.0;785.0;21.97;123.0;;108.0;108.0;;15.0;908.0;;;15.0;9.61;9.74;-15.0;8.2;31.0;5.04;0.49;0.49;102.0;;20.0;;20.0;224.0;204.0;16.0;74.0;;24.0;24.0;;;5.0;104.0;;135.0;1.0;;;75.0;62.0;;3.0;14.0;78.0;;;;;76.0;-39.0;240.0;568.0;;568.0;;51.0;15.0;-3.0;;252.0;;-65.0;;252.0;-315.0;-52.0;;;;5.0;;44.0;;;16.0;-4.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1172.0;292.0;129.0;138.0;109.0;69.0;106.0;558.0;818.0;211.0;431.0;387.0;38.0;-149.0;103.0;;-121.0;880.0;24.93;155.0;;136.0;136.0;;19.0;1035.0;;;19.0;10.96;11.73;-28.0;9.33;40.0;5.88;0.66;0.65;106.0;;11.0;;11.0;281.0;242.0;23.0;92.0;;146.0;146.0;;;23.0;260.0;;119.0;7.0;;;85.0;206.0;;4.0;10.0;220.0;;;;;152.0;-54.0;289.0;818.0;;818.0;;69.0;19.0;-4.0;;94.0;;16.0;;346.0;-141.0;-159.0;;;;10.0;;1.0;;;102.0;-0.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;745.0;165.0;28.0;22.0;5.0;2.0;117.0;478.0;782.0;176.0;387.0;395.0;85.0;-50.0;-34.0;0.0;2.0;580.0;22.13;143.0;;120.0;120.0;;23.0;723.0;;;23.0;3.72;2.95;-18.0;0.6;3.0;0.2;0.01;0.01;116.0;;12.0;;12.0;196.0;254.0;16.0;109.0;;175.0;175.0;;;20.0;304.0;;101.0;;;;75.0;196.0;;6.0;9.0;211.0;;;;1.0;160.0;-73.0;308.0;782.0;;782.0;;2.0;23.0;8.0;;-44.0;;-6.0;;302.0;96.0;-82.0;;;;32.0;;0.0;;;-34.0;0.0;12.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1150.0;300.0;62.0;78.0;27.0;13.0;162.0;743.0;1279.0;263.0;512.0;767.0;27.0;-65.0;33.0;-6.0;2.0;850.0;26.1;222.0;;187.0;187.0;;35.0;1072.0;;;35.0;5.4;6.8;-51.0;2.35;14.0;1.14;0.09;0.08;159.0;;42.0;;42.0;295.0;376.0;30.0;174.0;;329.0;329.0;;;33.0;536.0;;166.0;;;;97.0;222.0;;16.0;10.0;249.0;;;;1.0;205.0;-112.0;673.0;1279.0;;1279.0;;13.0;35.0;-6.0;;178.0;;-27.0;;480.0;-194.0;-25.0;;;;-40.0;;14.0;;;19.0;-0.0;42.0;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1747.0;428.0;207.0;189.0;168.0;104.0;163.0;909.0;1472.0;277.0;604.0;868.0;-35.0;-58.0;96.0;1.0;-63.0;1320.0;24.48;239.0;;239.0;239.0;;;1558.0;;;39.0;11.84;10.83;-21.0;9.61;64.0;5.96;0.65;0.64;162.0;;43.0;;43.0;382.0;456.0;27.0;169.0;;352.0;352.0;;17.0;25.0;563.0;;161.0;10.0;;;106.0;300.0;;20.0;6.0;327.0;;;;1.0;309.0;-120.0;678.0;1472.0;;1472.0;;104.0;39.0;8.0;;151.0;;-72.0;;631.0;-337.0;-27.0;;;;-31.0;;9.0;;;86.0;-2.0;43.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1522.0;362.0;138.0;134.0;112.0;73.0;163.0;1115.0;1969.0;346.0;1026.0;933.0;104.0;-225.0;195.0;75.0;79.0;1160.0;23.78;228.0;;228.0;228.0;;;1388.0;;;25.0;9.04;8.83;-22.0;7.39;39.0;4.8;0.45;0.45;162.0;;118.0;;118.0;428.0;470.0;99.0;208.0;;582.0;582.0;;37.0;27.0;854.0;;169.0;;;;178.0;595.0;;55.0;30.0;679.0;;;;1.0;382.0;-160.0;710.0;1959.0;10.0;1969.0;;73.0;25.0;11.0;;138.0;;25.0;;769.0;-143.0;-25.0;;;;-201.0;;2.0;;;193.0;1.0;118.0;43.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2005.0;464.0;150.0;159.0;12.0;77.0;170.0;1246.0;2243.0;452.0;1137.0;1090.0;31.0;-102.0;25.0;-44.0;-1.0;1541.0;23.15;305.0;;305.0;305.0;;;1846.0;;;39.0;7.47;7.93;-147.0;0.58;34.0;3.83;0.46;0.45;169.0;;74.0;;74.0;461.0;547.0;165.0;252.0;;667.0;667.0;;52.0;25.0;996.0;;229.0;15.0;;;209.0;594.0;;52.0;38.0;684.0;;;;1.0;459.0;-197.0;828.0;2227.0;16.0;2243.0;;77.0;39.0;7.0;;25.0;;-51.0;;794.0;-117.0;-32.0;;;;-70.0;;10.0;;;16.0;2.0;74.0;118.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;2318.0;496.0;173.0;169.0;132.0;110.0;173.0;1537.0;2599.0;800.0;1285.0;1296.0;166.0;-6.0;-95.0;69.0;127.0;1822.0;21.41;328.0;;328.0;328.0;;;2150.0;;;44.0;7.48;7.27;-37.0;5.67;19.0;4.75;0.64;0.64;172.0;;143.0;;143.0;707.0;658.0;31.0;255.0;;730.0;730.0;;55.0;21.0;1061.0;;408.0;150.0;;;243.0;350.0;;103.0;32.0;484.0;;;;1.0;569.0;-251.0;978.0;2581.0;18.0;2599.0;;110.0;44.0;-7.0;;-57.0;;-98.0;;737.0;76.0;-39.0;;;;33.0;;15.0;;;-110.0;4.0;143.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;4645.0;987.0;540.0;477.0;430.0;287.0;317.0;2998.0;6679.0;1187.0;2460.0;4194.0;78.0;38.0;-40.0;67.0;-28.0;3657.0;21.26;510.0;;479.0;479.0;;32.0;4168.0;;;115.0;11.64;10.27;-47.0;9.26;139.0;6.18;0.92;0.91;313.0;;209.0;;209.0;1481.0;1198.0;109.0;878.0;;2729.0;2729.0;;52.0;21.0;3680.0;;568.0;6.0;;;613.0;836.0;;373.0;64.0;1273.0;;;;2.0;830.0;-22.0;3385.0;6654.0;25.0;6679.0;;287.0;115.0;;;1074.0;;-215.0;;1811.0;-1398.0;-105.0;148.0;;;-5.0;;112.0;;;-152.0;-8.0;209.0;143.0;;;;;;;;;;;;;;;;;;;;;;;;;;
