;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2007.0;;;;;;;;;;;;;-29.0;-11.0;4.0;-37.0;-42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-41.0;13.0;0.0;;-11.0;;;;;11.0;-13.0;;;;2.0;;;0.0;;3.0;-0.0;21.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2008.0;134.0;25.0;-15.0;-29.0;-30.0;-28.0;3.0;99.0;155.0;68.0;268.0;-115.0;-15.0;-7.0;37.0;15.0;-26.0;109.0;18.32;48.0;21.0;25.0;15.0;10.0;2.0;158.0;0.0;2.0;14.0;-10.92;-21.67;-1.0;-22.28;-2.0;-20.94;-14.64;-14.64;2.0;;29.0;;29.0;48.0;19.0;4.0;40.0;4.0;11.0;15.0;;;1.0;56.0;;22.0;35.0;;;11.0;1.0;;1.0;198.0;199.0;;;;0.0;-212.0;6.0;91.0;153.0;2.0;155.0;;-28.0;14.0;-2.0;1.0;31.0;-15.0;6.0;-0.0;31.0;-31.0;-11.0;;;4.0;0.0;-34.0;;-0.0;;71.0;0.0;29.0;14.0;;;68.89;-14.42;-13.56;;5.72;-59.02;2.0;;;;134.0;-21.7;14.0;-28.0;6.1;-20.9;31.0;1.0;-115.0;-31.3;-18.4;24.4;100.0;
2009.0;155.0;40.0;10.0;-4.0;-5.0;-7.0;14.0;116.0;162.0;72.0;282.0;-121.0;12.0;-6.0;9.0;15.0;7.0;115.0;26.11;43.0;17.0;25.0;15.0;10.0;1.0;158.0;0.0;1.0;14.0;6.16;-2.7;-1.0;-3.19;2.0;-4.49;-0.51;-0.51;14.0;;43.0;;43.0;53.0;14.0;6.0;35.0;4.0;5.0;10.0;;;1.0;46.0;;22.0;34.0;;;16.0;2.0;;1.0;207.0;210.0;;;;0.0;-219.0;6.0;92.0;161.0;2.0;162.0;;-7.0;14.0;-0.0;1.0;14.0;-5.0;3.0;1.0;44.0;-9.0;-5.0;;;;-1.0;-51.0;;-0.0;;60.0;-0.0;43.0;29.0;;;11.4;-0.51;0.53;;0.34;-8.9;14.0;;;;155.0;-2.7;14.0;-7.0;-38.5;-4.5;44.0;2.0;-121.0;-6.3;-2.5;5.8;100.0;
2010.0;184.0;56.0;18.0;6.0;6.0;3.0;3.0;110.0;172.0;66.0;282.0;-110.0;11.0;-25.0;-5.0;-18.0;-5.0;128.0;30.41;50.0;22.0;27.0;17.0;10.0;1.0;178.0;0.0;1.0;12.0;9.95;3.33;-1.0;3.02;2.0;1.73;1.64;1.05;2.0;;25.0;;25.0;54.0;19.0;11.0;43.0;4.0;2.0;6.0;;;13.0;63.0;;30.0;23.0;;;13.0;3.0;;1.0;213.0;216.0;;;;0.0;-216.0;13.0;93.0;172.0;;172.0;;3.0;12.0;-0.0;2.0;-0.0;-1.0;-6.0;7.0;44.0;-6.0;-16.0;;-8.0;;-1.0;-52.0;;-0.0;;47.0;0.0;25.0;43.0;;;94.67;1.64;-2.37;;8.1;-56.37;2.0;;;;184.0;3.3;12.0;3.0;41.1;1.7;44.0;3.0;-110.0;3.4;3.6;-2.9;100.0;-0.0
2011.0;201.0;50.0;-0.0;-28.0;-14.0;-15.0;22.0;201.0;277.0;77.0;103.0;174.0;-13.0;-84.0;103.0;7.0;-24.0;151.0;24.91;64.0;31.0;34.0;22.0;12.0;-0.0;215.0;0.0;0.0;13.0;-0.12;-14.16;14.0;-7.08;1.0;-7.34;-1.42;-1.42;22.0;;32.0;54.0;86.0;69.0;35.0;11.0;56.0;;18.0;18.0;0.0;;1.0;76.0;;38.0;20.0;;;20.0;22.0;;1.0;3.0;26.0;;;;0.0;-231.0;11.0;393.0;277.0;;277.0;;-15.0;13.0;-0.0;3.0;80.0;-3.0;-9.0;-0.0;124.0;-93.0;-12.0;-39.0;-173.0;140.0;-0.0;-42.0;87.0;;;58.0;1.0;32.0;25.0;;;8.99;-0.66;-1.08;;0.52;7.77;22.0;-13.2;-0.8;;201.0;-14.2;13.0;-15.0;-8.1;-7.3;124.0;22.0;174.0;-7.1;-4.8;-8.5;100.0;
2012.0;245.0;61.0;3.0;-17.0;-16.0;-18.0;29.0;226.0;296.0;73.0;98.0;198.0;-9.0;-21.0;34.0;4.0;-22.0;184.0;24.96;79.0;38.0;39.0;26.0;13.0;1.0;263.0;1.0;1.0;19.0;1.27;-6.89;1.0;-6.64;1.0;-7.14;-0.62;-0.62;29.0;;37.0;64.0;101.0;70.0;44.0;10.0;54.0;;14.0;14.0;0.0;;1.0;70.0;;36.0;17.0;;;20.0;17.0;;1.0;7.0;25.0;;;;0.0;-248.0;12.0;434.0;296.0;;296.0;;-18.0;19.0;0.0;5.0;28.0;-2.0;-12.0;-3.0;152.0;-43.0;-13.0;;-156.0;145.0;2.0;-34.0;40.0;;;28.0;0.0;37.0;32.0;;;8.6;-0.61;-0.75;;0.45;6.93;29.0;-8.4;-0.6;;245.0;-6.9;19.0;-18.0;-8.4;-7.1;152.0;17.0;198.0;-7.6;-5.3;-8.9;100.0;
2013.0;282.0;65.0;-12.0;-34.0;-33.0;-34.0;31.0;217.0;302.0;92.0;125.0;177.0;5.0;13.0;3.0;20.0;-15.0;217.0;23.09;92.0;46.0;44.0;30.0;14.0;2.0;309.0;0.0;1.0;20.0;-4.17;-11.93;1.0;-11.74;1.0;-12.17;-1.11;-1.11;31.0;;57.0;18.0;75.0;65.0;65.0;12.0;69.0;;15.0;15.0;;;2.0;86.0;;49.0;20.0;;;24.0;24.0;;1.0;8.0;33.0;;;;0.0;-282.0;12.0;447.0;302.0;;302.0;;-34.0;20.0;-0.0;6.0;-28.0;7.0;-10.0;8.0;124.0;41.0;-20.0;-13.0;-59.0;104.0;1.0;-46.0;;-1.0;;49.0;-0.0;57.0;37.0;;;9.1;-1.11;-0.49;;0.63;5.7;31.0;-6.0;-0.3;;282.0;-11.9;20.0;-34.0;-3.6;-12.2;124.0;24.0;177.0;-15.9;-10.6;-19.4;100.0;
2014.0;306.0;71.0;7.0;-19.0;-17.0;-20.0;32.0;199.0;286.0;97.0;127.0;159.0;-0.0;-14.0;3.0;-14.0;-11.0;235.0;23.23;88.0;46.0;45.0;32.0;14.0;-3.0;323.0;0.0;1.0;23.0;2.44;-6.25;2.0;-5.62;3.0;-6.44;-0.61;-0.61;32.0;;43.0;;43.0;78.0;57.0;21.0;58.0;;10.0;10.0;;;19.0;87.0;;49.0;25.0;;;23.0;21.0;;2.0;7.0;30.0;;;;0.0;-302.0;5.0;457.0;286.0;;286.0;;-20.0;23.0;1.0;7.0;-22.0;-13.0;5.0;1.0;102.0;10.0;-11.0;-2.0;-10.0;19.0;-10.0;-41.0;;;;44.0;-3.0;43.0;57.0;;;9.54;-0.61;-0.36;;0.34;4.97;32.0;-7.8;-0.4;;306.0;-6.2;23.0;-20.0;-14.6;-6.4;102.0;21.0;159.0;-9.6;-5.6;-12.4;100.0;
2015.0;339.0;99.0;31.0;4.0;7.0;4.0;39.0;263.0;342.0;112.0;130.0;212.0;26.0;-22.0;30.0;33.0;9.0;240.0;29.19;94.0;45.0;47.0;32.0;16.0;2.0;334.0;0.0;1.0;23.0;9.1;1.16;3.0;2.0;3.0;1.08;0.1;0.09;37.0;;76.0;23.0;99.0;83.0;66.0;15.0;63.0;1.0;10.0;11.0;;;5.0;79.0;;51.0;33.0;;;28.0;11.0;;0.0;7.0;18.0;;;;0.0;-298.0;-2.0;512.0;342.0;;342.0;;4.0;23.0;-1.0;8.0;49.0;3.0;-15.0;-5.0;151.0;-57.0;-17.0;;-37.0;22.0;10.0;-120.0;46.0;;;104.0;-1.0;76.0;43.0;;;9.07;0.1;0.25;;0.45;5.66;37.0;72.5;3.6;;339.0;1.2;23.0;4.0;45.8;1.1;151.0;11.0;212.0;1.9;2.3;1.7;100.0;-490.8
2016.0;411.0;117.0;26.0;3.0;3.0;-0.0;42.0;271.0;391.0;146.0;165.0;225.0;54.0;-49.0;4.0;6.0;2.0;294.0;28.47;112.0;57.0;53.0;34.0;19.0;2.0;406.0;0.0;0.0;22.0;6.37;0.73;0.0;0.82;4.0;-0.05;-0.0;-0.0;42.0;;83.0;19.0;102.0;87.0;48.0;34.0;107.0;1.0;6.0;7.0;;;7.0;120.0;;85.0;31.0;;1.0;30.0;10.0;1.0;0.0;8.0;19.0;;;;0.0;-299.0;-8.0;532.0;391.0;;391.0;;-0.0;22.0;-1.0;17.0;-27.0;2.0;-1.0;23.0;124.0;42.0;-52.0;;-84.0;87.0;-0.0;-114.0;;-0.0;;118.0;-1.0;83.0;76.0;;;9.84;-0.0;0.05;;1.24;5.39;42.0;-2491.6;-112.3;;411.0;0.7;22.0;-0.0;106.0;-0.0;124.0;10.0;225.0;-0.1;1.0;-0.1;100.0;
2017.0;293.0;61.0;-23.0;-51.0;-52.0;-53.0;43.0;265.0;403.0;154.0;209.0;194.0;-33.0;-16.0;43.0;-4.0;-80.0;231.0;20.99;111.0;58.0;52.0;34.0;18.0;0.0;342.0;0.0;1.0;28.0;-7.75;-17.54;-1.0;-17.9;1.0;-18.21;-1.23;-1.23;43.0;;79.0;12.0;91.0;84.0;67.0;22.0;128.0;1.0;4.0;5.0;;;5.0;138.0;;69.0;42.0;;1.0;42.0;41.0;2.0;0.0;12.0;55.0;;;;0.0;-352.0;-125.0;671.0;403.0;;403.0;;-53.0;28.0;1.0;8.0;-14.0;13.0;-22.0;-11.0;111.0;-3.0;-47.0;;-52.0;60.0;23.0;-80.0;;-0.0;;123.0;2.0;79.0;83.0;;;6.74;-1.23;-1.85;;1.09;4.48;43.0;-6.5;-0.3;;293.0;-17.5;28.0;-53.0;-1.7;-18.2;111.0;41.0;194.0;-20.9;-12.7;-27.4;100.0;
2018.0;323.0;66.0;-9.0;-42.0;-42.0;-44.0;45.0;233.0;341.0;116.0;180.0;160.0;20.0;-12.0;-19.0;-12.0;5.0;256.0;20.52;101.0;54.0;47.0;30.0;17.0;0.0;358.0;0.0;2.0;31.0;-2.7;-12.92;-1.0;-13.12;1.0;-13.53;-0.97;-0.97;45.0;;58.0;7.0;66.0;93.0;52.0;23.0;100.0;1.0;3.0;4.0;;;3.0;107.0;;58.0;8.0;;1.0;49.0;50.0;2.0;;11.0;64.0;;0.0;;0.0;-397.0;-7.0;565.0;341.0;;341.0;;-44.0;31.0;-0.0;14.0;6.0;-8.0;7.0;-1.0;117.0;12.0;-15.0;;-3.0;6.0;0.0;-67.0;;;;47.0;-1.0;69.0;82.0;;;7.14;-0.97;0.1;;0.33;3.55;45.0;-7.2;-0.3;;323.0;-12.9;31.0;-44.0;-3.1;-13.5;117.0;50.0;160.0;-18.3;-11.7;-27.2;100.0;
2019.0;357.0;89.0;19.0;-15.0;-15.0;-17.0;47.0;231.0;335.0;109.0;174.0;160.0;35.0;-7.0;-15.0;12.0;25.0;268.0;24.89;104.0;58.0;46.0;30.0;16.0;0.0;372.0;0.0;2.0;33.0;5.34;-4.08;-1.0;-4.33;2.0;-4.79;-0.36;-0.36;47.0;;70.0;8.0;78.0;85.0;47.0;20.0;97.0;1.0;2.0;3.0;;;4.0;104.0;;59.0;3.0;;;47.0;39.0;1.0;1.0;24.0;65.0;;19.0;;0.0;-415.0;-8.0;583.0;335.0;;335.0;;-17.0;33.0;-0.0;12.0;5.0;6.0;-3.0;-0.0;122.0;2.0;-10.0;;-0.0;;2.0;-23.0;;;;8.0;-0.0;81.0;69.0;;;7.54;-0.36;0.53;;0.2;3.39;47.0;-17.5;-0.7;;357.0;-4.1;33.0;-17.0;-10.6;-4.8;122.0;39.0;160.0;-6.6;-4.0;-10.7;100.0;
2020.0;371.0;103.0;31.0;4.0;-3.0;-4.0;49.0;236.0;324.0;89.0;143.0;180.0;55.0;-33.0;-9.0;14.0;41.0;268.0;27.77;102.0;56.0;46.0;31.0;16.0;;370.0;0.0;1.0;33.0;8.24;0.96;-7.0;-0.85;1.0;-1.18;-0.09;-0.09;49.0;;95.0;28.0;123.0;57.0;47.0;9.0;81.0;1.0;1.0;3.0;;;5.0;88.0;;44.0;3.0;;;42.0;30.0;1.0;1.0;23.0;54.0;;17.0;;0.0;-419.0;2.0;597.0;324.0;;324.0;;-4.0;33.0;-1.0;12.0;25.0;23.0;-7.0;-15.0;147.0;-10.0;-14.0;;-24.0;4.0;1.0;-10.0;;;;2.0;1.0;96.0;81.0;;;7.5;-0.09;0.83;;0.28;3.65;49.0;-88.3;-2.3;;371.0;1.0;33.0;-4.0;-38.0;-1.2;147.0;30.0;180.0;-1.2;-0.6;-2.4;100.0;
2021.0;290.0;68.0;-12.0;-38.0;-39.0;-41.0;52.0;230.0;306.0;106.0;153.0;153.0;-21.0;-10.0;13.0;-18.0;-21.0;223.0;23.28;101.0;56.0;45.0;30.0;15.0;;324.0;0.0;1.0;26.0;-4.28;-13.03;-1.0;-13.44;2.0;-14.03;-0.78;-0.78;52.0;;78.0;28.0;106.0;55.0;53.0;16.0;67.0;1.0;1.0;2.0;;;6.0;76.0;;58.0;18.0;;;30.0;39.0;;;7.0;47.0;;13.0;;0.0;-460.0;2.0;;306.0;;306.0;;-41.0;26.0;-1.0;11.0;-23.0;-10.0;12.0;14.0;124.0;7.0;-0.0;;-31.0;31.0;-10.0;-0.0;;;;13.0;0.0;78.0;96.0;;;5.54;-0.78;-0.4;;0.01;2.92;52.0;-14.0;-0.5;;290.0;-13.0;26.0;-41.0;-4.4;-14.0;124.0;39.0;153.0;-19.9;-12.4;-26.6;100.0;
