;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;38.0;;42.0;;41.0;41.0;127.0;;535.0;;157.0;378.0;;;;;;;;;;6.0;6.0;;;;34.0;1.0;;110.1;;;108.25;;108.25;0.33;0.33;127.0;;;290.0;;0.0;;;;;245.0;245.0;290.0;;;;535.0;0.0;;;;;;;;;;157.0;;;;;;378.0;535.0;;535.0;;41.0;;;;5.0;;;;;-46.0;;;;;;;;;;;;;;;;0.3;0.33;;;;2.99;127.0;;;;38.0;;;41.0;;108.3;;;378.0;7.8;7.8;10.9;100.0;
2013.0;201.0;;281.0;;266.0;266.0;129.0;;5959.0;2204.0;4446.0;1266.0;153.0;-993.0;1113.0;;-144.0;;;-193.0;;10.0;21.0;;-203.0;;88.0;15.0;;139.96;;;132.32;;132.48;2.1;2.06;127.0;;272.0;1973.0;2245.0;48.0;;;;;676.0;676.0;4639.0;;;;5959.0;254.0;;;;1950.0;2489.0;;;0.0;2489.0;;;;3.0;103.0;3.0;1157.0;5711.0;247.0;5959.0;;266.0;;;0.0;-2204.0;;;;-2204.0;2091.0;-297.0;;-741.0;103.0;-356.0;-59.0;;;-62.0;1234.0;;272.0;;;;1.59;2.1;-1.14;0.49;2.35;10.0;127.0;6.2;0.4;3.8;201.0;;;266.0;;132.5;-2204.0;2489.0;1266.0;8.0;4.9;21.0;76.7;-43.0
2014.0;476.0;;517.0;;465.0;353.0;140.0;;8094.0;3584.0;6244.0;1596.0;155.0;-2014.0;1799.0;-59.0;61.0;;;-259.0;;27.0;47.0;;-286.0;;347.0;141.0;;108.55;;;97.73;23.0;74.16;2.59;2.53;136.0;;213.0;2463.0;2676.0;82.0;;;;;749.0;749.0;5734.0;;;;8094.0;39.0;;;;3545.0;2913.0;;15.0;-19.0;2909.0;;;;1.0;238.0;28.0;1329.0;7840.0;254.0;8094.0;;353.0;;15.0;0.0;-1380.0;;;;-3584.0;1167.0;6.0;;-6941.0;6477.0;-1549.0;-5417.0;174.0;;-228.0;7270.0;;213.0;272.0;;;3.49;2.59;0.45;1.67;-0.04;11.7;136.0;4.9;0.3;13.2;476.0;;;353.0;4.9;74.2;-3584.0;2913.0;1596.0;11.5;6.6;22.1;35.5;88.4
2015.0;328.0;;532.0;;271.0;269.0;203.0;;15193.0;5147.0;12206.0;2796.0;321.0;-313.0;29.0;37.0;69.0;;;100.0;;50.0;95.0;;50.0;;645.0;274.0;;162.07;;;82.57;-11.0;81.89;1.34;1.32;201.0;;250.0;2502.0;2752.0;1760.0;;;;;1799.0;1799.0;9929.0;;;;15193.0;763.0;;;;4385.0;7250.0;;;;7250.0;;;;2.0;149.0;4.0;2641.0;15002.0;191.0;15193.0;;269.0;;-7.0;0.0;-1563.0;;;;-5147.0;1622.0;31.0;-881.0;-15037.0;16047.0;-441.0;-7287.0;882.0;;-303.0;6737.0;;250.0;213.0;;;1.63;1.34;0.34;1.51;-0.16;13.93;201.0;10.7;0.5;10.5;328.0;;;269.0;-4.1;81.9;-5147.0;7250.0;2796.0;5.6;3.5;9.6;-12.8;-843.8
2016.0;812.0;;917.0;;622.0;504.0;238.0;;18365.0;7149.0;14897.0;3260.0;561.0;-183.0;-269.0;109.0;32.0;;;200.0;;39.0;80.0;;161.0;;1077.0;373.0;;112.97;;;76.6;39.0;62.16;2.12;2.12;238.0;;291.0;5074.0;5364.0;1951.0;;;;;2254.0;2254.0;10780.0;;;;18365.0;1449.0;;;;5699.0;7991.0;;;;7991.0;;;;3.0;211.0;126.0;2921.0;18157.0;208.0;18365.0;;504.0;;35.0;0.0;-2002.0;;;;-7149.0;2023.0;57.0;-56.0;-15360.0;17214.0;-1981.0;-10844.0;280.0;;-433.0;10728.0;;454.0;345.0;;;3.41;2.12;0.13;1.82;-0.24;13.69;238.0;6.2;0.3;13.9;812.0;;;504.0;6.3;62.2;-7149.0;7991.0;3260.0;7.8;5.0;15.5;14.1;480.7
2017.0;1407.0;;1586.0;;1182.0;958.0;304.0;;22214.0;10439.0;17417.0;4690.0;-900.0;-1778.0;2670.0;-8.0;-2561.0;;;301.0;;67.0;123.0;;234.0;;1520.0;461.0;;112.76;;;84.05;168.0;68.07;3.17;3.15;302.0;;296.0;8071.0;8367.0;2567.0;;;;;3081.0;3081.0;12118.0;;;;22214.0;1296.0;;;;9143.0;7084.0;;19.0;-19.0;7084.0;;;;3.0;559.0;364.0;3764.0;22108.0;106.0;22214.0;;958.0;;169.0;1.0;-3290.0;;;;-10439.0;1264.0;48.0;;-12335.0;13946.0;-3389.0;-8972.0;835.0;;-570.0;11376.0;;446.0;454.0;;;4.65;3.17;-8.47;1.89;-0.16;15.52;302.0;5.3;0.2;11.3;1407.0;;;958.0;14.2;68.1;-10439.0;7084.0;4690.0;11.7;7.2;20.4;40.4;10.4
2018.0;1428.0;;1497.0;;931.0;964.0;343.0;;31691.0;18591.0;25603.0;5998.0;-1229.0;-5171.0;6369.0;-31.0;-2424.0;;;655.0;;161.0;294.0;;494.0;;1664.0;606.0;;104.86;;;65.22;-73.0;67.52;2.82;2.81;341.0;;251.0;11637.0;11888.0;9317.0;;;;25.0;3499.0;3523.0;12455.0;;;;31691.0;2269.0;;;;16322.0;7102.0;;;;7102.0;;;;4.0;831.0;417.0;4746.0;31600.0;91.0;31691.0;;964.0;;-80.0;1.0;-8152.0;;;;-18591.0;6038.0;32.0;-123.0;-2478.0;2664.0;-5234.0;-9893.0;983.0;;-662.0;15941.0;;415.0;446.0;;;4.18;2.82;-7.1;1.94;-0.09;17.57;341.0;6.1;0.2;11.2;1428.0;;;964.0;-7.9;67.5;-18591.0;7102.0;5998.0;12.4;4.7;16.1;31.3;13.3
2019.0;1269.0;;1539.0;;648.0;563.0;409.0;20669.0;44863.0;;37627.0;7158.0;-1623.0;-10949.0;12847.0;276.0;-3073.0;;;;;347.0;347.0;;-224.0;;1766.0;934.0;;121.26;;;51.04;42.0;44.39;1.35;1.34;409.0;;529.0;19478.0;20006.0;11138.0;;-10476.0;50.0;30.0;4514.0;4544.0;19600.0;;;24195.0;69058.0;1218.0;;;;;7931.0;;;;7931.0;45558.0;39.0;423.0;4.0;550.0;682.0;5498.0;44785.0;79.0;44863.0;;606.0;;53.0;1.0;64.0;;;;;-2347.0;-1450.0;-1223.0;-38289.0;29398.0;-834.0;-9307.0;752.0;;-817.0;22219.0;;691.0;415.0;;;3.1;1.38;-7.52;2.0;3.55;17.51;409.0;11.5;0.5;12.7;1269.0;;;563.0;6.4;44.4;20669.0;7931.0;7158.0;3.2;3.4;7.9;-34.9;-2.1
2020.0;-173.0;;-809.0;;-1341.0;-1410.0;416.0;14922.0;33252.0;;27822.0;5321.0;1856.0;8645.0;-10112.0;390.0;1316.0;;;;;663.0;663.0;;-33.0;;1103.0;584.0;;467.61;;;775.01;17.0;815.24;-3.52;-3.52;416.0;;945.0;14245.0;15189.0;4797.0;;-5064.0;54.0;29.0;3935.0;3964.0;14311.0;;;18330.0;51582.0;192.0;;;;;8217.0;;8.0;;8225.0;36047.0;31.0;813.0;4.0;-1109.0;66.0;5547.0;33143.0;109.0;33252.0;;-1358.0;;15.0;1.0;229.0;;;;;2969.0;-540.0;;-24753.0;33392.0;7.0;-74573.0;2.0;-7.0;-384.0;64851.0;;1080.0;691.0;;;-0.42;-3.39;3.17;0.92;1.3;12.81;416.0;-2.8;-0.1;9.8;-173.0;;;-1410.0;-1.3;815.2;14922.0;8217.0;5321.0;-2.5;-2.4;-26.5;128.3;
2021.0;2635.0;;1434.0;;964.0;772.0;482.0;22656.0;39742.0;;33073.0;6604.0;2884.0;2306.0;-4742.0;448.0;2861.0;;;;;1344.0;1344.0;;;;811.0;497.0;6.0;54.41;;;36.58;158.0;29.31;1.73;1.67;467.0;;1333.0;9397.0;10729.0;3751.0;;8176.0;174.0;85.0;7347.0;7432.0;9480.0;;;17086.0;56828.0;377.0;;;;;9331.0;;441.0;;9771.0;42844.0;143.0;1262.0;5.0;-813.0;90.0;6060.0;39677.0;65.0;39742.0;;806.0;6.0;151.0;1.0;825.0;;;;;1095.0;-23.0;-1173.0;-7586.0;11969.0;-904.0;-138823.0;514.0;;-439.0;134006.0;;1528.0;1080.0;;;5.65;1.66;6.13;0.94;0.05;14.15;467.0;6.4;0.2;8.9;2635.0;;6.0;772.0;16.4;29.3;22656.0;9331.0;6604.0;3.0;3.6;11.7;45.6;-2.6
