;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
1999.0;2.0;1.0;-6.0;-6.0;-6.0;-6.0;1760.0;15.0;16.0;1.0;1.0;16.0;-2.0;-1.0;16.0;13.0;-3.0;1.0;28.81;7.0;1.0;;;;6.0;8.0;;;0.0;-326.02;-340.99;0.0;-332.27;0.0;-332.72;-0.0;-0.0;1760.0;;14.0;;14.0;1.0;;1.0;1.0;;;;;;;1.0;;0.0;;;;1.0;;;;;;;;;0.0;-6.0;-0.0;21.0;16.0;;16.0;;-6.0;0.0;;;-1.0;;;;;5.0;-1.0;;;;;;16.0;;;;;14.0;0.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;7.0;4.0;-15.0;-19.0;-16.0;-16.0;1998.0;104.0;114.0;18.0;18.0;96.0;-18.0;-7.0;108.0;83.0;-23.0;4.0;50.53;22.0;1.0;;;;21.0;26.0;3.0;;1.0;-205.99;-258.05;3.0;-219.27;;-219.27;-0.01;-0.01;1998.0;;81.0;;81.0;0.0;;23.0;5.0;;;;;;5.0;10.0;;1.0;13.0;;0.0;3.0;;;;;;;;;0.0;-22.0;-1.0;119.0;114.0;;114.0;;-16.0;1.0;;;-4.0;;;;;2.0;-5.0;;;;-2.0;;96.0;;;13.0;-0.0;81.0;-2.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3.0;-4.0;-25.0;-27.0;;-27.0;2411.0;72.0;77.0;14.0;14.0;64.0;-21.0;-8.0;3.0;-26.0;-24.0;7.0;-112.22;23.0;1.0;;;;21.0;30.0;;;2.0;-760.64;-819.38;-2.0;;;-821.89;-0.01;-0.01;2411.0;;55.0;5.0;60.0;;;12.0;4.0;;;;;;1.0;6.0;;2.0;10.0;;;3.0;;;;;;;;;0.0;-52.0;-3.0;119.0;77.0;0.0;77.0;;-27.0;2.0;;;0.0;;;;;3.0;-2.0;;-5.0;;0.0;;1.0;;;2.0;0.0;55.0;81.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;27.0;18.0;4.0;0.0;2.0;2.0;2502.0;71.0;75.0;5.0;5.0;70.0;14.0;5.0;-9.0;10.0;12.0;9.0;67.56;18.0;2.0;;;;16.0;26.0;;;3.0;16.16;1.82;1.0;6.29;-0.0;7.38;0.0;0.0;2441.0;;68.0;;68.0;;;4.0;3.0;;;;;0.0;0.0;4.0;;0.0;;;0.0;4.0;;;;;;;;;0.0;-53.0;-4.0;127.0;75.0;;75.0;;2.0;3.0;-0.0;;-2.0;;;;;12.0;-2.0;;;;7.0;;0.0;;;-10.0;0.0;68.0;58.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;66.0;55.0;44.0;39.0;42.0;39.0;2641.0;209.0;216.0;9.0;109.0;106.0;45.0;-44.0;94.0;96.0;42.0;10.0;84.24;16.0;2.0;;;;13.0;26.0;1.0;;3.0;67.32;60.28;2.0;63.45;3.0;59.56;0.02;0.02;2498.0;;164.0;40.0;204.0;;;5.0;5.0;;;;;;2.0;7.0;;1.0;;;;8.0;100.0;;;0.0;100.0;;;;0.0;-18.0;4.0;120.0;216.0;;216.0;;39.0;3.0;-1.0;;4.0;;;;;1.0;-3.0;;-40.0;;-0.0;;2.0;-5.0;;97.0;-0.0;164.0;68.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;109.0;87.0;60.0;54.0;57.0;53.0;2793.0;286.0;296.0;31.0;133.0;163.0;74.0;13.0;4.0;91.0;67.0;22.0;79.66;33.0;4.0;29.0;10.0;18.0;;55.0;3.0;0.0;3.0;55.37;49.53;3.0;52.01;3.0;48.85;0.02;0.02;2526.0;;257.0;20.0;277.0;7.0;0.0;2.0;9.0;;;;;;1.0;10.0;;2.0;;5.0;16.0;12.0;101.0;;;;101.0;;;;0.0;28.0;11.0;124.0;296.0;;296.0;;53.0;3.0;;0.0;16.0;1.0;;1.0;10.0;2.0;-7.0;;;20.0;-0.0;;;;;4.0;;257.0;166.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;200.0;166.0;132.0;121.0;127.0;115.0;2852.0;433.0;449.0;51.0;153.0;296.0;137.0;-201.0;13.0;-54.0;125.0;34.0;82.93;45.0;11.0;33.0;15.0;19.0;;79.0;7.0;0.0;5.0;66.25;60.58;6.0;63.69;12.0;57.8;0.04;0.04;2581.0;;209.0;;209.0;10.0;0.0;215.0;16.0;;;;;;0.0;16.0;;4.0;;10.0;29.0;19.0;100.0;;;1.0;101.0;;;;0.0;139.0;17.0;140.0;449.0;;449.0;;115.0;5.0;;0.0;14.0;-2.0;;2.0;10.0;2.0;-11.0;;-210.0;21.0;0.0;;;;;13.0;-4.0;209.0;263.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;277.0;228.0;186.0;164.0;176.0;159.0;700.0;529.0;560.0;87.0;188.0;372.0;204.0;-156.0;-106.0;-61.0;186.0;49.0;82.38;64.0;20.0;45.0;23.0;22.0;;113.0;12.0;;10.0;67.16;59.13;12.0;63.52;17.0;57.42;0.24;0.23;646.0;;155.0;350.0;504.0;19.0;0.0;6.0;29.0;;;;1.0;1.0;1.0;31.0;;14.0;;12.0;49.0;24.0;100.0;;;1.0;101.0;;;;0.0;300.0;21.0;51.0;560.0;;560.0;;159.0;10.0;-2.0;13.0;19.0;-9.0;;6.0;19.0;5.0;-18.0;;-277.0;;139.0;;;-112.0;;6.0;-4.0;155.0;216.0;;0.13;3.35;1.92;2.25;;0.22;4.5;646.0;2.0;0.1;;2164.0;59.1;78.0;1243.0;9.6;57.4;3453.0;780.0;2906.0;33.6;31.4;42.8;100.0;60.1;0.128
2007.0;303.0;246.0;187.0;165.0;173.0;173.0;662.0;607.0;641.0;175.0;176.0;465.0;189.0;130.0;-131.0;175.0;175.0;57.0;81.23;81.0;25.0;56.0;24.0;32.0;;138.0;15.0;;14.0;61.71;54.47;8.0;57.23;0.0;57.11;0.28;0.26;617.0;;340.0;;340.0;24.0;0.0;243.0;25.0;;;;1.0;3.0;5.0;34.0;;12.0;88.0;13.0;49.0;26.0;;;;1.0;1.0;;;;0.0;442.0;23.0;;641.0;0.0;641.0;;173.0;14.0;;13.0;-17.0;-4.0;;0.0;-6.0;6.0;-13.0;-0.0;;;141.0;;;-137.0;;6.0;-13.0;340.0;165.0;;0.14;3.59;2.05;2.08;;0.16;5.51;617.0;1.8;0.1;;2213.0;54.5;99.0;1264.0;0.2;57.1;3159.0;;3398.0;37.1;27.0;37.2;100.0;78.3;0.137
2008.0;452.0;370.0;291.0;281.0;278.0;234.0;647.0;876.0;930.0;122.0;122.0;809.0;296.0;-500.0;-23.0;-248.0;270.0;82.0;81.86;89.0;30.0;59.0;27.0;32.0;;172.0;21.0;;13.0;64.46;62.07;-3.0;61.51;44.0;51.76;0.37;0.36;623.0;;116.0;;116.0;39.0;0.0;720.0;38.0;;2.0;2.0;5.0;2.0;8.0;55.0;;18.0;;15.0;66.0;38.0;0.0;;;;0.0;;;;0.0;695.0;29.0;85.0;930.0;0.0;930.0;;234.0;13.0;;10.0;12.0;-11.0;;5.0;21.0;26.0;-26.0;-5.0;-624.0;153.0;-5.0;-1.0;;-24.0;;3.0;-21.0;116.0;364.0;;0.15;4.95;2.56;2.96;;0.28;8.85;623.0;1.6;0.1;;3085.0;62.1;91.0;1597.0;15.8;51.8;5145.0;0.0;5516.0;28.9;29.9;28.9;100.0;9.0;0.147
2009.0;550.0;411.0;338.0;296.0;315.0;271.0;648.0;1168.0;1290.0;202.0;202.0;1090.0;307.0;-279.0;6.0;36.0;217.0;140.0;74.65;114.0;34.0;81.0;31.0;50.0;;254.0;19.0;;21.0;61.43;53.86;19.0;57.24;46.0;49.25;0.42;0.42;643.0;;153.0;875.0;1028.0;33.0;;107.0;82.0;;33.0;33.0;5.0;1.0;1.0;122.0;;35.0;;31.0;95.0;72.0;0.0;;;;0.0;;;;0.0;941.0;33.0;115.0;1292.0;-2.0;1290.0;;271.0;21.0;-6.0;5.0;17.0;4.0;;18.0;20.0;-0.0;-90.0;-1.0;-939.0;606.0;113.0;;;;;6.0;3.0;153.0;116.0;;0.15;5.84;2.88;2.3;;0.95;11.56;643.0;2.3;0.0;;3757.0;53.9;144.0;1850.0;14.6;49.3;6595.0;0.0;7439.0;24.8;24.5;24.9;100.0;;0.146
2010.0;836.0;563.0;427.0;386.0;391.0;339.0;650.0;1612.0;1758.0;277.0;283.0;1478.0;433.0;-398.0;4.0;37.0;388.0;273.0;67.34;177.0;48.0;128.0;29.0;100.0;;450.0;21.0;;35.0;51.06;46.2;5.0;46.78;52.0;40.59;0.43;0.43;645.0;;195.0;;195.0;46.0;;1371.0;115.0;;24.0;24.0;5.0;0.0;2.0;146.0;;20.0;;44.0;139.0;119.0;0.0;;0.0;5.0;5.0;;;;0.0;1299.0;49.0;129.0;1760.0;-3.0;1758.0;;339.0;35.0;1.0;16.0;28.0;-14.0;;-6.0;29.0;14.0;-45.0;;;627.0;-980.0;;;;;4.0;-2.0;195.0;158.0;;0.15;8.54;3.47;3.96;;0.46;15.1;645.0;2.1;0.1;;5508.0;46.2;232.0;2236.0;13.4;40.6;8799.0;0.0;9741.0;22.9;22.2;23.0;100.0;;0.152
2011.0;1158.0;782.0;623.0;528.0;575.0;514.0;655.0;2300.0;2454.0;363.0;373.0;2086.0;647.0;-510.0;12.0;148.0;576.0;377.0;67.46;253.0;74.0;179.0;45.0;135.0;;630.0;41.0;;47.0;53.77;45.58;46.0;49.59;62.0;44.36;0.79;0.79;653.0;;352.0;158.0;510.0;53.0;;1737.0;135.0;;10.0;10.0;5.0;0.0;4.0;154.0;;21.0;;62.0;204.0;138.0;;;;10.0;10.0;;;;0.0;1851.0;75.0;159.0;2459.0;-4.0;2454.0;;514.0;47.0;-7.0;19.0;57.0;2.0;;4.0;38.0;17.0;-72.0;;-159.0;3.0;-289.0;-0.0;;;;12.0;-1.0;352.0;204.0;;0.16;11.16;4.95;5.55;;0.69;20.1;653.0;1.8;0.1;;7291.0;45.6;293.0;3234.0;10.9;44.4;12192.0;;13127.0;24.5;23.4;24.6;100.0;;0.159
