;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1994.0;4.0;-0.0;-11.0;-12.0;;-12.0;15.0;;;;;;-11.0;-2.0;13.0;13.0;-12.0;4.0;-5.13;11.0;;11.0;;;0.0;16.0;;;0.0;-284.62;-297.44;0.0;;;-294.87;-6.76;-6.76;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.0;0.0;;;-0.0;;-1.0;;;0.0;-1.0;;-1.0;;;;12.0;;;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;37.0;11.0;-11.0;-10.0;;-12.0;15.0;;;;;;-11.0;-7.0;56.0;56.0;-14.0;26.0;29.76;22.0;;21.0;;;1.0;48.0;;;1.0;-29.22;-27.88;-1.0;;;-31.1;-4.28;-4.28;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.0;1.0;;;29.0;;-3.0;;29.0;-28.0;-3.0;;-3.0;;-1.0;;56.0;;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;56.0;13.0;-22.0;-27.0;;-24.0;19.0;47.0;52.0;19.0;19.0;33.0;-19.0;-6.0;7.0;7.0;-22.0;44.0;22.46;39.0;;37.0;37.0;;2.0;83.0;;;2.0;-39.93;-47.59;2.0;;;-43.49;-1.28;-1.28;19.0;;22.0;;22.0;11.0;5.0;10.0;4.0;;;;;;0.0;4.0;;11.0;;;;7.0;;;;;;;;;;-53.0;-3.0;90.0;52.0;;52.0;;-24.0;2.0;;;;;-1.0;;29.0;4.0;-3.0;;-4.0;;1.0;;7.0;;;-0.0;;;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;58.0;9.0;-21.0;-24.0;;-23.0;19.0;31.0;34.0;23.0;23.0;11.0;-20.0;5.0;4.0;4.0;-20.0;49.0;15.63;33.0;8.0;22.0;22.0;;2.0;81.0;;;2.0;-36.98;-40.97;0.0;;;-40.63;-1.2;-1.2;19.0;;11.0;;11.0;12.0;3.0;4.0;3.0;;;;;;0.0;3.0;;13.0;3.0;;;7.0;;;;0.0;0.0;;;;;-77.0;-4.0;91.0;34.0;;34.0;;-23.0;2.0;;;-20.0;;1.0;;8.0;22.0;-0.0;;;6.0;;;1.0;;;3.0;;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;79.0;21.0;-2.0;-4.0;;-4.0;20.0;27.0;28.0;21.0;21.0;8.0;-10.0;2.0;4.0;4.0;-10.0;58.0;27.05;25.0;4.0;19.0;19.0;;2.0;83.0;;;2.0;-2.65;-4.93;1.0;;;-4.8;-0.19;-0.19;20.0;;8.0;;8.0;14.0;5.0;1.0;1.0;;;;;;0.0;1.0;;11.0;6.0;;;4.0;;;;0.0;0.0;;;;;-80.0;-5.0;93.0;28.0;;28.0;;-4.0;2.0;;;-2.0;;-2.0;;7.0;-6.0;-0.0;;;3.0;-0.0;;0.0;;;3.0;;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;32.0;24.0;-0.0;1.0;-3.0;-3.0;26.0;15.0;30.0;8.0;8.0;22.0;-3.0;6.0;-6.0;-3.0;-4.0;7.0;76.58;24.0;7.0;15.0;15.0;;2.0;31.0;;;2.0;-1.27;2.22;-3.0;-7.91;0.0;-8.54;-0.11;-0.11;26.0;;5.0;;5.0;8.0;1.0;1.0;2.0;;13.0;13.0;;;0.0;15.0;;2.0;2.0;;;4.0;;;;;;;;;;-83.0;-2.0;107.0;30.0;;30.0;;-3.0;2.0;;;1.0;;-0.0;;7.0;-2.0;-2.0;;;0.0;8.0;;0.0;-1.0;;-6.0;;5.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;49.0;38.0;-28.0;-29.0;-53.0;-53.0;42.0;13.0;109.0;20.0;22.0;87.0;-6.0;0.0;3.0;-3.0;-7.0;11.0;78.39;68.0;15.0;28.0;28.0;;25.0;78.0;;;25.0;-57.29;-59.92;-23.0;-107.59;0.0;-108.55;-1.26;-1.26;42.0;;3.0;0.0;3.0;8.0;1.0;2.0;3.0;;92.0;92.0;;;1.0;96.0;;8.0;3.0;;;9.0;;;;2.0;2.0;;;;0.0;-136.0;-3.0;227.0;109.0;;109.0;;-53.0;25.0;;;-13.0;;0.0;;-6.0;37.0;-1.0;;;;1.0;;1.0;;;2.0;-0.0;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;64.0;51.0;12.0;-17.0;-17.0;-17.0;50.0;31.0;142.0;21.0;28.0;115.0;10.0;-11.0;12.0;12.0;9.0;13.0;79.88;68.0;14.0;26.0;26.0;;28.0;81.0;;;29.0;18.93;-26.51;-0.0;-26.93;-0.0;-26.43;-0.34;-0.34;50.0;;14.0;;14.0;14.0;1.0;2.0;2.0;;108.0;108.0;;;1.0;111.0;;5.0;0.0;;1.0;14.0;3.0;;;3.0;6.0;;;;0.0;-153.0;-5.0;273.0;142.0;;142.0;;-17.0;29.0;;;16.0;;0.0;;9.0;-18.0;-1.0;-10.0;;;0.0;;17.0;-1.0;;-3.0;-0.0;14.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;107.0;90.0;20.0;7.0;7.0;6.0;73.0;40.0;144.0;24.0;24.0;119.0;12.0;-6.0;-2.0;5.0;10.0;16.0;84.6;83.0;28.0;44.0;;;11.0;99.0;;;13.0;18.52;6.19;-0.0;6.18;0.0;5.94;0.09;0.09;67.0;;19.0;;19.0;17.0;1.0;3.0;3.0;;97.0;97.0;;;4.0;103.0;;7.0;3.0;;2.0;11.0;;;;1.0;1.0;;;5.0;0.0;-147.0;-7.0;268.0;144.0;;144.0;;6.0;13.0;;;8.0;;-0.0;;17.0;-15.0;-2.0;-4.0;;;0.0;;8.0;-7.0;;-3.0;0.0;19.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;135.0;109.0;9.0;-6.0;-6.0;-6.0;78.0;95.0;402.0;50.0;99.0;303.0;5.0;24.0;-5.0;24.0;2.0;26.0;80.7;112.0;34.0;65.0;;;13.0;138.0;;;15.0;6.99;-4.77;1.0;-4.27;-0.0;-4.08;-0.07;-0.07;78.0;;43.0;;43.0;42.0;0.0;9.0;7.0;;298.0;298.0;;;3.0;307.0;;7.0;1.0;;14.0;29.0;;;1.0;47.0;48.0;;;5.0;0.0;-152.0;-9.0;460.0;402.0;;402.0;;-6.0;15.0;;;27.0;;2.0;;44.0;-32.0;-3.0;33.0;;;-6.0;;10.0;-3.0;;-12.0;-0.0;43.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
