;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1999.0;12.0;8.0;8.0;5.0;6.0;3.0;5.0;;;;;;4.0;-3.0;-2.0;-1.0;1.0;3.0;71.19;4.0;;;;;4.0;7.0;;;2.0;66.61;39.55;1.0;49.19;2.0;28.32;0.64;0.64;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;-0.0;;-1.0;;-0.0;;;-1.0;-3.0;;;0.0;-0.0;;;;-2.0;-0.0;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;13.0;8.0;7.0;4.0;5.0;3.0;5.0;;;;;;4.0;-9.0;5.0;-1.0;-6.0;4.0;65.44;4.0;;;;;4.0;8.0;0.0;;2.0;58.29;33.84;1.0;40.32;2.0;23.11;0.57;0.57;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;-0.0;;;;-1.0;;;-2.0;-10.0;;;1.0;-0.0;;;-0.0;-2.0;7.0;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;133.0;82.0;20.0;28.0;;17.0;5.0;;;;;;6.0;-7.0;5.0;4.0;-1.0;51.0;61.39;54.0;;;;;54.0;105.0;0.0;;3.0;14.79;21.07;-0.0;;;12.47;0.54;0.54;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;3.0;;;;;1.0;;;-14.0;-7.0;;-0.0;;0.0;;;-1.0;-2.0;8.0;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;14.0;10.0;10.0;4.0;7.0;4.0;5.0;5.0;53.0;5.0;29.0;24.0;6.0;-11.0;3.0;-2.0;-2.0;5.0;66.28;6.0;;;;;6.0;11.0;0.0;;4.0;71.79;24.98;3.0;46.21;3.0;27.84;0.78;0.78;5.0;;2.0;;2.0;3.0;1.0;0.0;30.0;3.0;;3.0;;;15.0;48.0;;2.0;;;;3.0;20.0;;4.0;0.0;24.0;;;;9.0;16.0;-26.0;26.0;53.0;;53.0;;4.0;4.0;1.0;;-0.0;;0.0;;-0.0;-3.0;-8.0;;;;-4.0;;;;-2.0;5.0;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;16.0;10.0;11.0;4.0;6.0;4.0;5.0;5.0;53.0;4.0;27.0;26.0;8.0;-4.0;-4.0;0.0;4.0;6.0;64.77;6.0;;;;;6.0;12.0;0.0;;4.0;67.27;25.09;2.0;40.19;3.0;24.07;0.75;0.75;5.0;;2.0;;2.0;3.0;0.0;0.0;28.0;3.0;;3.0;;;16.0;48.0;;1.0;;;;3.0;18.0;;5.0;0.0;23.0;;;;9.0;18.0;-31.0;31.0;53.0;;53.0;;4.0;4.0;2.0;;1.0;;0.0;;1.0;-3.0;-4.0;;;;1.0;;;;-2.0;-3.0;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;15.0;9.0;10.0;3.0;6.0;3.0;5.0;5.0;54.0;4.0;26.0;28.0;8.0;-3.0;-4.0;1.0;5.0;6.0;59.86;6.0;;;;;6.0;12.0;0.0;;4.0;65.34;17.43;3.0;37.06;2.0;21.8;0.64;0.64;5.0;;3.0;;3.0;1.0;0.0;0.0;;;3.0;3.0;;;46.0;49.0;;1.0;3.0;;;1.0;15.0;;6.0;0.0;22.0;;;;9.0;19.0;-35.0;35.0;54.0;;54.0;;3.0;4.0;1.0;;-1.0;;0.0;;0.0;0.0;-3.0;;;;-0.0;;;-0.0;-2.0;-3.0;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;17.0;12.0;13.0;4.0;9.0;5.0;5.0;4.0;55.0;5.0;24.0;32.0;6.0;-2.0;-4.0;-0.0;4.0;6.0;67.97;8.0;;;;;8.0;13.0;0.0;;4.0;77.82;24.64;5.0;54.11;4.0;31.48;1.07;1.07;5.0;;3.0;;3.0;1.0;0.0;0.0;;3.0;;3.0;;;48.0;51.0;;1.0;3.0;;;1.0;13.0;;6.0;0.0;19.0;;;;9.0;23.0;-39.0;39.0;55.0;;55.0;;5.0;4.0;-0.0;;-1.0;;0.0;;-1.0;-2.0;-2.0;;;;0.0;;;;-2.0;-3.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;17.0;11.0;64.0;3.0;59.0;35.0;5.0;32.0;80.0;24.0;29.0;51.0;4.0;54.0;-31.0;28.0;2.0;6.0;65.7;8.0;;;;;8.0;14.0;1.0;;4.0;376.36;19.85;56.0;351.95;24.0;207.98;6.86;6.86;5.0;;30.0;;30.0;1.0;0.0;0.0;;3.0;;3.0;;;45.0;48.0;;0.0;0.0;;;23.0;0.0;;3.0;2.0;6.0;;;;9.0;42.0;-43.0;43.0;80.0;;80.0;;35.0;4.0;-3.0;;9.0;;0.0;;9.0;-42.0;-2.0;;-18.0;74.0;-0.0;;;;-16.0;-15.0;;30.0;3.0;;;3.3;6.86;0.47;3.11;0.38;9.92;5.0;2.2;0.1;20.3;17.0;19.8;4.0;35.0;40.9;208.0;9.0;0.0;51.0;62.1;74.2;69.2;54.7;663.8
2007.0;17.0;11.0;12.0;3.0;8.0;5.0;5.0;12.0;59.0;2.0;6.0;53.0;-18.0;-1.0;-2.0;-21.0;-22.0;6.0;63.49;8.0;;;;;8.0;14.0;1.0;;4.0;66.69;17.69;5.0;44.19;3.0;26.49;0.9;0.9;5.0;;10.0;;10.0;1.0;0.0;0.0;;3.0;0.0;3.0;;;44.0;47.0;;2.0;0.0;;;1.0;0.0;;3.0;0.0;3.0;;;;9.0;45.0;-46.0;46.0;59.0;;59.0;;5.0;4.0;-0.0;;1.0;;-0.0;;9.0;-27.0;-4.0;;;3.0;-0.0;;;;-2.0;-0.0;;10.0;30.0;;;3.38;0.9;-4.3;0.4;0.79;10.42;5.0;13.6;0.8;3.3;17.0;17.7;4.0;5.0;40.1;26.5;9.0;0.0;53.0;8.1;12.9;8.6;55.4;-9.3
2008.0;35.0;22.0;19.0;6.0;7.0;3.0;5.0;9.0;131.0;7.0;79.0;52.0;9.0;-65.0;49.0;-6.0;5.0;13.0;62.54;16.0;;;;;16.0;29.0;0.0;3.0;9.0;53.9;17.0;1.0;18.94;4.0;7.63;0.53;0.53;5.0;;3.0;;3.0;3.0;1.0;1.0;4.0;30.0;26.0;56.0;25.0;;37.0;121.0;;2.0;1.0;;;5.0;51.0;;13.0;7.0;72.0;;;;9.0;45.0;-2.0;-0.0;131.0;;131.0;;3.0;9.0;;;-7.0;;-0.0;-2.0;2.0;4.0;-4.0;-61.0;;1.0;-1.0;-8.0;;;-2.0;59.0;;3.0;10.0;;;6.9;0.53;1.01;0.4;0.8;10.11;5.0;18.9;0.9;4.0;35.0;17.0;9.0;3.0;59.7;7.6;2.0;51.0;52.0;3.3;7.7;5.2;24.0;39.8
