;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;20.0;13.0;3.0;2.0;;2.0;6.0;;;;;;4.0;-1.0;-1.0;2.0;3.0;7.0;64.22;11.0;2.0;8.0;;;1.0;19.0;;;1.0;14.71;8.82;-0.0;;;7.84;0.42;0.26;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;1.0;;-0.0;;;-0.0;-1.0;;;;-0.0;;;;;-1.0;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;26.0;16.0;6.0;3.0;;4.0;8.0;;;;;;4.0;-14.0;16.0;6.0;3.0;10.0;61.97;13.0;3.0;9.0;;;1.0;23.0;;;1.0;21.36;12.72;0.0;;;16.71;0.64;0.53;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;1.0;;;-1.0;;-1.0;;;0.0;-1.0;;-13.0;;-0.0;;16.0;;;-0.0;;10.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;31.0;18.0;-7.0;-14.0;;-9.0;12.0;74.0;116.0;17.0;19.0;97.0;8.0;-81.0;68.0;-5.0;7.0;13.0;57.33;17.0;6.0;11.0;11.0;;;30.0;5.0;;2.0;-23.93;-45.78;-14.0;;;-29.19;-0.79;-0.79;12.0;;33.0;27.0;59.0;10.0;4.0;;;;;;;;42.0;42.0;;7.0;0.0;;1.0;9.0;0.0;;;1.0;2.0;;;;0.0;-12.0;-5.0;114.0;116.0;;116.0;;-9.0;2.0;;;1.0;;-1.0;;;15.0;-1.0;;-56.0;32.0;-56.0;;68.0;-0.0;;-0.0;;5.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;29.0;14.0;-28.0;-40.0;-39.0;-39.0;12.0;55.0;72.0;10.0;11.0;60.0;-21.0;22.0;-0.0;1.0;-22.0;15.0;48.98;52.0;16.0;16.0;16.0;;21.0;67.0;3.0;2.0;8.0;-95.97;-135.61;1.0;-132.62;0.0;-132.85;-3.24;-3.24;12.0;;6.0;37.0;43.0;6.0;6.0;1.0;;;;;;;17.0;17.0;;2.0;0.0;;0.0;7.0;;;;2.0;2.0;;;;0.0;-51.0;-6.0;117.0;72.0;;72.0;;-39.0;8.0;;;-5.0;;-1.0;;;14.0;-1.0;-1.0;-17.0;14.0;27.0;;1.0;-1.0;;-0.0;;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;20.0;10.0;-13.0;-15.0;-12.0;-13.0;12.0;54.0;60.0;9.0;10.0;49.0;;;;;;10.0;49.74;18.0;8.0;10.0;10.0;;;28.0;4.0;;;-62.61;-74.95;4.0;-56.84;0.0;-63.21;-1.06;-1.06;12.0;;45.0;;45.0;4.0;4.0;;;;;;;;6.0;6.0;;2.0;0.0;;;6.0;;;;2.0;2.0;;0.0;;;;-6.0;56.0;60.0;;60.0;;-13.0;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;19.0;11.0;3.0;-4.0;2.0;2.0;13.0;63.0;67.0;10.0;12.0;54.0;-0.0;-4.0;4.0;0.0;-0.0;9.0;56.09;15.0;5.0;10.0;10.0;;;23.0;4.0;0.0;1.0;17.08;-19.98;6.0;9.46;;9.46;0.15;0.14;13.0;;6.0;49.0;55.0;4.0;4.0;0.0;;;0.0;0.0;;;4.0;4.0;;1.0;2.0;;0.0;7.0;;;;2.0;2.0;;;;1.0;-62.0;-9.0;125.0;67.0;;67.0;;2.0;1.0;;;-0.0;;0.0;;;-3.0;-0.0;;-54.0;51.0;-1.0;;2.0;;;2.0;;6.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;21.0;11.0;-3.0;-10.0;-4.0;-4.0;13.0;62.0;66.0;13.0;15.0;51.0;2.0;-2.0;-1.0;-1.0;2.0;9.0;55.1;21.0;6.0;13.0;13.0;;2.0;30.0;6.0;;1.0;-12.35;-49.31;7.0;-17.65;;-17.65;-0.28;-0.28;13.0;;6.0;47.0;52.0;4.0;5.0;0.0;;;;;;;4.0;4.0;;3.0;1.0;;2.0;8.0;;;;2.0;2.0;;;;1.0;-66.0;-9.0;125.0;66.0;;66.0;;-4.0;1.0;;;2.0;;-1.0;;;3.0;-1.0;-3.0;-39.0;41.0;-1.0;;0.0;;;-2.0;;6.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;22.0;12.0;-2.0;-5.0;;-3.0;13.0;28.0;58.0;11.0;14.0;45.0;-3.0;-2.0;1.0;-4.0;-3.0;10.0;54.89;17.0;5.0;13.0;13.0;;;27.0;2.0;;1.0;-10.43;-23.69;0.0;;;-15.39;-0.26;-0.26;13.0;;2.0;18.0;19.0;4.0;4.0;1.0;;;;;29.0;;2.0;31.0;;2.0;1.0;;1.0;7.0;;;;2.0;2.0;;;;1.0;-69.0;-10.0;123.0;58.0;;58.0;;-3.0;1.0;;;-1.0;;0.0;;;1.0;-1.0;;-17.0;15.0;0.0;;0.0;;;1.0;;2.0;6.0;;;1.7;-0.26;-0.26;;0.06;3.4;13.0;;;;22.0;-23.7;1.0;-3.0;;-15.4;16.0;;45.0;;-5.9;-7.7;100.0;
2006.0;18.0;10.0;-2.0;-4.0;;-3.0;13.0;54.0;61.0;14.0;16.0;44.0;-4.0;1.0;3.0;0.0;-4.0;8.0;57.08;15.0;4.0;10.0;10.0;;;22.0;2.0;0.0;1.0;-10.29;-24.3;-0.0;;;-17.36;-0.23;-0.23;13.0;;2.0;42.0;44.0;5.0;4.0;1.0;;;;;5.0;;2.0;7.0;;3.0;4.0;;2.0;6.0;;;;2.0;2.0;;;;1.0;-73.0;-9.0;126.0;61.0;;61.0;;-3.0;1.0;;;-2.0;;-1.0;;-1.0;0.0;-1.0;;-0.0;2.0;0.0;;0.0;;;2.0;;2.0;2.0;;;1.34;-0.23;-0.33;;0.05;3.31;13.0;-76.1;-4.2;;18.0;-24.3;1.0;-3.0;;-17.4;40.0;;44.0;;-4.8;-7.0;100.0;
2007.0;23.0;12.0;-5.0;-4.0;-4.0;-7.0;14.0;30.0;52.0;10.0;13.0;39.0;-4.0;15.0;-3.0;8.0;-5.0;11.0;50.44;16.0;5.0;10.0;10.0;;;27.0;1.0;0.0;1.0;-23.92;-17.16;-0.0;-18.72;0.0;-31.22;-0.53;-0.53;14.0;;11.0;8.0;19.0;6.0;5.0;0.0;;;;;20.0;;2.0;22.0;;3.0;1.0;;0.0;6.0;;;;3.0;3.0;;;;1.0;-80.0;-11.0;129.0;52.0;;52.0;;-7.0;1.0;;;-3.0;;-2.0;;1.0;5.0;-1.0;;-20.0;36.0;0.0;;0.0;;;-3.0;;11.0;2.0;;;1.69;-0.53;-0.35;;0.07;2.88;14.0;-36.2;-2.1;;23.0;-17.2;1.0;-7.0;-1.7;-31.2;20.0;;39.0;-16.3;-13.0;-18.3;100.0;
