;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1985.0;1085.0;;109.0;1085.0;;109.0;168.0;;;;;;;;;;;;;;;;;;;;;;;10.01;100.0;;;;10.01;0.57;0.57;168.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;1091.0;;126.0;1091.0;;126.0;173.0;;;;;;;;;;;;;;;;;;;;;;;11.58;100.0;;;;11.58;0.69;0.69;173.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;1065.0;;114.0;1065.0;;114.0;172.0;;;;;;;;;;;;;;;;;;;;;;;10.71;100.0;;;;10.71;0.65;0.65;172.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;1098.0;;138.0;1098.0;;138.0;169.0;;;;;;;;;;;;;;;;;;;;;;;12.55;100.0;;;;12.55;0.8;0.8;169.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;1141.0;;129.0;1141.0;;129.0;166.0;;;;;;;;;;;;;;;;;;;;;;;11.34;100.0;;;;11.34;0.77;0.77;166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;1231.0;;139.0;1231.0;;139.0;162.0;;;;;;;;;;;;;;;;;;;;;;;11.31;100.0;;;;11.31;0.84;0.84;162.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;1315.0;;134.0;1315.0;;134.0;160.0;;;;;;;;;;;;;;;;;;;;;;;10.18;100.0;;;;10.18;0.82;0.82;160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;1315.0;;100.0;1315.0;;100.0;161.0;;;;;;;;;;;;;;;;;;;;;;;7.58;100.0;;;;7.58;0.6;0.6;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;1447.0;;114.0;1447.0;;114.0;161.0;;;;;;;;;;;;;;;;;;;;;;;7.9;100.0;;;;7.9;0.69;0.69;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;1355.0;749.0;271.0;273.0;196.0;124.0;161.0;;;;;;204.0;-151.0;-57.0;-4.0;53.0;606.0;55.28;477.0;;;;;477.0;1083.0;3.0;76.0;;20.03;20.12;-77.0;14.45;72.0;9.14;0.76;0.76;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124.0;;22.0;;-91.0;;-23.0;;0.0;149.0;-151.0;;;;;;;;-110.0;52.0;;3.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;1302.0;738.0;273.0;271.0;194.0;125.0;161.0;;;;;;282.0;-141.0;-137.0;3.0;140.0;564.0;56.66;467.0;;;;;467.0;1031.0;4.0;79.0;;20.97;20.81;-77.0;14.91;69.0;9.62;0.77;0.77;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125.0;;-9.0;;2.0;;-7.0;;3.0;163.0;-141.0;;;;;;;;-110.0;-27.0;;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;1387.0;769.0;280.0;279.0;212.0;133.0;161.0;;;;;;295.0;-161.0;-136.0;-3.0;134.0;619.0;55.42;490.0;;;;;490.0;1108.0;2.0;69.0;;20.2;20.14;-68.0;15.24;78.0;9.61;0.81;0.81;161.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133.0;;-3.0;;-4.0;;-4.0;;-1.0;168.0;-161.0;;;;;;;-1.0;-110.0;-26.0;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1472.0;771.0;207.0;268.0;207.0;133.0;161.0;260.0;2766.0;235.0;1732.0;1034.0;295.0;-159.0;-135.0;2.0;132.0;702.0;52.33;502.0;;;;;502.0;1204.0;;;;14.06;18.23;-61.0;14.06;74.0;9.01;0.81;0.81;161.0;;4.0;;4.0;166.0;78.0;11.0;2354.0;;;;;;152.0;2506.0;;78.0;26.0;;;132.0;842.0;;577.0;78.0;1497.0;;;;0.0;472.0;-1798.0;2360.0;2766.0;;2766.0;;133.0;;17.0;;26.0;;10.0;;25.0;120.0;-164.0;;;;5.0;;0.0;-0.0;-110.0;-25.0;;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1618.0;846.0;346.0;340.0;275.0;166.0;162.0;303.0;2984.0;371.0;1941.0;1043.0;292.0;-243.0;-53.0;-4.0;57.0;772.0;52.27;506.0;;;;;506.0;1278.0;4.0;72.0;;21.41;20.99;-65.0;16.97;109.0;10.25;1.02;1.02;162.0;;0.0;;0.0;177.0;87.0;39.0;2527.0;;;;;;154.0;2681.0;;97.0;121.0;;;153.0;936.0;;600.0;35.0;1570.0;;;;1.0;530.0;-1915.0;2428.0;2984.0;;2984.0;;166.0;;24.0;;-92.0;;-9.0;;-67.0;194.0;-235.0;;;;-8.0;;;-49.0;-108.0;105.0;;0.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2172.0;942.0;241.0;338.0;241.0;151.0;156.0;504.0;3921.0;1077.0;2902.0;1019.0;224.0;-710.0;493.0;7.0;-489.0;1231.0;43.34;603.0;;;;;603.0;1834.0;;;;11.1;15.57;-97.0;11.1;90.0;6.96;0.97;0.97;156.0;;7.0;;7.0;314.0;156.0;26.0;3242.0;;;;;;176.0;3418.0;;161.0;589.0;;;327.0;1141.0;;629.0;56.0;1825.0;;;;1.0;578.0;-202.0;644.0;3921.0;;3921.0;;151.0;;31.0;;-506.0;;-25.0;;-573.0;548.0;-713.0;;;;3.0;;;-72.0;-104.0;668.0;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3299.0;1126.0;356.0;350.0;224.0;147.0;156.0;864.0;4320.0;810.0;3255.0;1064.0;211.0;-155.0;-63.0;-7.0;32.0;2173.0;34.13;776.0;;;;;776.0;2949.0;4.0;133.0;;10.8;10.6;-126.0;6.78;77.0;4.46;0.94;0.94;156.0;;0.0;;0.0;520.0;242.0;102.0;3219.0;;;;;;236.0;3455.0;;330.0;285.0;;;195.0;1649.0;;676.0;121.0;2445.0;4890.0;;;1.0;621.0;-2151.0;2594.0;4320.0;;4320.0;;147.0;;47.0;;628.0;;-85.0;;54.0;-610.0;-179.0;;;;24.0;;1.0;-104.0;;39.0;;0.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3182.0;3182.0;280.0;278.0;153.0;101.0;156.0;479.0;3997.0;600.0;2956.0;1041.0;538.0;-223.0;-282.0;32.0;313.0;;100.0;2904.0;;;;;2904.0;2904.0;4.0;127.0;;8.81;8.74;-125.0;4.81;53.0;3.16;0.65;0.65;156.0;;32.0;;32.0;258.0;116.0;72.0;3304.0;;;;;;214.0;3518.0;;153.0;230.0;;;217.0;1526.0;;687.0;142.0;2356.0;4712.0;;;445.0;618.0;-2291.0;2269.0;3997.0;;3997.0;;101.0;;28.0;;-176.0;;126.0;;-121.0;585.0;-225.0;;;;2.0;;1.0;-104.0;;-180.0;;32.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3024.0;3024.0;247.0;236.0;126.0;91.0;156.0;597.0;4127.0;737.0;3143.0;984.0;285.0;-182.0;-106.0;-3.0;50.0;;100.0;2788.0;;;;;2788.0;2788.0;2.0;112.0;;8.17;7.79;-110.0;4.15;45.0;3.0;0.58;0.58;156.0;;30.0;;30.0;333.0;142.0;92.0;3247.0;;;43.0;;;241.0;3530.0;;254.0;275.0;;;208.0;1502.0;;674.0;230.0;2406.0;4813.0;;;1.0;605.0;-2341.0;2719.0;4127.0;;4127.0;;91.0;;33.0;;-19.0;;-27.0;;-140.0;180.0;-235.0;;;;53.0;;9.0;;-100.0;-15.0;;30.0;33.0;;;;;;;;;;;;;;;;;;;;;;;;;;
