;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2010.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;-0.0;-0.0;;-0.0;7.0;0.0;1.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.02;-0.02;7.0;;0.0;;0.0;0.0;;;;;;;;;0.0;0.0;;;;;;0.0;;;;;;;;;;-0.0;;;1.0;;1.0;;-0.0;;;;-0.0;;;;;;-0.0;;;;-0.0;;0.0;-0.0;;-0.0;;0.0;0.0;;1.01;;-0.02;;;;;7.0;;;;;-inf;;-0.0;;-inf;;;;;;;;;1.013
2013.0;;;-0.0;-0.0;-0.0;-0.0;8.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.05;-0.05;8.0;;0.0;;0.0;0.0;;;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;1.0;-1.0;0.0;;0.0;;0.0;;-0.0;;;0.0;0.0;;;;;;-0.0;;;;0.0;;0.0;;;;;0.0;0.0;;0.99;;-0.05;-0.02;;0.0;;8.0;;;;;-inf;;-0.0;;-inf;;;;;;;100.0;;0.993
2014.0;;;0.0;-0.0;-0.0;-0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;8.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;1.0;-1.0;0.0;;0.0;;0.0;;-0.0;;;;0.0;;;;;0.0;-0.0;;;;;;;;;;;0.0;0.0;;0.91;;;-0.02;;0.0;0.05;9.0;inf;inf;;;;;;;;0.0;;0.0;;;;100.0;;0.904
2014.0;;;0.0;-0.0;-0.0;-0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;inf;-inf;-0.0;-inf;;-inf;-0.03;-0.03;8.0;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;1.0;-1.0;0.0;;0.0;;0.0;;-0.0;;;;0.0;;;;;0.0;-0.0;;;;;;;;;;;0.0;0.0;;0.91;;-0.03;-0.0;;0.0;0.03;8.0;-27.7;-1.5;;;-inf;;-0.0;;-inf;0.0;;0.0;40.5;31.7;-90.7;100.0;;0.912
2015.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;52.0;3.0;11.0;1.0;5.0;6.0;-2.0;-6.0;5.0;-3.0;-8.0;-0.0;134.41;2.0;;2.0;1.0;1.0;;2.0;;0.0;0.0;-75.67;-117.46;-0.0;-129.41;;-129.41;-0.02;-0.02;52.0;;1.0;;1.0;1.0;2.0;0.0;7.0;;;;;;;7.0;;;0.0;;;1.0;3.0;;;;3.0;;;;13.0;-7.0;;;11.0;;11.0;;-1.0;0.0;;0.0;-1.0;-0.0;-1.0;;-0.0;-0.0;-6.0;;;;;-0.0;1.0;;;4.0;;1.0;4.0;;0.76;0.0;-0.19;-0.19;;0.15;0.0;52.0;-2.2;-0.1;;0.0;-11928.8;0.0;-10.0;;-11989.6;0.0;;0.0;-39488.0;-6912.1;-39692.8;100.0;;0.799
2015.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;52.0;3.0;11.0;1.0;5.0;6.0;-2.0;-6.0;5.0;-3.0;-8.0;-0.0;134.41;2.0;;2.0;1.0;1.0;;2.0;;0.0;0.0;-75.67;-117.46;-0.0;-129.41;;-129.41;-0.02;-0.02;52.0;;1.0;;1.0;1.0;2.0;0.0;7.0;;;;;;;7.0;;;0.0;;;1.0;3.0;;;;3.0;;;;13.0;-7.0;;;11.0;;11.0;;-1.0;0.0;;0.0;-1.0;-0.0;-1.0;;-0.0;-0.0;-6.0;;;;;-0.0;1.0;;;4.0;;1.0;4.0;;0.76;0.02;-0.02;-0.2;;0.14;0.15;52.0;-16.4;-0.8;;1.0;-117.5;0.0;-1.0;;-129.4;3.0;5.0;8.0;-9.3;-8.2;-16.3;100.0;;0.761
2016.0;5.0;4.0;2.0;1.0;1.0;1.0;59.0;31.0;41.0;2.0;7.0;34.0;-1.0;-21.0;28.0;6.0;-5.0;1.0;86.73;3.0;;3.0;2.0;1.0;;4.0;;0.0;1.0;33.76;20.33;-0.0;13.82;;13.82;0.01;0.01;59.0;;8.0;17.0;25.0;1.0;5.0;0.0;10.0;;;;;;;10.0;;;0.0;;;2.0;5.0;;;;5.0;;;;39.0;-7.0;-1.0;3.0;41.0;;41.0;;1.0;1.0;;0.0;-3.0;-1.0;-3.0;;-0.0;0.0;-3.0;;-17.0;0.0;0.0;-0.0;29.0;;;-0.0;;8.0;1.0;;0.76;0.1;0.01;-0.11;;0.08;0.75;59.0;82.5;3.7;;6.0;20.3;1.0;1.0;;13.8;38.0;7.0;44.0;2.5;2.4;1.9;100.0;607.6;0.763
2017.0;5.0;-3.0;-7.0;-9.0;-9.0;-9.0;97.0;36.0;74.0;5.0;8.0;67.0;-5.0;-34.0;33.0;-6.0;-32.0;7.0;-54.73;6.0;;6.0;4.0;2.0;0.0;14.0;;0.0;1.0;-158.65;-195.44;0.0;-190.59;;-190.59;-0.09;-0.09;97.0;;2.0;26.0;27.0;3.0;4.0;1.0;36.0;2.0;;2.0;;;0.0;39.0;;;0.0;;;5.0;3.0;;;;3.0;;;;80.0;-16.0;-2.0;5.0;74.0;;74.0;;-9.0;1.0;;2.0;0.0;-2.0;0.0;;;0.0;-27.0;;-29.0;22.0;0.0;-2.0;32.0;;;2.0;;2.0;8.0;;0.8;0.06;-0.11;-0.42;;0.35;0.85;97.0;-18.9;-0.8;;6.0;-195.4;2.0;-11.0;;-190.6;38.0;3.0;83.0;-12.3;-11.4;-13.1;100.0;;0.801
2018.0;10.0;40.0;31.0;28.0;21.0;16.0;127.0;156.0;232.0;9.0;90.0;142.0;-10.0;-75.0;126.0;41.0;-53.0;-31.0;422.39;12.0;;12.0;7.0;5.0;0.0;-18.0;;8.0;3.0;320.12;292.99;-7.0;223.49;4.0;165.04;0.13;0.12;121.0;;42.0;58.0;100.0;3.0;50.0;4.0;76.0;;;;;;1.0;76.0;;;0.0;;;8.0;76.0;;6.0;;82.0;;;;121.0;1.0;-5.0;25.0;232.0;;232.0;;16.0;3.0;;4.0;-31.0;0.0;-37.0;;4.0;-1.0;-43.0;;-134.0;102.0;-0.0;-0.0;44.0;;;82.0;;42.0;2.0;;0.77;0.1;0.17;-0.57;;0.47;1.53;121.0;23.5;0.9;;12.0;293.0;4.0;21.0;20.4;165.0;192.0;99.0;185.0;9.9;12.0;11.1;100.0;83.2;0.767
