;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;137.0;58.0;16.0;13.0;13.0;8.0;69.0;;;;;;-2.0;-11.0;15.0;15.0;-10.0;79.0;42.2;45.0;;;;;45.0;125.0;;;3.0;11.37;9.18;0.0;9.33;5.0;5.98;0.02;0.02;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;3.0;-0.0;;-13.0;;-11.0;;;1.0;-9.0;;-19.0;10.0;6.0;;20.0;;;-5.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;167.0;73.0;21.0;17.0;18.0;11.0;69.0;;;;;;8.0;-8.0;0.0;0.0;-5.0;95.0;43.39;55.0;;;;;55.0;150.0;;;3.0;12.45;10.29;0.0;10.53;7.0;6.64;0.02;0.02;69.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.0;3.0;;;;;-8.0;;;-6.0;-14.0;;-1.0;8.0;-1.0;;1.0;;;-1.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;202.0;89.0;26.0;22.0;22.0;14.0;83.0;;;;;;1.0;-50.0;49.0;49.0;-28.0;113.0;44.02;67.0;;;;;67.0;180.0;;;4.0;13.05;10.92;0.0;11.07;8.0;7.0;0.03;0.03;83.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;4.0;1.0;;;;-17.0;;;-18.0;-29.0;;-32.0;11.0;;;49.0;;;-0.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;259.0;115.0;36.0;29.0;30.0;19.0;83.0;100.0;184.0;26.0;28.0;156.0;5.0;-11.0;5.0;;-30.0;145.0;44.17;86.0;;80.0;80.0;;6.0;230.0;;;6.0;13.97;11.11;1.0;11.61;11.0;7.33;0.23;0.23;83.0;;1.0;;1.0;11.0;84.0;4.0;80.0;;;;;;4.0;83.0;;17.0;3.0;;;5.0;0.0;;2.0;0.0;2.0;;;;;82.0;-21.0;96.0;184.0;;184.0;;19.0;6.0;2.0;;75.0;;-25.0;;75.0;-96.0;-35.0;;-13.0;35.0;1.0;;2.0;;;3.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;316.0;143.0;46.0;37.0;38.0;23.0;85.0;134.0;248.0;40.0;66.0;182.0;18.0;-38.0;21.0;;-19.0;174.0;45.16;106.0;;98.0;98.0;;8.0;279.0;;;8.0;14.48;11.73;0.0;11.85;14.0;7.3;0.28;0.27;84.0;;2.0;;2.0;13.0;112.0;8.0;108.0;;;;;;5.0;114.0;;30.0;0.0;;;11.0;23.0;;2.0;1.0;25.0;;;;;105.0;-29.0;106.0;248.0;;248.0;;23.0;8.0;-1.0;;19.0;;-28.0;;94.0;-32.0;-37.0;;;;-1.0;;2.0;;;19.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;616.0;270.0;62.0;57.0;50.0;31.0;86.0;311.0;493.0;103.0;275.0;218.0;-19.0;-101.0;119.0;;-126.0;346.0;43.83;213.0;;201.0;201.0;;12.0;559.0;;;12.0;10.09;9.23;-7.0;8.11;19.0;5.0;0.36;0.35;85.0;;2.0;;2.0;28.0;246.0;36.0;171.0;;;;;;11.0;182.0;;67.0;14.0;;;22.0;170.0;;;2.0;172.0;;;;;136.0;-39.0;122.0;493.0;;493.0;;31.0;12.0;8.0;;115.0;;-53.0;;208.0;-184.0;-107.0;;;1.0;6.0;;3.0;;;116.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;754.0;343.0;91.0;77.0;73.0;46.0;99.0;364.0;610.0;115.0;207.0;403.0;30.0;-78.0;56.0;8.0;-56.0;411.0;45.51;266.0;;248.0;248.0;;18.0;677.0;;;18.0;12.05;10.2;-4.0;9.68;27.0;6.05;0.47;0.46;97.0;;10.0;1.0;10.0;55.0;294.0;5.0;237.0;;;;;;10.0;246.0;;65.0;19.0;;;31.0;91.0;;1.0;1.0;92.0;;;;1.0;181.0;-56.0;278.0;610.0;;610.0;;46.0;18.0;6.0;;41.0;;-48.0;;249.0;-80.0;-86.0;;;;8.0;;133.0;;;-77.0;;10.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;890.0;408.0;108.0;90.0;83.0;52.0;103.0;449.0;716.0;153.0;252.0;464.0;6.0;-41.0;34.0;-1.0;-76.0;483.0;45.77;317.0;;293.0;293.0;;25.0;800.0;;;25.0;12.13;10.11;-7.0;9.34;31.0;5.81;0.51;0.5;102.0;;9.0;1.0;10.0;62.0;372.0;6.0;247.0;;;;;;20.0;267.0;;69.0;49.0;;;35.0;90.0;;4.0;5.0;99.0;;;;1.0;233.0;-76.0;307.0;716.0;;716.0;;52.0;25.0;3.0;;47.0;;-78.0;;296.0;-121.0;-82.0;;;;41.0;;5.0;;;29.0;;9.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1092.0;468.0;137.0;114.0;107.0;66.0;106.0;551.0;857.0;121.0;301.0;556.0;50.0;-78.0;34.0;6.0;-18.0;624.0;42.84;354.0;;354.0;354.0;;;978.0;;;31.0;12.57;10.42;-7.0;9.77;40.0;6.08;0.64;0.63;104.0;;15.0;1.0;16.0;80.0;448.0;7.0;289.0;;;;;;17.0;306.0;;62.0;17.0;;;42.0;166.0;;9.0;5.0;179.0;;;;1.0;299.0;-103.0;360.0;857.0;;857.0;;66.0;31.0;6.0;;133.0;;-35.0;;430.0;-186.0;-69.0;;;;-9.0;;17.0;;;17.0;;15.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1312.0;553.0;168.0;138.0;131.0;82.0;107.0;631.0;1009.0;147.0;359.0;651.0;105.0;-105.0;15.0;14.0;2.0;759.0;42.16;415.0;;415.0;415.0;;;1174.0;;;37.0;12.79;10.54;-7.0;9.98;49.0;6.25;0.77;0.77;106.0;;29.0;;29.0;88.0;504.0;9.0;354.0;;;;;;25.0;378.0;;85.0;1.0;;;61.0;190.0;;16.0;5.0;211.0;;;;1.0;381.0;-138.0;407.0;1009.0;;1009.0;;82.0;37.0;6.0;;54.0;;-56.0;;484.0;-74.0;-102.0;;;;-3.0;;7.0;;;8.0;;29.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
