;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;;;-0.0;-0.0;-0.0;-0.0;3.0;;;0.0;0.0;-0.0;-0.0;;;-0.0;-0.0;;;0.0;0.0;0.0;0.0;;-0.0;0.0;;;;-inf;-inf;;-inf;;-inf;-0.02;-0.02;3.0;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;0.0;-0.0;;0.0;;;;;-0.0;;;;0.0;;;8.0;-0.0;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-1.0;-1.0;-1.0;-1.0;3.0;;;;;;-0.0;;0.0;;-0.0;;;1.0;;0.0;0.0;;0.0;1.0;;;;-inf;-inf;;-inf;;-inf;-0.28;-0.28;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;-0.0;;;;;;;-1.0;;;;0.0;;;;;0.0;;;;;;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;-0.0;-0.0;;-0.0;2.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;;-0.0;;;0.0;;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.03;-0.03;2.0;;;;;;;0.0;;;;;;;;;;0.0;;;;0.0;;;;;;;;;0.0;-1.0;;1.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;-0.0;-0.0;;-0.0;3.0;0.0;0.0;1.0;1.0;-0.0;-0.0;;1.0;;-0.0;;;0.0;0.0;0.0;0.0;;;0.0;;;;-inf;-inf;;;;-inf;-0.12;-0.12;3.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;1.0;;;;;;;;;0.0;-1.0;;1.0;0.0;;0.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;1.0;;;0.0;;0.0;;;;;-0.15;-0.13;;;-0.16;3.0;;;;;-inf;;-0.0;;-inf;-0.0;;-0.0;;-234.3;95.8;100.0;
2007.0;;;-3.0;-3.0;;-3.0;4.0;2.0;2.0;1.0;1.0;1.0;-1.0;-0.0;2.0;2.0;-1.0;;;3.0;2.0;1.0;1.0;;;3.0;;;0.0;-inf;-inf;;;;-inf;-0.96;-0.96;4.0;;2.0;;2.0;;;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;;1.0;;;;;;;;;0.0;-4.0;;5.0;2.0;;2.0;;-3.0;0.0;;;1.0;;;;1.0;2.0;-0.0;;;;;;2.0;;;1.0;;2.0;0.0;;;;-0.92;-0.17;;0.0;0.15;4.0;-5.7;-0.3;;;-inf;0.0;-3.0;;-inf;1.0;;1.0;;-161.7;-630.8;100.0;
2008.0;;;-3.0;-3.0;3.0;-3.0;4.0;5.0;6.0;1.0;1.0;5.0;-2.0;-3.0;5.0;0.0;-2.0;;;3.0;1.0;2.0;2.0;;;3.0;;;0.0;-inf;-inf;5.0;inf;0.0;-inf;-0.72;-0.72;4.0;;2.0;3.0;5.0;;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;;;;;0.0;0.0;;;;0.0;-7.0;-0.0;12.0;6.0;;6.0;;-3.0;0.0;;;4.0;;;;4.0;-3.0;-0.0;;-3.0;;-0.0;;5.0;;;;;2.0;2.0;;;;-0.68;-0.48;;0.03;1.13;4.0;-10.1;-0.5;;;-inf;0.0;-3.0;6.2;-inf;4.0;;5.0;-54.7;-48.7;-60.3;100.0;
2009.0;;;-3.0;-3.0;-3.0;-3.0;5.0;3.0;3.0;0.0;1.0;3.0;-2.0;2.0;;-1.0;-2.0;;;3.0;2.0;1.0;1.0;;;3.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.6;-0.6;5.0;;2.0;1.0;3.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-10.0;-0.0;13.0;3.0;;3.0;;-3.0;0.0;;1.0;-2.0;;;;3.0;2.0;-0.0;;-1.0;3.0;-0.0;;;;;;;2.0;2.0;;;;-0.58;-0.48;;0.0;0.58;5.0;-8.8;-0.1;;;-inf;0.0;-3.0;0.1;-inf;3.0;;3.0;-96.1;-85.4;-100.5;100.0;
2010.0;;;-3.0;-3.0;-3.0;-3.0;5.0;1.0;1.0;0.0;1.0;1.0;-1.0;1.0;;-1.0;-1.0;;;3.0;1.0;2.0;2.0;;;3.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;0.0;-inf;-0.6;-0.6;5.0;;1.0;0.0;1.0;0.0;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-13.0;-0.0;14.0;1.0;;1.0;;-3.0;0.0;;1.0;-2.0;;;;1.0;3.0;;;;1.0;0.0;;;;;;;1.0;2.0;;;;-0.62;-0.3;;;0.17;5.0;-7.9;-0.4;;;-inf;0.0;-3.0;-0.5;-inf;1.0;;1.0;-301.1;-204.9;-358.6;100.0;
2011.0;;;-2.0;-2.0;-2.0;-2.0;5.0;4.0;4.0;0.0;1.0;4.0;-2.0;-2.0;4.0;0.0;-2.0;;;2.0;1.0;1.0;1.0;;;2.0;0.0;0.0;0.0;-inf;-inf;1.0;-inf;-0.0;-inf;-0.24;-0.24;5.0;;2.0;0.0;2.0;1.0;;2.0;0.0;;;;0.0;;0.0;0.0;;0.0;;;;0.0;;;;0.0;0.0;;;;0.0;-15.0;-0.0;18.0;4.0;;4.0;;-2.0;0.0;;1.0;3.0;;;;4.0;-4.0;-0.0;;-2.0;;-0.0;;4.0;;;;;2.0;1.0;;;;-0.29;-0.31;;0.0;0.69;5.0;-12.8;-0.8;;;-inf;0.0;-2.0;1.5;-inf;4.0;;4.0;-61.7;-56.3;-41.9;100.0;
2012.0;;;-3.0;3.0;-3.0;-3.0;6.0;5.0;5.0;1.0;2.0;4.0;-2.0;2.0;3.0;3.0;-2.0;;;3.0;2.0;1.0;1.0;;;3.0;0.0;0.0;0.0;-inf;inf;-6.0;-inf;0.0;-inf;-0.6;-0.6;6.0;;4.0;0.0;5.0;0.0;;1.0;0.0;;;;0.0;;0.0;0.0;;0.0;;;;1.0;;;;1.0;1.0;;;;0.0;-18.0;-0.0;22.0;5.0;;5.0;;-3.0;0.0;;0.0;1.0;;;;5.0;-0.0;-0.0;;-0.0;2.0;-0.0;;3.0;;;;-0.0;4.0;2.0;;;;-0.57;-0.39;;0.0;0.64;6.0;-6.6;-0.4;;;inf;0.0;-3.0;-2.8;-inf;5.0;;4.0;-63.7;-54.5;-88.5;100.0;
2013.0;;;-4.0;-4.0;-4.0;-4.0;7.0;9.0;9.0;0.0;1.0;8.0;-3.0;-5.0;6.0;-2.0;-3.0;;;4.0;2.0;2.0;2.0;;;4.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-0.59;-0.59;7.0;;2.0;1.0;3.0;0.0;;5.0;0.0;;;;0.0;;0.0;0.0;;0.0;;;;0.0;;;0.0;0.0;0.0;;;;0.0;-22.0;-0.0;30.0;9.0;;9.0;;-4.0;0.0;;1.0;4.0;;;;8.0;-3.0;-0.0;;-6.0;1.0;0.0;;6.0;;;0.0;-0.0;2.0;4.0;;;;-0.59;-0.47;;0.0;1.13;7.0;-13.6;-0.8;;;-inf;0.0;-4.0;4.6;-inf;8.0;;8.0;-50.3;-49.7;-52.0;100.0;
2014.0;;;-6.0;-6.0;-6.0;-6.0;9.0;22.0;22.0;1.0;1.0;21.0;-4.0;-13.0;17.0;-1.0;-4.0;;;6.0;3.0;3.0;3.0;;;6.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;0.0;-inf;-0.62;-0.62;9.0;;2.0;1.0;3.0;0.0;;19.0;0.0;;;;;;0.0;0.0;;1.0;;;;0.0;;;0.0;0.0;0.0;;;;0.0;-28.0;-0.0;49.0;22.0;;22.0;;-6.0;0.0;;1.0;13.0;;;;21.0;-13.0;-0.0;;-56.0;43.0;;;15.0;;;2.0;0.0;2.0;2.0;;;;-0.62;-0.44;;0.0;2.25;9.0;-17.7;-1.0;;;-inf;0.0;-6.0;-0.1;-inf;21.0;;21.0;-28.4;-27.1;-27.4;100.0;
2015.0;;;-7.0;-7.0;-7.0;-7.0;11.0;17.0;26.0;1.0;2.0;25.0;-5.0;-3.0;10.0;1.0;-5.0;;;7.0;5.0;3.0;3.0;;;7.0;0.0;;0.0;-inf;-inf;0.0;-inf;-0.0;-inf;-0.67;-0.67;11.0;;3.0;2.0;5.0;;;12.0;0.0;;;;9.0;;0.0;9.0;;1.0;;;1.0;0.0;;;0.0;0.0;0.0;;;;0.0;-35.0;1.0;59.0;26.0;;26.0;;-7.0;0.0;;1.0;-5.0;;;;16.0;6.0;-0.0;;-23.0;20.0;-0.0;;10.0;;;0.0;-0.0;3.0;2.0;;;;-0.67;-0.46;;0.0;2.29;11.0;-9.9;-0.5;;;-inf;0.0;-7.0;0.0;-inf;16.0;;25.0;-29.7;-28.0;-29.1;100.0;
2016.0;1.0;0.0;-10.0;-10.0;-10.0;-11.0;13.0;31.0;43.0;4.0;17.0;26.0;5.0;-16.0;12.0;1.0;5.0;0.0;23.56;10.0;8.0;2.0;2.0;;;11.0;0.0;;0.0;-1501.56;-1561.62;0.0;-1502.18;1.0;-1710.45;-0.87;-0.87;13.0;;4.0;3.0;7.0;;;24.0;0.0;;;;12.0;;0.0;12.0;;1.0;;;2.0;0.0;;13.0;0.0;0.0;13.0;;;;0.0;-46.0;;72.0;43.0;;43.0;;-11.0;0.0;;1.0;12.0;;;;28.0;3.0;-0.0;;-31.0;15.0;-0.0;;11.0;;;1.0;0.0;4.0;3.0;;;0.05;-0.87;0.37;;0.0;2.07;13.0;-8.5;-0.4;;1.0;-1561.6;0.0;-11.0;-13.9;-1710.5;28.0;;26.0;-28.0;-22.5;-41.9;100.0;
