;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;296.0;85.0;-54.0;-44.0;-53.0;-54.0;48.0;;249.0;;282.0;-33.0;;;;;;211.0;28.72;129.0;30.0;77.0;36.0;41.0;21.0;340.0;;;;-18.1;-14.89;-9.0;-18.07;;-18.1;-0.81;-0.81;48.0;;3.0;;3.0;;;;;;;;;;;;249.0;;;;;;;;;;;282.0;;;;;;;249.0;;249.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;339.0;139.0;52.0;36.0;13.0;0.0;49.0;126.0;237.0;133.0;276.0;-39.0;10.0;-10.0;3.0;3.0;8.0;200.0;40.97;103.0;28.0;;;;75.0;304.0;;12.0;27.0;15.26;10.49;-23.0;3.69;12.0;0.07;-0.14;-0.14;49.0;;6.0;;6.0;70.0;41.0;9.0;5.0;;97.0;97.0;;4.0;6.0;111.0;;41.0;;;10.0;82.0;52.0;;0.0;91.0;143.0;;;;1.0;-40.0;-2.0;2.0;237.0;;237.0;;0.0;27.0;1.0;;-19.0;;-0.0;;-7.0;0.0;-2.0;;;;-8.0;;0.0;;;3.0;0.0;6.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;390.0;158.0;47.0;45.0;11.0;6.0;57.0;136.0;246.0;111.0;381.0;-135.0;33.0;-5.0;-22.0;7.0;31.0;232.0;40.55;113.0;34.0;;;;80.0;345.0;;13.0;24.0;12.1;11.48;-34.0;2.71;5.0;1.44;0.01;0.01;51.0;;13.0;;13.0;78.0;32.0;14.0;6.0;;75.0;75.0;;12.0;16.0;109.0;;44.0;;;14.0;53.0;260.0;;2.0;8.0;270.0;;;;1.0;-136.0;-4.0;4.0;246.0;;246.0;;6.0;24.0;-8.0;;33.0;;9.0;;25.0;-21.0;-2.0;;;;-3.0;;0.0;-86.0;-97.0;162.0;0.0;13.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;485.0;197.0;80.0;68.0;47.0;33.0;61.0;226.0;329.0;113.0;303.0;27.0;41.0;-35.0;47.0;52.0;37.0;289.0;40.55;129.0;42.0;82.0;82.0;;5.0;417.0;;15.0;18.0;16.39;14.05;-21.0;9.63;13.0;6.85;0.57;0.54;58.0;;65.0;17.0;82.0;87.0;36.0;21.0;;;66.0;66.0;;18.0;20.0;104.0;;47.0;2.0;;18.0;46.0;181.0;;;9.0;190.0;;;;1.0;-103.0;-7.0;136.0;329.0;;329.0;;33.0;18.0;-10.0;;87.0;;-3.0;;112.0;-88.0;-3.0;;-24.0;7.0;-15.0;;138.0;;;-91.0;-0.0;65.0;13.0;;;8.32;0.57;0.64;;0.05;0.46;58.0;;;;485.0;14.0;18.0;33.0;28.9;6.8;112.0;181.0;27.0;20.2;18.7;125.3;100.0;-367.4
2006.0;581.0;262.0;122.0;108.0;92.0;60.0;69.0;319.0;453.0;153.0;354.0;99.0;17.0;-4.0;8.0;21.0;11.0;320.0;45.01;153.0;47.0;101.0;101.0;;5.0;473.0;;14.0;16.0;20.94;18.64;-17.0;15.78;32.0;10.24;0.9;0.86;66.0;;87.0;;87.0;120.0;87.0;26.0;;53.0;17.0;69.0;;22.0;43.0;134.0;;67.0;2.0;;24.0;60.0;191.0;;1.0;10.0;202.0;;;;1.0;-43.0;-14.0;156.0;453.0;;453.0;;60.0;16.0;-6.0;;54.0;;-52.0;;167.0;-108.0;-6.0;;-125.0;142.0;-15.0;;3.0;;;5.0;1.0;87.0;65.0;;;8.78;0.9;0.17;;0.09;1.49;66.0;;;;581.0;18.6;16.0;60.0;35.1;10.2;167.0;191.0;99.0;22.8;23.2;60.3;100.0;-27.6
2007.0;903.0;299.0;98.0;35.0;-9.0;-34.0;82.0;604.0;1547.0;307.0;964.0;581.0;89.0;-312.0;350.0;128.0;59.0;604.0;33.14;264.0;65.0;177.0;177.0;;22.0;868.0;;37.0;71.0;10.86;3.9;-45.0;-1.03;25.0;-3.77;-0.41;-0.41;82.0;;215.0;;215.0;194.0;107.0;87.0;;612.0;170.0;782.0;;68.0;94.0;944.0;;105.0;5.0;;43.0;153.0;548.0;;87.0;22.0;657.0;;;;1.0;-77.0;-16.0;674.0;1545.0;2.0;1547.0;;-34.0;71.0;9.0;;130.0;;45.0;;297.0;-87.0;-31.0;;-6.0;;-275.0;;37.0;;;313.0;1.0;215.0;87.0;;;10.98;-0.41;0.71;;0.37;7.07;82.0;;;;903.0;3.9;71.0;-34.0;-265.8;-3.8;297.0;548.0;581.0;8.1;1.8;-5.9;100.0;
2008.0;922.0;293.0;-250.0;-316.0;-351.0;-425.0;84.0;563.0;1080.0;267.0;936.0;142.0;-9.0;-38.0;-2.0;-58.0;-31.0;629.0;31.78;609.0;76.0;218.0;218.0;;315.0;1238.0;;28.0;73.0;-27.08;-34.26;-36.0;-38.12;74.0;-46.13;-5.05;-5.05;84.0;;157.0;;157.0;176.0;168.0;62.0;;322.0;93.0;415.0;;1.0;101.0;517.0;;104.0;5.0;;48.0;109.0;543.0;;69.0;57.0;669.0;;;;1.0;-504.0;-26.0;672.0;1078.0;2.0;1080.0;;-425.0;73.0;58.0;;-0.0;;-61.0;;296.0;286.0;-22.0;;;;-16.0;;3.0;;;-5.0;-9.0;157.0;215.0;;;10.95;-5.05;-0.36;;0.26;1.69;84.0;;;;922.0;-34.3;73.0;-425.0;-21.0;-46.1;296.0;543.0;142.0;-48.2;-30.0;-299.2;100.0;
2009.0;845.0;282.0;-55.0;47.0;-129.0;-138.0;84.0;623.0;919.0;246.0;884.0;32.0;203.0;-16.0;-25.0;168.0;191.0;563.0;33.4;236.0;65.0;150.0;76.0;74.0;20.0;798.0;;12.0;62.0;-6.46;5.51;-175.0;-15.22;9.0;-16.32;-1.63;-1.63;84.0;;325.0;;325.0;157.0;96.0;45.0;;151.0;53.0;204.0;;4.0;88.0;296.0;;87.0;6.0;;46.0;107.0;504.0;18.0;68.0;48.0;639.0;;;;1.0;-642.0;-37.0;710.0;917.0;2.0;919.0;;-138.0;62.0;2.0;23.0;81.0;13.0;73.0;6.0;377.0;174.0;-12.0;;-3.0;;-1.0;-34.0;;;;9.0;6.0;325.0;157.0;;;10.0;-1.63;2.26;;0.14;0.38;84.0;;;;845.0;5.5;62.0;-138.0;-7.2;-16.3;377.0;504.0;32.0;-18.6;-12.7;-430.1;100.0;
2010.0;1002.0;370.0;153.0;102.0;78.0;99.0;88.0;761.0;1075.0;260.0;868.0;206.0;156.0;-25.0;-10.0;120.0;144.0;631.0;36.97;268.0;74.0;179.0;84.0;95.0;15.0;899.0;;28.0;47.0;15.3;10.23;-24.0;7.81;-21.0;9.87;1.16;1.13;85.0;;445.0;;445.0;133.0;112.0;71.0;;169.0;50.0;219.0;;10.0;85.0;314.0;;64.0;5.0;;55.0;135.0;468.0;22.0;62.0;55.0;608.0;;;;1.0;-551.0;-46.0;803.0;1074.0;1.0;1075.0;;99.0;47.0;-15.0;21.0;124.0;37.0;-14.0;-27.0;501.0;-119.0;-12.0;;-5.0;;-9.0;-15.0;13.0;;;-9.0;-0.0;445.0;325.0;;;11.75;1.16;1.7;;0.14;2.42;85.0;;;;1002.0;10.2;47.0;99.0;-26.3;9.9;501.0;468.0;206.0;16.5;9.9;48.0;100.0;-8.9
2011.0;1304.0;492.0;168.0;106.0;91.0;282.0;97.0;1160.0;2314.0;703.0;1118.0;1194.0;175.0;-63.0;39.0;149.0;160.0;812.0;37.71;386.0;109.0;277.0;139.0;138.0;;1198.0;;29.0;48.0;12.9;8.11;-15.0;6.98;-191.0;21.66;3.06;2.92;92.0;;595.0;;595.0;294.0;144.0;127.0;;561.0;264.0;825.0;;205.0;122.0;1153.0;;144.0;272.0;;69.0;218.0;212.0;31.0;93.0;79.0;415.0;;;;1.0;-269.0;-60.0;1522.0;2312.0;1.0;2314.0;;282.0;48.0;-227.0;34.0;-44.0;-72.0;23.0;29.0;457.0;81.0;-15.0;;;;-48.0;-10.0;49.0;;;0.0;-1.0;595.0;445.0;;;14.11;3.06;1.73;;0.16;12.92;92.0;;;;1304.0;8.1;48.0;282.0;-210.4;21.7;457.0;212.0;1194.0;23.1;5.2;23.6;100.0;-30.4
