;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;;0.0;;;0.0;-0.0;;0.0;;-0.0;0.0;-7.14;0.0;0.0;0.0;0.0;;;0.0;;;;-114.29;-114.29;;-114.29;;-114.29;-0.17;-0.17;1.0;;;;;;;;0.0;;;;;;;0.0;;;;;;;;;;;;;;;;;;0.0;0.0;;0.0;;-0.0;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.15;-0.17;-0.17;;;0.02;1.0;;;;0.0;-114.3;;-0.0;;-114.3;;;0.0;-800.0;-800.0;-800.0;100.0;
2011.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;1.0;3.0;5.0;0.0;3.0;3.0;-1.0;-3.0;6.0;3.0;-1.0;;100.0;1.0;0.0;1.0;1.0;;0.0;1.0;;-0.0;;-5550.0;-3850.0;-0.0;-4700.0;;-4700.0;-1.02;-1.02;1.0;;3.0;;3.0;0.0;;;;;3.0;3.0;;;0.0;3.0;;;0.0;;;0.0;2.0;;;;2.0;;;0.0;0.0;-1.0;-0.0;4.0;5.0;;5.0;;-1.0;;;;2.0;-0.0;;;2.0;-2.0;;;;;-3.0;;;4.0;;3.0;;3.0;;;;0.02;-1.02;-0.77;;;3.02;1.0;;;;0.0;-3850.0;;-1.0;;-4700.0;2.0;2.0;3.0;-22.3;-20.9;-33.9;100.0;
2012.0;0.0;0.0;-2.0;-2.0;-2.0;-2.0;0.0;1.0;4.0;1.0;1.0;3.0;-2.0;-0.0;0.0;-2.0;-2.0;0.0;30.65;2.0;0.0;;;;2.0;2.0;0.0;0.0;0.0;-1124.76;-1182.84;-0.0;-1270.06;0.0;-1270.15;-13.72;-13.72;0.0;;1.0;;1.0;0.0;0.0;0.0;;;2.0;2.0;;;0.0;3.0;;0.0;1.0;;;0.0;1.0;;;;1.0;;;0.0;0.0;-3.0;-0.0;6.0;4.0;;4.0;;-2.0;0.0;;0.0;-2.0;;-0.0;0.0;0.0;2.0;-0.0;;;;;-2.0;;;;2.0;;1.0;3.0;;;0.95;-12.13;-11.04;;1.66;12.73;0.0;;;;0.0;-1182.8;0.0;-2.0;-0.0;-1270.2;0.0;1.0;3.0;-71.6;-58.4;-95.2;100.0;
2013.0;0.0;0.0;-3.0;-3.0;-3.0;-3.0;0.0;1.0;3.0;1.0;1.0;2.0;-3.0;-0.0;2.0;-1.0;-3.0;0.0;39.84;3.0;0.0;;;;3.0;3.0;0.0;0.0;0.0;-814.14;-947.68;-0.0;-982.03;0.0;-982.05;-29.89;-29.89;0.0;;0.0;;0.0;0.0;0.0;0.0;;;2.0;2.0;;;0.0;2.0;;0.0;1.0;;0.0;0.0;0.0;;;;0.0;;;0.0;0.0;-7.0;-0.0;9.0;3.0;;3.0;;-3.0;0.0;;0.0;-1.0;;-0.0;0.0;-1.0;1.0;-0.0;;;;;-1.0;;;;3.0;;0.0;1.0;;;3.04;-29.85;-24.96;;0.27;16.25;0.0;;;;0.0;-947.7;0.0;-3.0;-0.0;-982.0;-1.0;0.0;2.0;-162.9;-100.7;-183.7;100.0;
2014.0;0.0;0.0;-4.0;-4.0;-5.0;-5.0;0.0;0.0;3.0;1.0;1.0;1.0;-3.0;-0.0;3.0;-0.0;-3.0;0.0;43.43;3.0;0.0;;;;3.0;3.0;0.0;0.0;0.0;-1847.61;-2078.13;-0.0;-2260.8;0.0;-2260.85;-33.32;-33.32;0.0;;0.0;;0.0;0.0;0.0;0.0;;;2.0;2.0;;;0.0;2.0;;0.0;0.0;;0.0;0.0;0.0;;;;0.0;;;0.0;0.0;-13.0;-0.0;14.0;3.0;;3.0;;-5.0;0.0;;0.0;0.0;;-0.0;0.0;-0.0;1.0;-0.0;0.0;;;;-1.0;0.0;;;3.0;;0.0;0.0;;;1.11;-25.04;-15.18;;0.27;6.68;0.0;-4.0;-0.2;;0.0;-2078.1;0.0;-5.0;-0.0;-2260.9;-0.0;0.0;1.0;-244.4;-163.7;-374.7;100.0;
2015.0;0.0;-0.0;-3.0;3.0;-3.0;-3.0;0.0;0.0;0.0;2.0;2.0;-2.0;-1.0;0.0;1.0;-0.0;-1.0;0.0;-10.98;1.0;0.0;2.0;1.0;1.0;-1.0;1.0;0.0;0.0;0.0;-2538.82;2372.57;-6.0;-2629.77;0.0;-2957.22;-15.19;-15.19;0.0;;0.0;;0.0;;;0.0;;;;;;;0.0;0.0;;0.0;1.0;;;1.0;;;;;;;;0.0;0.0;-15.0;-0.0;13.0;0.0;;0.0;;-3.0;0.0;;0.0;-2.0;;-0.0;0.0;-2.0;4.0;-0.0;;;;0.0;-0.0;0.0;;;1.0;;0.0;0.0;;;0.5;-14.92;-3.89;;0.01;-8.8;0.0;-3.5;-0.2;;0.0;2372.6;0.0;-3.0;-0.0;-2957.2;-2.0;;-2.0;157.6;-2989.3;169.5;100.0;
2016.0;0.0;0.0;-0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;2.0;2.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;;100.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;0.0;0.0;-1808.78;1430.52;-0.0;-6743.58;;-6719.64;-1.47;-1.47;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;2.0;;;1.0;;;;;;;;0.0;0.0;-15.0;-0.0;13.0;0.0;;0.0;;-0.0;0.0;;0.0;-0.0;;;-0.0;-2.0;1.0;;;;;0.0;;;;;0.0;;0.0;0.0;;;0.02;-1.49;-0.19;;;-10.46;0.0;-9.1;-0.4;;0.0;1430.5;0.0;-0.0;;-6719.6;-2.0;;-2.0;3.9;-2798.8;14.3;100.0;
2017.0;;;-2.0;-2.0;-2.0;-2.0;5.0;3.0;3.0;3.0;3.0;0.0;-2.0;1.0;2.0;2.0;-2.0;;;2.0;1.0;1.0;1.0;;;2.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.42;-0.42;5.0;;3.0;;3.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;2.0;;;0.0;;;;0.0;0.0;;;;0.0;-4.0;-0.0;4.0;3.0;;3.0;;-2.0;0.0;;;3.0;;;0.0;0.0;-3.0;-0.0;0.0;;;1.0;;;;;2.0;;3.0;1.0;;;;-0.4;-0.36;;0.0;0.08;5.0;-40.5;-1.7;;;-inf;0.0;-2.0;;-inf;0.0;;0.0;-470.5;-60.4;-497.5;100.0;
2018.0;;;-4.0;-5.0;-5.0;-4.0;5.0;2.0;12.0;1.0;4.0;10.0;-4.0;-0.0;3.0;-1.0;-4.0;;;5.0;3.0;1.0;1.0;;;5.0;0.0;0.0;1.0;-inf;-inf;-0.0;-inf;-1.0;-inf;-0.7;-0.7;5.0;;2.0;;2.0;0.0;;0.0;;;10.0;10.0;;;0.0;10.0;;0.0;0.0;;;0.0;;;2.0;1.0;3.0;;;;0.0;-8.0;;17.0;13.0;-1.0;12.0;;-4.0;1.0;-1.0;0.0;1.0;;;0.0;1.0;-1.0;-0.0;-0.0;;;-0.0;;3.0;;;-0.0;;2.0;3.0;;;;-0.71;-0.7;;0.0;1.82;5.0;-33.8;-1.4;;;-inf;1.0;-4.0;19.3;-inf;1.0;;10.0;-29.0;-34.2;-38.8;100.0;
2019.0;;;-3.0;-4.0;-4.0;-3.0;6.0;1.0;11.0;1.0;3.0;8.0;-3.0;;2.0;-1.0;-3.0;;;4.0;2.0;2.0;2.0;;;4.0;0.0;0.0;1.0;-inf;-inf;-0.0;-inf;-1.0;-inf;-0.7;-0.7;6.0;;1.0;;1.0;;;0.0;;;10.0;10.0;;;0.0;10.0;;0.0;1.0;;;0.0;;;2.0;0.0;2.0;;0.0;;0.0;-11.0;-0.0;19.0;11.0;;11.0;;-3.0;1.0;-1.0;1.0;-2.0;;;-0.0;-0.0;1.0;;;;;;;;;;2.0;;1.0;2.0;;;;-0.61;-0.5;;;1.45;6.0;-28.4;-1.2;;;-inf;1.0;-3.0;15.2;-inf;-0.0;;8.0;-34.4;-36.2;-41.9;100.0;
