;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1995.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;0.0;;-0.0;-0.0;-0.0;-0.0;0.0;0.0;2.0;0.0;2.0;0.0;-0.0;;0.0;;-0.0;;;;;;;;;0.0;;;;-109.19;-109.19;;-109.19;0.0;-110.9;-3.65;-3.65;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;2.0;2.0;;0.0;;;;0.0;;;;1.0;1.0;;;;0.0;-2.0;;3.0;2.0;;2.0;;-0.0;;;;;;;;;0.0;;;;;;;0.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;0.0;;-0.0;0.0;-0.0;-0.0;0.0;0.0;2.0;0.0;1.0;0.0;-0.0;;;-0.0;-0.0;;;;;;;;;0.0;;;;-34.09;33.41;-0.0;-34.09;;-34.09;-0.95;-0.95;0.0;;;;;0.0;;0.0;;;;;;;1.0;1.0;;0.0;;;;0.0;0.0;;;1.0;1.0;;;;0.0;-3.0;;3.0;2.0;;2.0;;-0.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;;;;-0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;;0.0;;-0.0;;;;;;;;;;;;;;;;;;-inf;-4.8;-4.8;0.0;;0.0;;0.0;;;;;;;;;;;;;0.0;;;;;;;;0.0;0.0;;;;0.0;-3.0;;3.0;0.0;;0.0;;-0.0;;;;0.0;;;;-0.0;-0.0;;;;;;;0.0;;;0.0;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5.0;4.0;1.0;1.0;1.0;0.0;2.0;;;;;;-0.0;-0.0;0.0;0.0;-0.0;1.0;80.5;3.0;1.0;2.0;2.0;;0.0;4.0;;-0.0;0.0;14.91;16.83;-0.0;13.38;0.0;7.07;0.17;0.17;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;;0.0;;;;0.0;-1.0;-0.0;;;;;;;;;0.0;;15.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;7.0;6.0;2.0;3.0;2.0;1.0;2.0;2.0;4.0;2.0;5.0;-1.0;1.0;-0.0;-0.0;1.0;1.0;1.0;84.49;3.0;1.0;2.0;2.0;;0.0;4.0;;-0.0;0.0;36.56;39.63;-0.0;36.71;1.0;21.51;0.64;0.64;2.0;;1.0;;1.0;1.0;;0.0;0.0;;;;;;1.0;1.0;;0.0;0.0;;;2.0;2.0;;;0.0;2.0;;;;1.0;-7.0;-1.0;6.0;4.0;;4.0;;1.0;0.0;1.0;;0.0;;;;-0.0;-2.0;-0.0;;;;;;;;;-0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2.0;1.0;-1.0;-0.0;-1.0;-1.0;2.0;1.0;3.0;5.0;9.0;-6.0;-0.0;-0.0;0.0;-1.0;-1.0;0.0;67.33;1.0;0.0;1.0;1.0;;0.0;2.0;;-0.0;0.0;-60.67;-18.67;-0.0;-42.0;;-42.0;-0.28;-0.28;2.0;;0.0;;0.0;0.0;;1.0;0.0;;;1.0;;1.0;0.0;2.0;;1.0;2.0;;;2.0;1.0;;;4.0;5.0;;;;1.0;-8.0;;1.0;3.0;;3.0;;-1.0;0.0;;;-3.0;-0.0;;-0.0;-3.0;3.0;-1.0;;;;0.0;;;;;0.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4.0;3.0;-2.0;-1.0;-2.0;-3.0;3.0;1.0;3.0;4.0;9.0;-5.0;-1.0;-2.0;3.0;-0.0;-1.0;1.0;78.3;4.0;1.0;4.0;4.0;;;5.0;;;0.0;-45.65;-31.52;-1.0;-51.45;1.0;-87.63;-1.0;-1.0;3.0;;0.0;;0.0;1.0;;0.0;0.0;;;;;;2.0;3.0;;1.0;1.0;;2.0;1.0;4.0;;;0.0;5.0;;;;2.0;-11.0;-1.0;6.0;3.0;;3.0;;-3.0;0.0;1.0;;0.0;;;;-3.0;0.0;-0.0;;;;-2.0;;2.0;-0.0;;1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;5.0;4.0;-4.0;-3.0;-5.0;-5.0;4.0;1.0;2.0;7.0;10.0;-8.0;0.0;-1.0;1.0;-0.0;0.0;1.0;79.4;7.0;1.0;4.0;4.0;;2.0;8.0;;;1.0;-65.63;-52.09;-2.0;-93.52;;-93.52;-1.5;-1.5;4.0;;0.0;;0.0;1.0;;0.0;0.0;;;;;;1.0;1.0;;1.0;4.0;;1.0;1.0;3.0;;;;3.0;;;;2.0;-16.0;-1.0;8.0;2.0;;2.0;;-5.0;1.0;;;-3.0;;;;-6.0;6.0;-0.0;;;;-1.0;;;;;1.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;6.0;5.0;0.0;1.0;-1.0;-1.0;5.0;2.0;2.0;2.0;8.0;-5.0;0.0;-0.0;0.0;0.0;0.0;1.0;82.91;4.0;1.0;3.0;3.0;;;5.0;;;1.0;0.68;10.93;-1.0;-11.2;;-11.2;-0.14;-0.14;5.0;;0.0;;0.0;1.0;;0.0;0.0;;;;;;1.0;1.0;;0.0;0.0;;1.0;1.0;5.0;;;0.0;5.0;;0.0;;3.0;-17.0;-2.0;11.0;2.0;;2.0;;-1.0;1.0;;;5.0;;;;-1.0;-5.0;-0.0;;;;;;0.0;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
