;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2000.0;2605.0;352.0;61.0;50.0;43.0;27.0;15.0;324.0;710.0;228.0;352.0;358.0;15.0;-153.0;152.0;13.0;-16.0;2253.0;13.52;302.0;;;;;302.0;2555.0;;;18.0;2.35;1.92;-7.0;1.66;16.0;1.03;1.9;1.82;14.0;;19.0;;19.0;167.0;124.0;15.0;143.0;234.0;5.0;239.0;;;3.0;385.0;;135.0;;;;93.0;114.0;;10.0;;124.0;;;;0.0;116.0;;242.0;710.0;;710.0;;27.0;18.0;-2.0;;-27.0;;-11.0;;70.0;-2.0;-31.0;-124.0;;;2.0;-1.0;124.0;-12.0;;40.0;;19.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3237.0;457.0;97.0;76.0;65.0;40.0;39.0;418.0;1278.0;348.0;670.0;608.0;165.0;-423.0;307.0;50.0;135.0;2780.0;14.12;381.0;;;;;381.0;3161.0;;;32.0;3.0;2.35;-11.0;2.02;25.0;1.25;1.07;1.03;38.0;;68.0;;68.0;153.0;176.0;20.0;247.0;425.0;179.0;604.0;;;8.0;860.0;;183.0;;;;165.0;271.0;;51.0;;322.0;;;;0.0;156.0;;452.0;1278.0;;1278.0;;40.0;32.0;13.0;;11.0;;-22.0;;81.0;68.0;-30.0;-395.0;;;3.0;-2.0;143.0;;;166.0;;68.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;4438.0;721.0;151.0;126.0;106.0;66.0;52.0;529.0;1618.0;448.0;903.0;715.0;118.0;-272.0;120.0;-35.0;60.0;3717.0;16.24;595.0;;;;;595.0;4313.0;;;45.0;3.41;2.83;-19.0;2.4;40.0;1.5;1.5;1.42;44.0;;34.0;;34.0;221.0;240.0;35.0;294.0;575.0;205.0;781.0;;;14.0;1089.0;;236.0;;;;212.0;370.0;;85.0;;455.0;;;;0.0;222.0;;492.0;1618.0;;1618.0;;66.0;45.0;6.0;;32.0;;-26.0;;113.0;-31.0;-58.0;-215.0;;;1.0;-3.0;;;;122.0;;34.0;68.0;;;99.86;1.5;1.34;;1.31;13.68;44.0;;;;4438.0;2.8;45.0;66.0;37.5;1.5;70.0;271.0;608.0;7.1;8.3;10.9;100.0;
2003.0;5520.0;855.0;171.0;139.0;120.0;74.0;53.0;582.0;1736.0;469.0;933.0;804.0;127.0;-122.0;-0.0;5.0;14.0;4665.0;15.48;716.0;;;;;716.0;5381.0;;;51.0;3.1;2.51;-19.0;2.17;45.0;1.34;1.63;1.54;46.0;;39.0;;39.0;252.0;257.0;34.0;363.0;583.0;197.0;780.0;;;12.0;1155.0;;235.0;;;;234.0;354.0;;110.0;;464.0;;;;0.0;296.0;;507.0;1736.0;;1736.0;;74.0;51.0;24.0;;-28.0;;-14.0;;85.0;5.0;-113.0;-14.0;;5.0;1.0;-3.0;;;;3.0;;39.0;34.0;;;121.09;1.63;0.31;;2.48;15.68;46.0;;;;5520.0;2.5;51.0;74.0;38.0;1.3;81.0;370.0;715.0;6.3;7.4;10.4;100.0;
2004.0;6149.0;920.0;143.0;113.0;85.0;53.0;47.0;646.0;1828.0;561.0;953.0;874.0;116.0;-85.0;-17.0;13.0;33.0;5229.0;14.96;807.0;;;;;807.0;6036.0;;;59.0;2.33;1.84;-28.0;1.38;32.0;0.85;1.13;1.11;46.0;;52.0;;52.0;248.0;315.0;31.0;395.0;587.0;185.0;771.0;;;16.0;1182.0;;268.0;;;;293.0;279.0;;114.0;;392.0;;;;0.0;349.0;;525.0;1828.0;;1828.0;;53.0;59.0;;;58.0;;-57.0;;143.0;-54.0;-83.0;-3.0;;;1.0;-203.0;;;;185.0;;52.0;39.0;;;132.53;1.13;0.7;;1.8;17.32;46.0;;;;6149.0;1.8;59.0;53.0;37.9;0.9;113.0;354.0;804.0;4.1;4.9;6.5;100.0;
2005.0;5721.0;747.0;299.0;70.0;67.0;247.0;44.0;632.0;1312.0;489.0;536.0;777.0;76.0;-81.0;-564.0;47.0;-1.0;4974.0;13.06;677.0;;;;;677.0;5651.0;;;26.0;5.22;1.23;-3.0;1.17;25.0;4.32;5.72;5.64;43.0;;99.0;;99.0;197.0;303.0;33.0;256.0;357.0;51.0;408.0;;;16.0;680.0;;259.0;;;;230.0;3.0;;43.0;;47.0;;;;0.0;596.0;;180.0;1312.0;;1312.0;;247.0;26.0;3.0;;-2.0;;-16.0;;141.0;-198.0;-78.0;-4.0;;;0.0;-1.0;;-362.0;;-202.0;;99.0;52.0;;;132.34;5.72;-0.03;;1.79;20.22;43.0;;;;5721.0;1.2;26.0;247.0;37.8;4.3;85.0;279.0;874.0;13.4;14.9;28.3;100.0;-25726.7
2006.0;5827.0;775.0;97.0;75.0;69.0;43.0;35.0;645.0;1360.0;505.0;565.0;795.0;66.0;-53.0;-43.0;-24.0;12.0;5052.0;13.29;700.0;;;;;700.0;5752.0;;;29.0;1.67;1.29;-7.0;1.18;26.0;0.73;1.25;1.23;34.0;;75.0;;75.0;226.0;309.0;35.0;292.0;357.0;48.0;404.0;;;18.0;714.0;;270.0;;;;235.0;12.0;;49.0;;60.0;;;;0.0;639.0;;156.0;1360.0;;1360.0;;43.0;29.0;-5.0;;47.0;;-6.0;;188.0;-49.0;-54.0;;;;0.0;-1.0;;-40.0;;-3.0;;75.0;99.0;;;169.64;1.25;0.35;;1.56;22.61;34.0;;;;5827.0;1.3;29.0;43.0;37.4;0.7;143.0;3.0;777.0;5.2;5.2;5.5;100.0;330.6
2007.0;6305.0;825.0;111.0;87.0;82.0;51.0;35.0;707.0;1452.0;519.0;591.0;861.0;57.0;-58.0;14.0;13.0;-18.0;5480.0;13.08;737.0;;;;;737.0;6218.0;;;30.0;1.76;1.38;-6.0;1.29;30.0;0.81;1.46;1.45;35.0;;88.0;;88.0;256.0;330.0;34.0;318.0;357.0;44.0;401.0;;;26.0;745.0;;276.0;;;;244.0;10.0;;59.0;4.0;72.0;;;;0.0;689.0;;171.0;1452.0;;1452.0;;51.0;30.0;13.0;;335.0;;-21.0;;523.0;-372.0;-75.0;;;1.0;16.0;-3.0;;;;17.0;;88.0;75.0;;;181.46;1.46;-0.52;;2.16;22.88;35.0;;;;6305.0;1.4;30.0;51.0;37.3;0.8;141.0;12.0;795.0;6.0;6.0;6.4;100.0;
2008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
