;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;161.0;64.0;16.0;24.0;16.0;10.0;16.0;;139.0;;86.0;52.0;;;;;;96.0;40.03;41.0;;41.0;;;;137.0;;;;9.9;14.65;-8.0;9.9;6.0;5.99;0.61;0.61;16.0;;9.0;;9.0;;;;;;;;;;;;139.0;;;;;;;;;;;86.0;;;;;;52.0;139.0;;139.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;223.0;;15.0;223.0;;15.0;16.0;;;;;;;;;;;;;;;;;;;;;;;6.72;100.0;;;;6.72;0.95;0.95;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;256.0;90.0;25.0;21.0;10.0;6.0;16.0;54.0;410.0;19.0;244.0;166.0;18.0;-299.0;288.0;6.0;5.0;166.0;35.13;70.0;;70.0;;;;236.0;;;15.0;9.78;8.02;-11.0;3.91;4.0;2.5;0.44;0.41;16.0;;3.0;;3.0;27.0;11.0;13.0;58.0;170.0;123.0;293.0;;;6.0;356.0;;3.0;;;;16.0;166.0;;58.0;0.0;225.0;;;;0.0;7.0;-5.0;164.0;410.0;;410.0;;6.0;15.0;3.0;;-9.0;;-3.0;;34.0;2.0;-13.0;-287.0;;;0.0;;126.0;;;162.0;;15.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;333.0;123.0;27.0;25.0;12.0;8.0;17.0;77.0;426.0;31.0;269.0;157.0;22.0;-16.0;-5.0;1.0;6.0;209.0;37.06;98.0;;91.0;;;7.0;307.0;;;16.0;8.2;7.62;-14.0;3.54;4.0;2.36;0.5;0.45;16.0;;3.0;;3.0;45.0;14.0;14.0;66.0;170.0;108.0;277.0;;;6.0;349.0;;4.0;;;;27.0;184.0;;54.0;;238.0;;;;0.0;;-12.0;169.0;426.0;;426.0;;8.0;16.0;-5.0;;11.0;;-3.0;;46.0;-8.0;-16.0;;;;0.0;;;;-20.0;15.0;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;372.0;142.0;22.0;27.0;-1.0;-1.0;21.0;91.0;443.0;18.0;238.0;205.0;30.0;-27.0;30.0;34.0;3.0;230.0;38.13;114.0;;114.0;113.0;;-0.0;344.0;;;23.0;5.9;7.39;-28.0;-0.24;0.0;-0.27;-0.05;-0.05;21.0;;37.0;;37.0;25.0;11.0;17.0;79.0;170.0;102.0;272.0;;51.0;-49.0;352.0;;1.0;;;5.0;12.0;165.0;;;54.0;219.0;;;;0.0;-1.0;0.0;206.0;443.0;-0.0;443.0;;-1.0;23.0;4.0;;27.0;;3.0;;72.0;-22.0;-27.0;;;;0.0;;131.0;;-83.0;-17.0;;37.0;3.0;;;17.52;-0.05;0.16;3.94;1.26;9.68;21.0;-307.5;-17.0;27.2;372.0;7.4;23.0;-1.0;-11.2;-0.3;72.0;165.0;205.0;-0.2;-0.2;-0.5;8448.4;
2007.0;278.0;91.0;18.0;13.0;1.0;1.0;28.0;60.0;408.0;16.0;197.0;210.0;25.0;-11.0;-32.0;-18.0;14.0;187.0;32.69;78.0;;75.0;77.0;;2.0;265.0;;;17.0;6.38;4.73;-12.0;0.4;0.0;0.22;0.02;0.02;27.0;;20.0;;20.0;21.0;9.0;11.0;80.0;170.0;96.0;266.0;;49.0;-48.0;348.0;;4.0;;;4.0;8.0;130.0;;;52.0;182.0;;;;0.0;-0.0;-1.0;211.0;408.0;0.0;408.0;;1.0;17.0;-1.0;;-28.0;;2.0;;45.0;36.0;-11.0;;;;0.0;;2.0;;;-34.0;;19.0;37.0;;;10.2;0.02;0.52;;0.39;7.71;27.0;465.8;26.8;;278.0;4.7;17.0;1.0;41.5;0.2;45.0;130.0;210.0;0.2;0.3;0.3;100.0;-13.5
2008.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.12;-5.31;0.5;;0.15;2.42;31.0;-0.4;-0.0;;219.0;-83.5;17.0;-163.0;15.0;-74.6;39.0;90.0;74.0;-83.5;-90.9;-219.7;100.0;
2009.0;219.0;68.0;-165.0;-183.0;-192.0;-163.0;31.0;54.0;201.0;15.0;126.0;74.0;20.0;-9.0;-11.0;0.0;15.0;150.0;31.24;251.0;;63.0;62.0;;188.0;401.0;0.0;9.0;17.0;-75.6;-83.52;-9.0;-87.74;-29.0;-74.57;-5.31;-5.31;31.0;;20.0;;20.0;18.0;9.0;6.0;74.0;;73.0;73.0;;19.0;-18.0;147.0;;6.0;0.0;;1.0;8.0;90.0;;;22.0;112.0;;;;0.0;-163.0;-1.0;238.0;201.0;0.0;201.0;;-163.0;17.0;-28.0;1.0;-6.0;5.0;-0.0;;39.0;199.0;-4.0;;-4.0;;0.0;-40.0;29.0;;;-0.0;;20.0;19.0;;;4.55;-0.26;0.2;;0.06;1.87;36.0;-9.0;-0.4;;166.0;-5.0;16.0;-9.0;37.2;-5.7;23.0;68.0;68.0;-3.3;-4.8;-13.8;100.0;
2010.0;166.0;47.0;8.0;-8.0;-15.0;-9.0;36.0;40.0;174.0;17.0;105.0;68.0;10.0;0.0;-22.0;-12.0;7.0;119.0;28.49;56.0;;52.0;49.0;;4.0;174.0;;7.0;16.0;4.75;-4.98;-7.0;-9.04;-6.0;-5.66;-0.26;-0.26;36.0;;7.0;;7.0;18.0;10.0;5.0;65.0;;68.0;68.0;;18.0;-17.0;134.0;;7.0;0.0;;1.0;9.0;68.0;;;21.0;89.0;;;;0.0;-173.0;-1.0;242.0;174.0;-0.0;174.0;;-9.0;16.0;-2.0;1.0;-15.0;3.0;-0.0;;23.0;19.0;-2.0;-1.0;;;4.0;-22.0;;-0.0;;;;7.0;20.0;;;3.5;-0.29;0.13;;0.12;1.66;50.0;-6.6;-0.4;;176.0;-5.3;15.0;-15.0;-0.5;-8.3;34.0;50.0;83.0;-6.1;-5.5;-17.5;100.0;
2011.0;167.0;39.0;-1.0;-15.0;-19.0;-17.0;54.0;40.0;143.0;13.0;75.0;67.0;-2.0;-2.0;-8.0;-11.0;-5.0;128.0;23.38;49.0;;49.0;49.0;;;177.0;0.0;4.0;14.0;-0.54;-9.25;-4.0;-11.49;-2.0;-10.1;-0.31;-0.31;54.0;;11.0;;11.0;14.0;12.0;4.0;49.0;;52.0;52.0;;;2.0;103.0;;5.0;0.0;;;8.0;46.0;;15.0;2.0;63.0;;;;1.0;-204.0;-2.0;273.0;143.0;;143.0;;-17.0;14.0;-2.0;2.0;-7.0;-2.0;-1.0;;27.0;9.0;-4.0;;;;2.0;-53.0;;;;45.0;;11.0;22.0;;;3.12;-0.31;-0.1;;0.07;1.26;54.0;-6.1;-0.4;;167.0;-9.2;14.0;-17.0;12.1;-10.1;27.0;46.0;67.0;-10.1;-10.5;-25.1;100.0;
