;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;-15.0;-13.0;-10.0;-10.0;0.0;1.0;2.0;2.0;2.0;-1.0;-10.0;-0.0;4.0;-6.0;-10.0;;;;7.0;;;;;13.0;;;0.0;-inf;-inf;3.0;-inf;;-inf;-11854.99;-11854.99;0.0;;1.0;;1.0;1.0;;0.0;0.0;;;;;;;0.0;;0.0;;;1.0;1.0;1.0;;;0.0;1.0;;0.0;;0.0;-4.0;-1.0;4.0;2.0;;2.0;;-10.0;0.0;;2.0;0.0;;;-0.0;-0.0;-2.0;-0.0;;;;-0.0;-0.0;;;;4.0;;1.0;7.0;;;;-11854.99;-11656.61;;68.45;-680.97;0.0;;;;;-inf;0.0;-10.0;;-inf;-0.0;1.0;-1.0;18684.1;-904.4;1740.9;100.0;
2012.0;0.0;0.0;-13.0;-13.0;-13.0;-13.0;0.0;5.0;6.0;2.0;11.0;-6.0;-5.0;0.0;10.0;5.0;-5.0;;100.0;13.0;10.0;3.0;3.0;;;13.0;;;0.0;-13126.8;-13376.29;0.0;-13278.35;;-13278.35;-26737.77;-26737.77;0.0;;5.0;;5.0;;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;1.0;;0.0;;10.0;10.0;;0.0;;0.0;-17.0;-1.0;12.0;6.0;;6.0;;-13.0;0.0;;1.0;4.0;;;0.0;4.0;3.0;-0.0;;;;0.0;-0.0;;;;10.0;;5.0;1.0;;;100.94;-13402.71;-5283.04;;15.61;-6077.0;0.0;-1.3;-0.1;;0.0;-13376.3;0.0;-13.0;;-13278.4;4.0;;-6.0;-329.2;-230.3;220.5;100.0;
2013.0;0.0;0.0;-21.0;-21.0;-21.0;-21.0;0.0;15.0;15.0;2.0;10.0;5.0;-6.0;-3.0;16.0;6.0;-6.0;;100.0;21.0;18.0;4.0;4.0;;;21.0;;;0.0;-5219.55;-5250.38;0.0;-5244.36;;-5244.36;-15839.84;-15839.84;0.0;;11.0;3.0;14.0;;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;2.0;;;;8.0;8.0;;;2.0;0.0;-38.0;-1.0;42.0;15.0;;15.0;;-21.0;0.0;;2.0;9.0;;;-0.0;13.0;4.0;-0.0;;-9.0;6.0;-0.0;-0.0;16.0;;;-0.0;;11.0;5.0;;;213.83;-11213.83;-3423.9;;41.8;2648.45;0.0;-2.2;-0.1;;0.0;-5250.4;0.0;-21.0;;-5244.4;13.0;;5.0;-162.7;-140.1;-423.4;100.0;
2014.0;0.0;0.0;-9.0;-9.0;-9.0;-9.0;0.0;9.0;9.0;1.0;6.0;3.0;-8.0;3.0;2.0;-3.0;-8.0;;100.0;9.0;6.0;3.0;3.0;;;9.0;;;0.0;-12271.83;-12430.99;0.0;-12394.37;;-12394.37;-4344.96;-4344.96;0.0;;8.0;;8.0;;;0.0;0.0;;;;;;0.0;0.0;;0.0;;;0.0;1.0;;;;5.0;5.0;;;2.0;0.0;-47.0;-1.0;49.0;9.0;;9.0;;-9.0;0.0;;2.0;-5.0;;;0.0;8.0;4.0;-0.0;;-5.0;8.0;0.0;;2.0;;;;;8.0;11.0;;;23.87;-2957.98;-2639.66;;31.93;922.69;0.0;-6.1;-0.3;;0.0;-12431.0;0.0;-9.0;;-12394.4;8.0;;3.0;-112.0;-95.8;-320.6;100.0;
2015.0;0.0;0.0;-10.0;-10.0;-10.0;-10.0;0.0;11.0;11.0;2.0;2.0;9.0;-7.0;-6.0;9.0;-3.0;-7.0;;100.0;10.0;7.0;3.0;3.0;;;10.0;;;0.0;-29841.18;-30108.82;0.0;-30067.65;;-30067.65;-1154.99;-1154.99;0.0;;5.0;6.0;11.0;;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;1.0;;;;;;;;;0.0;-57.0;-1.0;67.0;11.0;;11.0;;-10.0;0.0;;2.0;1.0;;;1.0;9.0;0.0;-0.0;;-8.0;3.0;;;9.0;;;;;5.0;8.0;;;3.76;-1131.24;-815.98;;6.31;983.73;0.0;-3.3;-0.2;;0.0;-30108.8;0.0;-10.0;;-30067.6;9.0;;9.0;-115.0;-91.6;-115.0;100.0;
2016.0;0.0;;-9.0;-9.0;-9.0;-9.0;0.0;13.0;13.0;3.0;3.0;11.0;-8.0;5.0;10.0;8.0;-8.0;;;9.0;5.0;4.0;4.0;;;9.0;;;0.0;-47057.89;-47447.37;0.0;-47336.84;;-47336.84;-901.99;-901.99;0.0;;13.0;;13.0;;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;2.0;;;;;;;;4.0;0.0;-66.0;-1.0;74.0;13.0;;13.0;;-9.0;0.0;;1.0;2.0;;;-0.0;11.0;-1.0;-0.0;;-2.0;8.0;-0.0;;10.0;;;;;13.0;5.0;;;1.55;-733.31;-633.02;;0.33;885.04;0.0;-1.7;-0.1;;0.0;-47447.4;0.0;-9.0;;-47336.8;11.0;;11.0;-82.9;-67.1;-82.9;100.0;
2017.0;0.0;;-14.0;-14.0;-14.0;-12.0;0.0;4.0;4.0;2.0;2.0;2.0;-10.0;-0.0;0.0;-9.0;-10.0;;;9.0;5.0;4.0;4.0;;;9.0;;;0.0;-93353.33;-93746.67;-0.0;-93820.0;-2.0;-83013.33;-303.6;-303.6;0.0;;4.0;;4.0;;;0.0;0.0;;;;;;0.0;0.0;;1.0;;;;2.0;;;;;;;;;;-79.0;-1.0;81.0;4.0;;4.0;;-12.0;0.0;-2.0;0.0;-9.0;;;-1.0;2.0;13.0;-0.0;;;;0.0;;0.0;;;;;4.0;13.0;;;0.37;-303.34;-236.71;;4.95;44.65;0.0;-1.2;-0.1;;0.0;-93746.7;0.0;-12.0;11.5;-83013.3;2.0;;2.0;-679.3;-343.4;-679.3;100.0;
2018.0;0.0;;-7.0;-7.0;-7.0;-7.0;0.0;15.0;15.0;2.0;2.0;14.0;-8.0;-0.0;19.0;11.0;-8.0;;;8.0;4.0;3.0;3.0;;;8.0;;;0.0;-5274.64;-5336.23;0.0;-5333.33;;-5333.33;-57.2;-57.2;0.0;;15.0;;15.0;;;0.0;0.0;;;;;;;0.0;;1.0;;;;1.0;;;;;;;;;0.0;-86.0;-1.0;100.0;15.0;;15.0;;-7.0;0.0;;0.0;12.0;;;0.0;13.0;-12.0;-0.0;;;;;;19.0;;;0.0;;15.0;4.0;;;1.08;-57.46;-58.75;;0.04;106.01;0.0;-2.2;-0.1;;0.0;-5336.2;0.0;-7.0;;-5333.3;13.0;;14.0;-54.2;-48.0;-54.2;100.0;
2019.0;0.0;;-9.0;-9.0;-9.0;-9.0;0.0;7.0;8.0;2.0;2.0;6.0;-9.0;-0.0;1.0;-8.0;-9.0;;;9.0;4.0;5.0;5.0;;;9.0;;;0.0;-42100.0;-42795.24;0.0;-42419.05;;-42419.05;-19.35;-19.35;0.0;;7.0;;7.0;;;0.0;1.0;;;;;;0.0;1.0;;1.0;;;;1.0;;;;0.0;0.0;;1.0;;0.0;-95.0;-1.0;102.0;8.0;;8.0;;-9.0;0.0;;0.0;-8.0;;;0.0;5.0;8.0;-0.0;;;;;-0.0;1.0;;;-0.0;;7.0;15.0;;;0.05;-19.35;-18.94;;0.16;12.49;0.0;-1.0;-0.0;;0.0;-42795.2;0.0;-9.0;;-42419.0;5.0;;6.0;-144.6;-110.8;-155.0;100.0;
2020.0;0.0;0.0;-9.0;-9.0;-9.0;-9.0;5.0;15.0;16.0;2.0;3.0;13.0;-9.0;-0.0;16.0;7.0;-9.0;;100.0;9.0;4.0;4.0;4.0;;;9.0;;;0.0;-199954.15;-201581.84;-0.0;-201604.77;;-201604.77;-1.92;-1.92;5.0;;14.0;;14.0;;;1.0;1.0;;;;;;0.0;1.0;;1.0;0.0;;;1.0;0.0;;;0.0;1.0;;0.0;;0.0;-104.0;;117.0;16.0;;16.0;;-9.0;0.0;;0.0;8.0;;;-0.0;13.0;-8.0;-0.0;;;;;-0.0;12.0;;;4.0;;14.0;7.0;;;0.0;-1.92;-1.92;;0.0;2.84;5.0;-1.9;-0.1;;0.0;-201581.8;0.0;-9.0;;-201604.8;13.0;0.0;13.0;-64.9;-55.9;-67.6;100.0;
