;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2011.0;;;;;;;;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;-0.0;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012.0;;;-0.0;-0.0;-0.0;-0.0;10.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;10.0;;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;-0.0;;;0.0;0.0;;;;;;;;-0.0;;;;0.0;;;-0.0;;0.0;0.0;;1.01;;-0.01;-0.0;;;0.05;10.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-20.8;-20.4;-19.8;100.0;;1.006
2013.0;;;-0.0;-0.0;-0.0;-0.0;10.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.0;-0.0;10.0;;0.0;0.0;0.0;0.0;;0.0;;;;;;;;;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;-0.0;;;0.0;-0.0;;;;;;;;;;0.0;;;;;;;0.0;0.0;;0.94;;-0.0;-0.0;;;0.04;10.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-11.6;-11.4;-10.8;100.0;;0.942
2014.0;;;-0.0;-0.0;-0.0;-0.0;11.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;-0.0;-inf;;-inf;-0.01;-0.01;11.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;-0.0;;;0.0;0.0;;;;;-0.0;;;;0.0;-0.0;;0.0;;;;;0.0;0.0;;0.88;;-0.01;-0.01;;;0.04;11.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-30.6;-25.9;-35.0;100.0;;0.876
2015.0;;;-0.0;-0.0;-0.0;-0.0;13.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;13.0;;0.0;0.0;0.0;;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;-0.0;;;;-0.0;;;;;;;;;0.0;-0.0;;;;;;;0.0;0.0;;0.75;;-0.01;-0.01;;;0.03;13.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-25.5;-23.3;-24.9;100.0;;0.748
2016.0;;;-0.0;-0.0;-0.0;-0.0;13.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;13.0;;0.0;0.0;0.0;0.0;;;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;;0.0;;0.0;;-0.0;;;;-0.0;;;;;;;;;0.0;;;;;;;;0.0;0.0;;0.74;;-0.01;-0.01;;;0.02;13.0;;;;;-inf;;-0.0;;-inf;0.0;;0.0;-43.4;-40.9;-43.1;100.0;;0.744
2017.0;;;-0.0;-0.0;-0.0;-0.0;13.0;0.0;1.0;0.0;0.0;1.0;-0.0;0.0;0.0;0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;;-inf;-inf;0.0;-inf;;-inf;-0.01;-0.01;13.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;0.0;;;;;;0.0;;;;;;;;;;-0.0;;;1.0;;1.0;;-0.0;;;;-0.0;;;;;;;;;0.0;;;;;;0.0;;0.0;0.0;;0.78;;-0.01;-0.01;;;0.05;13.0;-64.7;-2.7;;;-inf;;-0.0;;-inf;1.0;;1.0;-16.4;-15.3;-16.3;100.0;;0.775
2018.0;;;-1.0;-1.0;-1.0;-1.0;25.0;2.0;3.0;0.0;0.0;3.0;-0.0;0.0;2.0;2.0;-0.0;;;1.0;0.0;1.0;1.0;;-0.0;1.0;0.0;0.0;;-inf;-inf;-0.0;-inf;-0.0;-inf;-0.03;-0.03;25.0;;2.0;;2.0;0.0;;0.0;;0.0;1.0;1.0;;;;1.0;;0.0;0.0;;;0.0;;;0.0;;0.0;;;;4.0;-1.0;;0.0;3.0;;3.0;;-1.0;;-0.0;;0.0;;;0.0;;0.0;;0.0;;;0.0;;2.0;;;0.0;;2.0;0.0;;0.75;;-0.04;-0.03;;;0.15;25.0;-12.1;-0.5;;;-inf;;-1.0;1.1;-inf;3.0;;4.0;-16.1;-15.6;-25.3;100.0;;0.752
2019.0;0.0;0.0;-3.0;-2.0;-3.0;-3.0;32.0;1.0;1.0;0.0;0.0;0.0;-2.0;-0.0;0.0;-2.0;-2.0;0.0;57.92;2.0;0.0;2.0;2.0;;0.0;2.0;0.0;0.0;0.0;-16315.16;-10717.5;-1.0;-16322.63;-0.0;-15453.89;-0.11;-0.11;32.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;;;;;;;;;;4.0;-4.0;0.0;1.0;1.0;;1.0;;-3.0;0.0;-0.0;1.0;0.0;-0.0;;0.0;;1.0;-0.0;;;;;;0.0;;;-0.0;-0.0;0.0;2.0;;0.75;0.0;-0.14;-0.07;;0.0;0.02;32.0;-2.9;-0.1;;0.0;-10717.5;0.0;-4.0;5.3;-15453.9;1.0;;1.0;-851.3;-623.2;-851.3;100.0;;0.753
2020.0;0.0;0.0;-2.0;-2.0;-2.0;-2.0;38.0;0.0;0.0;0.0;0.0;-0.0;-2.0;-0.0;1.0;-0.0;-2.0;0.0;55.85;2.0;0.0;2.0;2.0;;0.0;2.0;0.0;0.0;0.0;-4035.5;-4235.27;0.0;-4122.65;;-4122.65;-0.06;-0.06;38.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;0.0;;;;0.0;;0.0;;6.0;-7.0;0.0;1.0;0.0;;0.0;;-2.0;0.0;;0.0;0.0;-0.0;-0.0;0.0;;0.0;-0.0;;;;-0.0;;1.0;;;;0.0;0.0;0.0;;0.77;0.0;-0.08;-0.06;;0.0;-0.0;38.0;-3.5;-0.1;;0.0;-4235.3;0.0;-3.0;;-4122.6;-0.0;0.0;-0.0;4732.6;-1110.9;1922.7;100.0;;0.769
