;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2002.0;;;-13.0;-13.0;;-13.0;0.0;;18.0;;36.0;-19.0;;;;;;;;13.0;9.0;3.0;;;;13.0;;;;-inf;-inf;;;;-inf;-42.62;-42.62;0.0;;17.0;;17.0;;;;;;;;;;;;18.0;;;;;;;;;;;36.0;;;;;;;18.0;;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;-12.0;-12.0;;-12.0;0.0;;5.0;;36.0;-31.0;;;;;;;;9.0;9.0;1.0;;1.0;;12.0;;;;-inf;-inf;;;;-inf;-44.16;-44.16;0.0;;4.0;;4.0;;;;;;;;;;;;5.0;;;;;;;;;;;36.0;;;;;;;5.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;-14.0;-14.0;;-14.0;0.0;24.0;27.0;2.0;72.0;-45.0;-13.0;-3.0;35.0;20.0;-16.0;;;14.0;9.0;5.0;;;;14.0;;;0.0;-inf;-inf;;;;-inf;-47.86;-47.86;0.0;;24.0;;24.0;;;0.0;3.0;;;;;;0.0;3.0;;1.0;;;;1.0;;;;70.0;70.0;;;;0.0;-44.0;-1.0;1.0;27.0;;27.0;;-14.0;0.0;;;0.0;;;;22.0;0.0;-3.0;;;;;;35.0;;;-0.0;;24.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;0.0;-1.0;-20.0;-22.0;;-22.0;0.0;10.0;17.0;5.0;83.0;-66.0;-20.0;-6.0;10.0;-16.0;-26.0;2.0;-2960.0;20.0;11.0;9.0;;;;22.0;;;1.0;-40800.0;-43010.0;;;;-43272.0;-70.95;-70.95;0.0;;8.0;;8.0;0.0;1.0;1.0;7.0;;;;;;0.0;7.0;;2.0;;;0.0;3.0;8.0;;;70.0;78.0;;;;0.0;-66.0;-2.0;2.0;17.0;;17.0;;-22.0;1.0;;;-17.0;;-1.0;;5.0;17.0;-5.0;;;;-1.0;;0.0;;;10.0;;8.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;4.0;-12.0;-33.0;-35.0;;-36.0;1.0;40.0;57.0;39.0;159.0;-102.0;-32.0;-13.0;70.0;26.0;-45.0;16.0;-327.52;23.0;8.0;15.0;;;;38.0;;;3.0;-909.36;-945.81;-1.0;;;-981.44;-99.72;-99.72;0.0;;33.0;;33.0;1.0;3.0;2.0;17.0;;;;;;0.0;17.0;;3.0;;;0.0;35.0;;;;120.0;120.0;;;;0.0;-102.0;-4.0;4.0;57.0;;57.0;;-36.0;3.0;;;-4.0;;-3.0;;1.0;6.0;-13.0;;;;1.0;;50.0;;;20.0;;33.0;8.0;;;10.1;-99.1;-123.93;;36.22;-280.54;0.0;;;;4.0;-945.8;3.0;-36.0;;-981.4;1.0;;-102.0;;-62.9;35.3;100.0;
2007.0;13.0;-12.0;-49.0;-54.0;;-54.0;17.0;109.0;131.0;21.0;38.0;92.0;-50.0;-10.0;122.0;61.0;-60.0;26.0;-92.44;41.0;10.0;30.0;30.0;;1.0;67.0;;;5.0;-363.59;-402.65;-1.0;;;-400.38;-3.21;-3.21;17.0;;95.0;;95.0;5.0;8.0;1.0;21.0;;;;;;1.0;22.0;;5.0;11.0;;1.0;4.0;16.0;;;1.0;17.0;;;;0.0;-156.0;-7.0;255.0;131.0;;131.0;;-54.0;5.0;;;87.0;;-5.0;;88.0;-89.0;-10.0;;;;;;125.0;;;-3.0;;95.0;33.0;;;0.8;-3.21;-3.62;;0.6;5.53;17.0;-6.0;-0.3;;13.0;-402.6;5.0;-54.0;;-400.4;88.0;16.0;92.0;;-41.0;-58.0;100.0;
2008.0;36.0;-5.0;-86.0;-89.0;;-93.0;28.0;88.0;109.0;17.0;105.0;4.0;-83.0;-10.0;55.0;-38.0;-93.0;41.0;-12.71;85.0;13.0;63.0;63.0;;8.0;125.0;;;7.0;-238.0;-247.77;-8.0;;;-257.33;-3.36;-3.36;28.0;;57.0;;57.0;12.0;17.0;3.0;18.0;;;;;;3.0;21.0;;7.0;;;2.0;7.0;85.0;;;3.0;88.0;;;;0.0;-248.0;-8.0;261.0;109.0;;109.0;;-93.0;7.0;;;-16.0;;-9.0;;72.0;19.0;-10.0;;;;;;1.0;;;53.0;;57.0;95.0;;;1.31;-3.36;-3.36;;0.36;0.15;28.0;-4.3;-0.2;;36.0;-247.8;7.0;-93.0;;-257.3;72.0;85.0;4.0;;-85.0;-2171.1;100.0;
2009.0;66.0;18.0;-54.0;-59.0;;-80.0;30.0;154.0;172.0;20.0;119.0;53.0;-49.0;-3.0;124.0;71.0;-52.0;48.0;27.71;78.0;13.0;64.0;27.0;38.0;;125.0;0.0;20.0;5.0;-81.62;-89.89;;;;-120.46;-2.68;-2.68;30.0;;128.0;;128.0;15.0;10.0;1.0;15.0;;;;;;2.0;17.0;;6.0;;;4.0;10.0;97.0;;;2.0;99.0;;;;0.0;-330.0;-14.0;396.0;172.0;;172.0;;-80.0;5.0;;4.0;63.0;-7.0;6.0;;134.0;-42.0;-3.0;;;;;-28.0;94.0;;;57.0;;128.0;57.0;;;2.22;-2.68;-1.76;;0.11;1.78;30.0;-3.1;-0.0;;66.0;-89.9;5.0;-80.0;;-120.5;134.0;97.0;53.0;;-34.4;-150.5;100.0;
2010.0;97.0;44.0;-33.0;-39.0;;-61.0;40.0;142.0;156.0;19.0;90.0;66.0;-36.0;-7.0;27.0;-15.0;-42.0;53.0;45.09;78.0;17.0;61.0;27.0;35.0;;131.0;0.0;23.0;5.0;-34.43;-39.84;-4.0;;;-63.07;-1.54;-1.54;40.0;;113.0;;113.0;17.0;11.0;1.0;13.0;;;;;;1.0;14.0;;5.0;;;4.0;10.0;69.0;;;2.0;71.0;;;;0.0;-384.0;-18.0;468.0;156.0;;156.0;;-61.0;5.0;;5.0;-11.0;-5.0;-1.0;;124.0;26.0;-7.0;;;;;-33.0;49.0;;;12.0;;113.0;128.0;;;2.45;-1.54;-1.06;;0.17;1.67;40.0;-9.5;-0.5;;97.0;-39.8;5.0;-61.0;;-63.1;124.0;69.0;66.0;;-24.6;-92.3;100.0;
2011.0;152.0;67.0;-34.0;-42.0;-57.0;-57.0;47.0;132.0;210.0;28.0;138.0;71.0;-25.0;-49.0;55.0;-19.0;-37.0;86.0;43.82;109.0;22.0;87.0;44.0;43.0;;195.0;0.0;15.0;9.0;-22.22;-27.89;-15.0;-37.47;0.0;-37.55;-1.22;-1.22;47.0;;94.0;;94.0;23.0;12.0;3.0;19.0;27.0;29.0;56.0;;;3.0;78.0;;11.0;;;3.0;14.0;109.0;;;2.0;110.0;;;;0.0;-441.0;-23.0;535.0;210.0;;210.0;;-57.0;9.0;;8.0;-20.0;-4.0;2.0;;104.0;35.0;-11.0;-38.0;;;0.0;-88.0;5.0;;;139.0;;94.0;113.0;;;3.26;-1.22;-0.78;;0.24;1.53;47.0;-15.0;-0.9;;152.0;-27.9;9.0;-57.0;-0.2;-37.5;104.0;109.0;71.0;-23.4;-20.2;-80.1;100.0;
