;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;;;-2.0;-2.0;-2.0;-2.0;0.0;11.0;11.0;0.0;0.0;11.0;-1.0;-0.0;1.0;-0.0;-1.0;;;2.0;0.0;2.0;;;;2.0;0.0;;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-2151977.0;-2151977.0;0.0;;0.0;;0.0;0.0;;11.0;0.0;;0.0;0.0;;;;0.0;;0.0;;;;0.0;;;;;;;;;0.0;-4.0;-0.0;14.0;11.0;;11.0;;-2.0;0.0;;0.0;-0.0;;;-0.0;10.0;1.0;-0.0;;;;-0.0;;1.0;;;0.0;0.0;0.0;0.0;;;;-2151977.0;-1424608.0;;29232.0;10507309.0;0.0;;;;;-inf;0.0;-2.0;3.8;-inf;10.0;;11.0;-20.5;-20.7;-20.5;100.0;
2012.0;;;-12.0;-12.0;-12.0;-11.0;0.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;0.0;-0.0;;;12.0;0.0;12.0;;;;12.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-19680.51;-19680.51;0.0;;0.0;;0.0;0.0;;0.0;0.0;;;;;;;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-15.0;-0.0;15.0;0.0;;0.0;;-11.0;0.0;;0.0;-11.0;;;0.0;-1.0;22.0;;;;;;;0.0;;;0.0;-0.0;0.0;0.0;;;;-19680.51;-293.08;;;-925.85;0.0;;;;;-inf;0.0;-11.0;1.5;-inf;-1.0;;-1.0;2122.2;-25048.9;2125.7;100.0;
2013.0;;;-1.0;-1.0;-2.0;-1.0;0.0;0.0;0.0;1.0;1.0;-1.0;-0.0;;0.0;;-0.0;;;1.0;0.0;1.0;1.0;;;1.0;;0.0;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-2553.34;-2553.34;0.0;;;;;0.0;;;;;;;;;0.0;0.0;;0.0;0.0;;;0.0;;;;;;;;;0.0;-17.0;-0.0;16.0;0.0;;0.0;;-1.0;0.0;;;-0.0;;;0.0;-1.0;2.0;;;;;;;;;;0.0;0.0;;0.0;;;;-2553.34;-227.69;;;-1402.61;0.0;-20806.1;-1221.7;;;-inf;0.0;-1.0;4.0;-inf;-1.0;;-1.0;164.9;-77956.5;182.0;100.0;
2014.0;;;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;2.0;2.0;-1.0;-0.0;;0.0;0.0;-0.0;;;1.0;0.0;1.0;;;;1.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;-0.0;-inf;-1427.82;-1427.82;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;;;;0.0;0.0;;;1.0;;;;;;;;;0.0;-18.0;-0.0;16.0;0.0;;0.0;;-1.0;0.0;;0.0;-1.0;;;0.0;-1.0;1.0;;;;;;-0.0;;;;0.0;0.0;0.0;;;;;-1427.82;-389.75;;;-2423.95;0.0;-8171.0;-450.2;;;-inf;0.0;-1.0;5.5;-inf;-1.0;;-1.0;51.1;-669.2;58.9;100.0;
2015.0;;;-2.0;-2.0;-3.0;-3.0;0.0;1.0;1.0;4.0;4.0;-3.0;-1.0;-0.0;1.0;0.0;-1.0;;;2.0;0.0;2.0;2.0;;;2.0;0.0;1.0;0.0;-inf;-inf;-2.0;-inf;-0.0;-inf;-1706377.0;-1706377.0;0.0;;0.0;;0.0;0.0;;1.0;;;;;;;0.0;0.0;;0.0;2.0;;;2.0;;;;;;;;0.0;0.0;-21.0;-0.0;18.0;1.0;;1.0;;-3.0;0.0;;0.0;-2.0;;;-0.0;-3.0;3.0;-0.0;;;;-0.0;-0.0;0.0;;;1.0;0.0;0.0;0.0;;;;-1706377.0;-715190.0;;1950.5;-1526758.0;0.0;-3.1;-0.2;;;-inf;0.0;-3.0;2.2;-inf;-3.0;;-3.0;54.6;-272.0;111.8;100.0;
2016.0;;;-7.0;-7.0;-9.0;-9.0;0.0;0.0;0.0;3.0;3.0;-3.0;-4.0;-0.0;5.0;0.0;-5.0;;;7.0;1.0;5.0;5.0;;;7.0;0.0;4.0;0.0;-inf;-inf;-3.0;-inf;-0.0;-inf;-1882070.4;-1882070.4;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;1.0;;;1.0;;;;;;;;0.0;1.0;-30.0;-0.0;27.0;0.0;;0.0;;-9.0;0.0;;2.0;0.0;;;0.0;-3.0;3.0;-0.0;;;;-0.0;-0.0;;;;5.0;-0.0;0.0;0.0;;;;-1882070.4;-901838.6;;1975.8;-513058.6;0.0;-1.3;-0.1;;;-inf;0.0;-9.0;0.8;-inf;-3.0;;-3.0;266.8;-1819.3;366.8;100.0;
2017.0;;;-6.0;-6.0;-8.0;-8.0;0.0;0.0;0.0;6.0;6.0;-5.0;-2.0;;2.0;-0.0;-2.0;;;6.0;1.0;5.0;5.0;;;6.0;0.0;3.0;0.0;-inf;-inf;-2.0;-inf;-0.0;-inf;-874166.67;-874166.67;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;0.0;0.0;;0.0;3.0;;;2.0;;;;;;;;0.0;0.0;-38.0;-0.0;33.0;0.0;;0.0;;-8.0;0.0;;2.0;-3.0;;;0.0;-5.0;7.0;;;;;;-0.0;;;;2.0;-0.0;0.0;0.0;;;;-874166.67;-227848.44;;;-604639.0;0.0;-0.7;-0.0;;;-inf;0.0;-8.0;3.7;-inf;-5.0;;-5.0;101.5;-6037.9;144.6;100.0;
2018.0;;;-4.0;-4.0;-7.0;-7.0;0.0;0.0;0.0;7.0;7.0;-7.0;-2.0;;2.0;-0.0;-2.0;;;4.0;2.0;2.0;2.0;;;4.0;0.0;3.0;0.0;-inf;-inf;-3.0;-inf;-0.0;-inf;-76512.55;-76512.55;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;0.0;0.0;;1.0;5.0;;;1.0;;;;;;;;0.0;0.0;-45.0;-0.0;38.0;0.0;;0.0;;-7.0;0.0;;;-1.0;;;1.0;-7.0;6.0;;;;;;-0.0;;;;3.0;-0.0;0.0;0.0;;;;-76512.55;-23670.05;;;-73390.43;0.0;-0.6;-0.0;;;-inf;0.0;-7.0;2.5;-inf;-7.0;;-7.0;57.2;-5547.1;104.3;100.0;
2019.0;;;-3.0;-3.0;-6.0;-6.0;0.0;0.0;0.0;4.0;4.0;-4.0;-2.0;-0.0;2.0;-0.0;-2.0;;;3.0;0.0;2.0;2.0;;;3.0;0.0;1.0;0.0;-inf;-inf;-3.0;-inf;-0.0;-inf;-5954.88;-5954.88;0.0;;0.0;;0.0;0.0;;0.0;;;;;;;0.0;0.0;;1.0;2.0;;;2.0;;;;;;;;0.0;0.0;-51.0;1.0;46.0;0.0;;0.0;;-6.0;0.0;;;2.0;;;-0.0;-4.0;1.0;-0.0;;;;;-0.0;1.0;;;1.0;-0.0;0.0;0.0;;;;-5954.88;-2133.31;;2.97;-4448.02;0.0;-0.6;-0.0;;;-inf;0.0;-6.0;2.0;-inf;-4.0;;-4.0;59.6;-2572.3;133.9;100.0;
2020.0;;;-3.0;-3.0;-5.0;-5.0;0.0;0.0;0.0;4.0;4.0;-4.0;-2.0;;2.0;0.0;-2.0;;;3.0;0.0;3.0;3.0;;;3.0;0.0;2.0;0.0;-inf;-inf;-1.0;-inf;-0.0;-inf;-190.0;-190.0;0.0;;0.0;;0.0;0.0;;;0.0;;;;;;0.0;0.0;;1.0;2.0;;;1.0;;;;;;;0.0;0.0;0.0;-56.0;1.0;51.0;0.0;;0.0;;-5.0;0.0;;0.0;1.0;;;-0.0;-4.0;2.0;;;;;;;0.0;;;1.0;0.0;0.0;0.0;;;;-192.45;-75.09;;;-147.83;0.0;-0.5;-0.0;;;-inf;0.0;-5.0;2.8;-inf;-4.0;;-4.0;91.7;-3487.4;130.2;100.0;
