;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2010.0;;;-1.0;-1.0;;-1.0;4.0;;;;;;;;;;;;;1.0;;1.0;1.0;;;1.0;0.0;;;-inf;-inf;;;;-inf;-0.15;-0.15;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.15;;;;;4.0;;;;;-inf;;-1.0;;-inf;;;;;;;;
2011.0;;;-11.0;-11.0;;-13.0;8.0;;;;;;;;;;;;;11.0;;11.0;11.0;;;11.0;0.0;;0.0;-inf;-inf;-2.0;;;-inf;-1.6;-1.6;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.59;;;;;8.0;;;;;-inf;0.0;-13.0;;-inf;;;;;;;;
2012.0;;;-8.0;-8.0;-7.0;-7.0;11.0;;;;;;;;;;;;;8.0;;8.0;8.0;;;8.0;0.0;;0.0;-inf;-inf;1.0;-inf;;-inf;-0.6;-0.6;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.64;;;;;11.0;;;;;-inf;0.0;-7.0;;-inf;;;;;;;;
2013.0;;;-4.0;-4.0;-4.0;-4.0;12.0;;;;;;;;;;;;;4.0;;4.0;4.0;;;4.0;0.0;;0.0;-inf;-inf;0.0;-inf;;-inf;-0.3;-0.3;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.31;;;;;12.0;;;;;-inf;0.0;-4.0;;-inf;;;;;;;;
2014.0;;;-4.0;-2.0;-1.0;-1.0;14.0;;;;;;;;;;;;;2.0;;2.0;2.0;;;2.0;0.0;;0.0;-inf;-inf;2.0;-inf;;-inf;-0.04;-0.04;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.04;;;;;14.0;;;;;-inf;0.0;-1.0;;-inf;;;;;;;;
2015.0;;;-3.0;-2.0;-1.0;-1.0;15.0;;;;;;;;;;;;;2.0;;2.0;2.0;;;2.0;0.0;;0.0;-inf;-inf;1.0;-inf;;-inf;-0.1;-0.1;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.08;;;;;15.0;;;;;-inf;0.0;-1.0;;-inf;;;;;;;;
2016.0;;-1.0;-12.0;-13.0;-46.0;-46.0;17.0;;;;;;;;;;;1.0;-inf;12.0;;3.0;3.0;;9.0;13.0;0.0;2.0;1.0;-inf;-inf;-33.0;-inf;;-inf;-2.7;-2.7;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.65;;;;;17.0;;;;;-inf;1.0;-46.0;;-inf;;;;;;;;
2017.0;;-1.0;-24.0;-25.0;-8.0;-8.0;18.0;;;;;;;;;;;1.0;-inf;25.0;;4.0;4.0;;21.0;25.0;0.0;2.0;1.0;-inf;-inf;17.0;-inf;;-inf;-0.5;-0.5;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.45;;;;;18.0;;;;;-inf;1.0;-8.0;;-inf;;;;;;;;
2018.0;;-0.0;-28.0;-28.0;-47.0;-47.0;22.0;;;;;;;;;;;0.0;-inf;28.0;;3.0;3.0;;25.0;28.0;1.0;2.0;0.0;-inf;-inf;-19.0;-inf;;-inf;-2.2;-2.2;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.18;;;;;22.0;;;;;-inf;0.0;-47.0;;-inf;;;;;;;;
2019.0;;-0.0;-30.0;31.0;-11.0;-11.0;25.0;;;;;;;;;;;0.0;-inf;31.0;;4.0;4.0;;27.0;31.0;1.0;3.0;0.0;-inf;inf;-43.0;-inf;;-inf;-0.4;-0.4;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.44;;;;;25.0;;;;;inf;0.0;-11.0;;-inf;;;;;;;;
