;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2009.0;112859.0;15606.0;1724.0;-231.0;847.0;476.0;640.0;11368.0;42880.0;9335.0;15940.0;26917.0;946.0;-1973.0;1027.0;1027.0;-1515.0;97253.0;13.83;15837.0;;;;;15837.0;113090.0;;1.0;879.0;1.53;-0.2;1078.0;0.75;368.0;0.42;0.74;0.74;640.0;;;;;6842.0;3842.0;684.0;17238.0;3638.0;788.0;4426.0;9398.0;;450.0;31512.0;;7715.0;;;;1620.0;403.0;;4858.0;1344.0;6605.0;;;;;;-7059.0;33999.0;42857.0;23.0;42880.0;;476.0;879.0;-84.0;;397.0;;237.0;2606.0;2033.0;-722.0;-2461.0;;;;-1973.0;-25.0;;;;1052.0;;;;;;176.34;0.74;-2.37;;3.85;42.06;640.0;;;;112859.0;-0.2;879.0;476.0;43.4;0.4;2033.0;403.0;26917.0;1.4;2.0;1.8;100.0;
2010.0;146849.0;17568.0;2195.0;1297.0;1319.0;735.0;640.0;14704.0;44955.0;12503.0;18929.0;26001.0;2092.0;-652.0;-1440.0;-1440.0;942.0;129281.0;11.96;16271.0;;;;;16271.0;145552.0;42.0;1.0;880.0;1.49;0.88;22.0;0.9;579.0;0.5;1.15;1.15;640.0;;;;;10213.0;4113.0;378.0;15409.0;3633.0;777.0;4410.0;9918.0;;514.0;30251.0;;10751.0;;;;1752.0;388.0;;4817.0;1221.0;6426.0;;;;;;-9207.0;35233.0;44930.0;25.0;44955.0;;735.0;880.0;-33.0;;168.0;;-344.0;3003.0;2201.0;342.0;-1150.0;;;;-652.0;-26.0;;;;-1414.0;;;;;;229.45;1.15;1.47;;1.8;40.63;640.0;;;;146849.0;0.9;880.0;735.0;43.9;0.5;2201.0;388.0;26001.0;2.3;2.9;2.8;100.0;
2011.0;197771.0;20862.0;7544.0;4236.0;6624.0;4775.0;640.0;13948.0;43211.0;12384.0;19918.0;23264.0;5006.0;2492.0;-7498.0;-7498.0;3984.0;176909.0;10.55;16626.0;;1409.0;1409.0;;15217.0;193535.0;;17.0;908.0;3.81;2.14;2388.0;3.35;1844.0;2.41;7.46;7.46;640.0;;;;;10025.0;3466.0;457.0;14771.0;3332.0;732.0;4064.0;10306.0;;122.0;29263.0;;10007.0;30.0;;;2347.0;361.0;;5803.0;1370.0;7534.0;;;;;;122.0;23142.0;43182.0;29.0;43211.0;;4775.0;908.0;931.0;;-637.0;;616.0;58.0;1564.0;-971.0;-1022.0;;;;2492.0;-26.0;;;;-7472.0;;;;;;309.02;7.46;6.22;;1.6;36.35;640.0;;;;197771.0;2.1;908.0;4775.0;27.8;2.4;1564.0;361.0;23264.0;15.5;15.4;20.5;100.0;
2012.0;179460.0;24064.0;7783.0;4686.0;6631.0;4124.0;637.0;17962.0;48073.0;12482.0;27267.0;20775.0;4296.0;-1535.0;699.0;699.0;2575.0;155396.0;13.41;19378.0;;1722.0;1722.0;;17656.0;174774.0;18.0;246.0;913.0;4.34;2.61;1945.0;3.69;2500.0;2.3;6.55;6.48;629.0;;3474.0;;3474.0;10403.0;3430.0;655.0;15407.0;3344.0;724.0;4068.0;10339.0;;297.0;30111.0;;10710.0;13.0;;;1759.0;6961.0;;5444.0;2380.0;14785.0;;;;6.0;2713.0;-314.0;18370.0;48042.0;31.0;48073.0;;4124.0;913.0;221.0;;3916.0;;55.0;-985.0;5480.0;-4878.0;-1721.0;;;;-1535.0;-1210.0;47.0;-356.0;-282.0;2500.0;14.0;3474.0;;;;285.38;6.56;4.09;0.45;2.74;33.04;629.0;6.2;0.4;1.1;179460.0;2.6;913.0;4124.0;37.7;2.3;5480.0;6961.0;20775.0;12.0;14.3;19.9;93.2;23.0
2013.0;171596.0;22404.0;6792.0;2666.0;5526.0;3726.0;619.0;19237.0;49798.0;12931.0;27406.0;21950.0;6027.0;-444.0;-3679.0;1926.0;4248.0;149192.0;13.06;19738.0;;1478.0;1478.0;;18260.0;168930.0;20.0;275.0;947.0;3.96;1.55;2860.0;3.22;1844.0;2.17;6.07;6.02;613.0;;5400.0;;5400.0;9632.0;3354.0;851.0;15398.0;3096.0;698.0;3794.0;11146.0;;223.0;30561.0;;11090.0;24.0;;;1817.0;6131.0;;6125.0;2219.0;14475.0;;;;6.0;5622.0;37.0;16285.0;49356.0;442.0;49798.0;;3726.0;947.0;594.0;;826.0;;38.0;360.0;6306.0;-66.0;-1779.0;;;;-444.0;-1020.0;410.0;-2246.0;-807.0;-16.0;22.0;5400.0;3474.0;;;279.97;6.08;6.93;1.32;2.9;35.81;613.0;10.3;0.6;2.1;171596.0;1.6;947.0;3726.0;33.4;2.2;6306.0;6131.0;21950.0;10.7;11.8;17.0;78.3;62.2
2014.0;161212.0;24469.0;7678.0;3430.0;5745.0;4762.0;572.0;16696.0;48741.0;11094.0;26704.0;21590.0;3529.0;-2296.0;-1362.0;-193.0;-244.0;136743.0;15.18;21039.0;;1663.0;1663.0;;19376.0;157782.0;21.0;267.0;995.0;4.76;2.13;2315.0;3.56;1654.0;2.95;8.41;8.4;566.0;;5207.0;;5207.0;7255.0;3397.0;837.0;17346.0;3274.0;900.0;4174.0;10113.0;;412.0;32045.0;;8064.0;842.0;;;2188.0;7842.0;;5491.0;2277.0;15610.0;;;;6.0;9309.0;-531.0;12806.0;48294.0;447.0;48741.0;;4762.0;995.0;-488.0;;-704.0;;-85.0;-3323.0;5602.0;-1036.0;-3773.0;;;;-2296.0;-49.0;1.0;-2282.0;-1062.0;2030.0;-64.0;5207.0;5400.0;;;284.88;8.41;-0.43;1.88;6.67;38.15;566.0;9.3;0.5;2.4;161212.0;2.1;995.0;4762.0;28.8;3.0;5602.0;7842.0;21590.0;12.8;13.8;22.1;77.7;-1370.1
2015.0;98975.0;24498.0;7379.0;4548.0;6044.0;4227.0;547.0;12256.0;48580.0;7531.0;24642.0;23100.0;5713.0;-5738.0;-2117.0;-2133.0;-51.0;74477.0;24.75;19950.0;;1670.0;1670.0;;18280.0;94427.0;27.0;310.0;1078.0;7.46;4.6;1496.0;6.11;1764.0;4.27;7.78;7.73;542.0;;3074.0;;3074.0;5173.0;3477.0;532.0;19721.0;3275.0;906.0;4181.0;12061.0;;361.0;36324.0;;5655.0;44.0;;;1832.0;8843.0;;6041.0;2227.0;17111.0;;;;6.0;12348.0;-653.0;11399.0;47742.0;838.0;48580.0;;4227.0;1078.0;529.0;;-877.0;;-144.0;-2300.0;4725.0;756.0;-5764.0;;;;-5738.0;-926.0;365.0;-1512.0;-1172.0;1128.0;9.0;3074.0;5207.0;;;182.49;7.79;-0.09;2.16;10.63;42.59;542.0;10.2;0.5;2.7;98975.0;4.6;1078.0;4227.0;29.2;4.3;4725.0;8843.0;23100.0;11.1;13.2;18.3;72.3;-4547.1
2016.0;84279.0;20643.0;3608.0;1098.0;2191.0;1555.0;530.0;12680.0;51653.0;9463.0;27928.0;22390.0;2963.0;-3158.0;-178.0;-363.0;119.0;63636.0;24.49;19545.0;;1638.0;1638.0;;17907.0;83181.0;18.0;338.0;1168.0;4.28;1.3;1093.0;2.6;547.0;1.85;2.94;2.92;528.0;;2711.0;;2711.0;6397.0;3150.0;422.0;20855.0;3270.0;888.0;4158.0;13200.0;;760.0;38973.0;;7061.0;550.0;;;1852.0;9588.0;;6743.0;2134.0;18465.0;;;;6.0;12608.0;-995.0;10771.0;50318.0;1335.0;51653.0;;1555.0;1168.0;612.0;;-1508.0;;216.0;1579.0;3217.0;1136.0;-2844.0;;;;-3158.0;-833.0;960.0;-1042.0;-1282.0;2019.0;10.0;2711.0;3074.0;;;159.76;2.95;0.23;2.43;5.39;42.44;528.0;27.3;1.2;3.0;84279.0;1.3;1168.0;1555.0;25.0;1.8;3217.0;9588.0;22390.0;4.5;4.8;6.9;17.6;1146.2
2017.0;102354.0;21627.0;5169.0;1838.0;3555.0;5106.0;519.0;14390.0;54371.0;10107.0;26943.0;25085.0;3648.0;-1146.0;-2111.0;408.0;1816.0;80727.0;21.13;19789.0;;1695.0;1695.0;;18094.0;100516.0;31.0;438.0;1318.0;5.05;1.8;1717.0;3.47;-1693.0;4.99;9.9;9.85;515.0;;3119.0;;3119.0;7506.0;3395.0;370.0;21460.0;3270.0;876.0;4146.0;13847.0;;528.0;39981.0;;8027.0;41.0;;;2039.0;10069.0;;5008.0;1759.0;16836.0;;;;6.0;16306.0;-617.0;9390.0;52028.0;2343.0;54371.0;;5106.0;1318.0;-1886.0;;1066.0;;-176.0;1153.0;4283.0;-1956.0;-1832.0;;;;-1146.0;-3678.0;1240.0;-1590.0;-1395.0;3312.0;17.0;3119.0;2711.0;;;198.71;9.91;3.53;2.71;3.56;48.7;515.0;8.6;0.4;3.2;102354.0;1.8;1318.0;5106.0;-47.6;5.0;4283.0;10069.0;25085.0;13.6;7.4;20.4;72.7;96.1
2018.0;111461.0;12175.0;9027.0;5209.0;7445.0;5595.0;474.0;13209.0;54302.0;8935.0;27149.0;24653.0;7573.0;-2471.0;-5167.0;-100.0;4934.0;99286.0;10.92;6966.0;;1677.0;1677.0;;5289.0;106252.0;45.0;504.0;1356.0;8.1;4.67;2236.0;6.68;1572.0;5.02;11.87;11.8;471.0;;3019.0;;3019.0;6173.0;3543.0;474.0;22018.0;3270.0;869.0;4139.0;14324.0;;612.0;41093.0;;6586.0;67.0;;;2282.0;11093.0;;5275.0;1846.0;18214.0;;;;6.0;20489.0;-692.0;4850.0;51802.0;2500.0;54302.0;;5595.0;1356.0;252.0;;-9.0;;-202.0;-1546.0;4274.0;379.0;-2639.0;;;;-2471.0;-1144.0;167.0;-4645.0;-1436.0;1891.0;-35.0;3019.0;3119.0;;;236.79;11.89;10.48;3.05;5.61;52.37;471.0;8.9;0.4;2.9;111461.0;4.7;1356.0;5595.0;21.1;5.0;4274.0;11093.0;24653.0;14.1;14.8;22.7;74.3;119.9
