;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1992.0;22.0;5.0;2.0;0.0;1.0;0.0;12.0;7.0;14.0;8.0;10.0;4.0;1.0;-1.0;-0.0;-0.0;-1.0;18.0;20.27;4.0;;2.0;;;2.0;22.0;;;2.0;10.36;1.8;1.0;4.5;0.0;0.45;0.01;0.01;12.0;;2.0;;2.0;5.0;0.0;0.0;6.0;;;;;;1.0;6.0;;5.0;;;;3.0;2.0;;;;2.0;;;;;0.0;-19.0;22.0;14.0;;14.0;;0.0;2.0;;;-1.0;;;;-0.0;;-2.0;;;0.0;1.0;;;;;-0.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;25.0;7.0;4.0;2.0;2.0;2.0;25.0;11.0;18.0;6.0;8.0;10.0;3.0;-4.0;3.0;3.0;-1.0;18.0;26.32;5.0;;3.0;;;2.0;23.0;;;2.0;16.19;6.48;0.0;6.88;0.0;6.48;0.07;0.07;25.0;;4.0;;4.0;6.0;0.0;;7.0;;;;;;1.0;8.0;;5.0;;;;1.0;2.0;;;-0.0;2.0;;;;;2.0;-21.0;29.0;18.0;;18.0;;2.0;2.0;;;5.0;;;;4.0;-6.0;-4.0;;;;0.0;;5.0;;;-2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;35.0;8.0;5.0;2.0;2.0;3.0;16.0;16.0;32.0;11.0;17.0;15.0;4.0;-9.0;4.0;4.0;-5.0;27.0;22.51;6.0;;3.0;;;3.0;33.0;;;3.0;14.81;5.41;0.0;6.55;-0.0;7.12;0.15;0.15;16.0;;3.0;;3.0;10.0;0.0;2.0;15.0;;;;;;1.0;15.0;;9.0;;;;2.0;6.0;;;;6.0;;;;;4.0;-24.0;34.0;32.0;;32.0;;3.0;3.0;-0.0;;1.0;;;;5.0;-2.0;-9.0;;;;0.0;;;;;4.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;47.0;12.0;7.0;2.0;2.0;2.0;21.0;17.0;44.0;11.0;23.0;20.0;5.0;-16.0;10.0;10.0;-11.0;35.0;24.73;9.0;;4.0;;;5.0;44.0;;;5.0;15.27;4.95;-1.0;3.87;-0.0;4.09;0.09;0.09;21.0;;3.0;;3.0;11.0;0.0;3.0;27.0;;;;;;1.0;27.0;;8.0;;;;3.0;13.0;;;;13.0;;;;;6.0;-28.0;43.0;44.0;;44.0;;2.0;5.0;-0.0;;1.0;;-1.0;;6.0;-3.0;-17.0;;;;0.0;;3.0;0.0;;7.0;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;84.0;21.0;12.0;5.0;2.0;4.0;40.0;36.0;88.0;18.0;44.0;44.0;5.0;-21.0;13.0;13.0;-19.0;63.0;25.21;16.0;;6.0;;;10.0;79.0;;;10.0;14.34;5.62;-3.0;2.39;-2.0;5.14;0.11;0.11;40.0;;4.0;;4.0;25.0;0.0;7.0;51.0;;;;;;1.0;52.0;;15.0;;;;3.0;26.0;;0.0;1.0;27.0;;;;;22.0;-59.0;80.0;88.0;;88.0;;4.0;10.0;-2.0;;11.0;;-3.0;;18.0;-19.0;-24.0;;;2.0;1.0;;1.0;;;12.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;191.0;60.0;53.0;33.0;35.0;22.0;59.0;77.0;203.0;31.0;56.0;147.0;34.0;-80.0;66.0;66.0;-50.0;131.0;31.18;26.0;;9.0;;;18.0;157.0;;;18.0;27.52;17.51;2.0;18.34;13.0;11.64;0.39;0.38;57.0;;23.0;;23.0;46.0;5.0;3.0;100.0;;25.0;25.0;;;1.0;126.0;;17.0;;;;14.0;22.0;;3.0;1.0;26.0;;;;;44.0;-73.0;176.0;203.0;;203.0;;22.0;18.0;3.0;;29.0;;-0.0;;47.0;-37.0;-84.0;;;;4.0;;68.0;;;-3.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;187.0;40.0;28.0;3.0;-0.0;-0.0;63.0;54.0;237.0;23.0;80.0;157.0;30.0;-77.0;33.0;33.0;-50.0;147.0;21.49;37.0;;9.0;9.0;;28.0;184.0;;;28.0;14.95;1.45;-3.0;-0.11;0.0;-0.16;-0.01;-0.01;63.0;;9.0;;9.0;29.0;1.0;14.0;137.0;;46.0;46.0;;;1.0;183.0;;11.0;;;;12.0;47.0;;10.0;;57.0;;;;;44.0;-98.0;211.0;237.0;;237.0;;-0.0;28.0;7.0;;-16.0;;-1.0;;31.0;12.0;-80.0;;;1.0;2.0;;0.0;;;33.0;;;23.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;152.0;25.0;15.0;-10.0;-13.0;-9.0;65.0;59.0;236.0;32.0;84.0;153.0;24.0;-19.0;-5.0;-0.0;5.0;126.0;16.7;36.0;;7.0;7.0;;28.0;162.0;;;28.0;9.77;-6.73;-3.0;-8.84;-4.0;-6.01;-0.14;-0.14;65.0;;9.0;;9.0;43.0;2.0;5.0;134.0;;42.0;42.0;;;2.0;178.0;;24.0;;;;8.0;50.0;;2.0;0.0;52.0;;;;0.0;35.0;-122.0;240.0;236.0;;236.0;;-9.0;28.0;-7.0;;-4.0;;-1.0;;27.0;16.0;-19.0;;;;;;1.0;;;-6.0;;9.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;308.0;86.0;71.0;42.0;38.0;24.0;72.0;168.0;411.0;57.0;108.0;303.0;49.0;-73.0;75.0;51.0;-8.0;222.0;28.01;45.0;;11.0;11.0;;33.0;266.0;;;33.0;23.1;13.55;-4.0;12.34;14.0;7.71;0.34;0.33;69.0;;59.0;;59.0;82.0;12.0;14.0;203.0;;39.0;39.0;;;2.0;243.0;;42.0;4.0;;;10.0;20.0;;30.0;1.0;51.0;;;;0.0;245.0;-150.0;207.0;411.0;;411.0;;24.0;33.0;16.0;;84.0;;-2.0;;111.0;-108.0;-57.0;-18.0;;;2.0;;102.0;-2.0;-40.0;14.0;;59.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;990.0;397.0;353.0;267.0;266.0;164.0;158.0;199.0;870.0;89.0;183.0;687.0;254.0;-214.0;-73.0;-33.0;81.0;593.0;40.11;117.0;;31.0;31.0;;86.0;710.0;;;86.0;35.62;26.99;-1.0;26.92;102.0;16.58;1.07;1.03;153.0;;34.0;;34.0;136.0;16.0;14.0;614.0;;52.0;52.0;;;4.0;670.0;;53.0;;;;37.0;;;93.0;0.0;93.0;;;;1.0;259.0;-308.0;735.0;870.0;;870.0;;164.0;86.0;15.0;;-1.0;;-3.0;;110.0;-10.0;-173.0;-41.0;;;-0.0;;6.0;;;-79.0;-0.0;34.0;67.0;;;;;;;;;;;;;;;;;;;;;;;;;;
