;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2012.0;;-0.0;-4.0;-4.0;-5.0;-5.0;9.0;;;;;;-4.0;-1.0;5.0;0.0;-5.0;0.0;-inf;4.0;;1.0;1.0;;3.0;4.0;0.0;1.0;0.0;-inf;-inf;-1.0;-inf;;-inf;-0.57;-0.57;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.0;0.0;;0.0;-0.0;;;;;1.0;-1.0;;;;;;;;;5.0;;0.0;0.0;;;;-0.57;-0.55;;0.12;;9.0;-4.2;-0.3;;;-inf;0.0;-5.0;;-inf;;;;;;;100.0;
2013.0;;;-7.0;-7.0;-9.0;-9.0;9.0;1.0;32.0;13.0;14.0;18.0;-6.0;-0.0;6.0;-0.0;-6.0;;;;;1.0;1.0;;;7.0;0.0;2.0;;-inf;-inf;-1.0;-inf;;-inf;-1.0;-1.0;9.0;;0.0;0.0;1.0;;;0.0;28.0;;;;;;3.0;31.0;;0.0;;;;13.0;;;;1.0;1.0;;;;30.0;-16.0;;4.0;32.0;;32.0;;-9.0;;;0.0;-12.0;;;0.0;-12.0;14.0;-0.0;;-0.0;;;;;;;6.0;;0.0;0.0;;;;-1.0;-0.72;;0.0;2.09;9.0;-1.6;-0.1;;;-inf;;-9.0;;-inf;-12.0;;18.0;-37.6;-22.4;-47.8;100.0;
2014.0;;;-3.0;-3.0;-5.0;-5.0;9.0;1.0;32.0;15.0;17.0;16.0;-2.0;-0.0;2.0;0.0;-2.0;;;;;1.0;1.0;;;3.0;0.0;2.0;;-inf;-inf;-2.0;-inf;;-inf;-0.3;-0.3;9.0;;0.0;1.0;1.0;;;0.0;28.0;;;;;;3.0;31.0;;0.0;;;;15.0;;;;1.0;1.0;;;;30.0;-21.0;;7.0;32.0;;32.0;;-5.0;;;0.0;-2.0;;;-0.0;-14.0;5.0;;;-0.0;;;;;;;2.0;;0.0;0.0;;;;-0.59;-0.24;;;1.83;9.0;-1.7;-0.1;;;-inf;;-5.0;;-inf;-14.0;;16.0;-15.3;-8.0;-32.4;100.0;
2015.0;;-0.0;-3.0;-3.0;-5.0;-5.0;8.0;10.0;40.0;0.0;2.0;39.0;-2.0;0.0;10.0;9.0;-2.0;0.0;-inf;3.0;;1.0;1.0;;1.0;3.0;0.0;2.0;0.0;-inf;-inf;-2.0;-inf;;-inf;-0.64;-0.64;8.0;;9.0;0.0;9.0;0.0;;0.0;28.0;;;;;;3.0;31.0;;0.0;;;;;;;;1.0;1.0;;;;0.0;-26.0;-0.0;65.0;40.0;;40.0;;-5.0;0.0;;0.0;23.0;-0.0;;0.0;9.0;-21.0;-0.0;;;;0.0;;1.0;;;9.0;;9.0;0.0;;;;-0.64;-0.25;;0.0;4.72;8.0;-2.1;-0.1;;;-inf;0.0;-5.0;;-inf;9.0;;39.0;-7.0;-7.0;-13.5;100.0;
2016.0;;-0.0;-3.0;-3.0;-5.0;-5.0;9.0;7.0;35.0;1.0;2.0;34.0;-3.0;-1.0;;-3.0;-3.0;0.0;-inf;3.0;;2.0;2.0;;1.0;3.0;0.0;0.0;0.0;-inf;-inf;-2.0;-inf;;-inf;-0.63;-0.63;9.0;;6.0;;6.0;1.0;;1.0;26.0;;;;;;2.0;28.0;;;;;;1.0;;;;1.0;1.0;;;;0.0;-31.0;-0.0;65.0;35.0;;35.0;;-5.0;0.0;;1.0;-2.0;0.0;;-0.0;7.0;5.0;-0.0;;;;-1.0;;;;;;;6.0;9.0;;;;-0.63;-0.31;;0.0;3.98;9.0;-2.6;-0.1;;;-inf;0.0;-5.0;;-inf;7.0;;34.0;-8.5;-8.4;-15.8;100.0;
2017.0;;-0.0;-8.0;-8.0;-8.0;-4.0;16.0;2.0;51.0;1.0;2.0;49.0;-7.0;-1.0;4.0;-4.0;-7.0;0.0;-inf;8.0;;2.0;2.0;;6.0;8.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;-3.0;-inf;-0.27;-0.27;16.0;;2.0;;2.0;0.0;;0.0;46.0;;;;;;2.0;49.0;;;;;;1.0;;;;1.0;1.0;;;;0.0;-36.0;;84.0;51.0;;51.0;;-4.0;0.0;-3.0;0.0;-6.0;-0.0;;;1.0;7.0;-0.0;-1.0;;;-0.0;;4.0;;;;;2.0;6.0;;;;-0.27;-0.4;;0.0;2.97;16.0;-5.9;-0.2;;;-inf;0.0;-4.0;42.6;-inf;1.0;;49.0;-9.3;-15.8;-8.9;100.0;
2018.0;;-0.0;-6.0;-6.0;-6.0;-6.0;22.0;1.0;51.0;1.0;2.0;49.0;-6.0;-2.0;7.0;-2.0;-8.0;0.0;-inf;6.0;;2.0;2.0;;5.0;6.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;;-inf;-0.28;-0.28;22.0;;0.0;;0.0;;;0.0;49.0;;;;;;2.0;51.0;;;;;;1.0;;;;1.0;1.0;;;;0.0;-42.0;;91.0;51.0;;51.0;;-6.0;0.0;;0.0;-2.0;0.0;;;-0.0;2.0;-2.0;;;;;;7.0;;;;;0.0;2.0;;;;-0.28;-0.38;;0.11;2.28;22.0;-4.4;-0.2;;;-inf;0.0;-6.0;;-inf;-0.0;;49.0;-12.8;-12.6;-12.3;100.0;
2019.0;;-0.0;-6.0;-6.0;-6.0;-6.0;26.0;1.0;49.0;1.0;2.0;47.0;-6.0;2.0;4.0;0.0;-6.0;0.0;-inf;6.0;;2.0;2.0;;4.0;6.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;;-inf;-0.23;-0.23;26.0;;0.0;;0.0;;;0.0;47.0;;;;;;1.0;48.0;;;;;;1.0;;;;1.0;1.0;;;;0.0;-48.0;;95.0;49.0;;49.0;;-6.0;0.0;;0.0;0.0;;;;-0.0;-0.0;;;;;2.0;;3.0;;;1.0;;0.0;0.0;;;;-0.23;-0.22;;;1.83;26.0;-3.6;-0.2;;;-inf;0.0;-6.0;;-inf;-0.0;;47.0;-13.3;-13.0;-12.6;100.0;
2020.0;;-0.0;-7.0;-7.0;-6.0;-6.0;28.0;6.0;54.0;1.0;7.0;47.0;-5.0;-0.0;10.0;5.0;-5.0;0.0;-inf;7.0;;2.0;2.0;;5.0;7.0;0.0;0.0;0.0;-inf;-inf;0.0;-inf;;-inf;-0.23;-0.23;28.0;;5.0;;5.0;;;0.0;47.0;;;;;;1.0;48.0;;;;;;1.0;5.0;;;0.0;6.0;;;;0.0;-54.0;;101.0;54.0;;54.0;;-6.0;0.0;;1.0;5.0;;;;5.0;-5.0;-0.0;;;;;;5.0;;;5.0;;5.0;0.0;;;;-0.23;-0.19;;0.0;1.71;28.0;-4.6;-0.1;;;-inf;0.0;-6.0;;-inf;5.0;5.0;47.0;-12.8;-12.6;-13.7;100.0;
2021.0;;-0.0;-5.0;-6.0;-6.0;-6.0;36.0;4.0;54.0;1.0;7.0;47.0;-6.0;-0.0;4.0;-2.0;-6.0;0.0;-inf;6.0;;2.0;2.0;;3.0;6.0;0.0;0.0;0.0;-inf;-inf;-0.0;-inf;;-inf;-0.17;-0.17;36.0;;3.0;;3.0;;;1.0;49.0;;;;;;1.0;50.0;;;;;;1.0;4.0;;;2.0;6.0;;;;0.0;-60.0;;107.0;54.0;;54.0;;-6.0;0.0;;1.0;-1.0;;;;3.0;1.0;-0.0;;;;;;4.0;;;;;3.0;5.0;;;;-0.17;-0.17;;0.0;1.33;36.0;-5.8;-0.2;;;-inf;0.0;-6.0;;-inf;3.0;4.0;47.0;-10.4;-10.2;-12.5;100.0;
