;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1996.0;5.0;;4.0;;;1.0;3.0;;112.0;;100.0;12.0;1.0;-28.0;30.0;30.0;-2.0;;;;;2.0;2.0;0.0;;;7.0;4.0;0.0;89.58;;;;;14.58;0.21;0.21;3.0;;12.0;;12.0;1.0;;;5.0;;;;;;;;112.0;;;;;;1.0;;;;1.0;101.0;;;;-1.0;;13.0;112.0;;112.0;;1.0;0.0;;;-1.0;;;;;1.0;-3.0;;-23.0;13.0;-18.0;;;;;30.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;8.0;;7.0;;1.0;1.0;4.0;;168.0;11.0;154.0;15.0;5.0;-55.0;51.0;51.0;4.0;;;;;3.0;3.0;0.0;;;10.0;5.0;0.0;88.16;;;18.42;0.0;15.79;0.36;0.36;3.0;;12.0;;12.0;1.0;;;5.0;;;;;;;;168.0;;11.0;;;;2.0;;;;2.0;145.0;;;;0.0;;14.0;168.0;;168.0;;1.0;0.0;;;;;;;;3.0;-1.0;;-12.0;9.0;-52.0;;;;;51.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;13.0;;13.0;;4.0;2.0;4.0;;250.0;231.0;231.0;19.0;-4.0;-70.0;79.0;79.0;-7.0;;;;;5.0;5.0;0.0;;;15.0;8.0;0.0;100.78;;;32.03;2.0;18.75;0.72;0.68;3.0;;20.0;;20.0;2.0;;;8.0;;;;;;;;250.0;;2.0;;;229.0;26.0;;;;26.0;0.0;;;;3.0;;17.0;250.0;;250.0;;2.0;0.0;;;-231.0;;;;-231.0;224.0;-3.0;;-34.0;14.0;-51.0;-12.0;;;;91.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;15.0;;16.0;;4.0;3.0;4.0;;321.0;291.0;291.0;19.0;8.0;-77.0;66.0;-3.0;7.0;;;;;6.0;6.0;0.0;;;20.0;11.0;1.0;106.8;;;27.89;2.0;17.01;0.72;0.69;3.0;;21.0;;21.0;2.0;;;8.0;;;;;;;;321.0;;10.0;;;281.0;25.0;;;-13.0;12.0;;;;;5.0;;14.0;309.0;12.0;321.0;;3.0;1.0;;;-60.0;;;;-291.0;64.0;-1.0;;-50.0;16.0;-43.0;-3.0;;;;69.0;;9.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;17.0;;18.0;;4.0;3.0;4.0;;368.0;336.0;336.0;20.0;4.0;-46.0;49.0;7.0;3.0;;;;;7.0;7.0;0.0;;;24.0;13.0;1.0;108.84;;;26.12;2.0;16.2;0.79;0.77;3.0;;28.0;;28.0;3.0;;;8.0;;;;;;;;368.0;;21.0;;;315.0;22.0;;;-10.0;12.0;;;;2.0;7.0;;10.0;356.0;12.0;368.0;;3.0;1.0;-0.0;;-45.0;;;;-336.0;46.0;-1.0;;-24.0;26.0;-48.0;-10.0;;;;59.0;;15.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;18.0;;21.0;;4.0;2.0;3.0;;401.0;365.0;365.0;24.0;-2.0;-22.0;29.0;5.0;-3.0;;;;;9.0;8.0;1.0;;;29.0;17.0;1.0;115.25;;;19.49;1.0;13.13;0.71;0.69;3.0;;31.0;;31.0;3.0;;;9.0;;;;;;;;401.0;;28.0;;;337.0;30.0;;;-18.0;12.0;;;;2.0;10.0;;12.0;389.0;12.0;401.0;;2.0;1.0;-0.0;;-30.0;;;;-365.0;25.0;-2.0;;-17.0;36.0;-41.0;-9.0;;;;38.0;;20.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;24.0;;18.0;;4.0;3.0;4.0;;605.0;33.0;556.0;37.0;4.0;-111.0;113.0;6.0;2.0;;;;;11.0;10.0;1.0;;;29.0;13.0;1.0;77.5;;;18.15;1.0;12.57;0.73;0.72;4.0;;39.0;;39.0;3.0;;;9.0;;;;82.0;;;;605.0;;33.0;;;;80.0;;;;80.0;603.0;;;3.0;16.0;2.0;;593.0;12.0;605.0;;3.0;1.0;-1.0;;365.0;;;;;-365.0;-1.0;;-30.0;19.0;-99.0;-2.0;;;;115.0;;26.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;33.0;;22.0;;8.0;5.0;4.0;;710.0;52.0;668.0;42.0;30.0;-132.0;102.0;-0.0;26.0;;;;;13.0;13.0;1.0;;;33.0;12.0;2.0;67.48;;;25.02;3.0;16.75;1.31;1.27;4.0;;35.0;;35.0;4.0;;;12.0;;;;129.0;;;;710.0;;52.0;;;;98.0;;;;98.0;715.0;;;3.0;21.0;2.0;16.0;710.0;;710.0;;5.0;2.0;-1.0;;;;;;;24.0;-4.0;;-92.0;54.0;-94.0;-11.0;;;-0.0;113.0;;24.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;33.0;;24.0;;8.0;5.0;4.0;;870.0;105.0;819.0;51.0;7.0;-165.0;155.0;-3.0;-0.0;;;;;15.0;14.0;1.0;;;38.0;13.0;2.0;70.48;;;23.13;3.0;15.63;1.23;1.2;4.0;;25.0;;25.0;4.0;;;18.0;;;;150.0;;;;870.0;;105.0;;;;119.0;;;;119.0;833.0;;;4.0;25.0;1.0;20.0;870.0;;870.0;;5.0;2.0;-0.0;;;;;;;-0.0;-8.0;;-87.0;64.0;-143.0;-36.0;;;-0.0;191.0;;21.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;37.0;;31.0;;7.0;5.0;5.0;831.0;1043.0;107.0;987.0;54.0;11.0;-129.0;136.0;18.0;1.0;;;;;18.0;17.0;1.0;;;49.0;21.0;3.0;82.5;;;18.92;2.0;12.83;1.06;1.04;5.0;;40.0;;40.0;5.0;;786.0;26.0;;;3.0;182.0;;;211.0;1254.0;;107.0;;;;167.0;;;;167.0;1047.0;;;5.0;30.0;-1.0;21.0;1042.0;1.0;1043.0;;5.0;3.0;-0.0;;;;;;;4.0;-10.0;-5.0;-84.0;47.0;-87.0;-32.0;;;-0.0;168.0;;39.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;
