;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0;;;;;;-0.0;-0.0;0.0;-0.0;-0.0;1.0;26.71;1.0;;1.0;;;0.0;2.0;;0.0;0.0;-86.44;-109.87;-0.0;-110.24;;-110.24;-240.0;-240.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;0.0;;0.0;;;0.0;-0.0;;;;;;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1.0;0.0;-0.0;-1.0;-1.0;-1.0;0.0;;;;;;-0.0;-0.0;0.0;0.0;-0.0;0.0;33.58;1.0;;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;-47.49;-78.91;-0.0;-81.46;;-81.46;-120.0;-120.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.0;0.0;;;-0.0;;0.0;;;0.0;-0.0;;;;;;0.0;;;0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;-0.0;-0.0;0.0;0.0;1.0;48.37;1.0;;1.0;;;0.0;2.0;;;0.0;-12.88;-28.31;-0.0;-31.06;;-31.06;-60.0;-60.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;0.0;1.0;0.0;;;;0.0;;;;0.0;-4.0;-1.0;4.0;1.0;;1.0;;-0.0;0.0;;;0.0;;-0.0;;;0.0;-0.0;;;;;;;;;-0.0;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;-0.0;-0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;0.0;1.0;0.0;;;;0.0;;;;0.0;-5.0;-0.0;4.0;1.0;;1.0;;-0.0;0.0;;;0.0;;-0.0;;;0.0;-0.0;;;;;;0.0;;;-0.0;;0.0;0.0;;;;;64.65;;4.01;-108.86;0.0;;;;;;;;;;-1.0;0.0;-1.0;;;;100.0;
2005.0;2.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;-0.0;-0.0;0.0;0.0;1.0;49.79;1.0;;1.0;;;;2.0;;0.0;0.0;-11.3;-16.66;-0.0;-18.09;;-18.09;-60.0;-60.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;1.0;0.0;;;;0.0;;;;0.0;-5.0;-0.0;4.0;1.0;;1.0;;-0.0;0.0;;;0.0;;0.0;;;0.0;-0.0;;;;;;;;;-0.0;;0.0;0.0;;;292.87;-52.98;16.8;;0.94;-136.59;0.0;;;;2.0;-16.7;0.0;-0.0;;-18.1;-1.0;0.0;-1.0;36.1;-48.3;38.8;100.0;
2006.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;-1.0;0.0;-0.0;-0.0;0.0;0.0;1.0;59.27;1.0;;1.0;;;;2.0;0.0;0.0;0.0;10.33;5.07;-0.0;4.12;;4.12;13.86;13.86;0.0;;0.0;;0.0;;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-5.0;-0.0;4.0;1.0;;1.0;;0.0;0.0;;;0.0;;0.0;;;0.0;-0.0;;;;;;;;;-0.0;;0.0;0.0;;;336.21;13.86;35.46;;14.07;-102.53;0.0;0.0;0.0;;2.0;5.1;0.0;0.0;;4.1;-1.0;0.0;-1.0;-17.9;14.2;-13.5;100.0;
2007.0;3.0;2.0;-1.0;-1.0;-1.0;-1.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;-0.0;1.0;1.0;0.0;1.0;65.01;3.0;;3.0;;;;4.0;0.0;0.0;0.0;-30.02;-34.33;-0.0;-34.38;;-34.38;-150.0;-150.0;0.0;;1.0;;1.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;1.0;0.0;;;;0.0;;;;0.0;-6.0;-0.0;6.0;2.0;;2.0;;-1.0;0.0;;;0.0;;-0.0;;;1.0;-0.0;;;;;;;;;1.0;;1.0;0.0;;;396.06;-136.17;23.95;;27.84;63.34;0.0;-0.0;-0.0;;3.0;-34.3;0.0;-1.0;;-34.4;0.0;0.0;0.0;-192.3;-48.1;-215.0;100.0;
2008.0;3.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;1.0;1.0;0.0;-0.0;-0.0;-0.0;-1.0;-0.0;1.0;54.7;2.0;;2.0;2.0;;;3.0;0.0;0.0;0.0;-5.55;-11.21;-0.0;-11.47;;-11.47;-30.0;-30.0;0.0;;1.0;;1.0;0.0;0.0;0.0;1.0;;;;;;0.0;1.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-6.0;;6.0;1.0;;1.0;;-0.0;0.0;;;-0.0;0.0;0.0;;;0.0;-0.0;;;;;-0.0;;-0.0;;;;1.0;1.0;;;320.19;-36.74;-57.07;;34.41;8.57;0.0;-0.0;-0.0;;3.0;-11.2;0.0;-0.0;;-11.5;-0.0;0.0;0.0;-205.7;-22.1;-428.5;100.0;
2009.0;3.0;2.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;1.0;1.0;-0.0;0.0;-0.0;-0.0;0.0;0.0;1.0;55.26;2.0;;2.0;2.0;;;3.0;0.0;0.0;0.0;-0.03;-4.95;0.0;-4.83;;-4.83;-30.0;-30.0;0.0;;1.0;;1.0;0.0;0.0;0.0;1.0;;;;;;0.0;1.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-6.0;;6.0;1.0;;1.0;;-0.0;0.0;;0.0;0.0;-0.0;-0.0;;;0.0;-0.0;;;;;-0.0;;-0.0;;;;1.0;1.0;;;345.45;-16.69;8.41;;11.85;-1.99;0.0;-0.0;-0.0;;3.0;-4.9;0.0;-0.0;;-4.8;-1.0;0.0;-0.0;-407.5;-9.3;837.2;100.0;
2010.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;-0.0;-0.0;0.0;0.0;1.0;57.05;2.0;;2.0;2.0;;;3.0;0.0;0.0;0.0;6.93;2.54;-0.0;2.39;;2.39;9.21;9.21;0.0;;1.0;;1.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-6.0;;6.0;1.0;;1.0;;0.0;0.0;;;-0.0;0.0;-0.0;;;0.0;-0.0;;;;;-0.0;;-0.0;;;;1.0;1.0;;;385.66;9.21;8.62;;6.76;4.53;0.0;0.0;0.0;;3.0;2.5;0.0;0.0;;2.4;-0.0;0.0;0.0;130.0;6.3;203.4;100.0;32.2
2011.0;3.0;2.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;1.0;1.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;52.85;2.0;;2.0;;;;3.0;0.0;0.0;0.0;-7.1;-11.48;-0.0;-11.55;;-11.55;-30.0;-30.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-6.0;;6.0;1.0;;1.0;;-0.0;0.0;;;0.0;-0.0;0.0;;0.0;;-0.0;;;;-0.0;-0.0;;;;;;0.0;1.0;;;361.89;-41.81;-12.19;;0.7;-37.27;0.0;-0.0;-0.0;;3.0;-11.5;0.0;-0.0;;-11.6;-1.0;0.0;-0.0;112.1;-30.3;112.2;100.0;
2012.0;3.0;2.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;1.0;1.0;-0.0;-0.0;-0.0;0.0;-0.0;-0.0;2.0;46.88;2.0;;2.0;2.0;;;4.0;0.0;0.0;0.0;-1.57;-5.82;0.0;-5.23;;-5.23;-30.0;-30.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-7.0;;6.0;1.0;;1.0;;-0.0;0.0;;;0.0;0.0;-0.0;;-0.0;0.0;-0.0;;;;;-0.0;;;;0.0;;0.0;0.0;;;438.16;-22.91;-10.29;;7.81;-60.18;0.0;-0.0;-0.0;;3.0;-5.8;0.0;-0.0;;-5.2;-1.0;0.0;-0.0;38.6;-18.9;38.1;100.0;
2013.0;3.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;2.0;2.0;-1.0;-0.0;-0.0;0.0;-0.0;-0.0;1.0;51.63;2.0;;2.0;2.0;;;3.0;0.0;0.0;0.0;-4.19;-7.71;-0.0;-8.13;;-8.13;-30.0;-30.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;0.0;0.0;;;;0.0;;;;0.0;-7.0;;6.0;1.0;;1.0;;-0.0;0.0;;;0.0;0.0;0.0;;-0.0;0.0;-0.0;;;;;-0.0;0.0;;;;;0.0;0.0;;;316.37;-25.71;-11.78;;5.34;-70.52;0.0;-0.0;-0.0;;3.0;-7.7;0.0;-0.0;;-8.1;-1.0;0.0;-1.0;41.9;-20.2;36.5;100.0;
2014.0;2.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;1.0;1.0;1.0;1.0;-1.0;-0.0;-0.0;-0.0;-0.0;-0.0;1.0;50.41;2.0;;2.0;2.0;;;3.0;0.0;0.0;0.0;-11.22;-15.07;-0.0;-15.62;;-15.62;-30.0;-30.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;;0.0;0.0;;1.0;0.0;;;;;;;;;0.0;-7.0;;7.0;1.0;;1.0;;-0.0;0.0;;0.0;-0.0;0.0;-0.0;;-0.0;0.0;-0.0;;;;;-0.0;;;;0.0;;0.0;0.0;;;263.97;-41.24;-19.01;;0.07;-67.8;0.0;-0.0;-0.0;;2.0;-15.1;0.0;-0.0;;-15.6;-1.0;;-1.0;58.5;-52.0;60.8;100.0;
2015.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016.0;;;-0.0;-0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;-0.0;-0.0;;;0.0;;0.0;0.0;;;0.0;0.0;;0.0;-inf;-inf;0.0;-inf;;inf;30.0;30.0;0.0;;0.0;;0.0;;;;0.0;;;;;;0.0;0.0;;;0.0;;;;;;;;;;;;0.0;-7.0;;7.0;0.0;;0.0;;0.0;0.0;;0.0;-0.0;;;;0.0;-1.0;-0.0;;;;;-0.0;;;;0.0;;0.0;0.0;;;;29.12;-14.07;;1.19;3.03;0.0;0.0;0.0;;;-inf;0.0;0.0;;inf;-0.0;;0.0;-746.7;-140.2;960.8;100.0;
