;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2011.0;10.0;4.0;-3.0;-4.0;-5.0;-5.0;14.0;;;;;;-4.0;-0.0;2.0;-2.0;-4.0;6.0;43.91;9.0;2.0;7.0;5.0;1.0;;14.0;;0.0;1.0;-33.18;-40.85;-1.0;-46.05;;-46.05;-0.32;-0.32;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.0;1.0;;;0.0;-0.0;-0.0;;0.0;;-0.0;;;;-0.0;;;;;2.0;0.0;1.0;2.0;;;0.7;-0.32;-0.26;;0.01;;14.0;;;;10.0;-40.9;1.0;-5.0;;-46.1;;;;;;;100.0;
2012.0;12.0;5.0;-3.0;-4.0;-4.0;-4.0;14.0;10.0;12.0;4.0;31.0;-19.0;-3.0;-0.0;7.0;4.0;-3.0;7.0;44.77;9.0;2.0;8.0;6.0;2.0;;16.0;0.0;0.0;1.0;-25.02;-32.44;-1.0;-36.61;;-36.61;-0.31;-0.31;14.0;;4.0;;4.0;2.0;3.0;1.0;1.0;;1.0;1.0;;;;2.0;;2.0;;;;2.0;3.0;;;24.0;27.0;;0.0;;;-0.0;-1.0;;12.0;;12.0;;-4.0;1.0;;;5.0;-0.0;-0.0;;6.0;-5.0;-0.0;;;;-0.0;-2.0;;-2.0;;10.0;1.0;4.0;1.0;;;0.85;-0.31;-0.24;;0.03;-1.3;14.0;;;;12.0;-32.4;1.0;-4.0;;-36.6;6.0;3.0;-19.0;-49.8;-32.7;23.9;100.0;
2013.0;14.0;7.0;-4.0;-4.0;-5.0;-5.0;14.0;10.0;13.0;5.0;36.0;-23.0;-4.0;-1.0;5.0;-0.0;-5.0;7.0;50.11;12.0;3.0;9.0;7.0;2.0;;19.0;0.0;0.0;1.0;-25.97;-31.25;-0.0;-32.8;;-32.8;-0.33;-0.33;14.0;;4.0;;4.0;2.0;3.0;1.0;2.0;;1.0;1.0;;;;3.0;;2.0;;;;2.0;3.0;;;28.0;31.0;;1.0;;;-5.0;-1.0;;13.0;;13.0;;-5.0;1.0;;0.0;-0.0;-0.0;-1.0;;6.0;0.0;-1.0;;;;-0.0;;;;;5.0;-0.0;4.0;4.0;;;1.0;-0.33;-0.33;;0.08;-1.6;14.0;;;;14.0;-31.3;1.0;-5.0;;-32.8;6.0;3.0;-23.0;-53.5;-34.3;20.4;100.0;
2014.0;20.0;11.0;-8.0;-9.0;-10.0;-10.0;18.0;19.0;30.0;13.0;61.0;-32.0;-4.0;-7.0;15.0;3.0;-12.0;8.0;57.45;20.0;8.0;12.0;9.0;3.0;;29.0;;1.0;1.0;-42.86;-45.01;-1.0;-51.46;;-51.46;-0.55;-0.55;18.0;;7.0;;7.0;2.0;5.0;5.0;;;1.0;1.0;;;9.0;10.0;;5.0;;;;8.0;15.0;;;33.0;48.0;;0.0;;0.0;-15.0;-2.0;-14.0;30.0;;30.0;;-10.0;1.0;;1.0;1.0;-1.0;-1.0;;6.0;3.0;-7.0;;;;0.0;-3.0;0.0;;;17.0;-0.0;7.0;4.0;;;1.08;-0.55;-0.63;;0.39;-1.72;18.0;-17.7;-1.0;;20.0;-45.0;1.0;-10.0;;-51.5;6.0;15.0;-32.0;-53.8;-30.5;32.2;100.0;
2015.0;18.0;9.0;-55.0;-30.0;-59.0;-59.0;15.0;50.0;81.0;55.0;83.0;-2.0;-27.0;-24.0;85.0;30.0;-51.0;10.0;46.96;38.0;19.0;19.0;16.0;3.0;;48.0;;2.0;2.0;-299.15;-161.42;-29.0;-320.83;;-320.83;-4.0;-4.0;15.0;;38.0;;38.0;2.0;5.0;6.0;;;1.0;1.0;;;30.0;31.0;;7.0;5.0;;;43.0;11.0;;;17.0;28.0;;1.0;;85.0;-74.0;-5.0;-7.0;81.0;;81.0;;-59.0;2.0;;1.0;-11.0;0.0;-1.0;;-5.0;41.0;-24.0;;;;;;70.0;;;15.0;-4.0;38.0;7.0;;;1.25;-4.0;-3.43;;1.63;-0.11;15.0;-3.8;-0.2;;18.0;-161.4;2.0;-59.0;;-320.8;-5.0;11.0;-2.0;-215.4;-70.0;3656.9;100.0;
2016.0;19.0;9.0;-27.0;-49.0;-34.0;-34.0;20.0;62.0;120.0;21.0;73.0;47.0;-47.0;-29.0;86.0;7.0;-76.0;10.0;47.86;58.0;29.0;29.0;26.0;3.0;;68.0;;4.0;3.0;-144.6;-265.03;15.0;-182.91;;-182.91;-1.73;-1.73;20.0;;44.0;;44.0;2.0;13.0;3.0;;;1.0;1.0;;;57.0;58.0;;7.0;1.0;;;13.0;28.0;;;24.0;52.0;;2.0;;156.0;-108.0;-13.0;12.0;120.0;;120.0;;-34.0;3.0;;2.0;45.0;-1.0;-8.0;;40.0;-63.0;-29.0;;;;;;71.0;;;14.0;-3.0;44.0;38.0;;;0.95;-1.73;-3.88;;1.48;2.39;20.0;-4.8;-0.2;;19.0;-265.0;3.0;-34.0;;-182.9;40.0;28.0;47.0;-30.2;-24.8;-72.5;100.0;
2017.0;22.0;11.0;-66.0;-74.0;-85.0;-85.0;28.0;41.0;110.0;30.0;134.0;-24.0;-56.0;-36.0;57.0;-39.0;-76.0;11.0;51.21;85.0;57.0;28.0;23.0;6.0;;96.0;;10.0;9.0;-295.61;-333.19;-11.0;-382.73;;-382.73;-3.02;-3.02;28.0;;5.0;16.0;21.0;3.0;14.0;4.0;;;1.0;1.0;;;69.0;69.0;;11.0;;;;19.0;81.0;;;24.0;104.0;;2.0;;173.0;-193.0;-19.0;16.0;110.0;;110.0;;-85.0;9.0;;4.0;-29.0;-1.0;-2.0;;11.0;45.0;-20.0;;-30.0;14.0;;-33.0;17.0;;;73.0;-3.0;5.0;44.0;;;0.79;-3.02;-2.72;;0.72;-0.86;28.0;-1.9;-0.1;;22.0;-333.2;9.0;-85.0;;-382.7;11.0;81.0;-24.0;-93.7;-68.4;353.1;100.0;
2018.0;25.0;14.0;-57.0;-70.0;-83.0;-82.0;41.0;52.0;124.0;27.0;138.0;-15.0;-68.0;3.0;83.0;15.0;-90.0;10.0;57.66;84.0;51.0;33.0;26.0;7.0;;95.0;;15.0;10.0;-231.35;-282.99;-13.0;-335.55;-1.0;-332.92;-2.02;-2.02;41.0;;20.0;6.0;26.0;3.0;16.0;7.0;;;1.0;1.0;;1.0;70.0;72.0;;5.0;;;;22.0;85.0;;;26.0;111.0;;2.0;;254.0;-276.0;-17.0;24.0;124.0;;124.0;;-82.0;10.0;-1.0;4.0;14.0;-0.0;-2.0;;25.0;-14.0;-22.0;;-78.0;88.0;15.0;-2.0;85.0;;;;-3.0;20.0;5.0;;;0.61;-2.02;-2.21;;0.53;-0.36;41.0;-3.1;-0.1;;25.0;-283.0;10.0;-82.0;0.8;-332.9;25.0;85.0;-15.0;-69.3;-54.6;562.8;100.0;
2019.0;29.0;12.0;-73.0;-79.0;-105.0;-105.0;55.0;117.0;178.0;25.0;176.0;2.0;-76.0;-89.0;145.0;-14.0;-80.0;17.0;40.86;91.0;51.0;40.0;32.0;9.0;;108.0;;20.0;13.0;-249.05;-271.01;-26.0;-361.58;0.0;-361.73;-1.92;-1.92;55.0;;4.0;91.0;95.0;3.0;16.0;3.0;;;1.0;1.0;;1.0;59.0;61.0;;6.0;;;;20.0;122.0;;;29.0;151.0;;1.0;;369.0;-381.0;-15.0;29.0;178.0;;178.0;;-105.0;13.0;0.0;5.0;66.0;-1.0;-0.0;;91.0;-55.0;-5.0;;-119.0;35.0;;-0.0;115.0;;;31.0;6.0;12.0;25.0;;;0.53;-1.92;-1.47;;0.09;0.03;55.0;-4.7;-0.2;;29.0;-271.0;13.0;-105.0;-0.0;-361.7;91.0;122.0;2.0;-56.0;-48.0;-6148.5;100.0;
2020.0;33.0;15.0;-66.0;-81.0;-102.0;-103.0;72.0;150.0;226.0;31.0;232.0;-6.0;-81.0;-30.0;115.0;1.0;-85.0;18.0;45.49;96.0;54.0;42.0;32.0;10.0;;113.0;;24.0;12.0;-202.04;-247.09;-21.0;-312.69;1.0;-314.71;-1.44;-1.44;72.0;;4.0;117.0;121.0;5.0;21.0;4.0;;;1.0;1.0;;0.0;75.0;76.0;;5.0;;;;26.0;153.0;;;48.0;201.0;;25.0;;460.0;-483.0;-15.0;33.0;226.0;;226.0;;-103.0;12.0;0.0;4.0;28.0;-2.0;-5.0;;119.0;-23.0;-5.0;;-95.0;69.0;;-1.0;91.0;;;24.0;-2.0;13.0;12.0;;;0.46;-1.44;-1.19;;0.06;-0.08;72.0;-4.6;-0.1;;33.0;-247.1;12.0;-103.0;-0.6;-314.7;119.0;153.0;-6.0;-40.3;-34.6;1859.5;100.0;
