;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;21.0;;0.0;21.0;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;0.48;100.0;;;;0.48;0.08;0.08;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;19.0;15.0;2.0;-1.0;;0.0;3.0;;;;;;-3.0;5.0;4.0;6.0;-5.0;5.0;76.35;15.0;3.0;11.0;;;1.0;20.0;;;1.0;9.18;-4.06;1.0;;;2.6;0.2;0.2;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;;;-4.0;;-1.0;;;0.0;-2.0;;;7.0;-0.0;;0.0;;;4.0;;12.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;25.0;17.0;2.0;-0.0;0.0;0.0;3.0;33.0;37.0;6.0;7.0;30.0;-0.0;-2.0;-2.0;-5.0;-2.0;7.0;69.98;20.0;;14.0;14.0;;6.0;25.0;;;2.0;8.29;-1.37;1.0;1.5;;1.5;0.12;0.12;3.0;;8.0;11.0;19.0;10.0;4.0;;1.0;;2.0;2.0;;;0.0;4.0;;2.0;1.0;;;4.0;;;;1.0;1.0;;;;0.0;-6.0;-5.0;41.0;37.0;-0.0;37.0;;0.0;2.0;;;-2.0;;-1.0;;;-0.0;-2.0;;-11.0;11.0;0.0;;0.0;-0.0;;-3.0;;8.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;31.0;20.0;-1.0;-4.0;-3.0;-3.0;3.0;33.0;37.0;8.0;9.0;28.0;0.0;4.0;1.0;5.0;-2.0;10.0;66.97;25.0;;18.0;18.0;;7.0;35.0;;;2.0;-4.13;-13.34;1.0;-9.91;;-9.91;-1.17;-1.17;3.0;;2.0;5.0;7.0;9.0;5.0;11.0;0.0;;3.0;3.0;;;0.0;4.0;;3.0;0.0;;;5.0;;;;0.0;0.0;;;;0.0;-10.0;-1.0;38.0;37.0;;37.0;;-3.0;2.0;;;1.0;;-1.0;;;0.0;-2.0;;-0.0;;6.0;;1.0;-0.0;;-1.0;;13.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;19.0;10.0;-10.0;-11.0;-11.0;-11.0;3.0;20.0;24.0;6.0;7.0;17.0;-4.0;-5.0;-0.0;-9.0;-5.0;9.0;52.84;21.0;;14.0;14.0;;7.0;31.0;;;2.0;-52.17;-61.5;0.0;-61.3;;-61.3;-4.36;-4.36;3.0;;0.0;8.0;9.0;4.0;3.0;4.0;-1.0;;4.0;4.0;;;1.0;4.0;;1.0;;;;4.0;;;;2.0;2.0;;;;0.0;-21.0;-7.0;45.0;24.0;;24.0;;-11.0;2.0;;;5.0;;2.0;;0.0;1.0;-1.0;;-7.0;3.0;0.0;;0.0;-0.0;;0.0;;4.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;15.0;10.0;-3.0;-5.0;-5.0;-5.0;3.0;16.0;19.0;5.0;7.0;12.0;-2.0;5.0;;3.0;-2.0;5.0;65.39;14.0;;10.0;10.0;;4.0;20.0;;;1.0;-22.76;-33.81;0.0;-32.35;;-32.35;-1.8;-1.8;3.0;;2.0;3.0;5.0;3.0;2.0;6.0;-2.0;;4.0;4.0;;;1.0;3.0;;1.0;;;;4.0;;;;2.0;2.0;;;;0.0;-26.0;-9.0;47.0;19.0;-0.0;19.0;;-5.0;1.0;;;2.0;;0.0;;;0.0;-0.0;;-3.0;8.0;0.0;;;;;;;7.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;11.0;6.0;-5.0;-6.0;-6.0;-6.0;3.0;11.0;14.0;6.0;8.0;6.0;-4.0;3.0;0.0;-2.0;-5.0;5.0;56.34;13.0;;9.0;2.0;7.0;4.0;18.0;;;1.0;-45.4;-56.41;0.0;-55.63;;-55.63;-2.37;-2.37;3.0;;1.0;;1.0;4.0;2.0;5.0;-3.0;;4.0;4.0;;;1.0;3.0;;1.0;;;;5.0;;;;2.0;2.0;;;;0.0;-32.0;-9.0;48.0;14.0;-0.0;14.0;;-6.0;1.0;;;0.0;;0.0;;;0.0;-0.0;;;3.0;0.0;;0.0;;;;;6.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;16.0;11.0;-1.0;-2.0;-2.0;-2.0;3.0;17.0;20.0;7.0;10.0;10.0;-2.0;-2.0;5.0;1.0;-2.0;5.0;68.06;13.0;;9.0;9.0;0.0;4.0;18.0;;;1.0;-5.5;-10.93;0.0;-10.46;;-10.46;-0.5;-0.5;3.0;;1.0;2.0;3.0;6.0;2.0;6.0;-3.0;;5.0;5.0;;;2.0;3.0;;2.0;;;1.0;4.0;;;;3.0;3.0;;;;0.0;-34.0;-0.0;44.0;20.0;-0.0;20.0;;-2.0;1.0;;;-1.0;;-1.0;;;0.0;-0.0;;-3.0;1.0;0.0;;5.0;;;;;7.0;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;22.0;15.0;2.0;1.0;2.0;2.0;4.0;21.0;24.0;8.0;11.0;12.0;1.0;2.0;1.0;4.0;1.0;7.0;66.88;14.0;;10.0;2.0;8.0;4.0;21.0;;;1.0;9.44;5.78;0.0;6.85;;6.85;0.4;0.4;4.0;;2.0;;2.0;8.0;2.0;8.0;-4.0;;5.0;5.0;;;2.0;3.0;;2.0;;;2.0;4.0;;;;4.0;4.0;;;;0.0;-32.0;-9.0;53.0;24.0;-0.0;24.0;;2.0;1.0;;;-1.0;;0.0;;;-0.0;-0.0;;;2.0;;;1.0;;;;;11.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;24.0;16.0;1.0;-1.0;-0.0;-0.0;4.0;24.0;28.0;8.0;12.0;15.0;-3.0;-8.0;2.0;-9.0;-3.0;7.0;68.56;17.0;;12.0;3.0;9.0;5.0;24.0;;;1.0;2.35;-2.23;0.0;-0.21;;-0.21;-0.01;-0.01;4.0;;0.0;8.0;8.0;11.0;3.0;2.0;-2.0;;3.0;3.0;;;2.0;4.0;;3.0;;;2.0;4.0;;;;4.0;4.0;;;;0.0;-32.0;-7.0;55.0;28.0;-0.0;28.0;;-0.0;1.0;;;-4.0;;-1.0;;0.0;0.0;-0.0;;-8.0;;0.0;;2.0;;;;;2.0;11.0;;;5.92;-0.01;-0.73;;0.08;3.87;4.0;-965.6;-53.4;;24.0;-2.2;1.0;-0.0;;-0.2;16.0;;15.0;-0.3;-0.2;-0.3;100.0;
