;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1997.0;2621.0;434.0;108.0;83.0;-127.0;-85.0;197.0;;;;;;244.0;-289.0;24.0;24.0;-62.0;2187.0;16.54;350.0;;123.0;;;227.0;2538.0;;;227.0;4.14;3.17;-210.0;-4.83;-34.0;-3.23;-0.43;-0.43;197.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-85.0;227.0;-39.0;;;;;;;140.0;-306.0;;;;17.0;;;;-40.0;64.0;;;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2158.0;410.0;187.0;74.0;-69.0;-23.0;232.0;;;;;;375.0;-594.0;287.0;287.0;-50.0;1749.0;18.98;335.0;;109.0;;;227.0;2084.0;;;227.0;8.68;3.45;-143.0;-3.17;-16.0;-1.07;-0.1;-0.1;232.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23.0;227.0;-17.0;;;;;;;189.0;-425.0;;;;-169.0;;;-49.0;-50.0;385.0;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2792.0;506.0;19.0;111.0;-258.0;-192.0;198.0;;;;;;246.0;-298.0;40.0;-11.0;38.0;2286.0;18.12;395.0;;118.0;;;277.0;2681.0;;;277.0;0.68;3.98;-369.0;-9.24;-66.0;-6.88;-1.01;-1.01;191.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-192.0;277.0;-82.0;;;;10.0;;;243.0;-208.0;-216.0;;;126.0;;;;-53.0;93.0;;93.0;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3785.0;1122.0;733.0;649.0;372.0;245.0;384.0;;;;;;795.0;-373.0;-355.0;66.0;443.0;2663.0;29.64;473.0;;112.0;;;361.0;3136.0;;;361.0;19.37;17.15;-277.0;9.83;127.0;6.47;0.64;0.64;384.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245.0;361.0;77.0;;;;-11.0;;;112.0;-352.0;-27.0;;;6.0;;2.0;-33.0;-1164.0;840.0;-1.0;82.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;3789.0;1146.0;716.0;618.0;272.0;182.0;440.0;;;;;;651.0;-464.0;-137.0;54.0;357.0;2643.0;30.25;528.0;;109.0;;;419.0;3171.0;;;444.0;18.9;16.31;-346.0;7.18;90.0;4.8;0.41;0.41;440.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182.0;444.0;33.0;;124.0;;-32.0;;124.0;-132.0;-294.0;-180.0;;;10.0;;;;-124.0;-13.0;3.0;131.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3255.0;645.0;471.0;116.0;-145.0;164.0;440.0;971.0;6946.0;847.0;4941.0;1961.0;187.0;127.0;-350.0;-39.0;51.0;2610.0;19.82;529.0;;107.0;;;422.0;3139.0;;;422.0;14.47;3.56;-261.0;-4.45;-115.0;5.04;0.37;0.37;440.0;;93.0;;93.0;345.0;496.0;37.0;4535.0;;1224.0;1224.0;;;216.0;5975.0;;704.0;;;;143.0;3436.0;;486.0;172.0;4094.0;;;;;-316.0;-1561.0;3882.0;6902.0;44.0;6946.0;;164.0;422.0;-132.0;;;;;;124.0;-267.0;-136.0;;-29.0;;292.0;;;-115.0;;-235.0;-3.0;93.0;132.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3718.0;507.0;584.0;-179.0;24.0;139.0;440.0;961.0;7907.0;1060.0;5549.0;2228.0;47.0;-242.0;139.0;-72.0;-159.0;3211.0;13.64;686.0;;141.0;;;545.0;3897.0;;;562.0;15.71;-4.81;203.0;0.65;-117.0;3.74;0.32;0.32;440.0;;41.0;;41.0;289.0;586.0;45.0;4985.0;;1449.0;1449.0;;230.0;282.0;6946.0;;814.0;;;;246.0;3603.0;;725.0;161.0;4489.0;;;;;-307.0;-2325.0;4990.0;7777.0;130.0;7907.0;;139.0;562.0;-121.0;;-223.0;;;;-99.0;-310.0;-206.0;;-24.0;;-12.0;;2.0;;-92.0;229.0;-16.0;41.0;113.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4835.0;861.0;654.0;-183.0;-223.0;-30.0;440.0;1168.0;8156.0;1295.0;5786.0;2272.0;55.0;-182.0;199.0;69.0;-266.0;3974.0;17.81;1044.0;;198.0;;;846.0;5018.0;;;818.0;13.53;-3.78;-40.0;-4.61;-134.0;-0.62;-0.07;-0.07;440.0;;113.0;;113.0;398.0;606.0;51.0;4852.0;;1539.0;1539.0;;327.0;270.0;6988.0;;368.0;;;;927.0;3617.0;;749.0;125.0;4491.0;;;;;-401.0;-3120.0;5891.0;8058.0;98.0;8156.0;;-30.0;818.0;-141.0;;-28.0;;13.0;;-127.0;-564.0;-321.0;;-3.0;48.0;94.0;;;;-61.0;260.0;-4.0;113.0;44.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;4594.0;1262.0;222.0;-237.0;-513.0;-301.0;440.0;1038.0;6917.0;818.0;4785.0;2065.0;144.0;487.0;-685.0;-58.0;-8.0;3332.0;27.47;1467.0;;654.0;;;813.0;4799.0;;;756.0;4.83;-5.16;-276.0;-11.17;-233.0;-6.55;-0.69;-0.69;440.0;;58.0;;58.0;375.0;561.0;44.0;3663.0;1114.0;407.0;1521.0;;356.0;339.0;5879.0;;802.0;;;;16.0;3219.0;;616.0;132.0;3967.0;;;;;-752.0;-3461.0;6345.0;6850.0;67.0;6917.0;;-301.0;756.0;-167.0;;347.0;;6.0;;220.0;-491.0;-152.0;-11.0;;2.0;648.0;;1.0;;-64.0;-622.0;-3.0;58.0;116.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;4164.0;620.0;351.0;281.0;2.0;46.0;440.0;1177.0;6835.0;736.0;4670.0;2104.0;199.0;-106.0;19.0;116.0;55.0;3544.0;14.89;347.0;;114.0;;;233.0;3891.0;;;378.0;8.43;6.75;-279.0;0.05;-73.0;1.1;0.1;0.1;440.0;;174.0;;174.0;311.0;586.0;106.0;3420.0;1113.0;395.0;1508.0;;276.0;454.0;5658.0;;674.0;;;;62.0;3255.0;;540.0;139.0;3934.0;;;;;-724.0;-3248.0;6137.0;6774.0;61.0;6835.0;;46.0;378.0;-58.0;;221.0;;-25.0;;441.0;-388.0;-144.0;;;1.0;37.0;;;;-57.0;76.0;4.0;174.0;58.0;;;9.46;0.1;0.13;0.13;0.33;4.78;440.0;;;;4164.0;6.7;378.0;46.0;-3650.0;1.1;441.0;3255.0;2104.0;-16.8;-0.4;2.2;-23.9;103.6
