;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;441.0;;53.0;;;34.0;34.0;;;;;;114.0;-295.0;185.0;185.0;114.0;;;;;;;;;71.0;;;-1.0;12.01;;62.0;;20.0;7.73;1.0;1.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;-1.0;2.0;;128.0;5.0;;5.0;;-49.0;;;-315.0;91.0;-71.0;;;;-2.0;187.0;-2.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;526.0;;62.0;;;40.0;38.0;;;;;;129.0;-137.0;12.0;12.0;129.0;;;;;;;;;79.0;;;-2.0;11.83;;74.0;;24.0;7.68;1.05;1.05;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.0;-2.0;4.0;;;-39.0;;-39.0;;87.0;;;-188.0;103.0;-52.0;;;-11.0;-4.0;27.0;-0.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;668.0;;67.0;;;47.0;38.0;;;;;;171.0;-290.0;125.0;125.0;171.0;;;;;;;;;98.0;;;-7.0;10.04;;98.0;;27.0;7.08;1.25;1.25;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;-7.0;14.0;;;-16.0;;-16.0;;117.0;;;-377.0;175.0;-89.0;;0.0;-2.0;-4.0;132.0;0.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;830.0;;85.0;;87.0;55.0;38.0;;2894.0;2362.0;2461.0;426.0;257.0;-818.0;556.0;-5.0;257.0;;;;;;;;;743.0;;6.0;-8.0;10.24;;17.0;10.49;32.0;6.63;3.24;3.24;17.0;;13.0;94.0;107.0;136.0;;;;;;;;;;;2894.0;;;;;2362.0;106.0;;73.0;-74.0;106.0;;;;0.0;148.0;;278.0;2887.0;7.0;2894.0;;55.0;-8.0;14.0;;-2362.0;7.0;;257.0;-2362.0;2557.0;;;-918.0;893.0;-793.0;;4.0;;-5.0;557.0;0.0;13.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;1072.0;;169.0;;84.0;55.0;26.0;;4674.0;4067.0;4166.0;499.0;433.0;-1256.0;847.0;24.0;433.0;;;;;;;;;987.0;;100.0;-14.0;15.78;;47.0;7.85;29.0;5.1;2.15;2.13;25.0;;37.0;278.0;315.0;436.0;;;;;;;;;;;4674.0;;;;;4067.0;107.0;;111.0;-111.0;107.0;;;;0.0;197.0;;302.0;4665.0;8.0;4674.0;;55.0;-14.0;16.0;;-1705.0;-73.0;;722.0;-4067.0;2082.0;;;-948.0;549.0;-856.0;;2.0;-13.0;-6.0;864.0;-0.0;37.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1344.0;;254.0;;138.0;62.0;43.0;;6319.0;5462.0;5563.0;748.0;349.0;-1602.0;1232.0;-21.0;349.0;;;;;;;;;1206.0;;162.0;-19.0;18.9;;23.0;10.27;49.0;4.62;1.5;1.48;41.0;;16.0;315.0;331.0;434.0;;;;;;;;;;;6319.0;;;;;5462.0;108.0;;122.0;-122.0;108.0;;;;0.0;252.0;;496.0;6311.0;7.0;6319.0;;62.0;-19.0;28.0;;-1395.0;-112.0;;462.0;-5462.0;1673.0;;;-2109.0;110.0;397.0;;223.0;;-7.0;1016.0;-0.0;16.0;37.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1607.0;;217.0;;93.0;41.0;46.0;;5124.0;4207.0;4383.0;733.0;278.0;1342.0;-1611.0;8.0;278.0;;;;;;;;;1514.0;;164.0;-27.0;13.52;;26.0;5.79;39.0;2.54;0.89;0.88;46.0;;24.0;238.0;263.0;591.0;;;;;;;;;;;5124.0;;;;;4207.0;184.0;;68.0;-68.0;184.0;;;;1.0;282.0;;450.0;5116.0;8.0;5124.0;;41.0;-27.0;48.0;;1255.0;-121.0;;324.0;-4207.0;-1039.0;;;-1370.0;71.0;2641.0;-1802.0;126.0;;-10.0;74.0;0.0;24.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1726.0;;233.0;;175.0;78.0;50.0;;6062.0;4927.0;5199.0;863.0;193.0;-712.0;565.0;46.0;193.0;;;;;;;;;1550.0;;122.0;-36.0;13.53;;24.0;10.16;69.0;4.5;1.57;1.56;49.0;;71.0;69.0;140.0;523.0;;;;;;;;;;;6062.0;;;;;4927.0;272.0;;171.0;-171.0;272.0;;;;1.0;348.0;;514.0;6062.0;;6062.0;;78.0;-36.0;57.0;;-720.0;68.0;;189.0;-4927.0;814.0;;;-1353.0;183.0;457.0;;1.0;-20.0;-12.0;597.0;1.0;71.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1968.0;;150.0;;66.0;33.0;50.0;;6894.0;5408.0;5889.0;1006.0;244.0;-576.0;488.0;156.0;244.0;;;;;;;;;1902.0;;130.0;-39.0;7.63;;34.0;3.36;26.0;1.68;0.67;0.66;49.0;;227.0;141.0;367.0;572.0;;;;;;;;;;;6894.0;;;;;5408.0;323.0;;162.0;-4.0;481.0;;;;1.0;369.0;;636.0;6894.0;;6894.0;;33.0;-39.0;-33.0;;-481.0;65.0;;358.0;-5408.0;764.0;;;-1357.0;12.0;769.0;;5.0;;-12.0;495.0;0.0;227.0;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2382.0;;315.0;;194.0;123.0;50.0;;8893.0;7184.0;7512.0;1222.0;162.0;-583.0;286.0;-139.0;162.0;;;;;;;;;2188.0;;162.0;-36.0;13.21;;41.0;8.14;66.0;5.16;2.49;2.47;49.0;;88.0;4.0;92.0;706.0;;;;;;;3482.0;;;;8893.0;;;;;7184.0;328.0;;292.0;-134.0;486.0;;;;1.0;480.0;;742.0;8734.0;158.0;8893.0;;123.0;-36.0;74.0;;-1776.0;-96.0;;461.0;-7184.0;1777.0;;;-2940.0;2357.0;;;2.0;-7.0;-12.0;302.0;-3.0;88.0;227.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3174.0;;443.0;;272.0;173.0;52.0;;12113.0;9610.0;10007.0;1948.0;572.0;-1285.0;703.0;-4.0;572.0;;;;;;;;;2903.0;;216.0;-40.0;13.95;;60.0;8.56;93.0;5.45;3.37;3.36;51.0;;85.0;29.0;114.0;876.0;;;;;;;4605.0;;;;12113.0;;;;;9610.0;398.0;;439.0;-281.0;556.0;;;;1.0;642.0;;1306.0;11955.0;158.0;12113.0;;173.0;-40.0;64.0;;-2426.0;-167.0;;1165.0;-9610.0;2801.0;;;-3100.0;1815.0;;;440.0;;-12.0;275.0;6.0;85.0;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4039.0;;551.0;;369.0;222.0;63.0;;14048.0;11261.0;11769.0;2279.0;714.0;-772.0;121.0;68.0;714.0;;;;;;;;;3670.0;;237.0;-33.0;13.63;;81.0;9.14;124.0;5.49;3.56;3.52;62.0;;152.0;32.0;184.0;811.0;;;;;;;6056.0;;;;14048.0;;56.0;;;11205.0;350.0;;562.0;-404.0;508.0;1016.0;;;1.0;847.0;;1432.0;14048.0;;14048.0;;222.0;-33.0;93.0;;-1651.0;70.0;;824.0;-11261.0;2084.0;;;-2138.0;2104.0;-738.0;;7.0;;-17.0;131.0;4.0;152.0;85.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;4585.0;;554.0;;356.0;224.0;64.0;;16194.0;12833.0;13666.0;2527.0;599.0;-893.0;274.0;-23.0;599.0;;;4187.0;;;;;4187.0;4228.0;;250.0;-40.0;12.09;;65.0;7.77;121.0;4.89;3.58;3.52;63.0;;129.0;126.0;255.0;935.0;;;;;;;7001.0;;;;16194.0;;126.0;;;12707.0;674.0;;652.0;-493.0;833.0;1666.0;;;1.0;1048.0;447.0;1032.0;16194.0;;16194.0;;224.0;-40.0;41.0;;-1572.0;-143.0;;789.0;-12833.0;1946.0;;;-2569.0;1676.0;;-28.0;6.0;-76.0;-23.0;395.0;-4.0;129.0;152.0;;;;;;;;;;;;;;;;;;;;;;;;;;
