;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1993.0;8.0;5.0;1.0;1.0;1.0;1.0;48.0;;;;;;1.0;-0.0;0.0;0.0;1.0;3.0;62.34;4.0;;4.0;;;0.0;7.0;;;0.0;18.18;9.09;1.0;15.58;0.0;10.39;0.01;0.01;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;;-1.0;;-0.0;;;0.0;-0.0;;;;0.0;;1.0;;;-0.0;-0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;14.0;8.0;2.0;1.0;2.0;1.0;53.0;;;;;;2.0;-1.0;1.0;1.0;1.0;6.0;57.55;7.0;;6.0;;;0.0;13.0;;;0.0;15.11;9.35;1.0;12.95;1.0;8.63;0.02;0.02;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;0.0;;;;-1.0;;;-0.0;-0.0;;;;-0.0;;1.0;-0.0;-0.0;-0.0;0.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;24.0;13.0;4.0;3.0;4.0;3.0;70.0;;;;;;1.0;-22.0;21.0;21.0;-1.0;11.0;54.47;10.0;;9.0;;;1.0;21.0;;;1.0;18.3;11.91;1.0;15.74;1.0;11.91;0.04;0.04;70.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;1.0;-0.0;;;;-3.0;;;-3.0;-2.0;;-27.0;7.0;;;21.0;;;0.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;35.0;19.0;8.0;4.0;7.0;5.0;115.0;38.0;47.0;7.0;8.0;39.0;4.0;-6.0;5.0;;2.0;16.0;54.62;15.0;3.0;11.0;11.0;;1.0;31.0;;;1.0;22.83;10.69;3.0;19.08;2.0;13.01;0.04;0.04;115.0;;6.0;;6.0;6.0;6.0;20.0;3.0;;5.0;5.0;;;1.0;9.0;;2.0;0.0;;;5.0;1.0;;;-0.0;1.0;;;;;9.0;-2.0;32.0;47.0;;47.0;;5.0;1.0;;;30.0;;0.0;;30.0;-33.0;-2.0;;-103.0;105.0;-7.0;;5.0;;;;0.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;49.0;32.0;14.0;8.0;11.0;8.0;117.0;44.0;55.0;10.0;10.0;45.0;10.0;-5.0;;;6.0;18.0;64.02;23.0;4.0;17.0;17.0;;3.0;41.0;;;3.0;27.85;16.87;3.0;22.56;4.0;15.24;0.06;0.06;117.0;;9.0;;9.0;8.0;6.0;22.0;5.0;;5.0;5.0;;;1.0;11.0;;3.0;0.0;;;7.0;0.0;;;;0.0;;;;;17.0;-4.0;32.0;55.0;;55.0;;8.0;3.0;-1.0;;4.0;;-0.0;;34.0;-4.0;-4.0;;-50.0;49.0;-1.0;;0.0;;;0.0;-1.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;67.0;47.0;20.0;17.0;16.0;11.0;120.0;47.0;65.0;14.0;14.0;51.0;7.0;0.0;1.0;;-5.0;19.0;70.83;30.0;5.0;21.0;21.0;;4.0;49.0;;;4.0;29.77;26.02;-1.0;24.21;6.0;15.94;0.09;0.09;116.0;;16.0;;16.0;13.0;8.0;10.0;11.0;;6.0;6.0;;;1.0;18.0;;4.0;0.0;;;10.0;;;;;;;;;;27.0;-5.0;29.0;65.0;;65.0;;11.0;4.0;0.0;;-2.0;;-2.0;;33.0;-6.0;-12.0;;-32.0;45.0;-0.0;;1.0;;;-0.0;-2.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;89.0;64.0;29.0;25.0;25.0;16.0;124.0;51.0;90.0;18.0;18.0;72.0;18.0;-25.0;2.0;-4.0;-4.0;25.0;72.01;39.0;7.0;27.0;27.0;;5.0;63.0;;;5.0;32.96;28.56;-1.0;27.77;9.0;18.17;0.14;0.13;118.0;;11.0;6.0;17.0;18.0;11.0;6.0;29.0;;7.0;7.0;;;3.0;39.0;;5.0;;;;13.0;;;;0.0;0.0;;;;0.0;43.0;-9.0;37.0;90.0;;90.0;;16.0;5.0;1.0;;-0.0;;-3.0;;33.0;-3.0;-23.0;;-9.0;7.0;-1.0;;2.0;;;-0.0;0.0;11.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;116.0;85.0;40.0;33.0;34.0;22.0;129.0;69.0;116.0;22.0;22.0;94.0;20.0;-19.0;6.0;7.0;4.0;31.0;73.41;52.0;8.0;37.0;37.0;;6.0;82.0;;;6.0;34.96;28.66;1.0;29.55;12.0;19.22;0.18;0.17;121.0;;18.0;4.0;22.0;25.0;16.0;7.0;37.0;;7.0;7.0;;;3.0;46.0;;6.0;;;;16.0;;;;;;;;;0.0;66.0;-14.0;42.0;116.0;;116.0;;22.0;6.0;0.0;;15.0;;-6.0;;48.0;-23.0;-16.0;;-40.0;39.0;-2.0;;6.0;;;;-1.0;18.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;155.0;105.0;36.0;26.0;27.0;12.0;134.0;178.0;288.0;34.0;188.0;100.0;30.0;-145.0;139.0;22.0;2.0;50.0;67.53;61.0;11.0;50.0;50.0;;;111.0;;;8.0;23.05;16.78;1.0;17.6;16.0;7.5;0.09;0.09;125.0;;40.0;63.0;103.0;32.0;30.0;13.0;55.0;;49.0;49.0;;;6.0;110.0;;8.0;;;;26.0;150.0;;;4.0;154.0;;;;0.0;77.0;-20.0;43.0;288.0;;288.0;;12.0;8.0;-2.0;;97.0;;-8.0;;144.0;-85.0;-27.0;;-82.0;21.0;-56.0;;8.0;;;131.0;-2.0;40.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;204.0;133.0;65.0;-51.0;55.0;38.0;136.0;194.0;376.0;49.0;183.0;193.0;36.0;14.0;-21.0;33.0;7.0;71.0;65.29;184.0;15.0;64.0;64.0;;105.0;255.0;;;10.0;31.64;-25.07;106.0;26.75;17.0;18.38;0.29;0.28;129.0;;73.0;20.0;93.0;46.0;41.0;14.0;79.0;;95.0;95.0;;;8.0;182.0;;12.0;;;;37.0;123.0;;;11.0;134.0;;;;0.0;115.0;-31.0;109.0;376.0;;376.0;;38.0;10.0;-6.0;;0.0;;-7.0;;145.0;-6.0;-28.0;;-393.0;436.0;-1.0;;10.0;-8.0;;-23.0;5.0;73.0;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;
