;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1998.0;118.0;91.0;7.0;7.0;2.0;2.0;3.0;;55.0;;75.0;-19.0;8.0;;;;8.0;28.0;76.59;111.0;;;;;111.0;139.0;;;5.0;6.1;5.9;-5.0;1.87;-0.0;1.89;0.78;0.78;3.0;;6.0;;6.0;;;;;;;;;;;;55.0;;;;;;;;;;;75.0;;;;;;;55.0;;55.0;;2.0;5.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;130.0;100.0;8.0;7.0;3.0;4.0;3.0;;71.0;;86.0;-15.0;7.0;;;;7.0;30.0;76.8;123.0;;;;;123.0;153.0;;;5.0;6.29;5.5;-4.0;2.14;-2.0;3.37;1.47;1.47;3.0;;5.0;;5.0;;;;;;;;;;;;71.0;;;;;;;;;;;86.0;;;;;;;71.0;;71.0;;4.0;5.0;;;;;;;;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;189.0;145.0;24.0;9.0;3.0;15.0;7.0;;143.0;;104.0;39.0;9.0;-22.0;16.0;16.0;9.0;44.0;76.8;180.0;;;;;180.0;224.0;;;8.0;12.66;4.61;-6.0;1.56;;8.18;2.08;2.08;7.0;;8.0;;8.0;;;;;;;;;;;;143.0;;;;;;;;;;;104.0;;;;;;39.0;143.0;;143.0;;15.0;8.0;;;;;;;;-14.0;;;;;-22.0;;;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;224.0;51.0;22.0;19.0;11.0;8.0;10.0;29.0;154.0;28.0;107.0;47.0;26.0;-16.0;2.0;11.0;7.0;174.0;22.59;32.0;4.0;;;;28.0;206.0;;;10.0;9.77;8.35;-7.0;5.1;4.0;3.44;0.77;0.75;10.0;;19.0;;19.0;3.0;3.0;4.0;82.0;;23.0;23.0;;9.0;12.0;126.0;;6.0;;;;23.0;75.0;;;4.0;79.0;;;;0.0;-6.0;-55.0;108.0;154.0;;154.0;;8.0;10.0;1.0;;1.0;;-0.0;;1.0;5.0;-19.0;-0.0;;;2.0;;0.0;;;1.0;;19.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;274.0;61.0;-4060.0;22.0;12.0;8.0;13.0;15.0;170.0;28.0;71.0;99.0;29.0;-45.0;2.0;-14.0;-11.0;213.0;22.27;44.0;;25.0;25.0;;19.0;257.0;;;13.0;-1479.58;8.04;-10.0;4.26;-4081.0;2.88;0.67;0.65;12.0;;5.0;;5.0;2.0;3.0;5.0;110.0;26.0;8.0;34.0;;;11.0;155.0;;8.0;2.0;;;18.0;38.0;;;5.0;43.0;;;;0.0;2.0;-13.0;110.0;170.0;0.0;170.0;;8.0;13.0;1.0;;-14.0;;-0.0;;-13.0;20.0;-40.0;-6.0;;;1.0;;43.0;;;-42.0;;5.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;324.0;71.0;24.0;27.0;23.0;15.0;15.0;17.0;214.0;34.0;82.0;134.0;40.0;-54.0;14.0;0.0;-15.0;253.0;22.0;45.0;;29.0;29.0;;17.0;298.0;;;17.0;7.41;8.23;-3.0;7.19;-8.0;4.75;1.04;1.02;15.0;;5.0;;5.0;2.0;4.0;6.0;154.0;26.0;8.0;34.0;;;9.0;197.0;;9.0;1.0;;;23.0;36.0;;;12.0;48.0;;;;0.0;17.0;-13.0;130.0;216.0;-1.0;214.0;;15.0;17.0;3.0;;-3.0;;-1.0;;-16.0;8.0;-55.0;;;;1.0;;19.0;;;-5.0;;5.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;403.0;96.0;57.0;38.0;35.0;23.0;16.0;22.0;265.0;42.0;103.0;162.0;56.0;-70.0;14.0;0.0;-15.0;307.0;23.87;59.0;;38.0;38.0;;21.0;366.0;;;22.0;14.15;9.32;-2.0;8.78;12.0;5.8;1.46;1.43;16.0;;5.0;;5.0;4.0;5.0;7.0;205.0;26.0;8.0;33.0;;;4.0;243.0;;10.0;3.0;;;29.0;45.0;;;17.0;61.0;;;;0.0;40.0;-8.0;130.0;265.0;-0.0;265.0;;23.0;22.0;4.0;;-4.0;;-1.0;;-20.0;10.0;-71.0;;;;1.0;;2.0;;;12.0;;5.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;486.0;115.0;68.0;44.0;41.0;27.0;17.0;24.0;334.0;53.0;130.0;205.0;65.0;-83.0;16.0;-2.0;-18.0;371.0;23.62;71.0;;43.0;43.0;;28.0;442.0;;;27.0;13.97;9.11;-3.0;8.48;14.0;5.64;1.68;1.64;16.0;;3.0;;3.0;5.0;7.0;9.0;270.0;26.0;7.0;33.0;;;7.0;311.0;;14.0;3.0;;;36.0;56.0;;;21.0;76.0;;;;0.0;68.0;-119.0;256.0;334.0;-0.0;334.0;;27.0;27.0;-3.0;;-10.0;;-1.0;;-29.0;24.0;-84.0;;;;0.0;;6.0;-0.0;;10.0;;3.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;619.0;143.0;76.0;48.0;42.0;29.0;17.0;29.0;451.0;70.0;207.0;244.0;79.0;-137.0;58.0;-1.0;-17.0;475.0;23.17;96.0;5.0;;;;91.0;571.0;;;34.0;12.36;7.73;-6.0;6.84;13.0;4.75;1.78;1.75;17.0;;3.0;;3.0;9.0;8.0;9.0;352.0;43.0;23.0;66.0;;;3.0;421.0;;6.0;2.0;;;62.0;112.0;;;25.0;137.0;;;;0.0;97.0;-148.0;295.0;451.0;;451.0;;29.0;34.0;5.0;;-11.0;;-1.0;;-41.0;22.0;-95.0;-41.0;;;-1.0;;2.0;;;56.0;;3.0;3.0;;;37.41;1.78;-1.02;;5.77;14.73;17.0;23.9;1.3;;619.0;7.7;34.0;29.0;30.6;4.7;-41.0;112.0;244.0;7.7;9.4;12.1;100.0;13.1
2007.0;764.0;185.0;87.0;53.0;43.0;31.0;17.0;47.0;549.0;96.0;264.0;284.0;94.0;-125.0;42.0;10.0;16.0;579.0;24.23;132.0;;85.0;85.0;;47.0;711.0;;;44.0;11.45;6.89;-9.0;5.67;13.0;4.02;1.84;1.82;17.0;;13.0;;13.0;10.0;10.0;15.0;399.0;56.0;41.0;97.0;;;5.0;502.0;;23.0;11.0;;;62.0;142.0;;;27.0;168.0;;9.0;;0.0;128.0;-183.0;340.0;549.0;0.0;549.0;;31.0;44.0;-2.0;;-8.0;;-1.0;;-49.0;28.0;-78.0;-48.0;;;0.0;;2.0;;;40.0;;13.0;3.0;;;45.86;1.84;0.95;;4.67;17.09;17.0;21.4;1.2;;764.0;6.9;44.0;31.0;29.2;4.0;-49.0;142.0;284.0;6.8;7.9;10.8;100.0;-14.2
