;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1996.0;4667.0;4172.0;1419.0;1183.0;1213.0;712.0;1252.0;3435.0;4222.0;;1449.0;2767.0;606.0;-260.0;129.0;475.0;606.0;494.0;89.4;3083.0;;;;;3083.0;3577.0;;;206.0;30.41;25.35;30.0;25.99;501.0;15.25;0.57;0.57;1252.0;;925.0;207.0;1131.0;2021.0;10.0;273.0;780.0;;;7.0;;;;787.0;;;;;;;11.0;23.0;;;34.0;1483.0;;;649.0;302.0;;1817.0;4216.0;5.0;4222.0;;712.0;206.0;;;;;;;;-312.0;;;;;-260.0;;14.0;;-168.0;282.0;;811.0;336.0;;1.25;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3389.0;3052.0;1016.0;896.0;908.0;514.0;1252.0;2100.0;2817.0;450.0;1115.0;1693.0;464.0;-317.0;-43.0;104.0;145.0;337.0;90.07;2157.0;;;;;2157.0;2493.0;;;109.0;29.98;26.43;12.0;26.78;394.0;15.17;0.41;0.41;1252.0;;554.0;93.0;647.0;1356.0;4.0;93.0;474.0;;45.0;45.0;;50.0;147.0;716.0;;177.0;91.0;;;182.0;3.0;;;663.0;666.0;;;;290.0;164.0;-335.0;1575.0;2809.0;8.0;2817.0;;514.0;109.0;;;-160.0;;;;;1.0;-319.0;;;;3.0;;2.0;;-133.0;88.0;;463.0;360.0;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;5071.0;3006.0;1284.0;993.0;1121.0;629.0;1255.0;2700.0;3772.0;624.0;1522.0;2242.0;735.0;-295.0;-133.0;252.0;280.0;2065.0;59.28;2013.0;;;;;2013.0;4078.0;;;163.0;25.32;19.59;128.0;22.11;493.0;12.4;0.5;0.5;1255.0;;727.0;;727.0;1776.0;22.0;174.0;756.0;;91.0;91.0;;;225.0;1072.0;;275.0;113.0;;;236.0;29.0;;;869.0;898.0;1795.0;;;;195.0;-414.0;2460.0;3764.0;8.0;3772.0;;629.0;163.0;-1.0;;-26.0;;-18.0;;;-30.0;-455.0;;;;160.0;;15.0;-1.0;-176.0;29.0;-54.0;727.0;475.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;5152.0;3131.0;1160.0;803.0;985.0;606.0;1255.0;3545.0;4867.0;1799.0;2277.0;2580.0;643.0;-458.0;-161.0;89.0;286.0;2021.0;60.77;2328.0;751.0;;;;1578.0;4350.0;;;174.0;22.51;15.58;183.0;19.13;380.0;11.76;1.44;1.43;1255.0;;717.0;;717.0;1861.0;3.0;964.0;801.0;;121.0;121.0;;;400.0;1322.0;;304.0;25.0;;;1470.0;1.0;;;478.0;479.0;958.0;;;270.0;1712.0;-482.0;1080.0;4858.0;9.0;4867.0;;606.0;174.0;15.0;;-157.0;;-0.0;;;6.0;-357.0;;;;-101.0;;0.0;;-167.0;6.0;65.0;715.0;626.0;;1.01;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;5901.0;3783.0;1177.0;756.0;967.0;598.0;1257.0;3368.0;5262.0;762.0;2868.0;2340.0;641.0;-363.0;39.0;314.0;372.0;2118.0;64.1;3027.0;913.0;;;;2114.0;5145.0;;;210.0;19.94;12.81;211.0;16.38;369.0;10.13;0.47;0.47;1257.0;;1024.0;90.0;1114.0;2071.0;5.0;178.0;820.0;;109.0;109.0;;288.0;677.0;1895.0;;335.0;138.0;;;289.0;147.0;;;1959.0;2106.0;;;;296.0;1879.0;-538.0;703.0;5208.0;54.0;5262.0;;598.0;210.0;-124.0;;398.0;;-3.0;;;-441.0;-269.0;;;;-94.0;;119.0;;-156.0;76.0;-2.0;982.0;668.0;;0.94;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;6542.0;4000.0;1192.0;1170.0;942.0;518.0;1255.0;2993.0;5522.0;1609.0;2694.0;2772.0;881.0;-927.0;-112.0;-161.0;545.0;2542.0;61.14;2831.0;801.0;;;;2030.0;5373.0;;;249.0;18.21;17.88;-227.0;14.4;425.0;7.91;0.41;0.41;1255.0;;772.0;87.0;859.0;2130.0;4.0;;888.0;;445.0;445.0;;428.0;769.0;2529.0;;;;;336.0;1273.0;;;;1085.0;1085.0;;;;280.0;2270.0;-684.0;905.0;5466.0;56.0;5522.0;;518.0;249.0;-129.0;;-35.0;;;;;278.0;-336.0;-337.0;;;-253.0;;;-84.0;-161.0;133.0;-4.0;768.0;929.0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;7791.0;4831.0;1396.0;-6083.0;1164.0;535.0;1257.0;3659.0;5896.0;762.0;2818.0;3019.0;1773.0;-235.0;-984.0;385.0;1448.0;2960.0;62.01;10865.0;956.0;;;;9910.0;13825.0;;;233.0;17.92;-78.07;7246.0;14.94;629.0;6.86;0.43;0.43;1257.0;;1207.0;1.0;1209.0;2135.0;11.0;304.0;1087.0;;463.0;463.0;;423.0;264.0;2237.0;;346.0;24.0;;;393.0;12.0;;624.0;1420.0;2056.0;;;;331.0;3018.0;-132.0;-198.0;5837.0;59.0;5896.0;;535.0;233.0;109.0;;291.0;;;;;606.0;-325.0;;;;90.0;;;-294.0;-192.0;-499.0;-169.0;1179.0;793.0;;1.05;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;8827.0;5644.0;2495.0;2166.0;2224.0;1353.0;1241.0;5509.0;7949.0;1388.0;3214.0;4661.0;1891.0;-1145.0;-384.0;275.0;1545.0;3183.0;63.94;3478.0;1252.0;;;;2226.0;6661.0;;;271.0;28.26;24.54;57.0;25.19;870.0;15.33;1.09;1.09;1237.0;;1684.0;2.0;1686.0;2225.0;13.0;1585.0;1281.0;;529.0;529.0;;332.0;297.0;2440.0;;360.0;24.0;;;1003.0;16.0;;;1811.0;1826.0;;;;396.0;4726.0;-254.0;-207.0;7875.0;74.0;7949.0;;1353.0;271.0;135.0;;105.0;;;;;27.0;-346.0;;-803.0;;4.0;;;-111.0;-234.0;-39.0;-87.0;1684.0;1410.0;;1.26;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;10181.0;6675.0;3085.0;2734.0;2808.0;1775.0;1244.0;7702.0;10277.0;987.0;4023.0;6224.0;2475.0;-1201.0;-504.0;716.0;2188.0;3506.0;65.56;3931.0;1382.0;;;;2549.0;7437.0;;;284.0;30.31;26.86;74.0;27.58;1026.0;17.44;1.43;1.43;1238.0;;4331.0;14.0;4344.0;2614.0;16.0;728.0;1354.0;;711.0;711.0;;279.0;231.0;2575.0;;461.0;38.0;;;489.0;10.0;;856.0;2169.0;3035.0;;;;428.0;6544.0;-414.0;-334.0;10247.0;30.0;10277.0;;1775.0;284.0;24.0;;388.0;;;;;3.0;-287.0;-228.0;-787.0;;100.0;;;-146.0;-337.0;-22.0;-53.0;2050.0;1334.0;;1.36;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;10074.0;6621.0;2979.0;2758.0;2741.0;1771.0;1249.0;7490.0;10725.0;1612.0;3873.0;6843.0;1903.0;-690.0;-657.0;661.0;1593.0;3453.0;65.72;3862.0;1288.0;;;;2574.0;7315.0;;;241.0;29.57;27.38;-17.0;27.21;967.0;17.58;1.42;1.42;1243.0;;3803.0;248.0;4051.0;2664.0;23.0;752.0;1296.0;;907.0;907.0;;297.0;736.0;3235.0;;454.0;29.0;;;1130.0;8.0;;620.0;1633.0;2261.0;;;;374.0;7084.0;-139.0;-476.0;10716.0;9.0;10725.0;;1771.0;241.0;-19.0;;-170.0;;;;;80.0;-310.0;-280.0;-236.0;641.0;-505.0;;294.0;-538.0;-403.0;-10.0;105.0;2443.0;1782.0;;1.18;;;;;;;;;;;;;;;;;;;;;;;;;
