;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1990.0;375.0;195.0;12.0;35.0;9.0;3.0;25.0;111.0;168.0;64.0;175.0;-7.0;28.0;-30.0;5.0;;19.0;180.0;52.0;160.0;;156.0;;;4.0;340.0;;;4.0;3.2;9.32;-26.0;2.27;6.0;0.75;0.12;0.11;23.0;;17.0;;17.0;26.0;60.0;9.0;28.0;;;;;;30.0;57.0;;19.0;0.0;;;45.0;109.0;;;2.0;111.0;;;;;-20.0;-7.0;20.0;168.0;;168.0;;3.0;4.0;-5.0;;-5.0;;-9.0;;47.0;32.0;-10.0;;;;-21.0;;1.0;;;4.0;0.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;423.0;224.0;26.0;40.0;23.0;14.0;21.0;124.0;188.0;71.0;181.0;6.0;25.0;-27.0;-2.0;;18.0;199.0;53.04;184.0;;180.0;;;4.0;383.0;;;4.0;6.24;9.46;-18.0;5.32;9.0;3.26;0.65;0.65;21.0;;13.0;;13.0;27.0;71.0;13.0;28.0;;6.0;6.0;;;30.0;64.0;;21.0;1.0;;;50.0;109.0;;;2.0;110.0;;;;;-6.0;-10.0;22.0;188.0;;188.0;;14.0;4.0;-3.0;;6.0;;-11.0;;53.0;5.0;-7.0;;;;-19.0;;0.0;-2.0;;-1.0;0.0;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;489.0;255.0;26.0;44.0;22.0;13.0;25.0;154.0;226.0;90.0;114.0;112.0;29.0;-32.0;8.0;;21.0;234.0;52.14;211.0;;206.0;;;5.0;445.0;;;5.0;5.33;9.05;-23.0;4.41;9.0;2.66;0.54;0.53;24.0;;17.0;;17.0;32.0;85.0;20.0;31.0;;5.0;5.0;;;35.0;72.0;;29.0;5.0;;;57.0;23.0;;;1.0;25.0;;;;;7.0;-14.0;118.0;226.0;;226.0;;13.0;5.0;-4.0;;12.0;;-14.0;;65.0;3.0;-7.0;;;;-25.0;;91.0;-0.0;;-82.0;0.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;552.0;300.0;64.0;49.0;47.0;28.0;32.0;166.0;263.0;105.0;110.0;154.0;48.0;-59.0;-2.0;;32.0;252.0;54.37;251.0;;234.0;;;17.0;503.0;;;17.0;11.55;8.89;-2.0;8.47;19.0;5.09;0.89;0.88;32.0;;4.0;;4.0;37.0;103.0;22.0;42.0;;12.0;12.0;;;43.0;97.0;;37.0;5.0;;;63.0;3.0;;;2.0;5.0;;;;;35.0;-17.0;135.0;263.0;;263.0;;28.0;17.0;1.0;;-3.0;;-20.0;;61.0;5.0;-16.0;;;;-43.0;;31.0;-35.0;;1.0;;;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;632.0;352.0;66.0;56.0;53.0;25.0;32.0;220.0;390.0;120.0;184.0;206.0;38.0;-94.0;56.0;;-4.0;280.0;55.73;296.0;;275.0;;;22.0;576.0;;;22.0;10.5;8.8;-3.0;8.34;20.0;3.93;0.8;0.77;31.0;;4.0;;4.0;56.0;120.0;40.0;80.0;;;;;;90.0;170.0;;44.0;7.0;;;69.0;40.0;;;25.0;64.0;;;;;60.0;-17.0;163.0;390.0;;390.0;;25.0;22.0;;;39.0;;-18.0;;100.0;-48.0;-42.0;;;;-52.0;;1.0;;;55.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;750.0;415.0;86.0;68.0;62.0;39.0;32.0;280.0;506.0;143.0;256.0;250.0;29.0;-95.0;66.0;;7.0;335.0;55.27;347.0;;323.0;;;24.0;682.0;;;24.0;11.51;9.03;-5.0;8.31;24.0;5.15;1.24;1.19;31.0;;4.0;;4.0;77.0;165.0;33.0;93.0;;;;;;133.0;226.0;;52.0;10.0;;;81.0;92.0;;;22.0;113.0;;;;;99.0;-23.0;175.0;506.0;;506.0;;39.0;24.0;3.0;;37.0;;-43.0;;137.0;-73.0;-22.0;;;;-73.0;;3.0;;;64.0;-0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;929.0;492.0;89.0;82.0;47.0;32.0;35.0;351.0;673.0;173.0;385.0;289.0;51.0;-154.0;104.0;;20.0;437.0;52.98;410.0;;367.0;;;43.0;847.0;;;43.0;9.61;8.84;-35.0;5.03;15.0;3.44;0.98;0.98;32.0;;4.0;;4.0;118.0;190.0;38.0;114.0;;42.0;42.0;;;167.0;323.0;;63.0;21.0;;;89.0;187.0;;;24.0;211.0;;;;;131.0;-32.0;190.0;673.0;;673.0;;32.0;43.0;-5.0;;40.0;;-32.0;;177.0;-59.0;-30.0;;;;-124.0;;4.0;;;100.0;0.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;966.0;476.0;59.0;18.0;1.0;0.0;33.0;396.0;784.0;181.0;487.0;298.0;47.0;-138.0;91.0;;17.0;491.0;49.23;458.0;;400.0;400.0;;58.0;949.0;;;58.0;6.15;1.83;-17.0;0.1;1.0;0.04;0.01;0.01;33.0;;5.0;;5.0;101.0;222.0;69.0;134.0;;68.0;68.0;;;186.0;388.0;;74.0;5.0;;;101.0;288.0;;;18.0;306.0;;;;;131.0;-43.0;210.0;784.0;;784.0;;0.0;58.0;-7.0;;39.0;;-29.0;;216.0;-44.0;-30.0;;;;-108.0;;5.0;;;87.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;1058.0;565.0;103.0;60.0;38.0;24.0;33.0;383.0;765.0;182.0;447.0;318.0;118.0;-79.0;-38.0;;97.0;494.0;53.36;505.0;;440.0;440.0;;65.0;999.0;;;65.0;9.73;5.63;-22.0;3.6;15.0;2.23;0.73;0.72;32.0;;5.0;;5.0;117.0;199.0;62.0;137.0;;67.0;67.0;;;179.0;383.0;;77.0;10.0;;;95.0;244.0;;;22.0;266.0;;;;;155.0;-54.0;218.0;765.0;;765.0;;24.0;65.0;-8.0;;-15.0;;15.0;;201.0;52.0;-20.0;;;;-59.0;;1.0;;;-39.0;0.0;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1155.0;645.0;133.0;78.0;59.0;37.0;33.0;434.0;842.0;212.0;481.0;361.0;118.0;-137.0;20.0;1.0;88.0;510.0;55.84;567.0;;493.0;493.0;;74.0;1077.0;;;74.0;11.47;6.75;-19.0;5.1;22.0;3.19;1.13;1.1;33.0;;6.0;;6.0;136.0;227.0;65.0;149.0;;71.0;71.0;;;188.0;408.0;;97.0;18.0;;;97.0;248.0;;;21.0;269.0;;;;0.0;191.0;-65.0;235.0;842.0;;842.0;;37.0;74.0;-2.0;;21.0;;-23.0;;222.0;-12.0;-30.0;;;;-107.0;;6.0;;;14.0;0.0;6.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
