;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2003.0;367.0;;190.0;50.0;459.0;198.0;7.0;;2140.0;;1777.0;362.0;;;;;;;;;;;;;;317.0;;;;51.85;13.64;409.0;124.96;-8.0;53.94;26.7;26.7;7.0;;13.0;;13.0;;;;;;;;;;;;2140.0;;;;;;;;;;;1777.0;;;;;;362.0;2140.0;;2140.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;286.0;;184.0;-128.0;1020.0;194.0;7.0;;16076.0;;15581.0;496.0;;;;;;;;;;;;;;414.0;;;;64.35;-44.83;1148.0;356.74;-10.0;67.77;26.14;26.14;7.0;;28.0;;28.0;;;;;;;;;;;;16076.0;;;;;;;;;;;15581.0;;;;;;496.0;16076.0;;16076.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;512.0;;283.0;-71.0;271.0;261.0;7.0;;24305.0;;23567.0;739.0;-2867.0;-2.0;2911.0;42.0;-2870.0;;;245.0;5.0;239.0;239.0;;;583.0;;;12.0;55.34;-13.86;342.0;52.91;10.0;50.97;35.19;35.19;7.0;;70.0;;70.0;5198.0;;;;;;;17044.0;;;;24305.0;;;;;;;;;;;23567.0;;;;;;739.0;24305.0;;24305.0;;261.0;12.0;5.0;;83.0;;;;;-3228.0;-2.0;;;;;-1.0;;;-18.0;2930.0;;70.0;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1006.0;;633.0;127.0;611.0;588.0;7.0;;36075.0;;34827.0;1248.0;-4203.0;-14.0;4170.0;-46.0;-4216.0;;;454.0;8.0;447.0;447.0;;;879.0;;;21.0;62.89;12.6;485.0;60.78;23.0;58.46;79.31;79.31;7.0;;24.0;;24.0;7963.0;;;;;;;25328.0;;;;36075.0;;;;;;;;;;;34827.0;;;;;;1248.0;36075.0;;36075.0;;588.0;21.0;14.0;;;;;;;-4826.0;-14.0;;;;;-1.0;;;-79.0;4250.0;;24.0;70.0;;;135.67;79.31;-568.68;10.66;1.82;168.29;7.0;;;;1006.0;12.6;21.0;588.0;3.8;58.5;;;1248.0;1.6;1.7;47.1;86.6;-1.9
2007.0;1502.0;;-740.0;-3177.0;-731.0;-915.0;7.0;;3510.0;;3683.0;-173.0;-2130.0;-34.0;2754.0;591.0;-2135.0;;;;;83.0;83.0;;;1346.0;;;111.0;-49.26;-211.53;2446.0;-48.65;64.0;-60.92;-123.42;-123.42;7.0;;614.0;159.0;773.0;1693.0;;;;;;;159.0;935.0;;;3510.0;;;;;;3186.0;;;;3186.0;6869.0;;;;-948.0;;776.0;3510.0;;3510.0;;-915.0;111.0;-8.0;;;-5195.0;;407.0;;-1318.0;-6.0;;;;-28.0;-1.0;4437.0;-2218.0;;537.0;;614.0;24.0;;;202.59;-123.42;-288.04;;0.78;-23.3;7.0;-2.2;-0.1;;1502.0;-211.5;111.0;-915.0;-8.8;-60.9;;3186.0;-173.0;-26.4;-24.2;529.7;100.0;
2008.0;604.0;604.0;-430.0;283.0;-1624.0;-511.0;7.0;1681.0;2003.0;38.0;2222.0;-430.0;734.0;-18.0;-1248.0;-533.0;722.0;;100.0;321.0;;364.0;364.0;;-43.0;321.0;;34.0;7.0;-71.14;46.89;-1908.0;-268.78;40.0;-84.48;-68.6;-68.6;7.0;;81.0;;81.0;46.0;;1553.0;45.0;23.0;6.0;29.0;234.0;;14.0;322.0;;5.0;;;;32.0;765.0;;;1419.0;2184.0;;;;;-1567.0;-20.0;1157.0;1792.0;211.0;2003.0;;-511.0;7.0;23.0;;1643.0;;;;1643.0;-428.0;-12.0;;-25.0;6.0;12.0;-2.0;;;-766.0;-480.0;;81.0;614.0;;;81.24;-68.63;97.06;102.92;1.58;-57.81;7.0;-2.4;-0.1;63.7;604.0;46.9;7.0;-511.0;-2.5;-84.5;1643.0;765.0;-430.0;-25.5;-24.4;118.7;250.0;
2009.0;743.0;743.0;-238.0;306.0;-1333.0;-297.0;8.0;1810.0;2206.0;182.0;2017.0;-374.0;256.0;-9.0;-255.0;-8.0;255.0;;100.0;437.0;;417.0;417.0;;20.0;437.0;;13.0;9.0;-32.07;41.23;-1640.0;-179.4;38.0;-40.02;-37.9;-37.9;8.0;;74.0;;74.0;369.0;;1368.0;39.0;23.0;5.0;28.0;315.0;;15.0;396.0;;144.0;;;;38.0;652.0;;;1182.0;1835.0;;;;;-1880.0;-25.0;1531.0;1642.0;564.0;2206.0;;-297.0;9.0;28.0;;-15.0;;;;1628.0;533.0;-1.0;;-9.0;4.0;-2.0;-90.0;;;-137.0;-28.0;;74.0;81.0;;;94.82;-37.94;32.57;17.5;0.14;-47.75;8.0;-2.4;-0.0;19.2;743.0;41.2;9.0;-297.0;-2.8;-40.0;1628.0;652.0;-374.0;-17.4;-15.0;79.5;146.1;
2010.0;925.0;925.0;-237.0;469.0;-1158.0;-294.0;9.0;1582.0;2094.0;999.0;1666.0;-352.0;544.0;2.0;-501.0;44.0;543.0;;100.0;456.0;;456.0;456.0;;-0.0;456.0;;8.0;9.0;-25.59;50.71;-1627.0;-125.24;41.0;-31.85;-33.5;-33.5;9.0;;118.0;;118.0;467.0;;998.0;31.0;23.0;4.0;27.0;3.0;;450.0;511.0;;937.0;;;33.0;29.0;639.0;;;28.0;667.0;;;;;-2251.0;-32.0;1931.0;1315.0;779.0;2094.0;;-294.0;9.0;27.0;;-1045.0;;;;583.0;1847.0;-0.0;;-5.0;7.0;0.0;-11.0;;;-74.0;-416.0;;118.0;74.0;;;105.16;-33.49;61.8;8.42;0.04;-39.99;9.0;-4.3;-0.2;5.8;925.0;50.7;9.0;-294.0;-3.5;-31.8;583.0;639.0;-352.0;-80.6;-18.7;83.7;125.1;
2011.0;616.0;616.0;-343.0;206.0;-1411.0;-419.0;10.0;1191.0;2044.0;925.0;1412.0;-357.0;368.0;-3.0;-334.0;31.0;366.0;;100.0;410.0;;410.0;410.0;;-0.0;410.0;;7.0;10.0;-55.58;33.47;-1618.0;-228.94;60.0;-67.97;-40.7;-40.7;10.0;;149.0;;149.0;77.0;;966.0;27.0;23.0;4.0;26.0;735.0;;65.0;853.0;;;;;;925.0;384.0;;;103.0;487.0;;;;;-2776.0;-40.0;2460.0;1055.0;990.0;2044.0;;-419.0;10.0;46.0;;-317.0;;;;266.0;1048.0;-2.0;;-3.0;2.0;;-252.0;239.0;;-104.0;-217.0;;149.0;118.0;;;59.93;-40.74;35.59;10.12;0.23;-34.72;10.0;-3.2;-0.2;7.8;616.0;33.5;10.0;-419.0;-4.2;-68.0;266.0;384.0;-357.0;-283.2;-33.4;117.3;124.8;
2012.0;1211.0;812.0;-221.0;682.0;-545.0;-316.0;14.0;777.0;3535.0;976.0;1686.0;-251.0;-341.0;-3.0;357.0;13.0;-343.0;400.0;67.01;130.0;;130.0;130.0;;;530.0;;6.0;9.0;-18.27;56.26;-1226.0;-44.98;79.0;-26.07;-22.1;-22.1;14.0;;162.0;;162.0;598.0;;16.0;21.0;23.0;3.0;26.0;1751.0;921.0;40.0;2758.0;;;;;;976.0;388.0;79.0;;243.0;710.0;;1.0;;;-3151.0;-45.0;2945.0;1436.0;2099.0;3535.0;;-316.0;9.0;64.0;86.0;-466.0;-519.0;;;-199.0;281.0;-2.0;;;;-1.0;-381.0;;;-57.0;795.0;;162.0;149.0;;;84.73;-22.09;-24.02;3.96;0.16;-17.52;14.0;-4.0;-0.3;4.5;1211.0;56.3;9.0;-316.0;-14.5;-26.1;-199.0;388.0;-251.0;-57.4;-16.1;126.1;117.9;
