;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
2001.0;2.0;;2.0;2.0;2.0;2.0;5.0;;29.0;;0.0;29.0;2.0;;-2.0;-1.0;2.0;;;1.0;;1.0;1.0;;;1.0;;0.0;;79.91;77.29;-0.0;69.87;;69.87;0.3;0.3;5.0;;;;;0.0;;;;;;;29.0;;;;29.0;;;;;0.0;;;;;;0.0;;;;-7.0;0.0;36.0;29.0;;29.0;;2.0;;;;;;;;-0.0;;;;;;;;;;-3.0;1.0;;-1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2.0;;-0.0;2.0;1.0;1.0;5.0;;28.0;0.0;0.0;28.0;1.0;;-2.0;-2.0;1.0;;;0.0;;0.0;0.0;;0.0;0.0;;-1.0;;-21.03;78.97;-1.0;28.72;;28.72;0.1;0.1;5.0;;;;;0.0;;;;;;;27.0;;;;28.0;;0.0;;;;;;;;;0.0;;;;-8.0;0.0;36.0;28.0;;28.0;;1.0;;;;0.0;;;;;-0.0;;;;;;;;;-3.0;1.0;;-2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;1.0;;3.0;1.0;3.0;3.0;6.0;;29.0;;0.0;29.0;3.0;;-2.0;1.0;3.0;;;0.0;;0.0;0.0;;0.0;0.0;;0.0;;202.8;68.53;2.0;186.71;;186.71;0.48;0.48;6.0;;0.0;;0.0;1.0;;;;;;;28.0;;;;29.0;;;;;0.0;;;;;;0.0;;;;-8.0;2.0;35.0;29.0;;29.0;;3.0;;;;-0.0;;;;-0.0;0.0;;;;;;;;;-2.0;0.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;1.0;;4.0;1.0;3.0;3.0;7.0;;37.0;0.0;0.0;37.0;3.0;;5.0;8.0;3.0;;;1.0;;1.0;1.0;;0.0;1.0;;1.0;;288.55;60.31;2.0;225.95;;225.95;0.4;0.4;7.0;;;;;1.0;;;;;;;36.0;;;;37.0;;;;;0.0;0.0;;;;0.0;;;;;-7.0;3.0;41.0;37.0;;37.0;;3.0;;;;;;;;-0.0;;;;;;;;;;-2.0;7.0;;8.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;1.0;;-2.0;1.0;-3.0;-3.0;7.0;;32.0;0.0;0.0;32.0;-3.0;;-2.0;-5.0;-3.0;;;1.0;;1.0;1.0;;;1.0;;1.0;;-146.38;60.14;-3.0;-192.75;;-192.75;-0.36;-0.36;7.0;;;;;1.0;;;;;;;31.0;;;;32.0;;;;;0.0;0.0;;;;0.0;;;;;-6.0;-1.0;39.0;32.0;;32.0;;-3.0;;;;0.0;;;;;-0.0;;;;;;;;;-2.0;0.0;;-5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;1.0;;2.0;1.0;2.0;2.0;7.0;;32.0;;0.0;32.0;2.0;;-2.0;0.0;2.0;;;1.0;;1.0;1.0;;0.0;1.0;;-0.0;;146.62;58.78;2.0;163.51;;163.51;0.33;0.33;7.0;;;;;1.0;;;;;;;32.0;;;;32.0;;;;;0.0;;;;;;0.0;;;;-5.0;0.0;37.0;32.0;;32.0;;2.0;;;;;;;;;;;;;;;;;;-2.0;0.0;;0.0;;;;0.2;0.33;0.33;0.28;;4.38;7.0;12.3;0.7;7.0;1.0;58.8;;2.0;;163.5;;;32.0;6.7;6.7;7.5;14.5;85.5
2007.0;2.0;;3.0;1.0;3.0;3.0;7.0;;34.0;;0.0;34.0;3.0;;-2.0;2.0;3.0;;;1.0;;1.0;1.0;;0.0;1.0;;0.0;;214.84;61.94;2.0;212.9;;212.9;0.45;0.45;7.0;;;;;1.0;;;;;;;33.0;;;;34.0;;;;;0.0;;;;;;0.0;;;;-3.0;2.0;35.0;34.0;-0.0;34.0;;3.0;;;;-3.0;;;;-3.0;3.0;;;;;;;;;-2.0;0.0;;2.0;;;;0.21;0.45;0.45;0.22;;4.6;7.0;9.0;0.5;5.5;2.0;61.9;;3.0;;212.9;;;34.0;9.7;9.7;9.7;50.6;49.4
2008.0;2.0;;-6.0;1.0;-5.0;-5.0;7.0;;30.0;3.0;3.0;27.0;-1.0;;1.0;;-1.0;;;1.0;;1.0;1.0;;0.0;1.0;;-1.0;;-316.06;71.5;-7.0;-275.65;;-275.65;-0.72;-0.72;7.0;;;;;1.0;;;;;;;29.0;;;;30.0;;3.0;;;;;;;;;0.0;;;;-2.0;-4.0;33.0;30.0;;30.0;;-5.0;;;;2.0;-0.0;;;-1.0;2.0;;;;;;;;;-2.0;3.0;;;;;;0.26;-0.72;-0.16;0.24;;3.65;7.0;-4.9;-0.2;6.8;2.0;71.5;;-5.0;;-275.6;-3.0;;27.0;-22.5;-20.3;-19.7;133.1;
2009.0;2.0;;6.0;2.0;8.0;8.0;7.0;;34.0;1.0;1.0;33.0;4.0;;-4.0;;4.0;;;0.0;;0.0;0.0;;0.0;0.0;;-2.0;;294.97;76.38;6.0;379.9;;379.9;1.02;1.02;7.0;;;;;0.0;;;;;;;33.0;;;;34.0;;1.0;;;;;;;;;0.0;;;;-4.0;3.0;33.0;34.0;;34.0;;8.0;;;;0.0;-0.0;;;-1.0;-4.0;;;;;;;;;-2.0;-2.0;;;;;;0.27;1.02;0.5;0.23;;4.43;7.0;3.0;0.0;7.5;2.0;76.4;;8.0;;379.9;-1.0;;33.0;17.8;17.4;23.0;77.2;46.0
2010.0;2.0;;8.0;1.0;6.0;6.0;7.0;;38.0;1.0;1.0;37.0;2.0;;-2.0;0.0;2.0;;;1.0;;1.0;1.0;;0.0;1.0;;2.0;;387.91;68.37;4.0;273.49;;273.49;0.79;0.79;7.0;;0.0;;0.0;1.0;;;;;;;37.0;;;;38.0;;1.0;;;;;;;;;0.0;;;;-1.0;5.0;33.0;38.0;;38.0;;6.0;;;;1.0;-0.0;;;;-5.0;;;;;;;;;-2.0;-0.0;;0.0;;;;0.29;0.79;0.25;0.22;;5.0;7.0;4.7;0.2;5.9;2.0;68.4;;6.0;;273.5;-1.0;;37.0;22.4;21.9;15.9;72.4;86.2
