;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF
1983.0;399.0;63.0;-17.0;8.0;-5.0;-2.0;10.0;136.0;211.0;84.0;165.0;47.0;;;;;;336.0;15.79;55.0;;55.0;55.0;;0.0;391.0;;-13.0;;-4.34;2.06;-13.0;-1.15;-3.0;-0.38;-0.15;-0.15;10.0;;2.0;;2.0;34.0;96.0;4.0;73.0;;;;;0.0;2.0;76.0;;36.0;35.0;;;13.0;75.0;;;6.0;81.0;;;;2.0;25.0;-27.0;46.0;211.0;;211.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984.0;271.0;45.0;0.0;20.0;9.0;8.0;9.0;112.0;183.0;61.0;133.0;50.0;;;;;;226.0;16.62;26.0;;26.0;26.0;;;252.0;;-10.0;;0.11;7.26;-10.0;3.46;3.0;2.98;0.88;0.88;9.0;;3.0;;3.0;34.0;73.0;3.0;68.0;;;;;4.0;-1.0;71.0;;39.0;7.0;;;15.0;65.0;;;8.0;73.0;;;;2.0;33.0;-34.0;49.0;183.0;;183.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985.0;270.0;42.0;-1.0;15.0;7.0;6.0;7.0;127.0;201.0;64.0;149.0;51.0;;;;;;229.0;15.42;26.0;;27.0;27.0;;-0.0;255.0;;-9.0;;-0.18;5.66;-9.0;2.51;2.0;2.18;0.82;0.82;7.0;;2.0;;2.0;35.0;87.0;3.0;71.0;;;;;7.0;-4.0;74.0;;44.0;4.0;;;15.0;75.0;;;10.0;85.0;;;;2.0;39.0;-42.0;52.0;201.0;;201.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;265.0;41.0;17.0;8.0;-1.0;10.0;7.0;116.0;201.0;38.0;139.0;61.0;;;;;;224.0;15.43;33.0;;24.0;24.0;;8.0;257.0;;;8.0;6.42;3.13;-10.0;-0.49;-2.0;3.92;1.53;1.53;7.0;;16.0;;16.0;20.0;79.0;2.0;81.0;;;;;;3.0;84.0;;;3.0;;;35.0;89.0;;10.0;3.0;102.0;;;;;50.0;-48.0;59.0;201.0;;201.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;271.0;49.0;12.0;14.0;3.0;2.0;7.0;116.0;194.0;34.0;132.0;63.0;4.0;-2.0;-5.0;-3.0;1.0;222.0;18.0;35.0;;27.0;27.0;;9.0;257.0;;;9.0;4.3;4.99;-10.0;1.15;1.0;0.67;0.26;0.26;7.0;;13.0;;13.0;22.0;81.0;0.0;75.0;;;;;;3.0;78.0;;;4.0;;;30.0;83.0;;11.0;4.0;98.0;;;;;51.0;-55.0;66.0;194.0;;194.0;;2.0;9.0;1.0;;-7.0;-3.0;-2.0;4.0;83.0;-0.0;-4.0;;;;1.0;;;-0.0;-0.0;-5.0;;13.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;305.0;56.0;14.0;16.0;5.0;3.0;7.0;114.0;188.0;31.0;122.0;66.0;13.0;-5.0;-8.0;-0.0;6.0;249.0;18.43;41.0;;32.0;32.0;;9.0;289.0;;;9.0;4.53;5.12;-11.0;1.64;2.0;1.02;0.46;0.46;7.0;;13.0;;13.0;27.0;71.0;3.0;71.0;;;;;;3.0;74.0;;;6.0;;;25.0;78.0;;13.0;;91.0;;;;;55.0;-58.0;69.0;188.0;;188.0;;3.0;9.0;2.0;;0.0;-5.0;10.0;6.0;83.0;-0.0;-7.0;;;;2.0;;;;-0.0;-8.0;;13.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;310.0;66.0;17.0;17.0;9.0;5.0;7.0;122.0;194.0;43.0;123.0;71.0;14.0;-13.0;-8.0;-8.0;4.0;245.0;21.17;48.0;;39.0;39.0;;9.0;293.0;;;9.0;5.63;5.57;-9.0;2.74;4.0;1.61;0.74;0.74;7.0;;9.0;;9.0;25.0;88.0;0.0;72.0;;;;;;1.0;72.0;;;9.0;;;34.0;67.0;;13.0;;80.0;;;;;60.0;-66.0;77.0;194.0;;194.0;;5.0;9.0;-0.0;;-4.0;3.0;-17.0;-6.0;79.0;4.0;-10.0;;;;-3.0;;;;-0.0;-8.0;;5.0;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;344.0;28.0;18.0;20.0;10.0;6.0;6.0;114.0;194.0;52.0;123.0;71.0;27.0;-13.0;-15.0;-2.0;15.0;316.0;8.25;8.0;;;;;8.0;324.0;;;8.0;5.15;5.87;-11.0;2.76;4.0;1.68;0.9;0.9;6.0;;4.0;;4.0;25.0;85.0;1.0;74.0;;;;;;6.0;80.0;;;9.0;;;43.0;58.0;;13.0;0.0;71.0;;;;;65.0;-70.0;75.0;194.0;;194.0;;6.0;8.0;1.0;;-17.0;0.0;3.0;-5.0;62.0;29.0;-12.0;;;;-1.0;;;-6.0;-0.0;-9.0;;4.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;321.0;60.0;18.0;19.0;10.0;6.0;6.0;122.0;211.0;44.0;134.0;77.0;-6.0;-17.0;22.0;-2.0;-24.0;261.0;18.73;41.0;;33.0;33.0;;8.0;302.0;;;8.0;5.52;6.01;-10.0;2.96;4.0;1.84;0.95;0.95;6.0;;2.0;;2.0;27.0;92.0;1.0;83.0;;;;;;7.0;89.0;;;8.0;;;36.0;80.0;;10.0;0.0;90.0;;;;;71.0;-76.0;82.0;211.0;;211.0;;6.0;8.0;-3.0;;16.0;-3.0;-7.0;4.0;78.0;-34.0;-17.0;;;;0.0;;;;-0.0;22.0;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;329.0;54.0;11.0;13.0;2.0;1.0;6.0;120.0;206.0;43.0;130.0;76.0;23.0;-9.0;-8.0;-8.0;14.0;275.0;16.29;41.0;;31.0;31.0;;10.0;316.0;;;10.0;3.4;3.95;-11.0;0.64;1.0;0.27;0.14;0.14;6.0;;8.0;;8.0;25.0;86.0;0.0;82.0;;;;;;4.0;86.0;;28.0;2.0;;;13.0;78.0;;9.0;;87.0;;;;;72.0;-85.0;89.0;206.0;;206.0;;1.0;10.0;-1.0;;-1.0;;6.0;;77.0;14.0;-9.0;;;;0.0;;;-0.0;;-8.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;
